Energie,Count
96.34327284407004,0
1579.43721973637,0
3062.5311666286702,0
4545.6251135209695,0
6028.71906041327,0
7511.813007305571,828
8994.90695419787,10612
10478.00090109017,141
11961.094847982471,64
13444.18879487477,61
14927.28274176707,368
16410.37668865937,2958
17893.47063555167,3465
19376.564582443967,3237
20859.65852933627,3118
22342.75247622857,2968
23825.846423120867,2970
25308.94037001317,2880
26792.03431690547,2896
28275.128263797767,2809
29758.22221069007,2684
31241.31615758237,2623
32724.410104474668,2603
34207.504051366974,2571
35690.59799825927,2486
37173.69194515157,2503
38656.785892043874,2516
40139.87983893617,2421
41622.97378582847,2403
43106.067732720774,2443
44589.16167961307,2326
46072.25562650537,2342
47555.349573397674,2373
49038.44352028997,2334
50521.53746718227,2364
52004.631414074574,2242
53487.72536096687,2150
54970.81930785917,2168
56453.913254751475,2180
57937.00720164377,2226
59420.10114853607,2268
60903.195095428375,2089
62386.28904232067,2130
63869.38298921297,2172
65352.47693610527,2139
66835.57088299756,2209
68318.66482988987,2196
69801.75877678217,2131
71284.85272367447,2112
72767.94667056676,2091
74251.04061745906,2148
75734.13456435136,2183
77217.22851124367,2035
78700.32245813597,2183
80183.41640502827,2099
81666.51035192056,2129
83149.60429881286,2064
84632.69824570516,2198
86115.79219259747,2174
87598.88613948977,2166
89081.98008638207,2164
90565.07403327436,2184
92048.16798016666,2294
93531.26192705896,2201
95014.35587395127,2230
96497.44982084357,2291
97980.54376773586,2357
99463.63771462816,2398
100946.73166152046,2333
102429.82560841276,2339
103912.91955530507,2457
105396.01350219737,2468
106879.10744908966,2423
108362.20139598196,2450
109845.29534287426,2547
111328.38928976656,2489
112811.48323665887,2598
114294.57718355117,2642
115777.67113044346,2686
117260.76507733576,2641
118743.85902422806,2706
120226.95297112036,2794
121710.04691801267,2745
123193.14086490497,2841
124676.23481179726,2762
126159.32875868956,2803
127642.42270558186,2742
129125.51665247417,2779
130608.61059936645,2895
132091.70454625876,2896
133574.79849315106,2891
135057.89244004336,2886
136540.98638693566,2923
138024.08033382797,2872
139507.17428072027,2895
140990.26822761257,2887
142473.36217450487,2917
143956.45612139718,2902
145439.55006828945,2946
146922.64401518175,2877
148405.73796207405,2901
149888.83190896636,2889
151371.92585585866,2871
152855.01980275096,2763
154338.11374964326,2870
155821.20769653557,2685
157304.30164342787,2826
158787.39559032017,2835
160270.48953721247,2719
161753.58348410478,2815
163236.67743099705,2758
164719.77137788935,2735
166202.86532478165,2594
167685.95927167396,2750
169169.05321856626,2785
170652.14716545856,2714
172135.24111235086,2693
173618.33505924317,2715
175101.42900613547,2664
176584.52295302777,2652
178067.61689992007,2641
179550.71084681238,2574
181033.80479370465,2602
182516.89874059695,2629
183999.99268748926,2496
185483.08663438156,2572
186966.18058127386,2558
188449.27452816616,2663
189932.36847505847,2568
191415.46242195077,2460
192898.55636884307,2468
194381.65031573537,2510
195864.74426262768,2528
197347.83820951995,2520
198830.93215641225,2512
200314.02610330455,2506
201797.12005019686,2565
203280.21399708916,2465
204763.30794398146,2485
206246.40189087376,2463
207729.49583776607,2365
209212.58978465837,2459
210695.68373155067,2551
212178.77767844297,2459
213661.87162533528,2565
215144.96557222755,2529
216628.05951911985,2535
218111.15346601215,2588
219594.24741290446,2487
221077.34135979676,2516
222560.43530668906,2524
224043.52925358136,2414
225526.62320047367,2429
227009.71714736597,2369
228492.81109425827,2441
229975.90504115057,2307
231458.99898804288,2334
232942.09293493515,2271
234425.18688182745,2248
235908.28082871975,2167
237391.37477561206,2200
238874.46872250436,2097
240357.56266939666,2056
241840.65661628896,2036
243323.75056318127,2128
244806.84451007357,2078
246289.93845696587,2023
247773.03240385817,2019
249256.12635075045,2058
250739.22029764275,2000
252222.31424453505,1975
253705.40819142736,1962
255188.50213831966,1895
256671.59608521196,1971
258154.69003210426,1823
259637.78397899657,1917
261120.87792588884,1877
262603.97187278117,1875
264087.0658196735,1813
265570.1597665658,1788
267053.2537134581,1858
268536.3476603504,1787
270019.4416072427,1828
271502.535554135,1829
272985.6295010273,1776
274468.7234479196,1767
275951.8173948119,1708
277434.9113417042,1772
278918.0052885965,1663
280401.0992354888,1641
281884.1931823811,1641
283367.2871292734,1713
284850.3810761657,1645
286333.475023058,1641
287816.5689699503,1693
289299.6629168426,1581
290782.7568637349,1635
292265.85081062716,1615
293748.94475751946,1641
295232.03870441177,1560
296715.13265130407,1625
298198.2265981964,1582
299681.3205450887,1576
301164.414491981,1644
302647.5084388733,1551
304130.6023857656,1563
305613.6963326579,1506
307096.7902795502,1536
308579.8842264425,1562
310062.9781733348,1545
311546.0721202271,1497
313029.1660671194,1500
314512.2600140117,1475
315995.353960904,1514
317478.4479077963,1460
318961.5418546886,1437
