Energie,Count
96.34327284407004,0
1579.43721973637,0
3062.5311666286702,0
4545.6251135209695,0
6028.71906041327,0
7511.813007305571,3
8994.90695419787,8
10478.00090109017,0
11961.094847982471,0
13444.18879487477,0
14927.28274176707,3
16410.37668865937,19
17893.47063555167,14
19376.564582443967,21
20859.65852933627,15
22342.75247622857,13
23825.846423120867,14
25308.94037001317,14
26792.03431690547,14
28275.128263797767,7
29758.22221069007,6
31241.31615758237,8
32724.410104474668,18
34207.504051366974,5
35690.59799825927,14
37173.69194515157,14
38656.785892043874,15
40139.87983893617,12
41622.97378582847,11
43106.067732720774,8
44589.16167961307,8
46072.25562650537,4
47555.349573397674,8
49038.44352028997,8
50521.53746718227,8
52004.631414074574,10
53487.72536096687,9
54970.81930785917,18
56453.913254751475,17
57937.00720164377,98
59420.10114853607,623
60903.195095428375,37
62386.28904232067,3
63869.38298921297,7
65352.47693610527,2
66835.57088299756,8
68318.66482988987,5
69801.75877678217,5
71284.85272367447,5
72767.94667056676,2
74251.04061745906,7
75734.13456435136,3
77217.22851124367,5
78700.32245813597,1
80183.41640502827,1
81666.51035192056,2
83149.60429881286,4
84632.69824570516,3
86115.79219259747,2
87598.88613948977,4
89081.98008638207,4
90565.07403327436,0
92048.16798016666,5
93531.26192705896,3
95014.35587395127,6
96497.44982084357,6
97980.54376773586,9
99463.63771462816,5
100946.73166152046,5
102429.82560841276,5
103912.91955530507,6
105396.01350219737,3
106879.10744908966,6
108362.20139598196,2
109845.29534287426,3
111328.38928976656,4
112811.48323665887,5
114294.57718355117,5
115777.67113044346,1
117260.76507733576,8
118743.85902422806,9
120226.95297112036,2
121710.04691801267,2
123193.14086490497,3
124676.23481179726,8
126159.32875868956,1
127642.42270558186,6
129125.51665247417,3
130608.61059936645,5
132091.70454625876,5
133574.79849315106,6
135057.89244004336,6
136540.98638693566,6
138024.08033382797,3
139507.17428072027,7
140990.26822761257,4
142473.36217450487,5
143956.45612139718,4
145439.55006828945,4
146922.64401518175,3
148405.73796207405,10
149888.83190896636,4
151371.92585585866,1
152855.01980275096,2
154338.11374964326,6
155821.20769653557,2
157304.30164342787,5
158787.39559032017,5
160270.48953721247,2
161753.58348410478,4
163236.67743099705,3
164719.77137788935,1
166202.86532478165,3
167685.95927167396,4
169169.05321856626,4
170652.14716545856,3
172135.24111235086,5
173618.33505924317,6
175101.42900613547,2
176584.52295302777,8
178067.61689992007,6
179550.71084681238,5
181033.80479370465,5
182516.89874059695,5
183999.99268748926,2
185483.08663438156,2
186966.18058127386,3
188449.27452816616,3
189932.36847505847,3
191415.46242195077,5
192898.55636884307,4
194381.65031573537,3
195864.74426262768,4
197347.83820951995,3
198830.93215641225,0
200314.02610330455,5
201797.12005019686,6
203280.21399708916,2
204763.30794398146,2
206246.40189087376,2
207729.49583776607,2
209212.58978465837,3
210695.68373155067,3
212178.77767844297,5
213661.87162533528,3
215144.96557222755,4
216628.05951911985,5
218111.15346601215,2
219594.24741290446,5
221077.34135979676,2
222560.43530668906,0
224043.52925358136,0
225526.62320047367,5
227009.71714736597,3
228492.81109425827,4
229975.90504115057,1
231458.99898804288,3
232942.09293493515,3
234425.18688182745,6
235908.28082871975,5
237391.37477561206,4
238874.46872250436,5
240357.56266939666,1
241840.65661628896,4
243323.75056318127,2
244806.84451007357,2
246289.93845696587,3
247773.03240385817,4
249256.12635075045,4
250739.22029764275,0
252222.31424453505,1
253705.40819142736,2
255188.50213831966,3
256671.59608521196,2
258154.69003210426,0
259637.78397899657,0
261120.87792588884,2
262603.97187278117,2
264087.0658196735,1
265570.1597665658,1
267053.2537134581,4
268536.3476603504,1
270019.4416072427,2
271502.535554135,0
272985.6295010273,1
274468.7234479196,2
275951.8173948119,5
277434.9113417042,1
278918.0052885965,2
280401.0992354888,1
281884.1931823811,2
283367.2871292734,1
284850.3810761657,2
286333.475023058,1
287816.5689699503,1
289299.6629168426,1
290782.7568637349,4
292265.85081062716,1
293748.94475751946,3
295232.03870441177,0
296715.13265130407,1
298198.2265981964,2
299681.3205450887,1
301164.414491981,0
302647.5084388733,3
304130.6023857656,2
305613.6963326579,3
307096.7902795502,3
308579.8842264425,2
310062.9781733348,5
311546.0721202271,0
313029.1660671194,1
314512.2600140117,1
315995.353960904,0
317478.4479077963,0
318961.5418546886,2
320444.6358015809,1
321927.7297484732,2
323410.8236953655,0
324893.9176422578,2
326377.0115891501,0
327860.10553604236,1
329343.19948293467,0
330826.29342982697,0
332309.38737671927,1
333792.4813236116,2
335275.5752705039,1
336758.6692173962,0
338241.7631642885,0
339724.8571111808,2
341207.9510580731,2
342691.0450049654,3
344174.1389518577,4
345657.23289875,0
347140.3268456423,1
348623.4207925346,1
350106.5147394269,0
