Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,49
8994906.954197869,107
10478000.90109017,0
11961094.84798247,0
13444188.794874769,1
14927282.74176707,3
16410376.68865937,46
17893470.63555167,53
19376564.582443967,54
20859658.52933627,63
22342752.47622857,46
23825846.423120867,49
25308940.37001317,48
26792034.31690547,45
28275128.263797767,55
29758222.21069007,43
31241316.15758237,29
32724410.10447467,51
34207504.05136697,36
35690597.99825927,44
37173691.94515157,59
38656785.892043866,30
40139879.838936165,33
41622973.78582847,42
43106067.73272077,41
44589161.67961307,31
46072255.62650537,43
47555349.573397666,40
49038443.520289965,37
50521537.467182264,39
52004631.41407457,32
53487725.36096687,37
54970819.30785917,35
56453913.254751466,42
57937007.201643765,36
59420101.148536064,34
60903195.09542837,41
62386289.04232067,55
63869382.98921297,43
65352476.936105266,46
66835570.88299757,41
68318664.82988986,43
69801758.77678217,46
71284852.72367446,43
72767946.67056677,40
74251040.61745906,36
75734134.56435136,37
77217228.51124367,51
78700322.45813596,43
80183416.40502827,54
81666510.35192056,28
83149604.29881287,30
84632698.24570517,48
86115792.19259746,46
87598886.13948977,47
89081980.08638206,36
90565074.03327437,48
92048167.98016666,38
93531261.92705896,47
95014355.87395127,43
96497449.82084356,50
97980543.76773587,45
99463637.71462816,47
100946731.66152047,47
102429825.60841276,47
103912919.55530506,44
105396013.50219737,40
106879107.44908966,42
108362201.39598197,39
109845295.34287426,57
111328389.28976656,58
112811483.23665887,55
114294577.18355116,50
115777671.13044347,46
117260765.07733576,44
118743859.02422807,42
120226952.97112036,50
121710046.91801266,47
123193140.86490497,63
124676234.81179726,53
126159328.75868957,53
127642422.70558186,45
129125516.65247416,50
130608610.59936646,55
132091704.54625876,55
133574798.49315105,52
135057892.4400434,41
136540986.38693565,65
138024080.33382797,64
139507174.28072023,56
140990268.22761256,44
142473362.17450488,44
143956456.12139714,54
145439550.06828946,59
146922644.01518178,44
148405737.96207404,50
149888831.90896636,39
151371925.85585868,52
152855019.80275095,53
154338113.74964327,49
155821207.6965356,38
157304301.64342785,47
158787395.59032017,58
160270489.5372125,52
161753583.48410475,61
163236677.43099707,51
164719771.37788934,70
166202865.32478166,48
167685959.27167398,55
169169053.21856624,38
170652147.16545856,52
172135241.11235088,57
173618335.05924314,45
175101429.00613546,57
176584522.95302778,53
178067616.89992005,47
179550710.84681237,54
181033804.7937047,61
182516898.74059695,40
183999992.68748927,54
185483086.63438153,49
186966180.58127385,53
188449274.52816617,54
189932368.47505844,46
191415462.42195076,58
192898556.36884308,53
194381650.31573534,60
195864744.26262766,50
197347838.20951998,46
198830932.15641224,69
200314026.10330456,34
201797120.0501969,46
203280213.99708915,48
204763307.94398147,43
206246401.89087373,43
207729495.83776605,54
209212589.78465837,47
210695683.73155063,47
212178777.67844296,40
213661871.62533528,45
215144965.57222754,45
216628059.51911986,45
218111153.46601218,52
219594247.41290444,35
221077341.35979676,43
222560435.30668908,32
224043529.25358135,46
225526623.20047367,42
227009717.147366,37
228492811.09425825,33
229975905.04115057,34
231458998.98804283,30
232942092.93493515,36
234425186.88182747,34
235908280.82871974,44
237391374.77561206,31
238874468.72250438,42
240357562.66939664,41
241840656.61628896,39
243323750.56318128,27
244806844.51007354,35
246289938.45696586,19
247773032.40385818,39
249256126.35075045,27
250739220.29764277,31
252222314.24453503,32
253705408.19142735,35
255188502.13831967,31
256671596.08521193,31
258154690.03210425,46
259637783.97899657,21
261120877.92588884,36
262603971.87278116,32
264087065.81967348,31
265570159.76656574,23
267053253.71345806,28
268536347.6603503,28
270019441.60724264,37
271502535.55413496,29
272985629.5010272,29
274468723.44791955,29
275951817.39481187,27
277434911.34170413,24
278918005.28859645,30
280401099.2354887,32
281884193.18238103,29
283367287.12927336,22
284850381.0761656,36
286333475.02305794,25
287816568.96995026,36
289299662.9168425,30
290782756.86373484,31
292265850.81062716,25
293748944.7575194,19
295232038.70441175,31
296715132.65130407,20
298198226.5981963,25
299681320.54508865,30
301164414.4919809,31
302647508.43887323,16
304130602.38576555,23
305613696.3326578,27
307096790.27955014,31
308579884.22644246,35
310062978.1733347,22
311546072.12022704,32
313029166.06711936,20
314512260.0140116,23
315995353.96090394,22
317478447.90779626,31
318961541.8546885,28
320444635.80158085,29
321927729.74847317,23
323410823.6953654,25
324893917.64225775,23
326377011.58915,23
327860105.53604233,22
329343199.48293465,26
330826293.4298269,22
332309387.37671924,21
333792481.32361156,32
335275575.2705038,22
336758669.21739614,31
338241763.16428846,27
339724857.1111807,30
341207951.05807304,22
342691045.00496536,20
344174138.9518576,18
345657232.89874995,17
347140326.8456422,25
348623420.79253453,18
350106514.73942685,24
351589608.6863191,29
353072702.63321143,22
354555796.58010375,20
356038890.526996,32
357521984.47388834,20
359005078.42078066,26
360488172.3676729,32
361971266.31456524,36
363454360.26145756,27
364937454.2083498,25
366420548.15524215,25
367903642.1021344,28
369386736.0490267,19
370869829.99591905,20
372352923.9428113,25
373836017.88970363,24
375319111.83659595,23
376802205.7834882,28
378285299.73038054,27
379768393.67727286,29
381251487.6241651,28
382734581.57105744,26
384217675.51794976,27
385700769.464842,18
387183863.41173434,21
388666957.35862666,28
390150051.3055189,23
391633145.25241125,20
393116239.1993035,22
394599333.1461958,25
396082427.09308815,20
397565521.0399804,31
399048614.98687273,36
400531708.93376505,22
402014802.8806573,19
403497896.82754964,31
404980990.77444196,26
406464084.7213342,26
407947178.66822654,32
409430272.61511886,21
410913366.5620111,32
412396460.50890344,21
413879554.4557957,26
415362648.402688,34
416845742.34958035,26
418328836.2964726,29
419811930.24336493,38
421295024.19025725,31
422778118.1371495,22
424261212.08404183,21
425744306.03093415,22
427227399.9778264,31
428710493.92471874,28
430193587.87161106,19
431676681.8185033,27
433159775.76539564,23
434642869.7122879,24
436125963.6591802,22
437609057.60607255,24
439092151.5529648,21
440575245.4998571,38
442058339.44674945,25
443541433.3936417,46
445024527.34053403,31
446507621.28742635,26
447990715.2343186,24
449473809.18121094,15
450956903.12810326,27
452439997.0749955,26
453923091.02188784,20
455406184.96878016,31
456889278.9156724,33
458372372.86256474,28
459855466.809457,32
461338560.7563493,28
462821654.70324165,30
464304748.6501339,27
465787842.5970262,22
467270936.54391855,30
468754030.4908108,22
470237124.43770313,23
471720218.38459545,35
473203312.3314877,26
474686406.27838004,23
476169500.22527236,28
477652594.1721646,29
479135688.11905694,25
480618782.0659492,22
482101876.0128415,20
483584969.95973384,13
485068063.9066261,16
486551157.8535184,27
488034251.80041075,18
489517345.747303,11
491000439.69419533,16
492483533.64108765,20
493966627.5879799,12
495449721.53487223,19
496932815.48176455,15
498415909.4286568,26
499899003.37554914,10
501382097.3224414,15
502865191.2693337,14
504348285.21622604,7
505831379.1631183,16
507314473.1100106,20
508797567.05690295,21
510280661.0037952,17
511763754.9506875,8
513246848.89757985,15
514729942.8444721,10
516213036.79136443,13
517696130.73825675,10
519179224.685149,10
520662318.63204134,12
522145412.57893366,15
523628506.5258259,15
525111600.47271824,10
526594694.4196105,12
528077788.3665028,5
529560882.31339514,6
531043976.2602874,9
532527070.2071797,8
534010164.15407205,15
535493258.10096437,14
536976352.0478567,5
538459445.994749,12
539942539.9416413,13
541425633.8885336,9
542908727.8354259,9
544391821.7823182,7
545874915.7292105,12
547358009.6761028,11
548841103.6229951,14
550324197.5698874,7
551807291.5167797,11
553290385.463672,8
554773479.4105643,7
556256573.3574566,9
557739667.3043488,15
559222761.2512412,7
560705855.1981335,8
562188949.1450257,8
563672043.0919181,9
565155137.0388104,9
566638230.9857026,8
568121324.932595,10
569604418.8794873,7
571087512.8263795,8
572570606.7732719,8
574053700.7201642,9
575536794.6670564,10
577019888.6139488,4
578502982.5608411,8
579986076.5077333,6
581469170.4546257,6
582952264.401518,11
584435358.3484102,8
585918452.2953026,10
587401546.2421949,9
588884640.1890872,8
590367734.1359795,6
591850828.0828718,8
593333922.029764,10
594817015.9766564,5
596300109.9235487,7
597783203.870441,8
599266297.8173333,5
600749391.7642256,6
602232485.7111179,16
603715579.6580101,12
605198673.6049025,5
606681767.5517948,4
608164861.498687,7
609647955.4455794,6
611131049.3924717,7
612614143.3393639,9
614097237.2862563,6
615580331.2331486,5
617063425.1800408,9
618546519.1269332,10
620029613.0738255,9
621512707.0207177,3
622995800.9676101,8
624478894.9145024,9
625961988.8613946,5
627445082.808287,8
628928176.7551793,8
630411270.7020715,8
631894364.6489639,10
633377458.5958562,9
634860552.5427485,7
636343646.4896408,10
637826740.4365331,8
639309834.3834254,8
640792928.3303177,5
642276022.27721,8
643759116.2241023,8
645242210.1709946,10
646725304.1178869,5
648208398.0647792,8
649691492.0116714,9
651174585.9585638,7
652657679.9054561,9
654140773.8523483,14
655623867.7992407,15
657106961.746133,42
658590055.6930252,93
660073149.6399176,316
661556243.5868099,436
663039337.5337021,294
664522431.4805945,53
666005525.4274868,3
667488619.374379,1
668971713.3212714,1
670454807.2681637,0
671937901.215056,2
673420995.1619483,0
674904089.1088406,2
676387183.0557328,2
677870277.0026252,0
679353370.9495175,0
680836464.8964097,0
682319558.8433021,0
683802652.7901944,1
685285746.7370867,0
686768840.683979,0
688251934.6308713,0
689735028.5777636,3
691218122.5246558,1
692701216.4715482,1
694184310.4184405,1
695667404.3653327,3
697150498.3122251,3
698633592.2591174,0
700116686.2060096,2
701599780.152902,2
703082874.0997943,0
704565968.0466865,0
706049061.9935789,0
707532155.9404712,2
709015249.8873634,1
710498343.8342558,1
711981437.7811481,3
713464531.7280403,2
714947625.6749327,0
716430719.621825,3
717913813.5687172,1
719396907.5156096,2
720880001.4625019,2
722363095.4093941,2
723846189.3562865,4
725329283.3031788,0
726812377.250071,2
728295471.1969634,0
