Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,75
8994906.954197869,137
10478000.90109017,0
11961094.84798247,0
13444188.794874769,0
14927282.74176707,5
16410376.68865937,83
17893470.63555167,95
19376564.582443967,84
20859658.52933627,82
22342752.47622857,83
23825846.423120867,70
25308940.37001317,91
26792034.31690547,81
28275128.263797767,98
29758222.21069007,76
31241316.15758237,78
32724410.10447467,70
34207504.05136697,83
35690597.99825927,62
37173691.94515157,69
38656785.892043866,67
40139879.838936165,79
41622973.78582847,79
43106067.73272077,81
44589161.67961307,74
46072255.62650537,69
47555349.573397666,64
49038443.520289965,69
50521537.467182264,76
52004631.41407457,63
53487725.36096687,62
54970819.30785917,58
56453913.254751466,66
57937007.201643765,61
59420101.148536064,67
60903195.09542837,58
62386289.04232067,62
63869382.98921297,59
65352476.936105266,73
66835570.88299757,61
68318664.82988986,58
69801758.77678217,58
71284852.72367446,59
72767946.67056677,67
74251040.61745906,67
75734134.56435136,67
77217228.51124367,65
78700322.45813596,56
80183416.40502827,67
81666510.35192056,58
83149604.29881287,53
84632698.24570517,69
86115792.19259746,69
87598886.13948977,79
89081980.08638206,54
90565074.03327437,53
92048167.98016666,55
93531261.92705896,76
95014355.87395127,70
96497449.82084356,75
97980543.76773587,64
99463637.71462816,74
100946731.66152047,58
102429825.60841276,70
103912919.55530506,78
105396013.50219737,88
106879107.44908966,82
108362201.39598197,76
109845295.34287426,79
111328389.28976656,77
112811483.23665887,67
114294577.18355116,64
115777671.13044347,70
117260765.07733576,75
118743859.02422807,80
120226952.97112036,78
121710046.91801266,101
123193140.86490497,92
124676234.81179726,84
126159328.75868957,87
127642422.70558186,97
129125516.65247416,75
130608610.59936646,75
132091704.54625876,71
133574798.49315105,85
135057892.4400434,85
136540986.38693565,80
138024080.33382797,61
139507174.28072023,81
140990268.22761256,99
142473362.17450488,65
143956456.12139714,85
145439550.06828946,86
146922644.01518178,81
148405737.96207404,86
149888831.90896636,69
151371925.85585868,86
152855019.80275095,82
154338113.74964327,86
155821207.6965356,72
157304301.64342785,97
158787395.59032017,73
160270489.5372125,82
161753583.48410475,86
163236677.43099707,84
164719771.37788934,78
166202865.32478166,81
167685959.27167398,76
169169053.21856624,76
170652147.16545856,84
172135241.11235088,89
173618335.05924314,88
175101429.00613546,73
176584522.95302778,86
178067616.89992005,94
179550710.84681237,70
181033804.7937047,72
182516898.74059695,84
183999992.68748927,92
185483086.63438153,71
186966180.58127385,84
188449274.52816617,71
189932368.47505844,85
191415462.42195076,78
192898556.36884308,79
194381650.31573534,80
195864744.26262766,64
197347838.20951998,75
198830932.15641224,72
200314026.10330456,76
201797120.0501969,77
203280213.99708915,78
204763307.94398147,88
206246401.89087373,74
207729495.83776605,65
209212589.78465837,66
210695683.73155063,85
212178777.67844296,80
213661871.62533528,73
215144965.57222754,68
216628059.51911986,74
218111153.46601218,61
219594247.41290444,59
221077341.35979676,58
222560435.30668908,49
224043529.25358135,55
225526623.20047367,84
227009717.147366,69
228492811.09425825,62
229975905.04115057,68
231458998.98804283,56
232942092.93493515,58
234425186.88182747,60
235908280.82871974,60
237391374.77561206,59
238874468.72250438,64
240357562.66939664,66
241840656.61628896,66
243323750.56318128,55
244806844.51007354,60
246289938.45696586,58
247773032.40385818,62
249256126.35075045,53
250739220.29764277,57
252222314.24453503,52
253705408.19142735,37
255188502.13831967,49
256671596.08521193,60
258154690.03210425,48
259637783.97899657,47
261120877.92588884,54
262603971.87278116,54
264087065.81967348,58
265570159.76656574,45
267053253.71345806,51
268536347.6603503,54
270019441.60724264,36
271502535.55413496,46
272985629.5010272,59
274468723.44791955,52
275951817.39481187,47
277434911.34170413,50
278918005.28859645,56
280401099.2354887,50
281884193.18238103,51
283367287.12927336,57
284850381.0761656,62
286333475.02305794,41
287816568.96995026,49
289299662.9168425,32
290782756.86373484,44
292265850.81062716,38
293748944.7575194,50
295232038.70441175,58
296715132.65130407,53
298198226.5981963,40
299681320.54508865,59
301164414.4919809,44
302647508.43887323,38
304130602.38576555,34
305613696.3326578,45
307096790.27955014,44
308579884.22644246,41
310062978.1733347,47
311546072.12022704,43
313029166.06711936,32
314512260.0140116,41
315995353.96090394,51
317478447.90779626,59
318961541.8546885,49
320444635.80158085,47
321927729.74847317,61
323410823.6953654,38
324893917.64225775,37
326377011.58915,41
327860105.53604233,37
329343199.48293465,46
330826293.4298269,40
332309387.37671924,43
333792481.32361156,62
335275575.2705038,46
336758669.21739614,48
338241763.16428846,41
339724857.1111807,44
341207951.05807304,54
342691045.00496536,40
344174138.9518576,46
345657232.89874995,35
347140326.8456422,46
348623420.79253453,48
350106514.73942685,37
351589608.6863191,42
353072702.63321143,55
354555796.58010375,46
356038890.526996,36
357521984.47388834,50
359005078.42078066,40
360488172.3676729,49
361971266.31456524,50
363454360.26145756,44
364937454.2083498,46
366420548.15524215,37
367903642.1021344,31
369386736.0490267,39
370869829.99591905,51
372352923.9428113,45
373836017.88970363,45
375319111.83659595,43
376802205.7834882,50
378285299.73038054,35
379768393.67727286,48
381251487.6241651,43
382734581.57105744,36
384217675.51794976,55
385700769.464842,39
387183863.41173434,54
388666957.35862666,31
390150051.3055189,46
391633145.25241125,53
393116239.1993035,46
394599333.1461958,42
396082427.09308815,41
397565521.0399804,45
399048614.98687273,35
400531708.93376505,38
402014802.8806573,44
403497896.82754964,53
404980990.77444196,41
406464084.7213342,41
407947178.66822654,45
409430272.61511886,45
410913366.5620111,51
412396460.50890344,59
413879554.4557957,56
415362648.402688,39
416845742.34958035,37
418328836.2964726,40
419811930.24336493,48
421295024.19025725,48
422778118.1371495,44
424261212.08404183,56
425744306.03093415,46
427227399.9778264,55
428710493.92471874,41
430193587.87161106,64
431676681.8185033,46
433159775.76539564,48
434642869.7122879,62
436125963.6591802,54
437609057.60607255,47
439092151.5529648,48
440575245.4998571,44
442058339.44674945,45
443541433.3936417,54
445024527.34053403,42
446507621.28742635,48
447990715.2343186,58
449473809.18121094,53
450956903.12810326,56
452439997.0749955,55
453923091.02188784,48
455406184.96878016,51
456889278.9156724,48
458372372.86256474,49
459855466.809457,55
461338560.7563493,53
462821654.70324165,53
464304748.6501339,44
465787842.5970262,53
467270936.54391855,56
468754030.4908108,58
470237124.43770313,54
471720218.38459545,56
473203312.3314877,48
474686406.27838004,57
476169500.22527236,42
477652594.1721646,40
479135688.11905694,43
480618782.0659492,38
482101876.0128415,29
483584969.95973384,18
485068063.9066261,33
486551157.8535184,22
488034251.80041075,26
489517345.747303,31
491000439.69419533,26
492483533.64108765,24
493966627.5879799,26
495449721.53487223,24
496932815.48176455,27
498415909.4286568,17
499899003.37554914,20
501382097.3224414,36
502865191.2693337,24
504348285.21622604,27
505831379.1631183,27
507314473.1100106,28
508797567.05690295,17
510280661.0037952,21
511763754.9506875,27
513246848.89757985,26
514729942.8444721,15
516213036.79136443,18
517696130.73825675,21
519179224.685149,27
520662318.63204134,16
522145412.57893366,21
523628506.5258259,28
525111600.47271824,18
526594694.4196105,16
528077788.3665028,17
529560882.31339514,15
531043976.2602874,25
532527070.2071797,16
534010164.15407205,16
535493258.10096437,28
536976352.0478567,18
538459445.994749,23
539942539.9416413,21
541425633.8885336,17
542908727.8354259,18
544391821.7823182,13
545874915.7292105,16
547358009.6761028,14
548841103.6229951,19
550324197.5698874,8
551807291.5167797,14
553290385.463672,10
554773479.4105643,8
556256573.3574566,14
557739667.3043488,17
559222761.2512412,12
560705855.1981335,12
562188949.1450257,14
563672043.0919181,18
565155137.0388104,15
566638230.9857026,12
568121324.932595,10
569604418.8794873,19
571087512.8263795,13
572570606.7732719,12
574053700.7201642,12
575536794.6670564,13
577019888.6139488,9
578502982.5608411,16
579986076.5077333,9
581469170.4546257,10
582952264.401518,11
584435358.3484102,19
585918452.2953026,14
587401546.2421949,14
588884640.1890872,16
590367734.1359795,13
591850828.0828718,14
593333922.029764,17
594817015.9766564,10
596300109.9235487,12
597783203.870441,17
599266297.8173333,11
600749391.7642256,12
602232485.7111179,13
603715579.6580101,10
605198673.6049025,6
606681767.5517948,14
608164861.498687,7
609647955.4455794,16
611131049.3924717,11
612614143.3393639,8
614097237.2862563,8
615580331.2331486,12
617063425.1800408,6
618546519.1269332,19
620029613.0738255,14
621512707.0207177,14
622995800.9676101,11
624478894.9145024,17
625961988.8613946,14
627445082.808287,12
628928176.7551793,17
630411270.7020715,18
631894364.6489639,11
633377458.5958562,9
634860552.5427485,7
636343646.4896408,12
637826740.4365331,14
639309834.3834254,17
640792928.3303177,20
642276022.27721,7
643759116.2241023,15
645242210.1709946,11
646725304.1178869,13
648208398.0647792,15
649691492.0116714,19
651174585.9585638,9
652657679.9054561,17
654140773.8523483,17
655623867.7992407,30
657106961.746133,50
658590055.6930252,167
660073149.6399176,553
661556243.5868099,794
663039337.5337021,575
664522431.4805945,88
666005525.4274868,3
667488619.374379,4
668971713.3212714,3
670454807.2681637,2
671937901.215056,4
673420995.1619483,1
674904089.1088406,0
676387183.0557328,0
677870277.0026252,2
679353370.9495175,1
680836464.8964097,1
682319558.8433021,2
683802652.7901944,2
685285746.7370867,2
686768840.683979,2
688251934.6308713,0
689735028.5777636,1
691218122.5246558,1
692701216.4715482,1
694184310.4184405,1
695667404.3653327,2
697150498.3122251,3
698633592.2591174,1
700116686.2060096,4
701599780.152902,1
703082874.0997943,2
704565968.0466865,1
706049061.9935789,5
707532155.9404712,1
709015249.8873634,3
710498343.8342558,2
711981437.7811481,1
713464531.7280403,0
714947625.6749327,2
716430719.621825,0
717913813.5687172,2
719396907.5156096,2
720880001.4625019,3
722363095.4093941,0
723846189.3562865,0
725329283.3031788,5
726812377.250071,0
728295471.1969634,2
