Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,75
8994906.954197869,117
10478000.90109017,1
11961094.84798247,0
13444188.794874769,0
14927282.74176707,8
16410376.68865937,53
17893470.63555167,99
19376564.582443967,74
20859658.52933627,70
22342752.47622857,78
23825846.423120867,69
25308940.37001317,64
26792034.31690547,65
28275128.263797767,57
29758222.21069007,71
31241316.15758237,75
32724410.10447467,62
34207504.05136697,55
35690597.99825927,64
37173691.94515157,57
38656785.892043866,69
40139879.838936165,69
41622973.78582847,55
43106067.73272077,64
44589161.67961307,51
46072255.62650537,59
47555349.573397666,52
49038443.520289965,56
50521537.467182264,61
52004631.41407457,55
53487725.36096687,67
54970819.30785917,65
56453913.254751466,49
57937007.201643765,54
59420101.148536064,49
60903195.09542837,55
62386289.04232067,50
63869382.98921297,74
65352476.936105266,49
66835570.88299757,51
68318664.82988986,43
69801758.77678217,53
71284852.72367446,67
72767946.67056677,66
74251040.61745906,52
75734134.56435136,65
77217228.51124367,56
78700322.45813596,59
80183416.40502827,50
81666510.35192056,56
83149604.29881287,53
84632698.24570517,66
86115792.19259746,77
87598886.13948977,58
89081980.08638206,59
90565074.03327437,67
92048167.98016666,75
93531261.92705896,48
95014355.87395127,62
96497449.82084356,54
97980543.76773587,58
99463637.71462816,61
100946731.66152047,64
102429825.60841276,63
103912919.55530506,57
105396013.50219737,49
106879107.44908966,59
108362201.39598197,68
109845295.34287426,62
111328389.28976656,66
112811483.23665887,68
114294577.18355116,64
115777671.13044347,57
117260765.07733576,76
118743859.02422807,78
120226952.97112036,74
121710046.91801266,66
123193140.86490497,69
124676234.81179726,76
126159328.75868957,65
127642422.70558186,65
129125516.65247416,67
130608610.59936646,65
132091704.54625876,56
133574798.49315105,80
135057892.4400434,85
136540986.38693565,68
138024080.33382797,68
139507174.28072023,78
140990268.22761256,79
142473362.17450488,68
143956456.12139714,80
145439550.06828946,85
146922644.01518178,67
148405737.96207404,78
149888831.90896636,59
151371925.85585868,82
152855019.80275095,59
154338113.74964327,75
155821207.6965356,72
157304301.64342785,77
158787395.59032017,62
160270489.5372125,84
161753583.48410475,72
163236677.43099707,69
164719771.37788934,80
166202865.32478166,67
167685959.27167398,65
169169053.21856624,63
170652147.16545856,72
172135241.11235088,71
173618335.05924314,57
175101429.00613546,71
176584522.95302778,60
178067616.89992005,63
179550710.84681237,73
181033804.7937047,60
182516898.74059695,65
183999992.68748927,74
185483086.63438153,66
186966180.58127385,68
188449274.52816617,61
189932368.47505844,64
191415462.42195076,71
192898556.36884308,67
194381650.31573534,49
195864744.26262766,48
197347838.20951998,75
198830932.15641224,75
200314026.10330456,53
201797120.0501969,65
203280213.99708915,69
204763307.94398147,50
206246401.89087373,61
207729495.83776605,58
209212589.78465837,56
210695683.73155063,59
212178777.67844296,55
213661871.62533528,50
215144965.57222754,59
216628059.51911986,51
218111153.46601218,63
219594247.41290444,56
221077341.35979676,59
222560435.30668908,51
224043529.25358135,60
225526623.20047367,44
227009717.147366,48
228492811.09425825,64
229975905.04115057,65
231458998.98804283,60
232942092.93493515,55
234425186.88182747,48
235908280.82871974,47
237391374.77561206,44
238874468.72250438,58
240357562.66939664,43
241840656.61628896,49
243323750.56318128,54
244806844.51007354,43
246289938.45696586,50
247773032.40385818,42
249256126.35075045,38
250739220.29764277,53
252222314.24453503,54
253705408.19142735,38
255188502.13831967,35
256671596.08521193,47
258154690.03210425,45
259637783.97899657,43
261120877.92588884,40
262603971.87278116,49
264087065.81967348,33
265570159.76656574,40
267053253.71345806,34
268536347.6603503,46
270019441.60724264,50
271502535.55413496,39
272985629.5010272,42
274468723.44791955,45
275951817.39481187,44
277434911.34170413,38
278918005.28859645,35
280401099.2354887,45
281884193.18238103,51
283367287.12927336,42
284850381.0761656,41
286333475.02305794,41
287816568.96995026,41
289299662.9168425,47
290782756.86373484,44
292265850.81062716,33
293748944.7575194,28
295232038.70441175,43
296715132.65130407,44
298198226.5981963,50
299681320.54508865,36
301164414.4919809,43
302647508.43887323,38
304130602.38576555,35
305613696.3326578,31
307096790.27955014,46
308579884.22644246,44
310062978.1733347,31
311546072.12022704,34
313029166.06711936,38
314512260.0140116,35
315995353.96090394,43
317478447.90779626,38
318961541.8546885,42
320444635.80158085,30
321927729.74847317,42
323410823.6953654,34
324893917.64225775,34
326377011.58915,42
327860105.53604233,42
329343199.48293465,30
330826293.4298269,40
332309387.37671924,38
333792481.32361156,40
335275575.2705038,37
336758669.21739614,33
338241763.16428846,32
339724857.1111807,38
341207951.05807304,39
342691045.00496536,30
344174138.9518576,29
345657232.89874995,47
347140326.8456422,35
348623420.79253453,20
350106514.73942685,35
351589608.6863191,32
353072702.63321143,30
354555796.58010375,25
356038890.526996,28
357521984.47388834,24
359005078.42078066,31
360488172.3676729,44
361971266.31456524,29
363454360.26145756,35
364937454.2083498,35
366420548.15524215,35
367903642.1021344,41
369386736.0490267,35
370869829.99591905,29
372352923.9428113,35
373836017.88970363,53
375319111.83659595,43
376802205.7834882,34
378285299.73038054,29
379768393.67727286,40
381251487.6241651,34
382734581.57105744,37
384217675.51794976,28
385700769.464842,22
387183863.41173434,35
388666957.35862666,32
390150051.3055189,22
391633145.25241125,37
393116239.1993035,28
394599333.1461958,39
396082427.09308815,25
397565521.0399804,46
399048614.98687273,28
400531708.93376505,27
402014802.8806573,36
403497896.82754964,46
404980990.77444196,32
406464084.7213342,36
407947178.66822654,31
409430272.61511886,40
410913366.5620111,30
412396460.50890344,35
413879554.4557957,48
415362648.402688,32
416845742.34958035,34
418328836.2964726,32
419811930.24336493,36
421295024.19025725,45
422778118.1371495,37
424261212.08404183,49
425744306.03093415,41
427227399.9778264,39
428710493.92471874,36
430193587.87161106,34
431676681.8185033,42
433159775.76539564,49
434642869.7122879,46
436125963.6591802,33
437609057.60607255,35
439092151.5529648,32
440575245.4998571,38
442058339.44674945,39
443541433.3936417,35
445024527.34053403,36
446507621.28742635,33
447990715.2343186,41
449473809.18121094,47
450956903.12810326,50
452439997.0749955,50
453923091.02188784,40
455406184.96878016,41
456889278.9156724,43
458372372.86256474,31
459855466.809457,38
461338560.7563493,48
462821654.70324165,47
464304748.6501339,39
465787842.5970262,42
467270936.54391855,48
468754030.4908108,51
470237124.43770313,49
471720218.38459545,62
473203312.3314877,37
474686406.27838004,44
476169500.22527236,39
477652594.1721646,31
479135688.11905694,35
480618782.0659492,29
482101876.0128415,31
483584969.95973384,35
485068063.9066261,26
486551157.8535184,30
488034251.80041075,24
489517345.747303,24
491000439.69419533,24
492483533.64108765,16
493966627.5879799,17
495449721.53487223,20
496932815.48176455,29
498415909.4286568,20
499899003.37554914,21
501382097.3224414,20
502865191.2693337,36
504348285.21622604,17
505831379.1631183,18
507314473.1100106,26
508797567.05690295,19
510280661.0037952,30
511763754.9506875,24
513246848.89757985,20
514729942.8444721,19
516213036.79136443,11
517696130.73825675,18
519179224.685149,16
520662318.63204134,11
522145412.57893366,14
523628506.5258259,25
525111600.47271824,19
526594694.4196105,6
528077788.3665028,28
529560882.31339514,19
531043976.2602874,13
532527070.2071797,20
534010164.15407205,18
535493258.10096437,29
536976352.0478567,23
538459445.994749,16
539942539.9416413,13
541425633.8885336,9
542908727.8354259,11
544391821.7823182,17
545874915.7292105,16
547358009.6761028,15
548841103.6229951,14
550324197.5698874,15
551807291.5167797,14
553290385.463672,14
554773479.4105643,8
556256573.3574566,15
557739667.3043488,13
559222761.2512412,15
560705855.1981335,9
562188949.1450257,9
563672043.0919181,11
565155137.0388104,10
566638230.9857026,13
568121324.932595,13
569604418.8794873,16
571087512.8263795,16
572570606.7732719,11
574053700.7201642,12
575536794.6670564,11
577019888.6139488,4
578502982.5608411,18
579986076.5077333,11
581469170.4546257,14
582952264.401518,10
584435358.3484102,12
585918452.2953026,10
587401546.2421949,14
588884640.1890872,12
590367734.1359795,10
591850828.0828718,11
593333922.029764,10
594817015.9766564,13
596300109.9235487,13
597783203.870441,6
599266297.8173333,9
600749391.7642256,16
602232485.7111179,12
603715579.6580101,13
605198673.6049025,8
606681767.5517948,11
608164861.498687,15
609647955.4455794,8
611131049.3924717,12
612614143.3393639,6
614097237.2862563,5
615580331.2331486,18
617063425.1800408,6
618546519.1269332,10
620029613.0738255,7
621512707.0207177,9
622995800.9676101,7
624478894.9145024,11
625961988.8613946,11
627445082.808287,12
628928176.7551793,7
630411270.7020715,10
631894364.6489639,15
633377458.5958562,13
634860552.5427485,14
636343646.4896408,14
637826740.4365331,13
639309834.3834254,13
640792928.3303177,12
642276022.27721,10
643759116.2241023,14
645242210.1709946,11
646725304.1178869,9
648208398.0647792,10
649691492.0116714,18
651174585.9585638,10
652657679.9054561,11
654140773.8523483,9
655623867.7992407,15
657106961.746133,52
658590055.6930252,116
660073149.6399176,434
661556243.5868099,634
663039337.5337021,518
664522431.4805945,83
666005525.4274868,6
667488619.374379,5
668971713.3212714,3
670454807.2681637,4
671937901.215056,1
673420995.1619483,0
674904089.1088406,4
676387183.0557328,3
677870277.0026252,2
679353370.9495175,4
680836464.8964097,4
682319558.8433021,5
683802652.7901944,2
685285746.7370867,2
686768840.683979,2
688251934.6308713,3
689735028.5777636,3
691218122.5246558,1
692701216.4715482,1
694184310.4184405,2
695667404.3653327,0
697150498.3122251,4
698633592.2591174,2
700116686.2060096,1
701599780.152902,2
703082874.0997943,7
704565968.0466865,1
706049061.9935789,2
707532155.9404712,1
709015249.8873634,1
710498343.8342558,6
711981437.7811481,3
713464531.7280403,3
714947625.6749327,2
716430719.621825,3
717913813.5687172,1
719396907.5156096,1
720880001.4625019,2
722363095.4093941,2
723846189.3562865,3
725329283.3031788,1
726812377.250071,0
728295471.1969634,2
