Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,72
8994906.954197869,150
10478000.90109017,0
11961094.84798247,0
13444188.794874769,0
14927282.74176707,1
16410376.68865937,46
17893470.63555167,75
19376564.582443967,85
20859658.52933627,55
22342752.47622857,58
23825846.423120867,61
25308940.37001317,64
26792034.31690547,74
28275128.263797767,73
29758222.21069007,54
31241316.15758237,57
32724410.10447467,54
34207504.05136697,55
35690597.99825927,48
37173691.94515157,67
38656785.892043866,49
40139879.838936165,58
41622973.78582847,65
43106067.73272077,44
44589161.67961307,68
46072255.62650537,53
47555349.573397666,56
49038443.520289965,47
50521537.467182264,52
52004631.41407457,66
53487725.36096687,48
54970819.30785917,57
56453913.254751466,52
57937007.201643765,56
59420101.148536064,51
60903195.09542837,38
62386289.04232067,41
63869382.98921297,48
65352476.936105266,52
66835570.88299757,58
68318664.82988986,49
69801758.77678217,50
71284852.72367446,47
72767946.67056677,57
74251040.61745906,55
75734134.56435136,40
77217228.51124367,55
78700322.45813596,55
80183416.40502827,39
81666510.35192056,55
83149604.29881287,50
84632698.24570517,62
86115792.19259746,50
87598886.13948977,59
89081980.08638206,52
90565074.03327437,55
92048167.98016666,45
93531261.92705896,57
95014355.87395127,53
96497449.82084356,44
97980543.76773587,45
99463637.71462816,45
100946731.66152047,52
102429825.60841276,46
103912919.55530506,57
105396013.50219737,62
106879107.44908966,55
108362201.39598197,54
109845295.34287426,43
111328389.28976656,50
112811483.23665887,62
114294577.18355116,56
115777671.13044347,59
117260765.07733576,49
118743859.02422807,63
120226952.97112036,59
121710046.91801266,58
123193140.86490497,47
124676234.81179726,69
126159328.75868957,49
127642422.70558186,76
129125516.65247416,65
130608610.59936646,67
132091704.54625876,54
133574798.49315105,65
135057892.4400434,54
136540986.38693565,50
138024080.33382797,64
139507174.28072023,65
140990268.22761256,67
142473362.17450488,69
143956456.12139714,65
145439550.06828946,79
146922644.01518178,56
148405737.96207404,44
149888831.90896636,52
151371925.85585868,53
152855019.80275095,67
154338113.74964327,59
155821207.6965356,68
157304301.64342785,62
158787395.59032017,57
160270489.5372125,51
161753583.48410475,61
163236677.43099707,70
164719771.37788934,59
166202865.32478166,59
167685959.27167398,68
169169053.21856624,51
170652147.16545856,62
172135241.11235088,54
173618335.05924314,54
175101429.00613546,53
176584522.95302778,60
178067616.89992005,57
179550710.84681237,68
181033804.7937047,50
182516898.74059695,69
183999992.68748927,83
185483086.63438153,87
186966180.58127385,65
188449274.52816617,62
189932368.47505844,64
191415462.42195076,70
192898556.36884308,57
194381650.31573534,72
195864744.26262766,58
197347838.20951998,74
198830932.15641224,57
200314026.10330456,73
201797120.0501969,64
203280213.99708915,63
204763307.94398147,66
206246401.89087373,63
207729495.83776605,64
209212589.78465837,56
210695683.73155063,56
212178777.67844296,62
213661871.62533528,43
215144965.57222754,40
216628059.51911986,46
218111153.46601218,57
219594247.41290444,53
221077341.35979676,46
222560435.30668908,48
224043529.25358135,42
225526623.20047367,36
227009717.147366,38
228492811.09425825,53
229975905.04115057,63
231458998.98804283,41
232942092.93493515,50
234425186.88182747,53
235908280.82871974,51
237391374.77561206,47
238874468.72250438,44
240357562.66939664,39
241840656.61628896,44
243323750.56318128,52
244806844.51007354,50
246289938.45696586,40
247773032.40385818,34
249256126.35075045,41
250739220.29764277,38
252222314.24453503,46
253705408.19142735,45
255188502.13831967,40
256671596.08521193,37
258154690.03210425,34
259637783.97899657,39
261120877.92588884,43
262603971.87278116,37
264087065.81967348,49
265570159.76656574,43
267053253.71345806,39
268536347.6603503,51
270019441.60724264,35
271502535.55413496,45
272985629.5010272,27
274468723.44791955,40
275951817.39481187,39
277434911.34170413,49
278918005.28859645,50
280401099.2354887,25
281884193.18238103,44
283367287.12927336,39
284850381.0761656,38
286333475.02305794,35
287816568.96995026,26
289299662.9168425,51
290782756.86373484,31
292265850.81062716,38
293748944.7575194,44
295232038.70441175,29
296715132.65130407,24
298198226.5981963,38
299681320.54508865,28
301164414.4919809,40
302647508.43887323,29
304130602.38576555,45
305613696.3326578,41
307096790.27955014,28
308579884.22644246,35
310062978.1733347,33
311546072.12022704,24
313029166.06711936,29
314512260.0140116,31
315995353.96090394,40
317478447.90779626,32
318961541.8546885,31
320444635.80158085,32
321927729.74847317,36
323410823.6953654,45
324893917.64225775,37
326377011.58915,29
327860105.53604233,38
329343199.48293465,33
330826293.4298269,44
332309387.37671924,39
333792481.32361156,37
335275575.2705038,35
336758669.21739614,43
338241763.16428846,38
339724857.1111807,33
341207951.05807304,35
342691045.00496536,29
344174138.9518576,30
345657232.89874995,33
347140326.8456422,27
348623420.79253453,32
350106514.73942685,33
351589608.6863191,28
353072702.63321143,34
354555796.58010375,34
356038890.526996,28
357521984.47388834,41
359005078.42078066,25
360488172.3676729,32
361971266.31456524,32
363454360.26145756,32
364937454.2083498,36
366420548.15524215,37
367903642.1021344,30
369386736.0490267,39
370869829.99591905,30
372352923.9428113,34
373836017.88970363,46
375319111.83659595,26
376802205.7834882,32
378285299.73038054,30
379768393.67727286,33
381251487.6241651,28
382734581.57105744,37
384217675.51794976,39
385700769.464842,28
387183863.41173434,23
388666957.35862666,31
390150051.3055189,34
391633145.25241125,35
393116239.1993035,35
394599333.1461958,45
396082427.09308815,41
397565521.0399804,40
399048614.98687273,30
400531708.93376505,47
402014802.8806573,28
403497896.82754964,45
404980990.77444196,32
406464084.7213342,34
407947178.66822654,50
409430272.61511886,32
410913366.5620111,40
412396460.50890344,44
413879554.4557957,32
415362648.402688,36
416845742.34958035,31
418328836.2964726,39
419811930.24336493,33
421295024.19025725,37
422778118.1371495,30
424261212.08404183,39
425744306.03093415,41
427227399.9778264,52
428710493.92471874,36
430193587.87161106,38
431676681.8185033,41
433159775.76539564,24
434642869.7122879,41
436125963.6591802,41
437609057.60607255,42
439092151.5529648,46
440575245.4998571,46
442058339.44674945,30
443541433.3936417,43
445024527.34053403,41
446507621.28742635,40
447990715.2343186,39
449473809.18121094,42
450956903.12810326,42
452439997.0749955,35
453923091.02188784,46
455406184.96878016,44
456889278.9156724,48
458372372.86256474,41
459855466.809457,47
461338560.7563493,27
462821654.70324165,53
464304748.6501339,39
465787842.5970262,41
467270936.54391855,35
468754030.4908108,42
470237124.43770313,57
471720218.38459545,43
473203312.3314877,45
474686406.27838004,27
476169500.22527236,43
477652594.1721646,46
479135688.11905694,34
480618782.0659492,29
482101876.0128415,28
483584969.95973384,26
485068063.9066261,28
486551157.8535184,27
488034251.80041075,19
489517345.747303,34
491000439.69419533,18
492483533.64108765,17
493966627.5879799,22
495449721.53487223,21
496932815.48176455,20
498415909.4286568,23
499899003.37554914,21
501382097.3224414,22
502865191.2693337,20
504348285.21622604,13
505831379.1631183,20
507314473.1100106,11
508797567.05690295,19
510280661.0037952,21
511763754.9506875,17
513246848.89757985,11
514729942.8444721,21
516213036.79136443,18
517696130.73825675,23
519179224.685149,16
520662318.63204134,17
522145412.57893366,16
523628506.5258259,14
525111600.47271824,29
526594694.4196105,14
528077788.3665028,14
529560882.31339514,18
531043976.2602874,13
532527070.2071797,20
534010164.15407205,9
535493258.10096437,8
536976352.0478567,12
538459445.994749,13
539942539.9416413,7
541425633.8885336,11
542908727.8354259,15
544391821.7823182,9
545874915.7292105,13
547358009.6761028,10
548841103.6229951,5
550324197.5698874,8
551807291.5167797,9
553290385.463672,12
554773479.4105643,16
556256573.3574566,12
557739667.3043488,8
559222761.2512412,5
560705855.1981335,14
562188949.1450257,22
563672043.0919181,5
565155137.0388104,9
566638230.9857026,16
568121324.932595,12
569604418.8794873,17
571087512.8263795,4
572570606.7732719,9
574053700.7201642,9
575536794.6670564,6
577019888.6139488,9
578502982.5608411,10
579986076.5077333,12
581469170.4546257,9
582952264.401518,8
584435358.3484102,13
585918452.2953026,10
587401546.2421949,10
588884640.1890872,5
590367734.1359795,6
591850828.0828718,13
593333922.029764,3
594817015.9766564,2
596300109.9235487,4
597783203.870441,14
599266297.8173333,6
600749391.7642256,5
602232485.7111179,4
603715579.6580101,7
605198673.6049025,10
606681767.5517948,6
608164861.498687,18
609647955.4455794,10
611131049.3924717,3
612614143.3393639,7
614097237.2862563,5
615580331.2331486,8
617063425.1800408,9
618546519.1269332,6
620029613.0738255,9
621512707.0207177,5
622995800.9676101,9
624478894.9145024,3
625961988.8613946,7
627445082.808287,8
628928176.7551793,2
630411270.7020715,11
631894364.6489639,8
633377458.5958562,8
634860552.5427485,9
636343646.4896408,5
637826740.4365331,8
639309834.3834254,8
640792928.3303177,5
642276022.27721,3
643759116.2241023,8
645242210.1709946,10
646725304.1178869,13
648208398.0647792,6
649691492.0116714,5
651174585.9585638,9
652657679.9054561,7
654140773.8523483,11
655623867.7992407,27
657106961.746133,52
658590055.6930252,146
660073149.6399176,492
661556243.5868099,758
663039337.5337021,536
664522431.4805945,97
666005525.4274868,3
667488619.374379,3
668971713.3212714,3
670454807.2681637,0
671937901.215056,2
673420995.1619483,1
674904089.1088406,1
676387183.0557328,1
677870277.0026252,2
679353370.9495175,3
680836464.8964097,0
682319558.8433021,0
683802652.7901944,1
685285746.7370867,2
686768840.683979,1
688251934.6308713,0
689735028.5777636,1
691218122.5246558,1
692701216.4715482,2
694184310.4184405,0
695667404.3653327,2
697150498.3122251,1
698633592.2591174,0
700116686.2060096,0
701599780.152902,0
703082874.0997943,0
704565968.0466865,0
706049061.9935789,1
707532155.9404712,0
709015249.8873634,2
710498343.8342558,1
711981437.7811481,1
713464531.7280403,1
714947625.6749327,0
716430719.621825,0
717913813.5687172,2
719396907.5156096,1
720880001.4625019,0
722363095.4093941,0
723846189.3562865,0
725329283.3031788,1
726812377.250071,2
728295471.1969634,0
