Energie,Count
96.34327284407004,0
1579.43721973637,0
3062.5311666286702,0
4545.6251135209695,0
6028.71906041327,0
7511.813007305571,60
8994.90695419787,168
10478.00090109017,3
11961.094847982471,0
13444.18879487477,0
14927.28274176707,3
16410.37668865937,83
17893.47063555167,132
19376.564582443967,131
20859.65852933627,116
22342.75247622857,96
23825.846423120867,103
25308.94037001317,87
26792.03431690547,89
28275.128263797767,83
29758.22221069007,105
31241.31615758237,103
32724.410104474668,85
34207.504051366974,88
35690.59799825927,96
37173.69194515157,83
38656.785892043874,69
40139.87983893617,84
41622.97378582847,104
43106.067732720774,94
44589.16167961307,89
46072.25562650537,86
47555.349573397674,88
49038.44352028997,88
50521.53746718227,84
52004.631414074574,74
53487.72536096687,80
54970.81930785917,70
56453.913254751475,82
57937.00720164377,64
59420.10114853607,83
60903.195095428375,92
62386.28904232067,83
63869.38298921297,83
65352.47693610527,83
66835.57088299756,85
68318.66482988987,73
69801.75877678217,60
71284.85272367447,94
72767.94667056676,80
74251.04061745906,100
75734.13456435136,99
77217.22851124367,95
78700.32245813597,98
80183.41640502827,82
81666.51035192056,74
83149.60429881286,109
84632.69824570516,95
86115.79219259747,103
87598.88613948977,99
89081.98008638207,88
90565.07403327436,90
92048.16798016666,97
93531.26192705896,95
95014.35587395127,90
96497.44982084357,94
97980.54376773586,100
99463.63771462816,112
100946.73166152046,101
102429.82560841276,113
103912.91955530507,109
105396.01350219737,107
106879.10744908966,94
108362.20139598196,97
109845.29534287426,87
111328.38928976656,102
112811.48323665887,115
114294.57718355117,112
115777.67113044346,108
117260.76507733576,137
118743.85902422806,138
120226.95297112036,125
121710.04691801267,130
123193.14086490497,124
124676.23481179726,121
126159.32875868956,143
127642.42270558186,138
129125.51665247417,133
130608.61059936645,115
132091.70454625876,114
133574.79849315106,110
135057.89244004336,128
136540.98638693566,137
138024.08033382797,135
139507.17428072027,130
140990.26822761257,146
142473.36217450487,117
143956.45612139718,128
145439.55006828945,121
146922.64401518175,115
148405.73796207405,106
149888.83190896636,124
151371.92585585866,120
152855.01980275096,117
154338.11374964326,121
155821.20769653557,120
157304.30164342787,115
158787.39559032017,112
160270.48953721247,119
161753.58348410478,113
163236.67743099705,124
164719.77137788935,106
166202.86532478165,111
167685.95927167396,121
169169.05321856626,113
170652.14716545856,110
172135.24111235086,97
173618.33505924317,117
175101.42900613547,95
176584.52295302777,117
178067.61689992007,95
179550.71084681238,107
181033.80479370465,97
182516.89874059695,104
183999.99268748926,110
185483.08663438156,95
186966.18058127386,88
188449.27452816616,101
189932.36847505847,88
191415.46242195077,75
192898.55636884307,87
194381.65031573537,110
195864.74426262768,90
197347.83820951995,98
198830.93215641225,111
200314.02610330455,74
201797.12005019686,89
203280.21399708916,109
204763.30794398146,95
206246.40189087376,85
207729.49583776607,79
209212.58978465837,97
210695.68373155067,92
212178.77767844297,82
213661.87162533528,84
215144.96557222755,81
216628.05951911985,86
218111.15346601215,84
219594.24741290446,91
221077.34135979676,78
222560.43530668906,79
224043.52925358136,75
225526.62320047367,67
227009.71714736597,83
228492.81109425827,71
229975.90504115057,68
231458.99898804288,57
232942.09293493515,78
234425.18688182745,79
235908.28082871975,65
237391.37477561206,76
238874.46872250436,69
240357.56266939666,74
241840.65661628896,77
243323.75056318127,64
244806.84451007357,72
246289.93845696587,67
247773.03240385817,63
249256.12635075045,70
250739.22029764275,66
252222.31424453505,70
253705.40819142736,52
255188.50213831966,76
256671.59608521196,69
258154.69003210426,64
259637.78397899657,59
261120.87792588884,64
262603.97187278117,64
264087.0658196735,55
265570.1597665658,50
267053.2537134581,48
268536.3476603504,60
270019.4416072427,59
271502.535554135,61
272985.6295010273,62
274468.7234479196,59
275951.8173948119,59
277434.9113417042,52
278918.0052885965,44
280401.0992354888,60
281884.1931823811,49
283367.2871292734,47
284850.3810761657,51
286333.475023058,49
287816.5689699503,41
289299.6629168426,40
290782.7568637349,47
292265.85081062716,48
293748.94475751946,32
295232.03870441177,38
296715.13265130407,57
298198.2265981964,30
299681.3205450887,46
301164.414491981,49
302647.5084388733,49
304130.6023857656,47
305613.6963326579,41
307096.7902795502,33
308579.8842264425,36
310062.9781733348,36
311546.0721202271,41
313029.1660671194,33
314512.2600140117,39
315995.353960904,26
317478.4479077963,48
318961.5418546886,48
320444.6358015809,40
321927.7297484732,37
323410.8236953655,42
324893.9176422578,38
326377.0115891501,39
327860.10553604236,42
329343.19948293467,35
330826.29342982697,30
332309.38737671927,41
333792.4813236116,34
335275.5752705039,27
336758.6692173962,37
338241.7631642885,36
339724.8571111808,33
341207.9510580731,29
342691.0450049654,37
344174.1389518577,32
345657.23289875,18
347140.3268456423,36
348623.4207925346,29
350106.5147394269,39
