Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,7
8994906.954197869,15
10478000.90109017,0
11961094.84798247,0
13444188.794874769,0
14927282.74176707,1
16410376.68865937,45
17893470.63555167,52
19376564.582443967,34
20859658.52933627,31
22342752.47622857,38
23825846.423120867,27
25308940.37001317,29
26792034.31690547,27
28275128.263797767,26
29758222.21069007,30
31241316.15758237,22
32724410.10447467,23
34207504.05136697,26
35690597.99825927,24
37173691.94515157,14
38656785.892043866,16
40139879.838936165,26
41622973.78582847,24
43106067.73272077,17
44589161.67961307,26
46072255.62650537,16
47555349.573397666,18
49038443.520289965,22
50521537.467182264,14
52004631.41407457,21
53487725.36096687,22
54970819.30785917,27
56453913.254751466,35
57937007.201643765,177
59420101.148536064,1142
60903195.09542837,65
62386289.04232067,9
63869382.98921297,6
65352476.936105266,9
66835570.88299757,13
68318664.82988986,11
69801758.77678217,16
71284852.72367446,8
72767946.67056677,10
74251040.61745906,11
75734134.56435136,9
77217228.51124367,14
78700322.45813596,16
80183416.40502827,6
81666510.35192056,8
83149604.29881287,11
84632698.24570517,5
86115792.19259746,12
87598886.13948977,11
89081980.08638206,9
90565074.03327437,14
92048167.98016666,8
93531261.92705896,9
95014355.87395127,10
96497449.82084356,8
97980543.76773587,18
99463637.71462816,12
100946731.66152047,11
102429825.60841276,13
103912919.55530506,11
105396013.50219737,12
106879107.44908966,10
108362201.39598197,11
109845295.34287426,14
111328389.28976656,14
112811483.23665887,10
114294577.18355116,15
115777671.13044347,11
117260765.07733576,16
118743859.02422807,14
120226952.97112036,18
121710046.91801266,16
123193140.86490497,11
124676234.81179726,11
126159328.75868957,13
127642422.70558186,15
129125516.65247416,6
130608610.59936646,7
132091704.54625876,16
133574798.49315105,15
135057892.4400434,18
136540986.38693565,16
138024080.33382797,14
139507174.28072023,13
140990268.22761256,13
142473362.17450488,11
143956456.12139714,13
145439550.06828946,15
146922644.01518178,19
148405737.96207404,12
149888831.90896636,15
151371925.85585868,10
152855019.80275095,16
154338113.74964327,9
155821207.6965356,17
157304301.64342785,8
158787395.59032017,15
160270489.5372125,20
161753583.48410475,9
163236677.43099707,9
164719771.37788934,11
166202865.32478166,18
167685959.27167398,8
169169053.21856624,12
170652147.16545856,10
172135241.11235088,13
173618335.05924314,12
175101429.00613546,13
176584522.95302778,14
178067616.89992005,10
179550710.84681237,13
181033804.7937047,17
182516898.74059695,16
183999992.68748927,14
185483086.63438153,15
186966180.58127385,13
188449274.52816617,12
189932368.47505844,8
191415462.42195076,11
192898556.36884308,9
194381650.31573534,14
195864744.26262766,14
197347838.20951998,13
198830932.15641224,12
200314026.10330456,21
201797120.0501969,10
203280213.99708915,9
204763307.94398147,9
206246401.89087373,10
207729495.83776605,11
209212589.78465837,13
210695683.73155063,10
212178777.67844296,12
213661871.62533528,10
215144965.57222754,8
216628059.51911986,9
218111153.46601218,11
219594247.41290444,12
221077341.35979676,7
222560435.30668908,4
224043529.25358135,9
225526623.20047367,8
227009717.147366,9
228492811.09425825,4
229975905.04115057,6
231458998.98804283,10
232942092.93493515,11
234425186.88182747,7
235908280.82871974,8
237391374.77561206,5
238874468.72250438,24
240357562.66939664,17
241840656.61628896,12
243323750.56318128,3
244806844.51007354,5
246289938.45696586,6
247773032.40385818,9
249256126.35075045,10
250739220.29764277,8
252222314.24453503,10
253705408.19142735,8
255188502.13831967,10
256671596.08521193,9
258154690.03210425,9
259637783.97899657,7
261120877.92588884,6
262603971.87278116,3
264087065.81967348,2
265570159.76656574,7
267053253.71345806,2
268536347.6603503,3
270019441.60724264,4
271502535.55413496,5
272985629.5010272,8
274468723.44791955,7
275951817.39481187,4
277434911.34170413,5
278918005.28859645,3
280401099.2354887,4
281884193.18238103,6
283367287.12927336,4
284850381.0761656,2
286333475.02305794,8
287816568.96995026,3
289299662.9168425,5
290782756.86373484,5
292265850.81062716,2
293748944.7575194,1
295232038.70441175,8
296715132.65130407,4
298198226.5981963,4
299681320.54508865,3
301164414.4919809,6
302647508.43887323,0
304130602.38576555,8
305613696.3326578,4
307096790.27955014,4
308579884.22644246,7
310062978.1733347,7
311546072.12022704,3
313029166.06711936,8
314512260.0140116,10
315995353.96090394,7
317478447.90779626,3
318961541.8546885,3
320444635.80158085,3
321927729.74847317,3
323410823.6953654,6
324893917.64225775,4
326377011.58915,2
327860105.53604233,6
329343199.48293465,1
330826293.4298269,1
332309387.37671924,1
333792481.32361156,5
335275575.2705038,6
336758669.21739614,4
338241763.16428846,2
339724857.1111807,7
341207951.05807304,4
342691045.00496536,10
344174138.9518576,7
345657232.89874995,2
347140326.8456422,3
348623420.79253453,4
350106514.73942685,1
351589608.6863191,4
353072702.63321143,5
354555796.58010375,4
356038890.526996,1
357521984.47388834,2
359005078.42078066,1
360488172.3676729,1
361971266.31456524,1
363454360.26145756,4
364937454.2083498,2
366420548.15524215,4
367903642.1021344,8
369386736.0490267,3
370869829.99591905,3
372352923.9428113,4
373836017.88970363,3
375319111.83659595,1
376802205.7834882,3
378285299.73038054,2
379768393.67727286,3
381251487.6241651,3
382734581.57105744,2
384217675.51794976,2
385700769.464842,4
387183863.41173434,4
388666957.35862666,2
390150051.3055189,1
391633145.25241125,3
393116239.1993035,4
394599333.1461958,4
396082427.09308815,3
397565521.0399804,3
399048614.98687273,2
400531708.93376505,3
402014802.8806573,2
403497896.82754964,4
404980990.77444196,3
406464084.7213342,3
407947178.66822654,6
409430272.61511886,3
410913366.5620111,1
412396460.50890344,1
413879554.4557957,0
415362648.402688,1
416845742.34958035,1
418328836.2964726,1
419811930.24336493,3
421295024.19025725,2
422778118.1371495,0
424261212.08404183,3
425744306.03093415,2
427227399.9778264,3
428710493.92471874,5
430193587.87161106,6
431676681.8185033,2
433159775.76539564,3
434642869.7122879,0
436125963.6591802,3
437609057.60607255,1
439092151.5529648,3
440575245.4998571,4
442058339.44674945,0
443541433.3936417,0
445024527.34053403,1
446507621.28742635,2
447990715.2343186,2
449473809.18121094,2
450956903.12810326,3
452439997.0749955,1
453923091.02188784,3
455406184.96878016,2
456889278.9156724,3
458372372.86256474,1
459855466.809457,1
461338560.7563493,2
462821654.70324165,4
464304748.6501339,1
465787842.5970262,5
467270936.54391855,1
468754030.4908108,5
470237124.43770313,1
471720218.38459545,3
473203312.3314877,2
474686406.27838004,2
476169500.22527236,1
477652594.1721646,2
479135688.11905694,1
480618782.0659492,2
482101876.0128415,0
483584969.95973384,0
485068063.9066261,2
486551157.8535184,1
488034251.80041075,1
489517345.747303,1
491000439.69419533,2
492483533.64108765,4
493966627.5879799,1
495449721.53487223,5
496932815.48176455,2
498415909.4286568,3
499899003.37554914,2
501382097.3224414,1
502865191.2693337,1
504348285.21622604,0
505831379.1631183,2
507314473.1100106,2
508797567.05690295,2
510280661.0037952,2
511763754.9506875,1
513246848.89757985,1
514729942.8444721,0
516213036.79136443,2
517696130.73825675,3
519179224.685149,2
520662318.63204134,1
522145412.57893366,1
523628506.5258259,1
525111600.47271824,3
526594694.4196105,2
528077788.3665028,2
529560882.31339514,1
531043976.2602874,2
532527070.2071797,1
534010164.15407205,0
535493258.10096437,1
536976352.0478567,3
538459445.994749,0
539942539.9416413,4
541425633.8885336,0
542908727.8354259,1
544391821.7823182,1
545874915.7292105,1
547358009.6761028,1
548841103.6229951,3
550324197.5698874,4
551807291.5167797,2
553290385.463672,1
554773479.4105643,0
556256573.3574566,3
557739667.3043488,3
559222761.2512412,2
560705855.1981335,2
562188949.1450257,2
563672043.0919181,2
565155137.0388104,0
566638230.9857026,2
568121324.932595,1
569604418.8794873,1
571087512.8263795,2
572570606.7732719,0
574053700.7201642,1
575536794.6670564,2
577019888.6139488,1
578502982.5608411,2
579986076.5077333,0
581469170.4546257,2
582952264.401518,4
584435358.3484102,3
585918452.2953026,3
587401546.2421949,0
588884640.1890872,0
590367734.1359795,1
591850828.0828718,0
593333922.029764,0
594817015.9766564,1
596300109.9235487,2
597783203.870441,0
599266297.8173333,0
600749391.7642256,1
602232485.7111179,1
603715579.6580101,1
605198673.6049025,2
606681767.5517948,3
608164861.498687,2
609647955.4455794,3
611131049.3924717,2
612614143.3393639,0
614097237.2862563,0
615580331.2331486,3
617063425.1800408,1
618546519.1269332,4
620029613.0738255,0
621512707.0207177,1
622995800.9676101,0
624478894.9145024,1
625961988.8613946,2
627445082.808287,3
628928176.7551793,1
630411270.7020715,0
631894364.6489639,1
633377458.5958562,0
634860552.5427485,1
636343646.4896408,2
637826740.4365331,0
639309834.3834254,3
640792928.3303177,1
642276022.27721,0
643759116.2241023,0
645242210.1709946,1
646725304.1178869,0
648208398.0647792,1
649691492.0116714,0
651174585.9585638,0
652657679.9054561,0
654140773.8523483,0
655623867.7992407,0
657106961.746133,0
658590055.6930252,1
660073149.6399176,1
661556243.5868099,1
663039337.5337021,0
664522431.4805945,2
666005525.4274868,1
667488619.374379,1
668971713.3212714,3
670454807.2681637,1
671937901.215056,2
673420995.1619483,0
674904089.1088406,1
676387183.0557328,0
677870277.0026252,0
679353370.9495175,0
680836464.8964097,1
682319558.8433021,2
683802652.7901944,0
685285746.7370867,0
686768840.683979,3
688251934.6308713,2
689735028.5777636,1
691218122.5246558,0
692701216.4715482,0
694184310.4184405,0
695667404.3653327,2
697150498.3122251,3
698633592.2591174,2
700116686.2060096,4
701599780.152902,0
703082874.0997943,3
704565968.0466865,0
706049061.9935789,0
707532155.9404712,0
709015249.8873634,0
710498343.8342558,1
711981437.7811481,2
713464531.7280403,1
714947625.6749327,1
716430719.621825,3
717913813.5687172,2
719396907.5156096,0
720880001.4625019,1
722363095.4093941,2
723846189.3562865,2
725329283.3031788,2
726812377.250071,4
728295471.1969634,1
