Energie,Count
96.34327284407004,0
1579.43721973637,0
3062.5311666286702,0
4545.6251135209695,0
6028.71906041327,0
7511.813007305571,3869
8994.90695419787,12569
10478.00090109017,77
11961.094847982471,0
13444.18879487477,2
14927.28274176707,490
16410.37668865937,7045
17893.47063555167,8802
19376.564582443967,8413
20859.65852933627,8304
22342.75247622857,7968
23825.846423120867,7837
25308.94037001317,7564
26792.03431690547,7351
28275.128263797767,7270
29758.22221069007,7208
31241.31615758237,7197
32724.410104474668,7087
34207.504051366974,6925
35690.59799825927,6930
37173.69194515157,6661
38656.785892043874,6600
40139.87983893617,6682
41622.97378582847,6556
43106.067732720774,6527
44589.16167961307,6423
46072.25562650537,6357
47555.349573397674,6316
49038.44352028997,6284
50521.53746718227,6352
52004.631414074574,6422
53487.72536096687,6392
54970.81930785917,6258
56453.913254751475,6245
57937.00720164377,6492
59420.10114853607,6381
60903.195095428375,6295
62386.28904232067,6268
63869.38298921297,6409
65352.47693610527,6340
66835.57088299756,6419
68318.66482988987,6420
69801.75877678217,6516
71284.85272367447,6695
72767.94667056676,7058
74251.04061745906,7410
75734.13456435136,7077
77217.22851124367,7125
78700.32245813597,6600
80183.41640502827,6664
81666.51035192056,6612
83149.60429881286,6942
84632.69824570516,7292
86115.79219259747,7211
87598.88613948977,7365
89081.98008638207,7151
90565.07403327436,7432
92048.16798016666,7676
93531.26192705896,7444
95014.35587395127,7751
96497.44982084357,7753
97980.54376773586,7954
99463.63771462816,7912
100946.73166152046,7890
102429.82560841276,8152
103912.91955530507,8195
105396.01350219737,8307
106879.10744908966,8419
108362.20139598196,8768
109845.29534287426,8697
111328.38928976656,8598
112811.48323665887,8922
114294.57718355117,9015
115777.67113044346,9090
117260.76507733576,9084
118743.85902422806,9349
120226.95297112036,9245
121710.04691801267,9309
123193.14086490497,9548
124676.23481179726,9303
126159.32875868956,9646
127642.42270558186,9453
129125.51665247417,9546
130608.61059936645,9577
132091.70454625876,9523
133574.79849315106,9756
135057.89244004336,9624
136540.98638693566,9839
138024.08033382797,9602
139507.17428072027,9706
140990.26822761257,9652
142473.36217450487,9655
143956.45612139718,9721
145439.55006828945,9693
146922.64401518175,9520
148405.73796207405,9437
149888.83190896636,9476
151371.92585585866,9562
152855.01980275096,9344
154338.11374964326,9568
155821.20769653557,9239
157304.30164342787,9238
158787.39559032017,9093
160270.48953721247,9239
161753.58348410478,9031
163236.67743099705,8845
164719.77137788935,8978
166202.86532478165,8833
167685.95927167396,8709
169169.05321856626,8686
170652.14716545856,8582
172135.24111235086,8622
173618.33505924317,8496
175101.42900613547,8450
176584.52295302777,8336
178067.61689992007,8233
179550.71084681238,8199
181033.80479370465,8062
182516.89874059695,7926
183999.99268748926,8182
185483.08663438156,8265
186966.18058127386,8115
188449.27452816616,7630
189932.36847505847,7677
191415.46242195077,7612
192898.55636884307,7645
194381.65031573537,7585
195864.74426262768,7299
197347.83820951995,7191
198830.93215641225,7074
200314.02610330455,7026
201797.12005019686,6850
203280.21399708916,7029
204763.30794398146,6819
206246.40189087376,6913
207729.49583776607,6778
209212.58978465837,6725
210695.68373155067,6674
212178.77767844297,6508
213661.87162533528,6389
215144.96557222755,6277
216628.05951911985,6385
218111.15346601215,6230
219594.24741290446,6194
221077.34135979676,6121
222560.43530668906,5972
224043.52925358136,6057
225526.62320047367,5838
227009.71714736597,5870
228492.81109425827,5724
229975.90504115057,5740
231458.99898804288,5743
232942.09293493515,5598
234425.18688182745,5552
235908.28082871975,5368
237391.37477561206,5802
238874.46872250436,6223
240357.56266939666,5389
241840.65661628896,5184
243323.75056318127,5138
244806.84451007357,4981
246289.93845696587,4877
247773.03240385817,4945
249256.12635075045,4808
250739.22029764275,4820
252222.31424453505,4549
253705.40819142736,4532
255188.50213831966,4438
256671.59608521196,4465
258154.69003210426,4524
259637.78397899657,4313
261120.87792588884,4495
262603.97187278117,4234
264087.0658196735,4162
265570.1597665658,4182
267053.2537134581,4155
268536.3476603504,4020
270019.4416072427,4058
271502.535554135,4093
272985.6295010273,3822
274468.7234479196,3903
275951.8173948119,3892
277434.9113417042,3907
278918.0052885965,3798
280401.0992354888,3633
281884.1931823811,3664
283367.2871292734,3655
284850.3810761657,3604
286333.475023058,3534
287816.5689699503,3574
289299.6629168426,3539
290782.7568637349,3419
292265.85081062716,3430
293748.94475751946,3519
295232.03870441177,3895
296715.13265130407,3533
298198.2265981964,3282
299681.3205450887,3388
301164.414491981,3342
302647.5084388733,3127
304130.6023857656,3113
305613.6963326579,3153
307096.7902795502,3030
308579.8842264425,3190
310062.9781733348,3067
311546.0721202271,2994
313029.1660671194,3056
314512.2600140117,3008
315995.353960904,3029
317478.4479077963,2909
318961.5418546886,2890
