Energie,Count
96.34327284407004,0
1579.43721973637,0
3062.5311666286702,0
4545.6251135209695,0
6028.71906041327,0
7511.813007305571,5136
8994.90695419787,16512
10478.00090109017,81
11961.094847982471,6
13444.18879487477,5
14927.28274176707,887
16410.37668865937,11857
17893.47063555167,15172
19376.564582443967,14327
20859.65852933627,13524
22342.75247622857,13173
23825.846423120867,12785
25308.94037001317,12355
26792.03431690547,11855
28275.128263797767,11876
29758.22221069007,11461
31241.31615758237,11356
32724.410104474668,11214
34207.504051366974,10971
35690.59799825927,10863
37173.69194515157,10562
38656.785892043874,10390
40139.87983893617,10348
41622.97378582847,10273
43106.067732720774,9985
44589.16167961307,9860
46072.25562650537,9688
47555.349573397674,9575
49038.44352028997,9465
50521.53746718227,9620
52004.631414074574,9538
53487.72536096687,9338
54970.81930785917,9034
56453.913254751475,9144
57937.00720164377,9173
59420.10114853607,9240
60903.195095428375,9148
62386.28904232067,9420
63869.38298921297,9371
65352.47693610527,9268
66835.57088299756,9387
68318.66482988987,9315
69801.75877678217,9278
71284.85272367447,9788
72767.94667056676,11373
74251.04061745906,15340
75734.13456435136,13496
77217.22851124367,15153
78700.32245813597,10557
80183.41640502827,10487
81666.51035192056,10292
83149.60429881286,12039
84632.69824570516,12523
86115.79219259747,12852
87598.88613948977,13224
89081.98008638207,12329
90565.07403327436,11799
92048.16798016666,16967
93531.26192705896,16034
95014.35587395127,14907
96497.44982084357,12071
97980.54376773586,21244
99463.63771462816,12683
100946.73166152046,10957
102429.82560841276,11220
103912.91955530507,11262
105396.01350219737,11440
106879.10744908966,11439
108362.20139598196,12093
109845.29534287426,14471
111328.38928976656,15572
112811.48323665887,12886
114294.57718355117,13665
115777.67113044346,12234
117260.76507733576,11727
118743.85902422806,11789
120226.95297112036,12048
121710.04691801267,11945
123193.14086490497,11943
124676.23481179726,12155
126159.32875868956,12246
127642.42270558186,12527
129125.51665247417,12597
130608.61059936645,12632
132091.70454625876,12593
133574.79849315106,12459
135057.89244004336,12595
136540.98638693566,12707
138024.08033382797,12922
139507.17428072027,12846
140990.26822761257,13176
142473.36217450487,13566
143956.45612139718,14235
145439.55006828945,12759
146922.64401518175,12787
148405.73796207405,12965
149888.83190896636,13037
151371.92585585866,13087
152855.01980275096,13228
154338.11374964326,13496
155821.20769653557,12895
157304.30164342787,12720
158787.39559032017,12533
160270.48953721247,12336
161753.58348410478,12412
163236.67743099705,12813
164719.77137788935,11998
166202.86532478165,12153
167685.95927167396,11777
169169.05321856626,11840
170652.14716545856,11801
172135.24111235086,11845
173618.33505924317,11578
175101.42900613547,11432
176584.52295302777,11560
178067.61689992007,11345
179550.71084681238,11408
181033.80479370465,11240
182516.89874059695,11332
183999.99268748926,12590
185483.08663438156,25019
186966.18058127386,15997
188449.27452816616,11018
189932.36847505847,10617
191415.46242195077,10662
192898.55636884307,10495
194381.65031573537,10358
195864.74426262768,10600
197347.83820951995,10255
198830.93215641225,10039
200314.02610330455,10061
201797.12005019686,9885
203280.21399708916,9574
204763.30794398146,9900
206246.40189087376,9397
207729.49583776607,9153
209212.58978465837,9024
210695.68373155067,9085
212178.77767844297,8819
213661.87162533528,8578
215144.96557222755,8735
216628.05951911985,8699
218111.15346601215,8500
219594.24741290446,8306
221077.34135979676,8342
222560.43530668906,8393
224043.52925358136,7973
225526.62320047367,8079
227009.71714736597,7830
228492.81109425827,7882
229975.90504115057,7724
231458.99898804288,7800
232942.09293493515,7564
234425.18688182745,7956
235908.28082871975,8710
237391.37477561206,7556
238874.46872250436,7496
240357.56266939666,10367
241840.65661628896,22094
243323.75056318127,10279
244806.84451007357,6891
246289.93845696587,6770
247773.03240385817,6477
249256.12635075045,6565
250739.22029764275,6468
252222.31424453505,6441
253705.40819142736,6514
255188.50213831966,6629
256671.59608521196,6802
258154.69003210426,6962
259637.78397899657,6673
261120.87792588884,6056
262603.97187278117,5909
264087.0658196735,5926
265570.1597665658,5880
267053.2537134581,5870
268536.3476603504,6563
270019.4416072427,7209
271502.535554135,6549
272985.6295010273,6068
274468.7234479196,6255
275951.8173948119,5790
277434.9113417042,5444
278918.0052885965,5449
280401.0992354888,5413
281884.1931823811,5311
283367.2871292734,5257
284850.3810761657,5462
286333.475023058,5323
287816.5689699503,5072
289299.6629168426,4989
290782.7568637349,4998
292265.85081062716,5451
293748.94475751946,15206
295232.03870441177,35111
296715.13265130407,12230
298198.2265981964,4960
299681.3205450887,4942
301164.414491981,4626
302647.5084388733,4555
304130.6023857656,4482
305613.6963326579,4333
307096.7902795502,4360
308579.8842264425,4171
310062.9781733348,4243
311546.0721202271,4140
313029.1660671194,4342
314512.2600140117,4246
315995.353960904,4126
317478.4479077963,4025
318961.5418546886,4118
