Energie,Count
96.34327284407004,0
1579.43721973637,0
3062.5311666286702,0
4545.6251135209695,0
6028.71906041327,0
7511.813007305571,102
8994.90695419787,377
10478.00090109017,3
11961.094847982471,0
13444.18879487477,0
14927.28274176707,11
16410.37668865937,142
17893.47063555167,172
19376.564582443967,169
20859.65852933627,148
22342.75247622857,150
23825.846423120867,144
25308.94037001317,136
26792.03431690547,115
28275.128263797767,144
29758.22221069007,120
31241.31615758237,118
32724.410104474668,123
34207.504051366974,95
35690.59799825927,128
37173.69194515157,112
38656.785892043874,120
40139.87983893617,115
41622.97378582847,122
43106.067732720774,110
44589.16167961307,99
46072.25562650537,100
47555.349573397674,97
49038.44352028997,95
50521.53746718227,104
52004.631414074574,99
53487.72536096687,99
54970.81930785917,91
56453.913254751475,118
57937.00720164377,102
59420.10114853607,109
60903.195095428375,99
62386.28904232067,102
63869.38298921297,100
65352.47693610527,112
66835.57088299756,108
68318.66482988987,96
69801.75877678217,100
71284.85272367447,99
72767.94667056676,98
74251.04061745906,112
75734.13456435136,107
77217.22851124367,108
78700.32245813597,93
80183.41640502827,113
81666.51035192056,116
83149.60429881286,101
84632.69824570516,110
86115.79219259747,102
87598.88613948977,131
89081.98008638207,95
90565.07403327436,90
92048.16798016666,92
93531.26192705896,112
95014.35587395127,115
96497.44982084357,109
97980.54376773586,108
99463.63771462816,122
100946.73166152046,133
102429.82560841276,113
103912.91955530507,129
105396.01350219737,116
106879.10744908966,112
108362.20139598196,127
109845.29534287426,114
111328.38928976656,113
112811.48323665887,108
114294.57718355117,133
115777.67113044346,125
117260.76507733576,136
118743.85902422806,139
120226.95297112036,122
121710.04691801267,110
123193.14086490497,137
124676.23481179726,147
126159.32875868956,134
127642.42270558186,165
129125.51665247417,156
130608.61059936645,128
132091.70454625876,173
133574.79849315106,122
135057.89244004336,145
136540.98638693566,131
138024.08033382797,137
139507.17428072027,175
140990.26822761257,119
142473.36217450487,139
143956.45612139718,110
145439.55006828945,119
146922.64401518175,120
148405.73796207405,127
149888.83190896636,138
151371.92585585866,118
152855.01980275096,138
154338.11374964326,140
155821.20769653557,124
157304.30164342787,134
158787.39559032017,148
160270.48953721247,143
161753.58348410478,166
163236.67743099705,108
164719.77137788935,120
166202.86532478165,134
167685.95927167396,135
169169.05321856626,127
170652.14716545856,109
172135.24111235086,129
173618.33505924317,129
175101.42900613547,114
176584.52295302777,133
178067.61689992007,123
179550.71084681238,138
181033.80479370465,139
182516.89874059695,138
183999.99268748926,130
185483.08663438156,102
186966.18058127386,111
188449.27452816616,125
189932.36847505847,147
191415.46242195077,144
192898.55636884307,119
194381.65031573537,116
195864.74426262768,110
197347.83820951995,122
198830.93215641225,136
200314.02610330455,114
201797.12005019686,116
203280.21399708916,119
204763.30794398146,122
206246.40189087376,120
207729.49583776607,93
209212.58978465837,92
210695.68373155067,102
212178.77767844297,96
213661.87162533528,120
215144.96557222755,97
216628.05951911985,117
218111.15346601215,104
219594.24741290446,111
221077.34135979676,94
222560.43530668906,94
224043.52925358136,111
225526.62320047367,100
227009.71714736597,106
228492.81109425827,73
229975.90504115057,99
231458.99898804288,83
232942.09293493515,75
234425.18688182745,96
235908.28082871975,97
237391.37477561206,88
238874.46872250436,88
240357.56266939666,80
241840.65661628896,73
243323.75056318127,92
244806.84451007357,77
246289.93845696587,97
247773.03240385817,96
249256.12635075045,74
250739.22029764275,77
252222.31424453505,84
253705.40819142736,69
255188.50213831966,103
256671.59608521196,96
258154.69003210426,81
259637.78397899657,86
261120.87792588884,71
262603.97187278117,75
264087.0658196735,79
265570.1597665658,77
267053.2537134581,72
268536.3476603504,75
270019.4416072427,90
271502.535554135,71
272985.6295010273,65
274468.7234479196,85
275951.8173948119,66
277434.9113417042,71
278918.0052885965,66
280401.0992354888,86
281884.1931823811,65
283367.2871292734,90
284850.3810761657,65
286333.475023058,70
287816.5689699503,72
289299.6629168426,65
290782.7568637349,81
292265.85081062716,74
293748.94475751946,82
295232.03870441177,124
296715.13265130407,73
298198.2265981964,81
299681.3205450887,56
301164.414491981,62
302647.5084388733,75
304130.6023857656,74
305613.6963326579,60
307096.7902795502,70
308579.8842264425,59
310062.9781733348,61
311546.0721202271,76
313029.1660671194,71
314512.2600140117,68
315995.353960904,69
317478.4479077963,57
318961.5418546886,64
320444.6358015809,65
321927.7297484732,64
323410.8236953655,57
324893.9176422578,61
326377.0115891501,66
327860.10553604236,62
329343.19948293467,66
330826.29342982697,62
332309.38737671927,74
333792.4813236116,58
335275.5752705039,59
336758.6692173962,53
338241.7631642885,61
339724.8571111808,69
341207.9510580731,53
342691.0450049654,71
344174.1389518577,55
345657.23289875,52
347140.3268456423,76
348623.4207925346,65
350106.5147394269,82
