Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,828
8994906.954197869,10612
10478000.90109017,141
11961094.84798247,64
13444188.794874769,61
14927282.74176707,368
16410376.68865937,2958
17893470.63555167,3465
19376564.582443967,3237
20859658.52933627,3118
22342752.47622857,2968
23825846.423120867,2970
25308940.37001317,2880
26792034.31690547,2896
28275128.263797767,2809
29758222.21069007,2684
31241316.15758237,2623
32724410.10447467,2603
34207504.05136697,2571
35690597.99825927,2486
37173691.94515157,2503
38656785.892043866,2516
40139879.838936165,2421
41622973.78582847,2403
43106067.73272077,2443
44589161.67961307,2326
46072255.62650537,2342
47555349.573397666,2373
49038443.520289965,2334
50521537.467182264,2364
52004631.41407457,2242
53487725.36096687,2150
54970819.30785917,2168
56453913.254751466,2180
57937007.201643765,2226
59420101.148536064,2268
60903195.09542837,2089
62386289.04232067,2130
63869382.98921297,2172
65352476.936105266,2139
66835570.88299757,2209
68318664.82988986,2196
69801758.77678217,2131
71284852.72367446,2112
72767946.67056677,2091
74251040.61745906,2148
75734134.56435136,2183
77217228.51124367,2035
78700322.45813596,2183
80183416.40502827,2099
81666510.35192056,2129
83149604.29881287,2064
84632698.24570517,2198
86115792.19259746,2174
87598886.13948977,2166
89081980.08638206,2164
90565074.03327437,2184
92048167.98016666,2294
93531261.92705896,2201
95014355.87395127,2230
96497449.82084356,2291
97980543.76773587,2357
99463637.71462816,2398
100946731.66152047,2333
102429825.60841276,2339
103912919.55530506,2457
105396013.50219737,2468
106879107.44908966,2423
108362201.39598197,2450
109845295.34287426,2547
111328389.28976656,2489
112811483.23665887,2598
114294577.18355116,2642
115777671.13044347,2686
117260765.07733576,2641
118743859.02422807,2706
120226952.97112036,2794
121710046.91801266,2745
123193140.86490497,2841
124676234.81179726,2762
126159328.75868957,2803
127642422.70558186,2742
129125516.65247416,2779
130608610.59936646,2895
132091704.54625876,2896
133574798.49315105,2891
135057892.4400434,2886
136540986.38693565,2923
138024080.33382797,2872
139507174.28072023,2895
140990268.22761256,2887
142473362.17450488,2917
143956456.12139714,2902
145439550.06828946,2946
146922644.01518178,2877
148405737.96207404,2901
149888831.90896636,2889
151371925.85585868,2871
152855019.80275095,2763
154338113.74964327,2870
155821207.6965356,2685
157304301.64342785,2826
158787395.59032017,2835
160270489.5372125,2719
161753583.48410475,2815
163236677.43099707,2758
164719771.37788934,2735
166202865.32478166,2594
167685959.27167398,2750
169169053.21856624,2785
170652147.16545856,2714
172135241.11235088,2693
173618335.05924314,2715
175101429.00613546,2664
176584522.95302778,2652
178067616.89992005,2641
179550710.84681237,2574
181033804.7937047,2602
182516898.74059695,2629
183999992.68748927,2496
185483086.63438153,2572
186966180.58127385,2558
188449274.52816617,2663
189932368.47505844,2568
191415462.42195076,2460
192898556.36884308,2468
194381650.31573534,2510
195864744.26262766,2528
197347838.20951998,2520
198830932.15641224,2512
200314026.10330456,2506
201797120.0501969,2565
203280213.99708915,2465
204763307.94398147,2485
206246401.89087373,2463
207729495.83776605,2365
209212589.78465837,2459
210695683.73155063,2551
212178777.67844296,2459
213661871.62533528,2565
215144965.57222754,2529
216628059.51911986,2535
218111153.46601218,2588
219594247.41290444,2487
221077341.35979676,2516
222560435.30668908,2524
224043529.25358135,2414
225526623.20047367,2429
227009717.147366,2369
228492811.09425825,2441
229975905.04115057,2307
231458998.98804283,2334
232942092.93493515,2271
234425186.88182747,2248
235908280.82871974,2167
237391374.77561206,2200
238874468.72250438,2097
240357562.66939664,2056
241840656.61628896,2036
243323750.56318128,2128
244806844.51007354,2078
246289938.45696586,2023
247773032.40385818,2019
249256126.35075045,2058
250739220.29764277,2000
252222314.24453503,1975
253705408.19142735,1962
255188502.13831967,1895
256671596.08521193,1971
258154690.03210425,1823
259637783.97899657,1917
261120877.92588884,1877
262603971.87278116,1875
264087065.81967348,1813
265570159.76656574,1788
267053253.71345806,1858
268536347.6603503,1787
270019441.60724264,1828
271502535.55413496,1829
272985629.5010272,1776
274468723.44791955,1767
275951817.39481187,1708
277434911.34170413,1772
278918005.28859645,1663
280401099.2354887,1641
281884193.18238103,1641
283367287.12927336,1713
284850381.0761656,1645
286333475.02305794,1641
287816568.96995026,1693
289299662.9168425,1581
290782756.86373484,1635
292265850.81062716,1615
293748944.7575194,1641
295232038.70441175,1560
296715132.65130407,1625
298198226.5981963,1582
299681320.54508865,1576
301164414.4919809,1644
302647508.43887323,1551
304130602.38576555,1563
305613696.3326578,1506
307096790.27955014,1536
308579884.22644246,1562
310062978.1733347,1545
311546072.12022704,1497
313029166.06711936,1500
314512260.0140116,1475
315995353.96090394,1514
317478447.90779626,1460
318961541.8546885,1437
320444635.80158085,1396
321927729.74847317,1471
323410823.6953654,1429
324893917.64225775,1455
326377011.58915,1459
327860105.53604233,1435
329343199.48293465,1422
330826293.4298269,1373
332309387.37671924,1437
333792481.32361156,1403
335275575.2705038,1436
336758669.21739614,1452
338241763.16428846,1406
339724857.1111807,1303
341207951.05807304,1351
342691045.00496536,1399
344174138.9518576,1307
345657232.89874995,1322
347140326.8456422,1275
348623420.79253453,1388
350106514.73942685,1281
351589608.6863191,1339
353072702.63321143,1299
354555796.58010375,1322
356038890.526996,1282
357521984.47388834,1304
359005078.42078066,1260
360488172.3676729,1281
361971266.31456524,1307
363454360.26145756,1298
364937454.2083498,1245
366420548.15524215,1249
367903642.1021344,1269
369386736.0490267,1251
370869829.99591905,1259
372352923.9428113,1221
373836017.88970363,1257
375319111.83659595,1184
376802205.7834882,1205
378285299.73038054,1240
379768393.67727286,1225
381251487.6241651,1195
382734581.57105744,1233
384217675.51794976,1254
385700769.464842,1155
387183863.41173434,1178
388666957.35862666,1227
390150051.3055189,1196
391633145.25241125,1165
393116239.1993035,1147
394599333.1461958,1195
396082427.09308815,1177
397565521.0399804,1190
399048614.98687273,1187
400531708.93376505,1143
402014802.8806573,1161
403497896.82754964,1112
404980990.77444196,1190
406464084.7213342,1222
407947178.66822654,1182
409430272.61511886,1131
410913366.5620111,1129
412396460.50890344,1169
413879554.4557957,1024
415362648.402688,1126
416845742.34958035,1124
418328836.2964726,1102
419811930.24336493,1111
421295024.19025725,1107
422778118.1371495,1131
424261212.08404183,1125
425744306.03093415,1151
427227399.9778264,1134
428710493.92471874,1109
430193587.87161106,1123
431676681.8185033,1097
433159775.76539564,1107
434642869.7122879,1087
436125963.6591802,1111
437609057.60607255,1132
439092151.5529648,1082
440575245.4998571,1076
442058339.44674945,1148
443541433.3936417,1116
445024527.34053403,1072
446507621.28742635,1058
447990715.2343186,1134
449473809.18121094,1081
450956903.12810326,1062
452439997.0749955,1106
453923091.02188784,1078
455406184.96878016,1013
456889278.9156724,1070
458372372.86256474,995
459855466.809457,1074
461338560.7563493,1024
462821654.70324165,971
464304748.6501339,1078
465787842.5970262,1070
467270936.54391855,1026
468754030.4908108,1069
470237124.43770313,1014
471720218.38459545,1005
473203312.3314877,1015
474686406.27838004,1053
476169500.22527236,1022
477652594.1721646,987
479135688.11905694,994
480618782.0659492,1035
482101876.0128415,1013
483584969.95973384,1024
485068063.9066261,1024
486551157.8535184,1007
488034251.80041075,1049
489517345.747303,974
491000439.69419533,989
492483533.64108765,1020
493966627.5879799,975
495449721.53487223,977
496932815.48176455,1052
498415909.4286568,999
499899003.37554914,984
501382097.3224414,989
502865191.2693337,991
504348285.21622604,992
505831379.1631183,998
507314473.1100106,1006
508797567.05690295,1024
510280661.0037952,1056
511763754.9506875,1022
513246848.89757985,998
514729942.8444721,946
516213036.79136443,964
517696130.73825675,922
519179224.685149,918
520662318.63204134,976
522145412.57893366,1015
523628506.5258259,944
525111600.47271824,949
526594694.4196105,974
528077788.3665028,941
529560882.31339514,997
531043976.2602874,976
532527070.2071797,1003
534010164.15407205,973
535493258.10096437,961
536976352.0478567,943
538459445.994749,962
539942539.9416413,941
541425633.8885336,986
542908727.8354259,947
544391821.7823182,934
545874915.7292105,974
547358009.6761028,987
548841103.6229951,967
550324197.5698874,975
551807291.5167797,936
553290385.463672,986
554773479.4105643,954
556256573.3574566,999
557739667.3043488,912
559222761.2512412,930
560705855.1981335,943
562188949.1450257,903
563672043.0919181,917
565155137.0388104,895
566638230.9857026,1021
568121324.932595,888
569604418.8794873,983
571087512.8263795,946
572570606.7732719,926
574053700.7201642,976
575536794.6670564,890
577019888.6139488,939
578502982.5608411,902
579986076.5077333,910
581469170.4546257,866
582952264.401518,955
584435358.3484102,898
585918452.2953026,878
587401546.2421949,916
588884640.1890872,899
590367734.1359795,973
591850828.0828718,898
593333922.029764,930
594817015.9766564,916
596300109.9235487,933
597783203.870441,923
599266297.8173333,877
600749391.7642256,865
602232485.7111179,868
603715579.6580101,883
605198673.6049025,903
606681767.5517948,869
608164861.498687,941
609647955.4455794,887
611131049.3924717,984
612614143.3393639,901
614097237.2862563,881
615580331.2331486,903
617063425.1800408,937
618546519.1269332,865
620029613.0738255,896
621512707.0207177,897
622995800.9676101,850
624478894.9145024,874
625961988.8613946,882
627445082.808287,908
628928176.7551793,902
630411270.7020715,874
631894364.6489639,894
633377458.5958562,856
634860552.5427485,921
636343646.4896408,899
637826740.4365331,921
639309834.3834254,899
640792928.3303177,878
642276022.27721,900
643759116.2241023,901
645242210.1709946,848
646725304.1178869,927
648208398.0647792,928
649691492.0116714,889
651174585.9585638,892
652657679.9054561,906
654140773.8523483,893
655623867.7992407,871
657106961.746133,882
658590055.6930252,892
660073149.6399176,901
661556243.5868099,867
663039337.5337021,880
664522431.4805945,895
666005525.4274868,911
667488619.374379,807
668971713.3212714,857
670454807.2681637,857
671937901.215056,862
673420995.1619483,841
674904089.1088406,857
676387183.0557328,848
677870277.0026252,868
679353370.9495175,878
