Energie,Count
96343.27284406987,0
1579437.2197363698,0
3062531.16662867,0
4545625.11352097,0
6028719.060413269,0
7511813.00730557,156
8994906.954197869,294
10478000.90109017,0
11961094.84798247,0
13444188.794874769,0
14927282.74176707,8
16410376.68865937,128
17893470.63555167,157
19376564.582443967,154
20859658.52933627,179
22342752.47622857,147
23825846.423120867,147
25308940.37001317,133
26792034.31690547,133
28275128.263797767,133
29758222.21069007,143
31241316.15758237,111
32724410.10447467,138
34207504.05136697,126
35690597.99825927,119
37173691.94515157,129
38656785.892043866,113
40139879.838936165,122
41622973.78582847,123
43106067.73272077,123
44589161.67961307,113
46072255.62650537,107
47555349.573397666,100
49038443.520289965,121
50521537.467182264,121
52004631.41407457,119
53487725.36096687,99
54970819.30785917,108
56453913.254751466,112
57937007.201643765,111
59420101.148536064,121
60903195.09542837,113
62386289.04232067,118
63869382.98921297,131
65352476.936105266,119
66835570.88299757,117
68318664.82988986,115
69801758.77678217,106
71284852.72367446,104
72767946.67056677,101
74251040.61745906,135
75734134.56435136,117
77217228.51124367,117
78700322.45813596,105
80183416.40502827,106
81666510.35192056,107
83149604.29881287,105
84632698.24570517,112
86115792.19259746,125
87598886.13948977,95
89081980.08638206,125
90565074.03327437,104
92048167.98016666,110
93531261.92705896,113
95014355.87395127,115
96497449.82084356,120
97980543.76773587,122
99463637.71462816,118
100946731.66152047,103
102429825.60841276,122
103912919.55530506,135
105396013.50219737,116
106879107.44908966,111
108362201.39598197,118
109845295.34287426,135
111328389.28976656,135
112811483.23665887,139
114294577.18355116,137
115777671.13044347,128
117260765.07733576,135
118743859.02422807,134
120226952.97112036,147
121710046.91801266,143
123193140.86490497,117
124676234.81179726,146
126159328.75868957,147
127642422.70558186,133
129125516.65247416,126
130608610.59936646,141
132091704.54625876,142
133574798.49315105,163
135057892.4400434,150
136540986.38693565,155
138024080.33382797,128
139507174.28072023,152
140990268.22761256,153
142473362.17450488,141
143956456.12139714,146
145439550.06828946,143
146922644.01518178,148
148405737.96207404,143
149888831.90896636,145
151371925.85585868,137
152855019.80275095,158
154338113.74964327,136
155821207.6965356,138
157304301.64342785,146
158787395.59032017,133
160270489.5372125,136
161753583.48410475,141
163236677.43099707,121
164719771.37788934,151
166202865.32478166,146
167685959.27167398,124
169169053.21856624,132
170652147.16545856,131
172135241.11235088,137
173618335.05924314,127
175101429.00613546,141
176584522.95302778,148
178067616.89992005,147
179550710.84681237,151
181033804.7937047,150
182516898.74059695,142
183999992.68748927,168
185483086.63438153,146
186966180.58127385,151
188449274.52816617,139
189932368.47505844,137
191415462.42195076,160
192898556.36884308,149
194381650.31573534,134
195864744.26262766,123
197347838.20951998,144
198830932.15641224,144
200314026.10330456,124
201797120.0501969,145
203280213.99708915,148
204763307.94398147,131
206246401.89087373,141
207729495.83776605,126
209212589.78465837,113
210695683.73155063,127
212178777.67844296,119
213661871.62533528,127
215144965.57222754,113
216628059.51911986,110
218111153.46601218,105
219594247.41290444,120
221077341.35979676,125
222560435.30668908,113
224043529.25358135,118
225526623.20047367,122
227009717.147366,107
228492811.09425825,107
229975905.04115057,121
231458998.98804283,116
232942092.93493515,116
234425186.88182747,100
235908280.82871974,115
237391374.77561206,115
238874468.72250438,114
240357562.66939664,95
241840656.61628896,95
243323750.56318128,103
244806844.51007354,103
246289938.45696586,104
247773032.40385818,101
249256126.35075045,106
250739220.29764277,95
252222314.24453503,100
253705408.19142735,106
255188502.13831967,103
256671596.08521193,101
258154690.03210425,95
259637783.97899657,93
261120877.92588884,110
262603971.87278116,112
264087065.81967348,96
265570159.76656574,84
267053253.71345806,78
268536347.6603503,98
270019441.60724264,96
271502535.55413496,83
272985629.5010272,99
274468723.44791955,90
275951817.39481187,90
277434911.34170413,96
278918005.28859645,99
280401099.2354887,94
281884193.18238103,88
283367287.12927336,85
284850381.0761656,101
286333475.02305794,102
287816568.96995026,93
289299662.9168425,70
290782756.86373484,65
292265850.81062716,97
293748944.7575194,90
295232038.70441175,85
296715132.65130407,89
298198226.5981963,103
299681320.54508865,111
301164414.4919809,95
302647508.43887323,67
304130602.38576555,69
305613696.3326578,88
307096790.27955014,83
308579884.22644246,66
310062978.1733347,89
311546072.12022704,69
313029166.06711936,72
314512260.0140116,97
315995353.96090394,78
317478447.90779626,78
318961541.8546885,86
320444635.80158085,72
321927729.74847317,91
323410823.6953654,77
324893917.64225775,82
326377011.58915,75
327860105.53604233,77
329343199.48293465,69
330826293.4298269,83
332309387.37671924,74
333792481.32361156,78
335275575.2705038,79
336758669.21739614,89
338241763.16428846,76
339724857.1111807,93
341207951.05807304,98
342691045.00496536,84
344174138.9518576,81
345657232.89874995,100
347140326.8456422,66
348623420.79253453,86
350106514.73942685,80
351589608.6863191,84
353072702.63321143,89
354555796.58010375,92
356038890.526996,72
357521984.47388834,62
359005078.42078066,97
360488172.3676729,77
361971266.31456524,87
363454360.26145756,78
364937454.2083498,65
366420548.15524215,84
367903642.1021344,79
369386736.0490267,74
370869829.99591905,75
372352923.9428113,85
373836017.88970363,82
375319111.83659595,80
376802205.7834882,69
378285299.73038054,74
379768393.67727286,68
381251487.6241651,88
382734581.57105744,88
384217675.51794976,84
385700769.464842,73
387183863.41173434,75
388666957.35862666,91
390150051.3055189,74
391633145.25241125,82
393116239.1993035,74
394599333.1461958,85
396082427.09308815,71
397565521.0399804,85
399048614.98687273,75
400531708.93376505,77
402014802.8806573,75
403497896.82754964,80
404980990.77444196,75
406464084.7213342,74
407947178.66822654,86
409430272.61511886,75
410913366.5620111,86
412396460.50890344,89
413879554.4557957,93
415362648.402688,82
416845742.34958035,78
418328836.2964726,97
419811930.24336493,74
421295024.19025725,86
422778118.1371495,90
424261212.08404183,89
425744306.03093415,93
427227399.9778264,77
428710493.92471874,104
430193587.87161106,76
431676681.8185033,79
433159775.76539564,82
434642869.7122879,84
436125963.6591802,90
437609057.60607255,80
439092151.5529648,83
440575245.4998571,114
442058339.44674945,97
443541433.3936417,68
445024527.34053403,91
446507621.28742635,96
447990715.2343186,96
449473809.18121094,102
450956903.12810326,96
452439997.0749955,102
453923091.02188784,87
455406184.96878016,96
456889278.9156724,105
458372372.86256474,94
459855466.809457,98
461338560.7563493,83
462821654.70324165,102
464304748.6501339,108
465787842.5970262,100
467270936.54391855,99
468754030.4908108,93
470237124.43770313,93
471720218.38459545,83
473203312.3314877,100
474686406.27838004,106
476169500.22527236,83
477652594.1721646,73
479135688.11905694,84
480618782.0659492,69
482101876.0128415,67
483584969.95973384,55
485068063.9066261,61
486551157.8535184,79
488034251.80041075,54
489517345.747303,63
491000439.69419533,57
492483533.64108765,57
493966627.5879799,49
495449721.53487223,50
496932815.48176455,45
498415909.4286568,58
499899003.37554914,50
501382097.3224414,60
502865191.2693337,35
504348285.21622604,45
505831379.1631183,49
507314473.1100106,41
508797567.05690295,60
510280661.0037952,36
511763754.9506875,37
513246848.89757985,51
514729942.8444721,41
516213036.79136443,42
517696130.73825675,31
519179224.685149,38
520662318.63204134,42
522145412.57893366,28
523628506.5258259,39
525111600.47271824,42
526594694.4196105,25
528077788.3665028,27
529560882.31339514,30
531043976.2602874,43
532527070.2071797,31
534010164.15407205,32
535493258.10096437,27
536976352.0478567,24
538459445.994749,31
539942539.9416413,34
541425633.8885336,28
542908727.8354259,37
544391821.7823182,32
545874915.7292105,31
547358009.6761028,30
548841103.6229951,34
550324197.5698874,29
551807291.5167797,23
553290385.463672,34
554773479.4105643,26
556256573.3574566,21
557739667.3043488,28
559222761.2512412,18
560705855.1981335,25
562188949.1450257,13
563672043.0919181,25
565155137.0388104,21
566638230.9857026,33
568121324.932595,28
569604418.8794873,17
571087512.8263795,24
572570606.7732719,25
574053700.7201642,24
575536794.6670564,30
577019888.6139488,17
578502982.5608411,20
579986076.5077333,20
581469170.4546257,23
582952264.401518,18
584435358.3484102,22
585918452.2953026,19
587401546.2421949,22
588884640.1890872,19
590367734.1359795,26
591850828.0828718,14
593333922.029764,21
594817015.9766564,16
596300109.9235487,31
597783203.870441,18
599266297.8173333,15
600749391.7642256,26
602232485.7111179,20
603715579.6580101,24
605198673.6049025,17
606681767.5517948,22
608164861.498687,21
609647955.4455794,21
611131049.3924717,23
612614143.3393639,22
614097237.2862563,20
615580331.2331486,15
617063425.1800408,30
618546519.1269332,16
620029613.0738255,15
621512707.0207177,20
622995800.9676101,18
624478894.9145024,28
625961988.8613946,16
627445082.808287,19
628928176.7551793,33
630411270.7020715,18
631894364.6489639,14
633377458.5958562,15
634860552.5427485,13
636343646.4896408,19
637826740.4365331,18
639309834.3834254,17
640792928.3303177,14
642276022.27721,16
643759116.2241023,22
645242210.1709946,17
646725304.1178869,18
648208398.0647792,21
649691492.0116714,20
651174585.9585638,15
652657679.9054561,11
654140773.8523483,33
655623867.7992407,42
657106961.746133,109
658590055.6930252,270
660073149.6399176,968
661556243.5868099,1774
663039337.5337021,1522
664522431.4805945,235
666005525.4274868,8
667488619.374379,5
668971713.3212714,2
670454807.2681637,1
671937901.215056,0
673420995.1619483,3
674904089.1088406,1
676387183.0557328,1
677870277.0026252,1
679353370.9495175,3
680836464.8964097,1
682319558.8433021,2
683802652.7901944,1
685285746.7370867,4
686768840.683979,1
688251934.6308713,0
689735028.5777636,4
691218122.5246558,1
692701216.4715482,3
694184310.4184405,1
695667404.3653327,1
697150498.3122251,1
698633592.2591174,1
700116686.2060096,0
701599780.152902,2
703082874.0997943,3
704565968.0466865,1
706049061.9935789,0
707532155.9404712,0
709015249.8873634,0
710498343.8342558,0
711981437.7811481,0
713464531.7280403,2
714947625.6749327,3
716430719.621825,0
717913813.5687172,1
719396907.5156096,1
720880001.4625019,0
722363095.4093941,0
723846189.3562865,1
725329283.3031788,0
726812377.250071,0
728295471.1969634,2
