G11_pendel
06.09.2021
17:21:54
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
4,000E-2 1,641E+0 -4,995E-1 3,795E-1 -8,241E-3 8,333E-3 NaN NaN
8,000E-2 1,584E+0 -5,041E-1 4,897E-1 -8,241E-3 1,667E-2 NaN NaN
1,200E-1 1,526E+0 -5,125E-1 4,353E-1 -8,241E-3 2,500E-2 NaN NaN
1,600E-1 1,468E+0 -5,173E-1 4,779E-1 -8,241E-3 3,333E-2 NaN NaN
2,000E-1 1,408E+0 -5,281E-1 4,829E-1 -8,241E-3 4,167E-2 NaN NaN
2,400E-1 1,347E+0 -5,364E-1 4,585E-1 -8,241E-3 5,000E-2 NaN NaN
2,800E-1 1,285E+0 -5,434E-1 2,597E+0 -8,241E-3 5,833E-2 NaN NaN
3,200E-1 1,223E+0 -5,552E-1 2,643E+0 -8,241E-3 6,667E-2 NaN NaN
3,600E-1 1,158E+0 -5,592E-1 2,640E+0 -8,241E-3 7,500E-2 NaN NaN
4,000E-1 1,094E+0 -5,634E-1 2,638E+0 -8,241E-3 8,333E-2 NaN NaN
4,400E-1 1,028E+0 -5,695E-1 4,389E-1 -8,241E-3 9,167E-2 NaN NaN
4,800E-1 9,624E-1 -5,658E-1 5,435E-1 -8,241E-3 1,000E-1 NaN NaN
5,200E-1 8,969E-1 -5,606E-1 6,449E-1 -8,241E-3 1,083E-1 NaN NaN
5,600E-1 8,318E-1 -5,542E-1 5,096E-1 -8,241E-3 1,167E-1 NaN NaN
6,000E-1 7,677E-1 -5,360E-1 5,370E-1 -8,241E-3 1,250E-1 NaN NaN
6,400E-1 7,057E-1 -5,119E-1 4,288E-1 -8,241E-3 1,333E-1 NaN NaN
6,800E-1 6,462E-1 -4,858E-1 4,824E-1 -8,241E-3 1,417E-1 NaN NaN
7,200E-1 5,900E-1 -4,474E-1 4,754E-1 -8,241E-3 1,500E-1 NaN NaN
7,600E-1 5,383E-1 -3,972E-1 6,248E-1 -8,241E-3 1,583E-1 NaN NaN
8,000E-1 4,924E-1 -3,423E-1 0,000E+0 0,000E+0 1,667E-1 NaN NaN
8,400E-1 4,525E-1 -2,812E-1 0,000E+0 0,000E+0 1,750E-1 NaN NaN
8,800E-1 4,198E-1 -2,071E-1 0,000E+0 0,000E+0 1,833E-1 NaN NaN
9,200E-1 3,956E-1 -1,225E-1 0,000E+0 0,000E+0 1,917E-1 NaN NaN
9,600E-1 3,810E-1 -3,510E-2 0,000E+0 0,000E+0 2,000E-1 NaN NaN
1,000E+0 3,761E-1 5,348E-2 0,000E+0 0,000E+0 2,083E-1 NaN NaN
1,040E+0 3,811E-1 1,453E-1 0,000E+0 0,000E+0 2,167E-1 NaN NaN
1,080E+0 3,965E-1 2,395E-1 0,000E+0 0,000E+0 2,250E-1 NaN NaN
1,120E+0 4,224E-1 3,297E-1 0,000E+0 0,000E+0 2,333E-1 NaN NaN
1,160E+0 4,580E-1 4,105E-1 0,000E+0 0,000E+0 2,417E-1 NaN NaN
1,200E+0 5,024E-1 4,810E-1 0,000E+0 0,000E+0 2,500E-1 NaN NaN
1,240E+0 5,544E-1 5,441E-1 0,000E+0 0,000E+0 2,583E-1 NaN NaN
1,280E+0 6,133E-1 5,989E-1 0,000E+0 0,000E+0 2,667E-1 NaN NaN
1,320E+0 6,780E-1 6,413E-1 0,000E+0 0,000E+0 2,750E-1 NaN NaN
1,360E+0 7,471E-1 6,680E-1 0,000E+0 0,000E+0 2,833E-1 NaN NaN
1,400E+0 8,187E-1 6,809E-1 0,000E+0 0,000E+0 2,917E-1 NaN NaN
1,440E+0 8,916E-1 6,849E-1 0,000E+0 0,000E+0 3,000E-1 NaN NaN
1,480E+0 9,650E-1 6,818E-1 0,000E+0 0,000E+0 3,083E-1 NaN NaN
1,520E+0 1,038E+0 6,700E-1 0,000E+0 0,000E+0 3,167E-1 NaN NaN
1,560E+0 1,109E+0 6,477E-1 0,000E+0 0,000E+0 3,250E-1 NaN NaN
1,600E+0 1,178E+0 6,213E-1 0,000E+0 0,000E+0 3,333E-1 NaN NaN
1,640E+0 1,244E+0 5,976E-1 0,000E+0 0,000E+0 3,417E-1 NaN NaN
1,680E+0 1,308E+0 5,733E-1 0,000E+0 0,000E+0 3,500E-1 NaN NaN
1,720E+0 1,368E+0 5,441E-1 0,000E+0 0,000E+0 3,583E-1 NaN NaN
1,760E+0 1,426E+0 5,155E-1 0,000E+0 0,000E+0 3,667E-1 NaN NaN
1,800E+0 1,481E+0 4,931E-1 0,000E+0 0,000E+0 3,750E-1 NaN NaN
1,840E+0 1,533E+0 4,694E-1 0,000E+0 0,000E+0 3,833E-1 NaN NaN
1,880E+0 1,583E+0 4,431E-1 0,000E+0 0,000E+0 3,917E-1 NaN NaN
1,920E+0 1,630E+0 4,243E-1 0,000E+0 0,000E+0 4,000E-1 NaN NaN
1,960E+0 1,676E+0 4,082E-1 0,000E+0 0,000E+0 4,083E-1 NaN NaN
2,000E+0 1,719E+0 3,881E-1 0,000E+0 0,000E+0 4,167E-1 NaN NaN
2,040E+0 1,761E+0 3,747E-1 0,000E+0 0,000E+0 4,250E-1 NaN NaN
2,080E+0 1,801E+0 3,649E-1 0,000E+0 0,000E+0 4,333E-1 NaN NaN
2,120E+0 1,840E+0 3,497E-1 0,000E+0 0,000E+0 4,417E-1 NaN NaN
2,160E+0 1,878E+0 3,421E-1 0,000E+0 0,000E+0 4,500E-1 NaN NaN
2,200E+0 1,915E+0 3,361E-1 0,000E+0 0,000E+0 4,583E-1 NaN NaN
2,240E+0 1,952E+0 3,255E-1 0,000E+0 0,000E+0 4,667E-1 NaN NaN
2,280E+0 1,987E+0 3,239E-1 0,000E+0 0,000E+0 4,750E-1 NaN NaN
2,320E+0 2,023E+0 3,197E-1 0,000E+0 0,000E+0 4,833E-1 NaN NaN
2,360E+0 2,057E+0 3,140E-1 0,000E+0 0,000E+0 4,917E-1 NaN NaN
2,400E+0 2,092E+0 3,169E-1 0,000E+0 0,000E+0 5,000E-1 NaN NaN
2,440E+0 2,127E+0 3,130E-1 0,000E+0 0,000E+0 5,083E-1 NaN NaN
2,480E+0 2,161E+0 3,136E-1 0,000E+0 0,000E+0 5,167E-1 NaN NaN
2,520E+0 2,196E+0 3,178E-1 0,000E+0 0,000E+0 5,250E-1 NaN NaN
2,560E+0 2,231E+0 3,152E-1 0,000E+0 0,000E+0 5,333E-1 NaN NaN
2,600E+0 2,267E+0 3,214E-1 0,000E+0 0,000E+0 5,417E-1 NaN NaN
2,640E+0 2,303E+0 3,241E-1 0,000E+0 0,000E+0 5,500E-1 NaN NaN
2,680E+0 2,339E+0 3,252E-1 0,000E+0 0,000E+0 5,583E-1 NaN NaN
2,720E+0 2,376E+0 3,334E-1 0,000E+0 0,000E+0 5,667E-1 NaN NaN
2,760E+0 2,413E+0 3,331E-1 0,000E+0 0,000E+0 5,750E-1 NaN NaN
2,800E+0 2,451E+0 3,381E-1 0,000E+0 0,000E+0 5,833E-1 NaN NaN
2,840E+0 2,489E+0 3,430E-1 0,000E+0 0,000E+0 5,917E-1 NaN NaN
2,880E+0 2,528E+0 3,405E-1 0,000E+0 0,000E+0 6,000E-1 NaN NaN
2,920E+0 2,566E+0 3,449E-1 0,000E+0 0,000E+0 6,083E-1 NaN NaN
2,960E+0 2,605E+0 3,421E-1 0,000E+0 0,000E+0 6,167E-1 NaN NaN
3,000E+0 2,644E+0 3,349E-1 0,000E+0 0,000E+0 6,250E-1 NaN NaN
3,040E+0 2,682E+0 3,314E-1 0,000E+0 0,000E+0 6,333E-1 NaN NaN
3,080E+0 2,720E+0 3,171E-1 0,000E+0 0,000E+0 6,417E-1 NaN NaN
3,120E+0 2,755E+0 2,985E-1 0,000E+0 0,000E+0 6,500E-1 NaN NaN
