G11_pendel
06.09.2021
17:20:15
nichtlineares Pendel
stimulation_fq[Hz]: 0,411
timeline range  for cut and FFT datapoints: 0-120s
Chaos_Versuch

t(s) Ua(V) -dUa/dt(V) cutX(V) cutY(V) F(Hz) DFT-Ua(V) DFT-dUa/dt(V)
4,000E-2 1,686E+0 9,430E-2 5,900E-1 -8,241E-3 8,333E-3 NaN NaN
8,000E-2 1,695E+0 7,583E-2 2,258E+0 -8,241E-3 1,667E-2 NaN NaN
1,200E-1 1,702E+0 6,046E-2 5,505E-1 -8,241E-3 2,500E-2 NaN NaN
1,600E-1 1,707E+0 4,719E-2 5,407E-1 -8,241E-3 3,333E-2 NaN NaN
2,000E-1 1,710E+0 3,171E-2 4,211E-1 -8,241E-3 4,167E-2 NaN NaN
2,400E-1 1,712E+0 2,070E-2 5,207E-1 -8,241E-3 5,000E-2 NaN NaN
2,800E-1 1,713E+0 8,717E-3 5,860E-1 -8,241E-3 5,833E-2 NaN NaN
3,200E-1 1,713E+0 -5,853E-3 5,678E-1 -8,241E-3 6,667E-2 NaN NaN
3,600E-1 1,711E+0 -1,364E-2 2,206E+0 -8,241E-3 7,500E-2 NaN NaN
4,000E-1 1,708E+0 -2,378E-2 5,633E-1 -8,241E-3 8,333E-2 NaN NaN
4,400E-1 1,703E+0 -3,597E-2 4,125E-1 -8,241E-3 9,167E-2 NaN NaN
4,800E-1 1,698E+0 -4,317E-2 3,936E-1 -8,241E-3 1,000E-1 NaN NaN
5,200E-1 1,692E+0 -5,203E-2 3,923E-1 -8,241E-3 1,083E-1 NaN NaN
5,600E-1 1,685E+0 -6,209E-2 4,664E-1 -8,241E-3 1,167E-1 NaN NaN
6,000E-1 1,676E+0 -6,997E-2 4,819E-1 -8,241E-3 1,250E-1 NaN NaN
6,400E-1 1,667E+0 -7,813E-2 6,337E-1 -8,241E-3 1,333E-1 NaN NaN
6,800E-1 1,657E+0 -8,805E-2 0,000E+0 0,000E+0 1,417E-1 NaN NaN
7,200E-1 1,645E+0 -9,660E-2 0,000E+0 0,000E+0 1,500E-1 NaN NaN
7,600E-1 1,633E+0 -1,056E-1 0,000E+0 0,000E+0 1,583E-1 NaN NaN
