G11_shinriki
06.09.2021
19:28:22
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,526E+0 1,765E-2 1,638E-1 1,428E+0 -5,596E-2 3,003E+1 2,328E+0
1,526E+0 1,781E-2 1,641E-1 1,426E+0 -5,598E-2 6,006E+1 1,164E+0
1,526E+0 1,781E-2 1,638E-1 1,426E+0 -5,599E-2 9,009E+1 1,372E-8
1,526E+0 1,765E-2 1,640E-1 1,425E+0 -5,599E-2 1,201E+2 1,723E-9
1,526E+0 1,748E-2 1,640E-1 1,425E+0 -5,599E-2 1,502E+2 4,074E-10
1,526E+0 1,797E-2 1,641E-1 1,421E+0 -5,603E-2 1,802E+2 5,990E-10
1,526E+0 1,781E-2 1,641E-1 1,421E+0 -5,604E-2 2,102E+2 4,280E-10
1,526E+0 1,781E-2 1,641E-1 1,421E+0 -5,604E-2 2,402E+2 3,088E-10
1,526E+0 1,765E-2 1,640E-1 1,421E+0 -5,604E-2 2,703E+2 3,993E-10
1,526E+0 1,781E-2 1,638E-1 1,418E+0 -5,606E-2 3,003E+2 2,816E-10
1,526E+0 1,765E-2 1,643E-1 1,419E+0 -5,605E-2 3,303E+2 2,872E-10
1,526E+0 1,781E-2 1,641E-1 1,420E+0 -5,604E-2 3,604E+2 7,800E-10
1,526E+0 1,765E-2 1,640E-1 1,423E+0 -5,601E-2 3,904E+2 7,111E-10
1,526E+0 1,781E-2 1,636E-1 1,422E+0 -5,602E-2 4,204E+2 2,926E-10
1,526E+0 1,781E-2 1,640E-1 1,424E+0 -5,601E-2 4,505E+2 2,485E-10
1,526E+0 1,765E-2 1,640E-1 1,423E+0 -5,602E-2 4,805E+2 4,906E-10
1,526E+0 1,765E-2 1,640E-1 1,425E+0 -5,599E-2 5,105E+2 3,580E-10
1,526E+0 1,781E-2 1,643E-1 1,420E+0 -5,604E-2 5,405E+2 3,673E-10
1,526E+0 1,765E-2 1,638E-1 1,420E+0 -5,604E-2 5,706E+2 6,010E-10
1,526E+0 1,765E-2 1,640E-1 1,419E+0 -5,605E-2 6,006E+2 3,626E-10
1,526E+0 1,781E-2 1,641E-1 1,417E+0 -5,608E-2 6,306E+2 3,167E-10
1,526E+0 1,781E-2 1,640E-1 1,418E+0 -5,606E-2 6,607E+2 1,262E-9
1,526E+0 1,765E-2 1,638E-1 1,418E+0 -5,606E-2 6,907E+2 1,976E-9
1,526E+0 1,765E-2 1,641E-1 1,420E+0 -5,604E-2 7,207E+2 1,095E-9
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 7,508E+2 1,659E-8
1,526E+0 1,814E-2 1,640E-1 0,000E+0 0,000E+0 7,808E+2 5,568E-8
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 8,108E+2 1,809E-8
1,526E+0 1,748E-2 1,640E-1 0,000E+0 0,000E+0 8,408E+2 9,390E-10
1,526E+0 1,797E-2 1,641E-1 0,000E+0 0,000E+0 8,709E+2 5,996E-10
1,526E+0 1,781E-2 1,638E-1 0,000E+0 0,000E+0 9,009E+2 3,086E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 9,309E+2 1,335E-10
1,526E+0 1,814E-2 1,640E-1 0,000E+0 0,000E+0 9,610E+2 1,459E-10
1,526E+0 1,814E-2 1,641E-1 0,000E+0 0,000E+0 9,910E+2 1,592E-10
1,526E+0 1,781E-2 1,636E-1 0,000E+0 0,000E+0 1,021E+3 1,463E-10
1,526E+0 1,781E-2 1,640E-1 0,000E+0 0,000E+0 1,051E+3 1,176E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 1,081E+3 1,901E-10
1,526E+0 1,781E-2 1,641E-1 0,000E+0 0,000E+0 1,111E+3 1,329E-10
1,526E+0 1,765E-2 1,640E-1 0,000E+0 0,000E+0 1,141E+3 1,200E-10
