G11_shinriki
06.09.2021
19:37:54
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

1,778E+0 1,235E-1 1,039E-1 8,993E-1 -6,103E-2 3,003E+1 2,174E+0
1,794E+0 1,296E-1 1,068E-1 -1,588E-2 -6,837E-2 6,006E+1 1,088E+0
1,811E+0 1,357E-1 1,096E-1 1,470E+0 -5,613E-2 9,009E+1 4,869E-7
1,827E+0 1,419E-1 1,129E-1 8,998E-1 -6,103E-2 1,201E+2 1,739E-6
1,843E+0 1,477E-1 1,157E-1 -1,716E-2 -6,838E-2 1,502E+2 4,460E-6
1,860E+0 1,534E-1 1,195E-1 1,471E+0 -5,613E-2 1,802E+2 2,372E-5
1,877E+0 1,594E-1 1,226E-1 9,026E-1 -6,101E-2 2,102E+2 5,268E-4
1,893E+0 1,649E-1 1,266E-1 -1,648E-2 -6,837E-2 2,402E+2 5,287E-2
1,910E+0 1,707E-1 1,305E-1 1,470E+0 -5,614E-2 2,703E+2 9,858E-2
1,926E+0 1,765E-1 1,342E-1 8,974E-1 -6,105E-2 3,003E+2 1,037E-2
1,943E+0 1,816E-1 1,383E-1 -1,794E-2 -6,838E-2 3,303E+2 8,298E-5
1,959E+0 1,868E-1 1,422E-1 1,472E+0 -5,612E-2 3,604E+2 1,438E-5
1,976E+0 1,924E-1 1,465E-1 9,059E-1 -6,098E-2 3,904E+2 1,634E-5
1,992E+0 1,972E-1 1,505E-1 -1,652E-2 -6,837E-2 4,204E+2 8,564E-5
2,008E+0 2,025E-1 1,546E-1 1,471E+0 -5,613E-2 4,505E+2 4,118E-3
2,023E+0 2,072E-1 1,600E-1 9,016E-1 -6,101E-2 4,805E+2 8,562E-2
2,039E+0 2,119E-1 1,645E-1 -1,708E-2 -6,838E-2 5,105E+2 7,764E-2
2,054E+0 2,166E-1 1,689E-1 1,470E+0 -5,613E-2 5,405E+2 2,665E-3
2,069E+0 2,209E-1 1,737E-1 9,000E-1 -6,103E-2 5,706E+2 7,480E-5
2,083E+0 2,253E-1 1,786E-1 -1,703E-2 -6,838E-2 6,006E+2 1,905E-5
2,097E+0 2,293E-1 1,835E-1 1,471E+0 -5,613E-2 6,306E+2 2,418E-5
2,111E+0 2,336E-1 1,885E-1 9,024E-1 -6,101E-2 6,607E+2 1,383E-4
2,124E+0 2,370E-1 1,937E-1 -1,781E-2 -6,838E-2 6,907E+2 3,033E-2
2,137E+0 2,407E-1 1,989E-1 0,000E+0 0,000E+0 7,207E+2 2,239E-1
2,149E+0 2,439E-1 2,040E-1 0,000E+0 0,000E+0 7,508E+2 9,796E-2
2,161E+0 2,476E-1 2,091E-1 0,000E+0 0,000E+0 7,808E+2 4,841E-4
2,172E+0 2,504E-1 2,147E-1 0,000E+0 0,000E+0 8,108E+2 2,228E-5
2,183E+0 2,530E-1 2,199E-1 0,000E+0 0,000E+0 8,408E+2 3,373E-6
2,193E+0 2,558E-1 2,255E-1 0,000E+0 0,000E+0 8,709E+2 8,802E-7
2,203E+0 2,581E-1 2,305E-1 0,000E+0 0,000E+0 9,009E+2 8,213E-7
2,212E+0 2,602E-1 2,359E-1 0,000E+0 0,000E+0 9,309E+2 3,314E-4
2,221E+0 2,622E-1 2,415E-1 0,000E+0 0,000E+0 9,610E+2 1,037E-3
2,229E+0 2,637E-1 2,474E-1 0,000E+0 0,000E+0 9,910E+2 2,102E-4
2,237E+0 2,650E-1 2,527E-1 0,000E+0 0,000E+0 1,021E+3 2,295E-7
2,243E+0 2,663E-1 2,579E-1 0,000E+0 0,000E+0 1,051E+3 1,026E-7
2,250E+0 2,672E-1 2,637E-1 0,000E+0 0,000E+0 1,081E+3 2,067E-7
2,256E+0 2,678E-1 2,691E-1 0,000E+0 0,000E+0 1,111E+3 8,892E-7
2,262E+0 2,680E-1 2,744E-1 0,000E+0 0,000E+0 1,141E+3 1,898E-5
2,267E+0 2,681E-1 2,800E-1 0,000E+0 0,000E+0 1,171E+3 1,116E-3
2,271E+0 2,678E-1 2,856E-1 0,000E+0 0,000E+0 1,201E+3 1,700E-3
2,275E+0 2,672E-1 2,912E-1 0,000E+0 0,000E+0 1,231E+3 1,368E-4
2,279E+0 2,665E-1 2,961E-1 0,000E+0 0,000E+0 1,261E+3 1,829E-6
2,281E+0 2,655E-1 3,016E-1 0,000E+0 0,000E+0 1,291E+3 3,560E-7
2,284E+0 2,642E-1 3,070E-1 0,000E+0 0,000E+0 1,321E+3 3,284E-7
2,286E+0 2,624E-1 3,122E-1 0,000E+0 0,000E+0 1,351E+3 1,333E-6
2,287E+0 2,607E-1 3,175E-1 0,000E+0 0,000E+0 1,381E+3 7,258E-5
2,288E+0 2,583E-1 3,223E-1 0,000E+0 0,000E+0 1,411E+3 1,091E-3
2,288E+0 2,558E-1 3,272E-1 0,000E+0 0,000E+0 1,441E+3 8,070E-4
2,288E+0 2,530E-1 3,325E-1 0,000E+0 0,000E+0 1,471E+3 1,820E-5
2,288E+0 2,497E-1 3,371E-1 0,000E+0 0,000E+0 1,502E+3 6,234E-7
2,287E+0 2,463E-1 3,419E-1 0,000E+0 0,000E+0 1,532E+3 1,232E-7
2,285E+0 2,425E-1 3,463E-1 0,000E+0 0,000E+0 1,562E+3 7,140E-8
2,283E+0 2,387E-1 3,504E-1 0,000E+0 0,000E+0 1,592E+3 2,144E-7
2,280E+0 2,344E-1 3,552E-1 0,000E+0 0,000E+0 1,622E+3 7,872E-5
2,278E+0 2,300E-1 3,588E-1 0,000E+0 0,000E+0 1,652E+3 4,485E-4
2,274E+0 2,252E-1 3,629E-1 0,000E+0 0,000E+0 1,682E+3 1,615E-4
2,270E+0 2,201E-1 3,669E-1 0,000E+0 0,000E+0 1,712E+3 4,043E-7
2,266E+0 2,150E-1 3,708E-1 0,000E+0 0,000E+0 1,742E+3 3,941E-8
2,261E+0 2,094E-1 3,740E-1 0,000E+0 0,000E+0 1,772E+3 1,575E-8
2,255E+0 2,035E-1 3,774E-1 0,000E+0 0,000E+0 1,802E+3 3,546E-8
2,250E+0 1,977E-1 3,810E-1 0,000E+0 0,000E+0 1,832E+3 1,965E-7
2,244E+0 1,913E-1 3,840E-1 0,000E+0 0,000E+0 1,862E+3 5,996E-5
2,238E+0 1,849E-1 3,873E-1 0,000E+0 0,000E+0 1,892E+3 1,553E-4
2,230E+0 1,781E-1 3,901E-1 0,000E+0 0,000E+0 1,922E+3 2,497E-5
2,224E+0 1,712E-1 3,929E-1 0,000E+0 0,000E+0 1,952E+3 7,756E-8
2,216E+0 1,640E-1 3,952E-1 0,000E+0 0,000E+0 1,982E+3 2,103E-8
2,207E+0 1,567E-1 3,977E-1 0,000E+0 0,000E+0 2,012E+3 9,430E-9
2,199E+0 1,490E-1 4,000E-1 0,000E+0 0,000E+0 2,042E+3 2,304E-8
2,191E+0 1,416E-1 4,018E-1 0,000E+0 0,000E+0 2,072E+3 3,728E-7
2,182E+0 1,333E-1 4,038E-1 0,000E+0 0,000E+0 2,102E+3 1,220E-5
2,172E+0 1,254E-1 4,056E-1 0,000E+0 0,000E+0 2,132E+3 1,512E-5
2,162E+0 1,172E-1 4,069E-1 0,000E+0 0,000E+0 2,162E+3 9,853E-7
2,152E+0 1,085E-1 4,080E-1 0,000E+0 0,000E+0 2,192E+3 2,829E-8
2,141E+0 1,001E-1 4,097E-1 0,000E+0 0,000E+0 2,222E+3 1,925E-8
2,130E+0 9,154E-2 4,105E-1 0,000E+0 0,000E+0 2,252E+3 1,385E-8
2,119E+0 8,233E-2 4,115E-1 0,000E+0 0,000E+0 2,282E+3 6,454E-8
2,108E+0 7,311E-2 4,122E-1 0,000E+0 0,000E+0 2,312E+3 4,019E-6
2,096E+0 6,422E-2 4,126E-1 0,000E+0 0,000E+0 2,342E+3 4,437E-5
2,083E+0 5,501E-2 4,128E-1 0,000E+0 0,000E+0 2,372E+3 2,728E-5
2,071E+0 4,546E-2 4,128E-1 0,000E+0 0,000E+0 2,402E+3 4,809E-7
2,058E+0 3,624E-2 4,125E-1 0,000E+0 0,000E+0 2,432E+3 1,884E-8
2,045E+0 2,653E-2 4,120E-1 0,000E+0 0,000E+0 2,462E+3 9,100E-9
2,031E+0 1,715E-2 4,117E-1 0,000E+0 0,000E+0 2,492E+3 4,958E-9
2,019E+0 7,277E-3 4,110E-1 0,000E+0 0,000E+0 2,523E+3 8,941E-9
2,005E+0 -2,269E-3 4,102E-1 0,000E+0 0,000E+0 2,553E+3 9,868E-7
1,991E+0 -1,198E-2 4,080E-1 0,000E+0 0,000E+0 2,583E+3 4,156E-6
1,977E+0 -2,153E-2 4,072E-1 0,000E+0 0,000E+0 2,613E+3 1,242E-6
1,962E+0 -3,156E-2 4,054E-1 0,000E+0 0,000E+0 2,643E+3 4,949E-9
1,948E+0 -4,128E-2 4,038E-1 0,000E+0 0,000E+0 2,673E+3 6,893E-9
1,933E+0 -5,082E-2 4,010E-1 0,000E+0 0,000E+0 2,703E+3 5,482E-9
1,918E+0 -6,070E-2 3,988E-1 0,000E+0 0,000E+0 2,733E+3 8,021E-9
1,902E+0 -7,041E-2 3,962E-1 0,000E+0 0,000E+0 2,763E+3 6,674E-8
1,887E+0 -7,962E-2 3,926E-1 0,000E+0 0,000E+0 2,793E+3 8,309E-6
1,871E+0 -8,933E-2 3,901E-1 0,000E+0 0,000E+0 2,823E+3 1,734E-5
1,855E+0 -9,855E-2 3,868E-1 0,000E+0 0,000E+0 2,853E+3 2,258E-6
1,839E+0 -1,083E-1 3,832E-1 0,000E+0 0,000E+0 2,883E+3 1,908E-8
1,823E+0 -1,173E-1 3,794E-1 0,000E+0 0,000E+0 2,913E+3 1,347E-8
1,807E+0 -1,267E-1 3,754E-1 0,000E+0 0,000E+0 2,943E+3 7,419E-9
1,790E+0 -1,353E-1 3,713E-1 0,000E+0 0,000E+0 2,973E+3 1,608E-8
1,774E+0 -1,445E-1 3,672E-1 0,000E+0 0,000E+0 3,003E+3 2,191E-7
1,757E+0 -1,529E-1 3,626E-1 0,000E+0 0,000E+0 3,033E+3 4,888E-6
1,741E+0 -1,616E-1 3,577E-1 0,000E+0 0,000E+0 3,063E+3 5,020E-6
1,725E+0 -1,700E-1 3,527E-1 0,000E+0 0,000E+0 3,093E+3 2,547E-7
1,708E+0 -1,780E-1 3,475E-1 0,000E+0 0,000E+0 3,123E+3 1,582E-8
1,691E+0 -1,861E-1 3,427E-1 0,000E+0 0,000E+0 3,153E+3 4,044E-9
1,674E+0 -1,940E-1 3,368E-1 0,000E+0 0,000E+0 3,183E+3 3,368E-9
1,657E+0 -2,017E-1 3,318E-1 0,000E+0 0,000E+0 3,213E+3 4,910E-9
1,640E+0 -2,088E-1 3,257E-1 0,000E+0 0,000E+0 3,243E+3 6,553E-8
1,623E+0 -2,161E-1 3,197E-1 0,000E+0 0,000E+0 3,273E+3 4,695E-7
1,607E+0 -2,228E-1 3,137E-1 0,000E+0 0,000E+0 3,303E+3 2,439E-7
1,590E+0 -2,296E-1 3,075E-1 0,000E+0 0,000E+0 3,333E+3 8,555E-9
1,573E+0 -2,361E-1 3,014E-1 0,000E+0 0,000E+0 3,363E+3 2,929E-9
1,556E+0 -2,422E-1 2,951E-1 0,000E+0 0,000E+0 3,393E+3 2,359E-9
1,539E+0 -2,482E-1 2,887E-1 0,000E+0 0,000E+0 3,423E+3 2,735E-9
1,523E+0 -2,536E-1 2,820E-1 0,000E+0 0,000E+0 3,453E+3 3,385E-9
1,506E+0 -2,590E-1 2,749E-1 0,000E+0 0,000E+0 3,483E+3 1,031E-6
1,490E+0 -2,636E-1 2,683E-1 0,000E+0 0,000E+0 3,514E+3 3,618E-6
1,473E+0 -2,686E-1 2,616E-1 0,000E+0 0,000E+0 3,544E+3 8,527E-7
1,457E+0 -2,732E-1 2,546E-1 0,000E+0 0,000E+0 3,574E+3 2,474E-9
1,440E+0 -2,770E-1 2,476E-1 0,000E+0 0,000E+0 3,604E+3 2,211E-9
1,423E+0 -2,809E-1 2,407E-1 0,000E+0 0,000E+0 3,634E+3 2,638E-9
1,407E+0 -2,842E-1 2,331E-1 0,000E+0 0,000E+0 3,664E+3 3,364E-9
1,391E+0 -2,875E-1 2,265E-1 0,000E+0 0,000E+0 3,694E+3 3,514E-9
1,374E+0 -2,901E-1 2,189E-1 0,000E+0 0,000E+0 3,724E+3 8,212E-8
1,358E+0 -2,926E-1 2,117E-1 0,000E+0 0,000E+0 3,754E+3 1,299E-7
1,342E+0 -2,949E-1 2,044E-1 0,000E+0 0,000E+0 3,784E+3 1,736E-8
1,326E+0 -2,970E-1 1,969E-1 0,000E+0 0,000E+0 3,814E+3 3,935E-9
1,310E+0 -2,982E-1 1,901E-1 0,000E+0 0,000E+0 3,844E+3 2,447E-9
1,295E+0 -2,997E-1 1,824E-1 0,000E+0 0,000E+0 3,874E+3 2,046E-9
1,279E+0 -3,005E-1 1,752E-1 0,000E+0 0,000E+0 3,904E+3 6,998E-9
1,263E+0 -3,007E-1 1,681E-1 0,000E+0 0,000E+0 3,934E+3 4,838E-8
1,248E+0 -3,012E-1 1,610E-1 0,000E+0 0,000E+0 3,964E+3 6,217E-7
1,233E+0 -3,010E-1 1,538E-1 0,000E+0 0,000E+0 3,994E+3 5,264E-7
1,218E+0 -3,003E-1 1,468E-1 0,000E+0 0,000E+0 4,024E+3 2,414E-8
1,204E+0 -2,997E-1 1,396E-1 0,000E+0 0,000E+0 4,054E+3 3,524E-9
1,189E+0 -2,984E-1 1,325E-1 0,000E+0 0,000E+0 4,084E+3 2,989E-9
1,175E+0 -2,972E-1 1,253E-1 0,000E+0 0,000E+0 4,114E+3 3,763E-9
1,161E+0 -2,956E-1 1,184E-1 0,000E+0 0,000E+0 4,144E+3 2,837E-9
1,147E+0 -2,934E-1 1,118E-1 0,000E+0 0,000E+0 4,174E+3 9,050E-8
1,133E+0 -2,908E-1 1,049E-1 0,000E+0 0,000E+0 4,204E+3 5,129E-7
1,119E+0 -2,885E-1 9,813E-2 0,000E+0 0,000E+0 4,234E+3 2,288E-7
1,106E+0 -2,854E-1 9,187E-2 0,000E+0 0,000E+0 4,264E+3 5,808E-9
1,094E+0 -2,819E-1 8,496E-2 0,000E+0 0,000E+0 4,294E+3 2,375E-9
1,081E+0 -2,786E-1 7,838E-2 0,000E+0 0,000E+0 4,324E+3 1,869E-9
1,069E+0 -2,745E-1 7,262E-2 0,000E+0 0,000E+0 4,354E+3 2,001E-9
1,057E+0 -2,705E-1 6,620E-2 0,000E+0 0,000E+0 4,384E+3 1,701E-9
1,045E+0 -2,661E-1 6,027E-2 0,000E+0 0,000E+0 4,414E+3 3,779E-8
1,034E+0 -2,615E-1 5,402E-2 0,000E+0 0,000E+0 4,444E+3 9,554E-8
1,023E+0 -2,566E-1 4,826E-2 0,000E+0 0,000E+0 4,474E+3 2,431E-8
1,012E+0 -2,513E-1 4,299E-2 0,000E+0 0,000E+0 4,505E+3 6,425E-9
1,002E+0 -2,457E-1 3,690E-2 0,000E+0 0,000E+0 4,535E+3 3,589E-9
9,918E-1 -2,403E-1 3,180E-2 0,000E+0 0,000E+0 4,565E+3 3,509E-9
9,823E-1 -2,342E-1 2,686E-2 0,000E+0 0,000E+0 4,595E+3 2,564E-9
9,731E-1 -2,282E-1 2,176E-2 0,000E+0 0,000E+0 4,625E+3 7,577E-9
9,640E-1 -2,218E-1 1,682E-2 0,000E+0 0,000E+0 4,655E+3 1,563E-7
9,556E-1 -2,152E-1 1,205E-2 0,000E+0 0,000E+0 4,685E+3 2,088E-7
9,475E-1 -2,087E-1 7,277E-3 0,000E+0 0,000E+0 4,715E+3 2,426E-8
9,403E-1 -2,017E-1 3,162E-3 0,000E+0 0,000E+0 4,745E+3 3,111E-9
9,337E-1 -1,945E-1 -1,281E-3 0,000E+0 0,000E+0 4,775E+3 2,010E-9
9,270E-1 -1,871E-1 -5,231E-3 0,000E+0 0,000E+0 4,805E+3 1,619E-9
9,215E-1 -1,797E-1 -9,017E-3 0,000E+0 0,000E+0 4,835E+3 1,515E-9
9,158E-1 -1,721E-1 -1,313E-2 0,000E+0 0,000E+0 4,865E+3 5,936E-9
9,110E-1 -1,644E-1 -1,609E-2 0,000E+0 0,000E+0 4,895E+3 3,348E-8
9,067E-1 -1,565E-1 -1,971E-2 0,000E+0 0,000E+0 4,925E+3 2,735E-8
9,031E-1 -1,484E-1 -2,284E-2 0,000E+0 0,000E+0 4,955E+3 3,886E-9
8,998E-1 -1,400E-1 -2,580E-2 0,000E+0 0,000E+0 4,985E+3 1,877E-9
8,972E-1 -1,318E-1 -2,877E-2 0,000E+0 0,000E+0 5,015E+3 2,120E-9
8,952E-1 -1,236E-1 -3,140E-2 0,000E+0 0,000E+0 5,045E+3 2,132E-9
