G11_shinriki
06.09.2021
19:41:14
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

7,769E-1 2,341E-2 1,291E-1 1,136E+0 -5,915E-2 3,003E+1 2,553E+0
7,862E-1 1,962E-2 1,291E-1 -2,333E-1 -7,011E-2 6,006E+1 1,294E+0
7,960E-1 1,600E-2 1,296E-1 1,729E+0 -5,360E-2 9,009E+1 3,226E-2
8,052E-1 1,271E-2 1,294E-1 1,566E+0 -5,533E-2 1,201E+2 5,574E-2
8,142E-1 8,923E-3 1,294E-1 1,057E+0 -5,981E-2 1,502E+2 5,516E-2
8,231E-1 5,796E-3 1,289E-1 -3,418E-1 -7,096E-2 1,802E+2 9,532E-2
8,323E-1 2,833E-3 1,286E-1 1,566E+0 -5,532E-2 2,102E+2 1,429E-1
8,409E-1 -1,293E-4 1,284E-1 1,059E+0 -5,979E-2 2,402E+2 1,761E-1
8,498E-1 -3,256E-3 1,278E-1 -3,387E-1 -7,093E-2 2,703E+2 1,830E-1
8,580E-1 -6,054E-3 1,274E-1 1,583E+0 -5,516E-2 3,003E+2 1,432E-1
8,662E-1 -8,852E-3 1,268E-1 1,124E+0 -5,925E-2 3,303E+2 1,924E-1
8,748E-1 -1,149E-2 1,264E-1 -2,533E-1 -7,026E-2 3,604E+2 9,996E-2
8,827E-1 -1,395E-2 1,253E-1 1,620E+0 -5,478E-2 3,904E+2 6,660E-2
8,901E-1 -1,626E-2 1,248E-1 1,262E+0 -5,809E-2 4,204E+2 1,207E-1
8,980E-1 -1,823E-2 1,240E-1 2,607E-2 -6,807E-2 4,505E+2 9,235E-2
9,057E-1 -2,054E-2 1,226E-1 1,291E+0 -5,783E-2 4,805E+2 8,583E-2
9,135E-1 -2,235E-2 1,223E-1 9,851E-2 -6,750E-2 5,105E+2 1,264E-1
9,212E-1 -2,416E-2 1,217E-1 1,096E+0 -5,949E-2 5,405E+2 9,454E-2
9,286E-1 -2,613E-2 1,203E-1 -3,024E-1 -7,065E-2 5,706E+2 1,097E-1
9,365E-1 -2,745E-2 1,197E-1 0,000E+0 0,000E+0 6,006E+2 1,383E-1
9,438E-1 -2,893E-2 1,187E-1 0,000E+0 0,000E+0 6,306E+2 1,311E-1
9,512E-1 -3,008E-2 1,175E-1 0,000E+0 0,000E+0 6,607E+2 1,322E-1
9,582E-1 -3,140E-2 1,164E-1 0,000E+0 0,000E+0 6,907E+2 2,784E-1
9,656E-1 -3,222E-2 1,151E-1 0,000E+0 0,000E+0 7,207E+2 2,399E-1
9,727E-1 -3,305E-2 1,141E-1 0,000E+0 0,000E+0 7,508E+2 1,351E-1
9,801E-1 -3,370E-2 1,128E-1 0,000E+0 0,000E+0 7,808E+2 7,816E-2
9,877E-1 -3,453E-2 1,120E-1 0,000E+0 0,000E+0 8,108E+2 5,910E-2
9,951E-1 -3,502E-2 1,108E-1 0,000E+0 0,000E+0 8,408E+2 2,073E-2
1,002E+0 -3,535E-2 1,096E-1 0,000E+0 0,000E+0 8,709E+2 5,141E-3
1,010E+0 -3,535E-2 1,083E-1 0,000E+0 0,000E+0 9,009E+2 2,029E-3
1,017E+0 -3,535E-2 1,073E-1 0,000E+0 0,000E+0 9,309E+2 8,192E-4
1,024E+0 -3,535E-2 1,059E-1 0,000E+0 0,000E+0 9,610E+2 6,195E-4
1,032E+0 -3,502E-2 1,052E-1 0,000E+0 0,000E+0 9,910E+2 7,102E-4
1,040E+0 -3,486E-2 1,041E-1 0,000E+0 0,000E+0 1,021E+3 1,084E-3
1,048E+0 -3,436E-2 1,024E-1 0,000E+0 0,000E+0 1,051E+3 1,316E-3
1,056E+0 -3,370E-2 1,017E-1 0,000E+0 0,000E+0 1,081E+3 7,738E-4
1,064E+0 -3,288E-2 1,009E-1 0,000E+0 0,000E+0 1,111E+3 7,409E-4
1,071E+0 -3,206E-2 9,928E-2 0,000E+0 0,000E+0 1,141E+3 7,808E-4
1,080E+0 -3,107E-2 9,879E-2 0,000E+0 0,000E+0 1,171E+3 8,919E-4
1,088E+0 -2,992E-2 9,747E-2 0,000E+0 0,000E+0 1,201E+3 1,016E-3
1,097E+0 -2,877E-2 9,665E-2 0,000E+0 0,000E+0 1,231E+3 1,088E-3
1,105E+0 -2,729E-2 9,566E-2 0,000E+0 0,000E+0 1,261E+3 1,357E-3
1,114E+0 -2,580E-2 9,467E-2 0,000E+0 0,000E+0 1,291E+3 1,091E-3
1,123E+0 -2,366E-2 9,401E-2 0,000E+0 0,000E+0 1,321E+3 1,492E-3
1,132E+0 -2,185E-2 9,286E-2 0,000E+0 0,000E+0 1,351E+3 5,377E-3
1,141E+0 -2,021E-2 9,253E-2 0,000E+0 0,000E+0 1,381E+3 3,936E-3
1,151E+0 -1,823E-2 9,187E-2 0,000E+0 0,000E+0 1,411E+3 1,727E-3
1,161E+0 -1,593E-2 9,089E-2 0,000E+0 0,000E+0 1,441E+3 1,025E-3
1,171E+0 -1,379E-2 9,056E-2 0,000E+0 0,000E+0 1,471E+3 6,246E-4
1,181E+0 -1,149E-2 9,006E-2 0,000E+0 0,000E+0 1,502E+3 6,347E-4
1,191E+0 -8,852E-3 8,940E-2 0,000E+0 0,000E+0 1,532E+3 3,400E-4
1,202E+0 -6,383E-3 8,924E-2 0,000E+0 0,000E+0 1,562E+3 3,225E-4
1,213E+0 -3,915E-3 8,858E-2 0,000E+0 0,000E+0 1,592E+3 5,093E-4
1,224E+0 -1,117E-3 8,858E-2 0,000E+0 0,000E+0 1,622E+3 4,006E-4
1,235E+0 1,846E-3 8,809E-2 0,000E+0 0,000E+0 1,652E+3 2,413E-4
1,247E+0 4,973E-3 8,825E-2 0,000E+0 0,000E+0 1,682E+3 1,892E-4
1,259E+0 7,935E-3 8,809E-2 0,000E+0 0,000E+0 1,712E+3 1,693E-4
1,270E+0 1,106E-2 8,825E-2 0,000E+0 0,000E+0 1,742E+3 1,230E-4
1,283E+0 1,419E-2 8,809E-2 0,000E+0 0,000E+0 1,772E+3 1,166E-4
1,296E+0 1,748E-2 8,809E-2 0,000E+0 0,000E+0 1,802E+3 1,225E-4
1,309E+0 2,110E-2 8,858E-2 0,000E+0 0,000E+0 1,832E+3 7,894E-5
1,322E+0 2,439E-2 8,875E-2 0,000E+0 0,000E+0 1,862E+3 6,727E-5
1,336E+0 2,785E-2 8,924E-2 0,000E+0 0,000E+0 1,892E+3 8,625E-5
1,350E+0 3,131E-2 8,990E-2 0,000E+0 0,000E+0 1,922E+3 5,638E-5
1,364E+0 3,493E-2 9,023E-2 0,000E+0 0,000E+0 1,952E+3 7,740E-5
1,379E+0 3,888E-2 9,105E-2 0,000E+0 0,000E+0 1,982E+3 7,948E-5
1,394E+0 4,250E-2 9,171E-2 0,000E+0 0,000E+0 2,012E+3 2,082E-4
