G11_shinriki
06.09.2021
19:42:12
shinriki oszillator
DFT of V1
shinriki oszillator 
Chaos_Versuch
V1(V) V2(V) V3(V) cutX(V) cutY(V) DFTfq(Hz) DFTY(power)

2,405E+0 2,639E-1 4,742E-1 -1,220E-1 -6,923E-2 3,003E+1 2,191E+0
2,395E+0 2,538E-1 4,790E-1 1,606E+0 -5,495E-2 6,006E+1 1,942E+0
2,383E+0 2,430E-1 4,824E-1 1,164E+0 -5,893E-2 9,009E+1 1,465E+0
2,372E+0 2,323E-1 4,857E-1 -3,271E-1 -7,084E-2 1,201E+2 3,372E-1
2,360E+0 2,207E-1 4,893E-1 1,612E+0 -5,489E-2 1,502E+2 2,978E-1
2,347E+0 2,092E-1 4,928E-1 1,193E+0 -5,869E-2 1,802E+2 2,522E-1
2,334E+0 1,975E-1 4,954E-1 -2,638E-1 -7,035E-2 2,102E+2 2,748E-1
2,320E+0 1,854E-1 4,984E-1 1,696E+0 -5,400E-2 2,402E+2 1,900E-1
2,306E+0 1,730E-1 5,007E-1 1,478E+0 -5,619E-2 2,703E+2 9,136E-2
2,291E+0 1,603E-1 5,027E-1 6,400E-1 -6,321E-2 3,003E+2 8,889E-2
2,276E+0 1,472E-1 5,048E-1 -3,644E-1 -7,113E-2 3,303E+2 6,709E-2
2,260E+0 1,342E-1 5,061E-1 1,418E+0 -5,673E-2 3,604E+2 9,523E-2
2,244E+0 1,210E-1 5,074E-1 4,105E-1 -6,504E-2 3,904E+2 6,688E-2
2,227E+0 1,078E-1 5,088E-1 1,286E-1 -6,727E-2 4,204E+2 6,776E-2
2,211E+0 9,401E-2 5,096E-1 9,647E-1 -6,058E-2 4,505E+2 5,298E-2
2,193E+0 8,035E-2 5,101E-1 -5,696E-1 -7,273E-2 4,805E+2 4,683E-2
2,175E+0 6,620E-2 5,101E-1 -1,940E+0 -8,285E-2 5,105E+2 6,702E-2
2,157E+0 5,188E-2 5,101E-1 -1,990E+0 -8,365E-2 5,405E+2 1,042E-1
2,138E+0 3,740E-2 5,097E-1 -2,054E+0 -8,478E-2 5,706E+2 8,094E-2
2,120E+0 2,341E-2 5,094E-1 -2,026E+0 -8,427E-2 6,006E+2 1,087E-1
2,101E+0 8,594E-3 5,081E-1 0,000E+0 0,000E+0 6,306E+2 1,348E-1
2,081E+0 -5,890E-3 5,071E-1 0,000E+0 0,000E+0 6,607E+2 1,349E-1
2,060E+0 -2,054E-2 5,050E-1 0,000E+0 0,000E+0 6,907E+2 1,932E-1
2,040E+0 -3,502E-2 5,032E-1 0,000E+0 0,000E+0 7,207E+2 1,434E-1
2,019E+0 -4,983E-2 5,005E-1 0,000E+0 0,000E+0 7,508E+2 1,053E-1
1,998E+0 -6,481E-2 4,977E-1 0,000E+0 0,000E+0 7,808E+2 5,020E-2
1,977E+0 -7,896E-2 4,943E-1 0,000E+0 0,000E+0 8,108E+2 3,704E-2
1,955E+0 -9,394E-2 4,915E-1 0,000E+0 0,000E+0 8,408E+2 1,268E-2
1,934E+0 -1,083E-1 4,877E-1 0,000E+0 0,000E+0 8,709E+2 4,888E-3
1,912E+0 -1,232E-1 4,841E-1 0,000E+0 0,000E+0 9,009E+2 2,412E-3
1,889E+0 -1,376E-1 4,791E-1 0,000E+0 0,000E+0 9,309E+2 5,736E-4
1,867E+0 -1,520E-1 4,747E-1 0,000E+0 0,000E+0 9,610E+2 7,062E-4
1,844E+0 -1,659E-1 4,694E-1 0,000E+0 0,000E+0 9,910E+2 6,802E-4
1,821E+0 -1,800E-1 4,642E-1 0,000E+0 0,000E+0 1,021E+3 8,839E-4
1,798E+0 -1,938E-1 4,586E-1 0,000E+0 0,000E+0 1,051E+3 5,106E-4
1,776E+0 -2,077E-1 4,530E-1 0,000E+0 0,000E+0 1,081E+3 9,346E-4
1,753E+0 -2,213E-1 4,465E-1 0,000E+0 0,000E+0 1,111E+3 5,619E-4
1,729E+0 -2,343E-1 4,400E-1 0,000E+0 0,000E+0 1,141E+3 4,846E-4
1,705E+0 -2,477E-1 4,334E-1 0,000E+0 0,000E+0 1,171E+3 8,618E-4
1,681E+0 -2,603E-1 4,261E-1 0,000E+0 0,000E+0 1,201E+3 1,370E-3
1,658E+0 -2,728E-1 4,191E-1 0,000E+0 0,000E+0 1,231E+3 1,095E-3
1,634E+0 -2,849E-1 4,115E-1 0,000E+0 0,000E+0 1,261E+3 8,871E-4
1,610E+0 -2,974E-1 4,034E-1 0,000E+0 0,000E+0 1,291E+3 1,270E-3
1,586E+0 -3,091E-1 3,955E-1 0,000E+0 0,000E+0 1,321E+3 1,315E-3
1,561E+0 -3,202E-1 3,871E-1 0,000E+0 0,000E+0 1,351E+3 1,927E-3
1,536E+0 -3,314E-1 3,786E-1 0,000E+0 0,000E+0 1,381E+3 2,201E-3
1,511E+0 -3,420E-1 3,699E-1 0,000E+0 0,000E+0 1,411E+3 1,322E-3
1,487E+0 -3,523E-1 3,608E-1 0,000E+0 0,000E+0 1,441E+3 8,401E-4
1,462E+0 -3,622E-1 3,519E-1 0,000E+0 0,000E+0 1,471E+3 3,449E-4
1,437E+0 -3,718E-1 3,427E-1 0,000E+0 0,000E+0 1,502E+3 4,930E-4
1,413E+0 -3,808E-1 3,333E-1 0,000E+0 0,000E+0 1,532E+3 5,079E-4
1,388E+0 -3,894E-1 3,238E-1 0,000E+0 0,000E+0 1,562E+3 3,895E-4
1,363E+0 -3,981E-1 3,139E-1 0,000E+0 0,000E+0 1,592E+3 2,676E-4
1,338E+0 -4,060E-1 3,040E-1 0,000E+0 0,000E+0 1,622E+3 1,730E-4
1,313E+0 -4,132E-1 2,937E-1 0,000E+0 0,000E+0 1,652E+3 1,552E-4
1,288E+0 -4,206E-1 2,839E-1 0,000E+0 0,000E+0 1,682E+3 1,459E-4
1,262E+0 -4,271E-1 2,739E-1 0,000E+0 0,000E+0 1,712E+3 6,049E-5
1,237E+0 -4,333E-1 2,635E-1 0,000E+0 0,000E+0 1,742E+3 1,249E-4
1,212E+0 -4,387E-1 2,530E-1 0,000E+0 0,000E+0 1,772E+3 9,554E-5
1,186E+0 -4,442E-1 2,428E-1 0,000E+0 0,000E+0 1,802E+3 9,342E-5
1,161E+0 -4,491E-1 2,319E-1 0,000E+0 0,000E+0 1,832E+3 7,283E-5
1,135E+0 -4,531E-1 2,214E-1 0,000E+0 0,000E+0 1,862E+3 8,902E-5
1,109E+0 -4,570E-1 2,107E-1 0,000E+0 0,000E+0 1,892E+3 5,214E-5
1,083E+0 -4,605E-1 2,003E-1 0,000E+0 0,000E+0 1,922E+3 5,047E-5
1,057E+0 -4,631E-1 1,896E-1 0,000E+0 0,000E+0 1,952E+3 6,493E-5
1,031E+0 -4,654E-1 1,786E-1 0,000E+0 0,000E+0 1,982E+3 9,302E-5
1,005E+0 -4,674E-1 1,687E-1 0,000E+0 0,000E+0 2,012E+3 6,726E-5
9,790E-1 -4,689E-1 1,575E-1 0,000E+0 0,000E+0 2,042E+3 5,123E-5
9,531E-1 -4,700E-1 1,472E-1 0,000E+0 0,000E+0 2,072E+3 3,863E-5
9,266E-1 -4,702E-1 1,363E-1 0,000E+0 0,000E+0 2,102E+3 3,767E-5
9,006E-1 -4,703E-1 1,261E-1 0,000E+0 0,000E+0 2,132E+3 3,045E-5
8,743E-1 -4,702E-1 1,154E-1 0,000E+0 0,000E+0 2,162E+3 2,455E-5
8,483E-1 -4,690E-1 1,055E-1 0,000E+0 0,000E+0 2,192E+3 2,345E-5
8,228E-1 -4,680E-1 9,533E-2 0,000E+0 0,000E+0 2,222E+3 1,542E-5
7,966E-1 -4,659E-1 8,496E-2 0,000E+0 0,000E+0 2,252E+3 3,128E-5
7,704E-1 -4,639E-1 7,426E-2 0,000E+0 0,000E+0 2,282E+3 3,418E-5
7,444E-1 -4,611E-1 6,422E-2 0,000E+0 0,000E+0 2,312E+3 1,736E-5
7,183E-1 -4,587E-1 5,418E-2 0,000E+0 0,000E+0 2,342E+3 1,796E-5
6,924E-1 -4,547E-1 4,447E-2 0,000E+0 0,000E+0 2,372E+3 2,914E-5
6,664E-1 -4,508E-1 3,509E-2 0,000E+0 0,000E+0 2,402E+3 3,809E-5
6,404E-1 -4,465E-1 2,538E-2 0,000E+0 0,000E+0 2,432E+3 1,465E-5
6,144E-1 -4,419E-1 1,616E-2 0,000E+0 0,000E+0 2,462E+3 1,844E-5
5,886E-1 -4,369E-1 6,454E-3 0,000E+0 0,000E+0 2,492E+3 1,459E-5
5,629E-1 -4,315E-1 -2,269E-3 0,000E+0 0,000E+0 2,523E+3 1,350E-5
5,376E-1 -4,261E-1 -1,132E-2 0,000E+0 0,000E+0 2,553E+3 1,526E-5
5,122E-1 -4,195E-1 -2,004E-2 0,000E+0 0,000E+0 2,583E+3 1,043E-5
4,870E-1 -4,137E-1 -2,893E-2 0,000E+0 0,000E+0 2,613E+3 1,699E-5
4,617E-1 -4,068E-1 -3,700E-2 0,000E+0 0,000E+0 2,643E+3 1,105E-5
