x	Ch0	Ch1	Ch3	Ch4	f	Ch0_b	Ch1_b	Ch3_b	Ch4_b	f-4	Ch4_b1
132.238	0.1462	0.0438	0.0383	0.3357	0.035554977	0.110645023	0.008245023	0.002745023	0.300145023	0.324314173	0.011385827
132.2585	0.1479	0.0443	0.0387	0.3384	0.035568151	0.112331849	0.008731849	0.003131849	0.302831849	0.324408092	0.013991908
132.2798	0.1477	0.0444	0.0389	0.3392	0.035581839	0.112118161	0.008818161	0.003318161	0.303618161	0.324505676	0.014694324
132.2995	0.1473	0.0444	0.0389	0.3395	0.035594498	0.111705502	0.008805502	0.003305502	0.303905502	0.324595929	0.014904071
132.3197	0.1469	0.0439	0.0384	0.3395	0.03560748	0.11129252	0.00829252	0.00279252	0.30389252	0.324688474	0.014811526
132.3393	0.1479	0.042	0.0365	0.3396	0.035620075	0.112279925	0.006379925	0.000879925	0.303979925	0.324778269	0.014821731
132.3609	0.1486	0.0377	0.0322	0.3393	0.035633956	0.112966044	0.002066044	-0.003433956	0.303666044	0.324877227	0.014422773
132.3818	0.1497	0.0317	0.0261	0.3383	0.035647387	0.114052613	-0.003947387	-0.009547387	0.302652613	0.324972979	0.013327021
132.4011	0.175	0.0264	0.0199	0.3376	0.035659789	0.139340211	-0.009259789	-0.015759789	0.301940211	0.3250614	0.0125386
132.4224	0.1917	0.0223	0.0152	0.3364	0.035673477	0.156026523	-0.013373477	-0.020473477	0.300726523	0.325158983	0.011241017
132.4429	0.218	0.0207	0.0126	0.3365	0.035686651	0.182313349	-0.014986651	-0.023086651	0.300813349	0.325252902	0.011247098
132.4623	0.1165	0.0164	0.012	0.3366	0.035699118	0.080800882	-0.019299118	-0.023699118	0.300900882	0.325341781	0.011258219
132.4832	0.081	0.0161	0.013	0.3356	0.035712549	0.045287451	-0.019612549	-0.022712549	0.299887451	0.325437532	0.010162468
132.5057	0.081	0.0182	0.0151	0.3357	0.035727008	0.045272992	-0.017527008	-0.020627008	0.299972992	0.325540614	0.010159386
132.5271	0.0903	0.0215	0.0181	0.3365	0.03574076	0.05455924	-0.01424076	-0.01764076	0.30075924	0.325638656	0.010861344
132.5465	0.0997	0.0251	0.0213	0.3358	0.035753227	0.063946773	-0.010653227	-0.014453227	0.300046773	0.325727535	0.010072465
132.5674	0.1085	0.0284	0.0243	0.3379	0.035766658	0.072733342	-0.007366658	-0.011466658	0.302133342	0.325823286	0.012076714
132.5852	0.1165	0.0313	0.0268	0.337	0.035778097	0.080721903	-0.004478097	-0.008978097	0.301221903	0.325904835	0.011095165
132.6074	0.1229	0.0334	0.0288	0.3369	0.035792363	0.087107637	-0.002392363	-0.006992363	0.301107637	0.326006542	0.010893458
132.6278	0.1279	0.035	0.0301	0.3384	0.035805473	0.092094527	-0.000805473	-0.005705473	0.302594527	0.326100003	0.012299997
132.6484	0.1317	0.0359	0.031	0.337	0.035818711	0.095881289	8.12893E-05	-0.004818711	0.301181289	0.32619438	0.01080562
132.6699	0.1344	0.0365	0.0315	0.336	0.035832527	0.098567473	0.000667473	-0.004332527	0.300167473	0.32629288	0.00970712
132.6903	0.1363	0.0368	0.0318	0.3364	0.035845637	0.100454363	0.000954363	-0.004045637	0.300554363	0.32638634	0.01001366
132.7095	0.1376	0.037	0.0318	0.3379	0.035857975	0.101742025	0.001142025	-0.004057975	0.302042025	0.326474303	0.011425697
132.7278	0.1386	0.037	0.0318	0.3388	0.035869735	0.102730265	0.001130265	-0.004069735	0.302930265	0.326558143	0.012241857
132.7495	0.1395	0.037	0.0317	0.339	0.03588368	0.10361632	0.00111632	-0.00418368	0.30311632	0.326657559	0.012342441
