x	CH0	CH1	CH3	CH4	f-4	Ch4_b	a	b	f	CH0_b	CH1_b	CH3_b
141.0928	0.1762	0.0389	0.0324	0.3606	0.847022725	-0.486422725	0.00638518	-0.0538802	0.035554977	0.140645023	0.003345023	0.325045023
141.093	0.1751	0.0399	0.0334	0.3623	0.847024002	-0.484724002			0.035568151	0.139531849	0.004331849	0.326731849
141.0928	0.1742	0.0405	0.0341	0.3638	0.847022725	-0.483222725			0.035581839	0.138618161	0.004918161	0.328218161
141.0949	0.1733	0.041	0.0346	0.3639	0.847036134	-0.483136134			0.035594498	0.137705502	0.005405502	0.328305502
141.0964	0.1726	0.0413	0.0349	0.3634	0.847045711	-0.483645711			0.03560748	0.13699252	0.00569252	0.32779252
141.0988	0.1721	0.0416	0.0352	0.3627	0.847061036	-0.484361036			0.035620075	0.136479925	0.005979925	0.327079925
141.0988	0.1715	0.0418	0.0355	0.3622	0.847061036	-0.484861036			0.035633956	0.135866044	0.006166044	0.326566044
141.1006	0.1714	0.0421	0.0357	0.3612	0.847072529	-0.485872529			0.035647387	0.135752613	0.006452613	0.325552613
141.1016	0.171	0.0422	0.0359	0.3608	0.847078914	-0.486278914			0.035659789	0.135340211	0.006540211	0.325140211
141.1012	0.1706	0.0424	0.0361	0.3606	0.84707636	-0.48647636			0.035673477	0.134926523	0.006726523	0.324926523
141.1033	0.1704	0.0426	0.0362	0.3606	0.847089769	-0.486489769			0.035686651	0.134713349	0.006913349	0.324913349
141.1054	0.1702	0.0427	0.0363	0.3607	0.847103178	-0.486403178			0.035699118	0.134500882	0.007000882	0.325000882
141.1052	0.1699	0.0427	0.0364	0.3607	0.847101901	-0.486401901			0.035712549	0.134187451	0.006987451	0.324987451
141.1083	0.1697	0.0428	0.0365	0.3609	0.847121695	-0.486221695			0.035727008	0.133972992	0.007072992	0.325172992
141.1089	0.1697	0.0428	0.0366	0.3609	0.847125526	-0.486225526			0.03574076	0.13395924	0.00705924	0.32515924
141.1093	0.1696	0.0429	0.0366	0.3609	0.84712808	-0.48622808			0.035753227	0.133846773	0.007146773	0.325146773
141.1123	0.1695	0.043	0.0367	0.3609	0.847147236	-0.486247236			0.035766658	0.133733342	0.007233342	0.325133342
141.1112	0.1693	0.043	0.0367	0.3614	0.847140212	-0.485740212			0.035778097	0.133521903	0.007221903	0.325621903
141.1137	0.1691	0.0431	0.0368	0.3614	0.847156175	-0.485756175			0.035792363	0.133307637	0.007307637	0.325607637
141.1149	0.169	0.0431	0.0368	0.3616	0.847163837	-0.485563837			0.035805473	0.133194527	0.007294527	0.325794527
141.1152	0.1688	0.0432	0.0369	0.3616	0.847165753	-0.485565753			0.035818711	0.132981289	0.007381289	0.325781289
141.1165	0.1689	0.0432	0.0369	0.3619	0.847174053	-0.485274053			0.035832527	0.133067473	0.007367473	0.326067473
141.119	0.169	0.0432	0.037	0.362	0.847190016	-0.485190016			0.035845637	0.133154363	0.007354363	0.326154363
141.1191	0.169	0.0433	0.037	0.3622	0.847190655	-0.484990655			0.035857975	0.133142025	0.007442025	0.326342025
141.1202	0.1689	0.0433	0.037	0.3619	0.847197679	-0.485297679			0.035869735	0.133030265	0.007430265	0.326030265
141.1203	0.1687	0.0433	0.037	0.3617	0.847198317	-0.485498317			0.03588368	0.13281632	0.00741632	0.32581632
141.1234	0.1687	0.0433	0.037	0.3615	0.847218111	-0.485718111			0.035897304	0.132802696	0.007402696	0.325602696
141.125	0.1687	0.0433	0.037	0.3614	0.847228328	-0.485828328			0.035910735	0.132789265	0.007389265	0.325489265
141.1239	0.1685	0.0433	0.0371	0.3615	0.847221304	-0.485721304			0.035923716	0.132576284	0.007376284	0.325576284
141.1268	0.1687	0.0433	0.037	0.361	0.847239821	-0.486239821			0.035937468	0.132762532	0.007362532	0.325062532
141.1256	0.1685	0.0433	0.0371	0.3612	0.847232159	-0.486032159			0.035948842	0.132551158	0.007351158	0.325251158
141.1277	0.1688	0.0433	0.037	0.3609	0.847245567	-0.486345567			0.03596298	0.13283702	0.00733702	0.32493702
141.1294	0.1693	0.0433	0.037	0.3612	0.847256422	-0.486056422			0.035975383	0.133324617	0.007324617	0.325224617
141.1306	0.1691	0.0433	0.037	0.3614	0.847264085	-0.485864085			0.035988814	0.133111186	0.007311186	0.325411186
141.1317	0.169	0.0432	0.037	0.3617	0.847271108	-0.485571108			0.036001538	0.132998462	0.007198462	0.325698462
141.1347	0.1688	0.0432	0.037	0.3617	0.847290264	-0.485590264			0.036015419	0.132784581	0.007184581	0.325684581
