x(A/Hz/V/nm),yai0(V),yai1(V),yai3(V),yai4(V),yext(V),yai4_max(V),lambda(nm),freq(THz),relFreq(THz),relx(A)
116.5437,0.1121,-0.0006937857527615,6.214247238400805e-06,-0.0045880033591262,,,780.2401278604651,384.2310172152715,,
116.5545,0.1126,-0.000606220016306,-6.220016306041076e-06,-0.0044412826954339,,,780.2401379069768,384.23101226784416,,
116.5685,0.1122,-0.0007223385060858,-2.2338506085878285e-05,-0.0045103485017586,,,780.2401509302326,384.2310058545126,,
116.5838,0.112,-0.0006399537127738,6.00462872261745e-05,-0.0044858275615277,,,780.2401651627907,384.2309988456577,,
116.5918,0.1118,-0.0006491642783623,5.0835721637672304e-05,-0.0044252937365705,,,780.2401726046512,384.230995180897,,
116.6009,0.1117,-0.0006596412967192,4.0358703280792e-05,-0.0044701865106815,,,780.2401810697675,384.2309910122319,,
116.6146,0.1118,-0.0006754143902894,2.458560971053264e-05,-0.0045377723354422,,,780.2401938139535,384.2309847363296,,
116.6241,0.1119,-0.0006863519369258,1.3648063074196692e-05,-0.0045846384183054,,,780.2402026511628,384.2309803844267,,
116.645,0.1128,-0.0006104145395257,-1.0414539525709088e-05,-0.0043877438006044,,-0.0043877438006044,780.2402220930234,384.2309708102405,0.0,116.645
116.6551,0.1141,-0.0006220428785811,-2.2042878581172987e-05,-0.0046375698465958,,,780.2402314883722,384.23096618348086,,
116.6657,0.1141,-0.0006342468779858,-3.424687798588705e-05,-0.0047898625285274,,,780.2402413488372,384.23096132767387,,
116.6754,0.1133,-0.0006454146887619,-4.541468876192306e-05,-0.0049377152657666,,,780.2402503720931,384.2309568841525,,
116.6854,0.114,-0.0006569278957475,4.307210425246594e-05,-0.00518704798457,,,780.2402596744187,384.2309523032026,,
116.6945,0.1141,-0.0006674049141044,3.259508589558563e-05,-0.0054319407586811,,,780.2402681395349,384.2309481345384,,
116.7047,0.113,-0.0006791483852297,2.085161477027169e-05,-0.0057822601318605,,,780.2402776279071,384.2309434619698,,
116.7162,0.1123,-0.0005923885732631,7.6114267368240784e-06,-0.0058389927584844,,,780.2402883255814,384.23093819387793,,
116.7389,0.1131,-0.0006185235531204,-1.8523553120465552e-05,-0.0057509780301681,,,780.2403094418605,384.2309277951231,,
116.7509,0.1133,-0.0006323394015031,6.766059849680484e-05,-0.0057101772927321,,,780.2403206046512,384.2309222979842,,
116.7615,0.1134,-0.0006445434009079,5.545659909206302e-05,-0.0057624699746637,,,780.2403304651164,384.2309174421783,,
116.7731,0.1139,-0.0006578987210112,4.210127898876537e-05,-0.0057196959284755,,,780.240341255814,384.2309121282776,,
116.7841,0.1134,-0.0006705632486953,2.943675130462342e-05,-0.0056739619191593,,,780.2403514883722,384.230907089234,,
116.7946,0.1131,-0.0006826521160302,1.7347883969731637e-05,-0.0057257612739028,,,780.240361255814,384.2309022792379,,
116.8099,0.1132,-0.0006002673227182,-2.673227182392601e-07,-0.005701240333672,,,780.2403754883721,384.2308952703868,,
116.8199,0.1143,-0.0006117805297038,-1.1780529703825373e-05,-0.0054505730524754,,,780.2403847906977,384.23089068943847,,
116.8314,0.1131,-0.0006250207177372,-2.502071773727299e-05,-0.0055073056790992,,,780.2403954883722,384.230885421348,,
116.8551,0.1141,-0.0006523070182931,4.769298170688441e-05,-0.0048242242226632,,,780.2404175348838,384.2308745645012,,
116.867,0.1144,-0.0006660077346059,3.39922653940089e-05,-0.0045829301580393,,,780.2404286046512,384.2308691131733,,
116.8779,0.1145,-0.0006785571302202,2.144286977971699e-05,-0.0041367028215349,,,780.2404387441861,384.2308641199404,,
116.8882,0.1141,-0.0005904157334154,9.58426658452527e-06,-0.0038875155219024,,,780.2404483255815,384.2308594015643,,
116.8991,0.1136,-0.0006029651290297,-2.9651290297666444e-06,-0.0039412881853981,,,780.2404584651164,384.2308544083316,,
116.9146,0.1137,-0.0006208105998574,-2.081059985743761e-05,-0.0037177538995433,,,780.2404728837209,384.23084730786326,,
116.923,0.1134,-0.0006304816937253,-3.048169372533993e-05,-0.0037591933833381,,,780.2404806976745,384.2308434598676,,
116.9471,0.1127,-0.0006582285225606,4.177147743936183e-05,-0.0036780852356543,,,780.2405031162791,384.23083241978526,,
116.9601,0.1132,-0.0006731956916419,2.6804308358080453e-05,-0.0037422177700986,,,780.2405152093024,384.2308264645544,,
116.9728,0.1133,-0.0006878174645136,1.2182535486376931e-05,-0.003804870322979,,,780.2405270232558,384.2308206467522,,
116.9844,0.1138,-0.0006011727846169,-1.172784616920719e-06,-0.0037620962767908,,,780.2405378139536,384.23081533285415,,
116.9955,0.1142,-0.0006139524443709,-1.3952444370940452e-05,-0.0036168555946626,,,780.2405481395349,384.2308102480037,,
117.0085,0.1143,-0.0006289196134522,-2.8919613452221823e-05,-0.0035809881291069,,,780.2405602325582,384.2308042927735,,
117.0204,0.1139,-0.000642620329765,-4.2620329765069576e-05,-0.003539694064483,,,780.2405713023256,384.2307988414476,,
117.0315,0.1139,-0.000655399989519,-5.539998951908931e-05,-0.0034944533823546,,,780.240581627907,384.2307937565975,,
117.0557,0.1132,-0.0005832619504242,1.6738049575755476e-05,-0.0035138385618589,,,780.240604139535,384.23078267070855,,
117.0667,0.1138,-0.0005959264781084,4.073521891585774e-06,-0.0039681045525426,,,780.2406143720931,384.23077763166833,,
117.0782,0.1136,-0.0006091666661418,-9.16666614183409e-06,-0.0045248371791665,,,780.2406250697675,384.230772363581,,
117.0879,0.1133,-0.0006203344769178,-2.0334476917870103e-05,-0.0044726899164058,,,780.2406340930233,384.230767920064,,
117.0986,0.1138,-0.0006326536083924,-3.265360839246195e-05,-0.0045254759255254,,,780.2406440465116,384.2307630184525,,
117.111,0.1136,-0.0006469299850546,-4.6929985054615375e-05,-0.0047866484968415,,,780.2406555813955,384.2307573380805,,
117.1239,0.1135,-0.000661782022066,-6.178202206604672e-05,-0.0049502877040978,,,780.2406675813954,384.2307514286614,,
117.1344,0.1133,-0.0005738708894009,2.612911059909212e-05,-0.0049020870588414,,,780.2406773488373,384.2307466186693,,
117.1449,0.1135,-0.0005859597567357,1.4040243264200336e-05,-0.0048538864135849,,,780.2406871162791,384.2307418086773,,
117.1588,0.113,-0.0006019631144457,-1.9631144457590843e-06,-0.0049224588927216,,,780.2407000465117,384.2307354411642,,
117.1681,0.1132,-0.0006126703969423,-1.2670396942367212e-05,-0.0048683383212088,,,780.2407086976744,384.2307311808858,,
117.1809,0.113,-0.0006274073018839,-2.7407301883920765e-05,-0.004931484201277,,,780.2407206046512,384.230725317277,,
117.203,0.1126,-0.0006528514893221,4.714851067788573e-05,-0.0044405095098326,,,780.2407411627908,384.2307151933903,,
117.2155,0.113,-0.0005672429980541,3.275700194588227e-05,-0.0039021754083367,,,780.2407527906977,384.2307094672103,,
117.2272,0.1136,-0.0005807134502272,1.9286549772734585e-05,-0.0036598946893367,,,780.2407636744186,384.2307041075059,,
117.2391,0.1137,-0.0005944141665401,5.585833459886835e-06,-0.0034186006247126,,,780.2407747441861,384.2306986561828,,
117.2515,0.1131,-0.0006086905432022,-8.690543202266587e-06,-0.0032797731960289,,,780.2407862790698,384.2306929758128,,
117.2665,0.1132,-0.0006259603536806,-2.596035368065963e-05,-0.0031537722742339,,,780.2408002325582,384.23068610439753,,
117.2754,0.1138,-0.0006362071078978,-3.620710789786763e-05,-0.0030976783939689,,-0.0030976783939689,780.240808511628,384.23068202735794,1.0,117.2754
117.2858,0.1149,-0.0005481808431628,-4.8180843162881626e-05,-0.0031489844215245,,,780.2408181860466,384.230677263177,,
117.2978,0.1148,-0.0005619966915455,-6.199669154557941e-05,-0.0033081836840885,,,780.2408293488372,384.2306717660453,,
117.3097,0.1147,-0.0005756974078584,-7.569740785845491e-05,-0.0034668896194646,,,780.2408404186048,384.230666314723,,
117.334,0.114,-0.0006036745008334,-3.67450083345322e-06,-0.0042867681261567,,,780.2408630232559,384.2306551830321,,
117.3466,0.1142,-0.0006181811416353,-1.8181141635306708e-05,-0.0045489273518489,,,780.2408747441862,384.2306494110444,,
117.358,0.1147,-0.0005313061975989,-3.1306197598904295e-05,-0.0046051666512847,,,780.2408853488373,384.23064418877,,
117.3718,0.1149,-0.000547194423239,-4.719442323901368e-05,-0.0045732458032334,,,780.2408981860466,384.2306378670696,,
117.3829,0.1146,-0.000559974082993,-5.997408299303342e-05,-0.0044280051211052,,,780.2409085116279,384.23063278222384,,
117.3939,0.1146,-0.0005726386106772,-7.263861067720312e-05,-0.0041822711117889,,,780.240918744186,384.23062774318754,,
117.4179,0.114,-0.0006002703074426,-2.703074426235741e-07,-0.003700669636917,,,780.2409410697675,384.2306167489271,,
117.4288,0.1153,-0.0006128197030569,-0.0001128197030569,-0.0035544423004127,,,780.2409512093024,384.2306117557006,,
117.4394,0.1149,-0.0005250237024616,-2.502370246168506e-05,-0.0034067349823443,,,780.2409610697675,384.23060689990257,,
117.4508,0.1153,-0.0005381487584252,-3.814875842525489e-05,-0.0031629742817801,,,780.2409716744187,384.2306016776293,,
117.4615,0.1156,-0.0005504678898998,-5.046788989984674e-05,-0.0029157602908997,,,780.240981627907,384.2305967760221,,
117.4731,0.1153,-0.0005638232100031,-6.382321000314439e-05,-0.0027729862447116,,,780.2409924186047,384.2305914621303,,
117.4853,0.1155,-0.0005778693225255,-7.786932252557e-05,-0.0027331721616516,,,780.241003767442,384.23058587338215,,
117.4957,0.116,-0.0005898430577905,-8.984305779058399e-05,-0.0026844781892072,,,780.2410134418606,384.2305811092036,,
117.5086,0.1156,-0.000604695094802,-0.000104695094802,-0.0026481173964636,,-0.0026481173964636,780.2410254418605,384.23057519978994,2.0,117.5086
117.5221,0.115,-0.0006202379242325,-0.0001202379242325,-0.002814716566848,,,780.241038,384.23056901552,,
117.5436,0.1141,-0.0006449913192516,-4.499131925161243e-05,-0.0032207819122754,,,780.2410580000001,384.230559166498,,
117.5551,0.1145,-0.000558231507285,-0.000158231507285,-0.0035775145388992,,,780.2410686976745,384.23055389841664,,
117.5672,0.1151,-0.0005721624877376,-0.0001721624877376,-0.0039372071286513,,,780.2410799534885,384.230548355479,,
117.5789,0.1149,-0.0005856329399107,-8.56329399107833e-05,-0.0041949264096513,,,780.2410908372094,384.2305429957792,,
117.5894,0.1147,-0.0005977218072456,-9.772180724564732e-05,-0.0043467257643948,,,780.2411006046513,384.2305381857922,,
117.6001,0.1147,-0.0006100409387202,-0.0001100409387202,-0.0042995117735143,,,780.2411105581396,384.23053328418666,,
117.614,0.115,-0.0006260442964302,-0.0001260442964302,-0.0041680842526511,,,780.2411234883722,384.2305269166805,,
117.6244,0.1154,-0.0006380180316952,-0.0001380180316952,-0.0039193902802065,,,780.2411331627908,384.23052215250334,,
117.6364,0.1154,-0.0006518338800779,-0.0001518338800779,-0.0034785895427706,,,780.2411443255814,384.2305166553761,,
117.6487,0.1149,-0.0006659951246702,-0.0001659951246702,-0.0031392687868988,,,780.2411557674419,384.2305110208207,,
117.6591,0.1147,-0.0005779688599352,-0.0001779688599352,-0.0028905748144543,,,780.2411654418605,384.230506256644,,
117.6837,0.1148,-0.0006062913491198,-0.0001062913491198,-0.0024119333027106,,,780.2411883255814,384.2304949875341,,
117.6939,0.115,-0.0006180348202451,-0.0001180348202451,-0.00236225267589,,-0.00236225267589,780.2411978139536,384.2304903149765,3.0,117.6939
117.7065,0.1151,-0.000632541461047,-0.000132541461047,-0.0025244119015823,,,780.2412095348838,384.2304845429939,,
117.7167,0.1153,-0.0006442849321723,-0.0001442849321723,-0.0026747312747618,,,780.2412190232559,384.23047987043657,,
117.7304,0.1154,-0.0006600580257426,-0.0001600580257426,-0.0030423170995224,,,780.241231767442,384.2304735945509,,
117.7413,0.1151,-0.0006726074213568,-0.0001726074213568,-0.003396089763018,,,780.2412419069768,384.23046860132825,,
117.752,0.1157,-0.0005849265528314,-0.0001849265528314,-0.0036488757721376,,,780.2412518604651,384.23046369972445,,
117.7632,0.1151,-0.0005978213446553,-0.0001978213446553,-0.0038041284171974,,,780.2412622790698,384.2304585690738,,
117.7761,0.1156,-0.0006126733816667,-0.0002126733816667,-0.0038677676244538,,,780.2412742790698,384.230452659664,,
117.7883,0.116,-0.0006267194941892,-0.0002267194941892,-0.0038279535413939,,,780.241285627907,384.2304470709199,,
117.8112,0.1155,-0.0006530847381862,-0.0001530847381862,-0.0035409254674536,,,780.2413069302327,384.2304365805728,,
117.8241,0.1161,-0.0006679367751976,-0.0001679367751976,-0.0033045646747099,,,780.2413189302326,384.2304306711636,,
117.8357,0.1164,-0.0005812920953009,-0.0001812920953009,-0.0028617906285219,,,780.2413297209303,384.2304253572764,,
117.8469,0.1163,-0.0005941868871248,-0.0001941868871248,-0.0025170432735817,,,780.2413401395349,384.2304202266269,,
117.8589,0.1168,-0.0006080027355075,-0.0002080027355075,-0.0021762425361457,,,780.2413513023256,384.23041472950246,,
117.8699,0.1173,-0.0006206672631916,-0.0002206672631916,-0.0020305085268294,,,780.2413615348838,384.23040969047184,,
117.8818,0.1172,-0.0006343679795045,-0.0002343679795045,-0.0019892144622054,,-0.0019892144622054,780.2413726046512,384.2304042391572,4.0,117.8818
117.894,0.1174,-0.0006484140920269,-0.0002484140920269,-0.0021494003791455,,,780.2413839534885,384.23039865041454,,
117.9039,0.1178,-0.0006598121669427,-0.0002598121669427,-0.0020982397707607,,,780.2413931627907,384.2303941152874,,
117.9156,0.1174,-0.0006732826191158,-0.0002732826191158,-0.0021559590517608,,,780.2414040465117,384.2303887555919,,
117.928,0.1175,-0.000687558995778,-0.000287558995778,-0.0023171316230769,,,780.2414155813954,384.2303830752309,,
117.9391,0.1183,-0.000600338655532,-0.000300338655532,-0.0023718909409487,,,780.2414259069768,384.23037799039184,,
117.9507,0.1178,-0.0006136939756353,-0.0003136939756353,-0.0026291168947606,,,780.2414366976744,384.2303726765061,,
