Zelle Nr.;D mes;S mes;D  bg;S bg;D;S;beta
1;106,226;20,79;3,76;1,985;102,466;18,805;0,183524291
2;71,805;14,636;3,619;1,7;68,186;12,936;0,189716364
3;18,722;4,737;3,538;1,941;15,184;2,796;0,184141201
4;41,829;8,74;3,799;2,059;38,03;6,681;0,175677097
5;31,788;6,949;3,833;2,089;27,955;4,86;0,173850832
6;22,343;5,248;3,596;2,019;18,747;3,229;0,172240892
7;93,451;18,564;3,713;2,148;89,738;16,416;0,182932537
8;60,024;12,147;3,626;2,113;56,398;10,034;0,17791411
9;62,366;12,782;3,706;2,003;58,66;10,779;0,183753836
10;54,67;11,239;3,851;2,262;50,819;8,977;0,17664653
