Zelle Nr.;D mes;S mes;A mes;D bg;S bg;A gb;D;S;A;SE;E
1;82,503;55,881;81,03;3,514;1,417;2,388;78,989;54,464;78,642;43,17684045;0,547823018
2;52,362;31,163;45,902;3,486;1,644;1,465;48,876;29,519;44,437;22,0029788;0,472129662
3;44,338;29,647;42,262;3,568;1,556;1,632;40,77;28,091;40,63;22,03703574;0,54145131
4;39,061;26,485;41,818;3,545;1,644;1,612;35,516;24,841;40,206;19,53819201;0,517043301
5;35,378;24,174;37,747;3,6;1,637;1,51;31,778;22,537;36,237;17,76930451;0,523637851
6;69,873;31,196;38,263;4,213;1,662;1,844;65,66;29,534;36,419;18,74201511;0,383267361
7;46,112;34,438;55,144;4;1,899;2,09;42,112;32,539;53,054;26,59900567;0,562734319
8;51,8;29,745;42,706;3,906;1,983;2,017;47,894;27,762;40,689;20,28919691;0,45960611
9;37,799;32,537;52,327;3,558;1,916;1,912;34,241;30,621;50,415;26,05575495;0,627119861
10;21,62;61,206;129,137;3,689;1,826;1,764;17,931;59,38;127,373;60,43055125;1,264490619
11;40,677;29,493;43,285;3,685;1,793;1,768;36,992;27,7;41,517;22,35067244;0,570326702
12;33,546;30,109;49,181;3,621;1,757;1,722;29,925;28,352;47,459;24,43768601;0,648460773
14;9,412;10,624;18,3;3,612;1,886;1,947;5,8;8,738;16,353;7,876263336;0,808737373
15;35,129;30,853;47,657;3,643;2,064;1,978;31,486;28,789;45,679;24,6068277;0,648841454
16;26,108;21,31;35,04;3,625;1,819;1,904;22,483;19,491;33,136;16,28074849;0,596481799
17;27,459;20,422;31,154;3,538;1,444;1,157;23,921;18,978;29,997;15,44359963;0,576527406
18;26,424;18,083;27,144;3,514;1,909;1,595;22,91;16,174;25,549;12,59997301;0,520798971
;;;;;;;;;;;
;;;;;;;;Mittelwerte;;23,54333212;0,604086935
