Parameters:
     Ampl. 1=      510.32
    Lifet. 1=        2.73
     Backgr.=       16.21
     Backgr.=           0
       Shift=           0

X²: 1.212
tau_amp: 2.73 ns; tau_int: 2.73 ns



Time[ns]	         IRF	       Decay	         Fit	  Resids.
  0.0000	           0	          14	           -	        -
  0.0160	           0	          14	           -	        -
  0.0320	           0	          13	           -	        -
  0.0480	           0	          11	           -	        -
  0.0640	           0	          11	           -	        -
  0.0800	           0	          26	           -	        -
  0.0960	           0	          22	           -	        -
  0.1120	           0	          15	           -	        -
  0.1280	           0	          19	           -	        -
  0.1440	           0	          12	           -	        -
  0.1600	           0	          17	           -	        -
  0.1760	           0	          17	           -	        -
  0.1920	           0	          20	           -	        -
  0.2080	           0	          18	           -	        -
  0.2240	           0	          12	           -	        -
  0.2400	           0	          22	           -	        -
  0.2560	           0	          12	           -	        -
  0.2720	           0	          16	           -	        -
  0.2880	           0	          21	           -	        -
  0.3040	           0	          23	           -	        -
  0.3200	           0	          13	           -	        -
  0.3360	           0	          18	           -	        -
  0.3520	           0	          26	           -	        -
  0.3680	           0	          22	           -	        -
  0.3840	           0	          24	           -	        -
  0.4000	           0	           9	           -	        -
  0.4160	           0	          14	           -	        -
  0.4320	           0	          14	           -	        -
  0.4480	           0	          14	           -	        -
  0.4640	           0	          10	           -	        -
  0.4800	           0	          17	           -	        -
  0.4960	           0	          19	           -	        -
  0.5120	           0	          20	           -	        -
  0.5280	           0	          15	           -	        -
  0.5440	           0	          14	           -	        -
  0.5600	           0	          21	           -	        -
  0.5760	           0	          11	           -	        -
  0.5920	           0	          21	           -	        -
  0.6080	           0	          15	           -	        -
  0.6240	           0	          17	           -	        -
  0.6400	           0	          15	           -	        -
  0.6560	           0	          13	           -	        -
  0.6720	           0	          24	           -	        -
  0.6880	           0	          13	           -	        -
  0.7040	           0	          16	           -	        -
  0.7200	           0	          20	           -	        -
  0.7360	           0	          18	           -	        -
  0.7520	           0	          14	           -	        -
  0.7680	           0	          17	           -	        -
  0.7840	           0	          14	           -	        -
  0.8000	           0	          25	           -	        -
  0.8160	           0	          20	           -	        -
  0.8320	           0	          16	           -	        -
  0.8480	           0	          17	           -	        -
  0.8640	           0	          26	           -	        -
  0.8800	           0	          25	           -	        -
  0.8960	           0	          17	           -	        -
  0.9120	           0	          12	           -	        -
  0.9280	           0	          12	           -	        -
  0.9440	           0	          24	           -	        -
  0.9600	           0	          17	           -	        -
  0.9760	           0	          23	           -	        -
  0.9920	           0	          12	           -	        -
  1.0080	           0	          20	           -	        -
  1.0240	           0	          17	           -	        -
  1.0400	           0	          19	           -	        -
  1.0560	           0	          12	           -	        -
  1.0720	           0	          18	           -	        -
  1.0880	           0	          18	           -	        -
  1.1040	           0	          16	           -	        -
  1.1200	           0	          14	           -	        -
  1.1360	           0	          20	           -	        -
  1.1520	           0	          12	           -	        -
  1.1680	           0	          18	           -	        -
  1.1840	           0	          12	           -	        -
  1.2000	           0	          11	           -	        -
  1.2160	           0	          16	           -	        -
  1.2320	           0	          30	           -	        -
  1.2480	           0	          13	           -	        -
  1.2640	           0	          22	           -	        -
  1.2800	           0	          16	           -	        -
  1.2960	           0	          16	           -	        -
  1.3120	           0	          14	           -	        -
  1.3280	           0	           9	           -	        -
  1.3440	           0	          12	           -	        -
  1.3600	           0	          14	           -	        -
  1.3760	           0	          15	           -	        -
  1.3920	           0	          10	           -	        -
  1.4080	           0	          16	           -	        -
  1.4240	           0	           8	           -	        -
  1.4400	           0	          13	           -	        -
  1.4560	           0	           9	           -	        -
  1.4720	           0	          20	           -	        -
  1.4880	           0	          18	           -	        -
  1.5040	           0	          18	           -	        -
  1.5200	           0	          14	           -	        -
  1.5360	           0	          11	           -	        -
  1.5520	          82	          20	           -	        -
  1.5680	         133	          18	           -	        -
  1.5840	         103	          19	           -	        -
  1.6000	         104	          21	           -	        -
  1.6160	         137	          28	           -	        -
  1.6320	         206	          32	           -	        -
  1.6480	         254	          30	           -	        -
  1.6640	         396	          57	           -	        -
  1.6800	         708	          71	           -	        -
  1.6960	         831	          95	           -	        -
  1.7120	         888	         141	           -	        -
  1.7280	        1103	         171	           -	        -
  1.7440	        1861	         197	           -	        -
  1.7600	        2181	         217	           -	        -
  1.7760	        2762	         329	           -	        -
  1.7920	        3846	         398	           -	        -
  1.8080	        4541	         440	           -	        -
  1.8240	        4819	         563	           -	        -
  1.8400	        5775	         597	           -	        -
  1.8560	        7316	         678	           -	        -
  1.8720	        7953	         732	           -	        -
  1.8880	        9615	         794	           -	        -
  1.9040	       10950	         897	           -	        -
  1.9200	       12681	         984	           -	        -
  1.9360	       13011	        1021	           -	        -
  1.9520	       14224	        1070	           -	        -
  1.9680	       14513	        1103	           -	        -
  1.9840	       15181	        1155	           -	        -
  2.0000	       16078	        1253	           -	        -
  2.0160	       15896	        1326	           -	        -
  2.0320	       16396	        1429	           -	        -
