Parameters:
     Ampl. 1=    22966.16
    Lifet. 1=       3.036
     Backgr.=      238.93
     Backgr.=           0
       Shift=           0

X²: 1.373
tau_amp: 3.04 ns; tau_int: 3.04 ns



Time[ns]	         IRF	       Decay	         Fit	  Resids.
  0.0000	           0	         207	           -	        -
  0.0160	           0	         261	           -	        -
  0.0320	           0	         245	           -	        -
  0.0480	           0	         264	           -	        -
  0.0640	           0	         240	           -	        -
  0.0800	           0	         257	           -	        -
  0.0960	           0	         241	           -	        -
  0.1120	           0	         274	           -	        -
  0.1280	           0	         262	           -	        -
  0.1440	           0	         206	           -	        -
  0.1600	           0	         254	           -	        -
  0.1760	           0	         274	           -	        -
  0.1920	           0	         221	           -	        -
  0.2080	           0	         230	           -	        -
  0.2240	           0	         243	           -	        -
  0.2400	           0	         244	           -	        -
  0.2560	           0	         268	           -	        -
  0.2720	           0	         219	           -	        -
  0.2880	           0	         254	           -	        -
  0.3040	           0	         250	           -	        -
  0.3200	           0	         227	           -	        -
  0.3360	           0	         241	           -	        -
  0.3520	           0	         255	           -	        -
  0.3680	           0	         261	           -	        -
  0.3840	           0	         270	           -	        -
  0.4000	           0	         270	           -	        -
  0.4160	           0	         237	           -	        -
  0.4320	           0	         235	           -	        -
  0.4480	           0	         239	           -	        -
  0.4640	           0	         274	           -	        -
  0.4800	           0	         251	           -	        -
  0.4960	           0	         233	           -	        -
  0.5120	           0	         253	           -	        -
  0.5280	           0	         229	           -	        -
  0.5440	           0	         252	           -	        -
  0.5600	           0	         261	           -	        -
  0.5760	           0	         257	           -	        -
  0.5920	           0	         232	           -	        -
  0.6080	           0	         249	           -	        -
  0.6240	           0	         254	           -	        -
  0.6400	           0	         240	           -	        -
  0.6560	           0	         234	           -	        -
  0.6720	           0	         243	           -	        -
  0.6880	           0	         259	           -	        -
  0.7040	           0	         237	           -	        -
  0.7200	           0	         231	           -	        -
  0.7360	           0	         228	           -	        -
  0.7520	           0	         234	           -	        -
  0.7680	           0	         205	           -	        -
  0.7840	           0	         228	           -	        -
  0.8000	           0	         233	           -	        -
  0.8160	           0	         263	           -	        -
  0.8320	           0	         230	           -	        -
  0.8480	           0	         224	           -	        -
  0.8640	           0	         264	           -	        -
  0.8800	           0	         247	           -	        -
  0.8960	           0	         225	           -	        -
  0.9120	           0	         236	           -	        -
  0.9280	           0	         225	           -	        -
  0.9440	           0	         234	           -	        -
  0.9600	           0	         220	           -	        -
  0.9760	           0	         223	           -	        -
  0.9920	           0	         233	           -	        -
  1.0080	           0	         230	           -	        -
  1.0240	           0	         238	           -	        -
  1.0400	           0	         208	           -	        -
  1.0560	           0	         227	           -	        -
  1.0720	           0	         192	           -	        -
  1.0880	           0	         220	           -	        -
  1.1040	           0	         252	           -	        -
  1.1200	           0	         226	           -	        -
  1.1360	           0	         235	           -	        -
  1.1520	           0	         229	           -	        -
  1.1680	           0	         221	           -	        -
  1.1840	           0	         253	           -	        -
  1.2000	           0	         241	           -	        -
  1.2160	           0	         220	           -	        -
  1.2320	           0	         254	           -	        -
  1.2480	           0	         251	           -	        -
  1.2640	           0	         239	           -	        -
  1.2800	           0	         273	           -	        -
  1.2960	           0	         243	           -	        -
  1.3120	           0	         207	           -	        -
  1.3280	           0	         236	           -	        -
  1.3440	           0	         236	           -	        -
  1.3600	           0	         237	           -	        -
  1.3760	           0	         230	           -	        -
  1.3920	           0	         237	           -	        -
  1.4080	           0	         222	           -	        -
  1.4240	           0	         239	           -	        -
  1.4400	           0	         255	           -	        -
  1.4560	           0	         222	           -	        -
  1.4720	           0	         226	           -	        -
  1.4880	           0	         223	           -	        -
  1.5040	          44	         207	           -	        -
  1.5200	          44	         231	           -	        -
  1.5360	          44	         221	           -	        -
  1.5520	         408	         213	           -	        -
  1.5680	         147	         216	           -	        -
  1.5840	         142	         263	           -	        -
  1.6000	         344	         232	           -	        -
  1.6160	         245	         228	           -	        -
  1.6320	         162	         249	           -	        -
  1.6480	         275	         220	           -	        -
  1.6640	         590	         261	           -	        -
  1.6800	         835	         233	           -	        -
  1.6960	        1243	         262	           -	        -
  1.7120	        1867	         308	           -	        -
  1.7280	        2372	         333	           -	        -
  1.7440	        3456	         419	           -	        -
  1.7600	        4279	         454	           -	        -
  1.7760	        5706	         627	           -	        -
  1.7920	        7131	         754	           -	        -
  1.8080	        8935	         979	           -	        -
  1.8240	       10605	        1264	           -	        -
  1.8400	       13713	        1585	           -	        -
  1.8560	       16656	        2030	           -	        -
  1.8720	       19730	        2597	           -	        -
  1.8880	       23053	        3352	           -	        -
  1.9040	       27466	        4158	           -	        -
  1.9200	       30612	        5074	           -	        -
  1.9360	       34461	        6175	           -	        -
  1.9520	       35606	        7306	           -	        -
  1.9680	       40084	        8716	           -	        -
  1.9840	       40825	        9777	           -	        -
  2.0000	       42399	       11377	           -	        -
  2.0160	       43812	       12678	           -	        -
  2.0320	       47161	       14073	           -	        -
  2.0480	       46137	       15731	           -	        -
  2.0640	       45704	       17221	           -	        -
  2.0800	       47967	       18594	           -	        -
  2.0960	       45873	       19827	           -	        -
  2.1120	       47103	       21462	           -	        -
  2.1280	       45599	       22702	           -	        -
  2.1440	       46655	       24380	           -	        -
  2.1600	       47419	       25429	           -	        -
  2.1760	       47078	       26705	           -	        -
  2.1920	       43147	       28538	           -	        -
  2.2080	       44628	       29581	           -	        -
  2.2240	       42252	       30460	           -	        -
  2.2400	       39221	       31689	           -	        -
  2.2560	       39137	       32603	           -	        -
  2.2720	       39069	       33791	           -	        -
  2.2880	       36242	       34699	           -	        -
  2.3040	       37138	       35613	           -	        -
  2.3200	       35171	       36420	           -	        -
  2.3360	       32041	       37222	           -	        -
  2.3520	       29914	       38192	           -	        -
  2.3680	       28390	       38693	           -	        -
  2.3840	       25583	       39321	           -	        -
  2.4000	       25031	       39873	           -	        -
  2.4160	       25001	       40238	           -	        -
  2.4320	       23520	       41046	           -	        -
  2.4480	       22802	       41480	           -	        -
  2.4640	       20476	       41997	           -	        -
  2.4800	       18913	       42319	           -	        -
  2.4960	       16320	       42342	           -	        -
  2.5120	       13172	       42905	           -	        -
  2.5280	       11533	       42958	           -	        -
  2.5440	       14595	       42836	           -	        -
  2.5600	       11048	       42944	           -	        -
  2.5760	        9518	       43569	           -	        -
  2.5920	       11547	       43444	           -	        -
  2.6080	       12316	       43361	           -	        -
  2.6240	        6721	       43359	           -	        -
  2.6400	        9045	       43616	           -	        -
  2.6560	        8527	       43350	           -	        -
  2.6720	        5260	       43921	           -	        -
  2.6880	         701	       43483	           -	        -
  2.7040	        3961	       43211	           -	        -
  2.7200	          82	       42608	           -	        -
  2.7360	        2056	       42940	           -	        -
  2.7520	        4317	       42624	           -	        -
  2.7680	        3288	       42770	           -	        -
  2.7840	         790	       42768	           -	        -
  2.8000	        3660	       42064	           -	        -
  2.8160	           0	       41939	           -	        -
  2.8320	           0	       42332	           -	        -
  2.8480	           0	       41581	           -	        -
  2.8640	           0	       41420	           -	        -
  2.8800	           0	       41098	           -	        -
  2.8960	           0	       41420	           -	        -
  2.9120	           0	       41110	           -	        -
  2.9280	           0	       41122	           -	        -
  2.9440	           0	       40626	           -	        -
  2.9600	           0	       40933	           -	        -
  2.9760	           0	       40365	           -	        -
  2.9920	           0	       40226	           -	        -
  3.0080	           0	       39875	           -	        -
  3.0240	           0	       39796	           -	        -
  3.0400	           0	       39161	           -	        -
  3.0560	           0	       39102	           -	        -
  3.0720	           0	       38779	           -	        -
  3.0880	           0	       38459	           -	        -
  3.1040	           0	       38558	           -	        -
  3.1200	           0	       38386	           -	        -
  3.1360	           0	       37842	           -	        -
  3.1520	           0	       37668	           -	        -
  3.1680	           0	       37675	           -	        -
  3.1840	           0	       37542	           -	        -
  3.2000	           0	       36965	           -	        -
  3.2160	           0	       36703	           -	        -
  3.2320	           0	       36488	           -	        -
  3.2480	           0	       36104	           -	        -
  3.2640	           0	       36380	           -	        -
  3.2800	           0	       36135	           -	        -
  3.2960	           0	       35989	           -	        -
  3.3120	           0	       35750	           -	        -
  3.3280	           0	       35247	           -	        -
  3.3440	           0	       35354	           -	        -
  3.3600	           0	       34968	           -	        -
  3.3760	           0	       34771	           -	        -
  3.3920	           0	       34498	           -	        -
  3.4080	           0	       34224	           -	        -
  3.4240	           0	       34324	           -	        -
  3.4400	           0	       34111	           -	        -
  3.4560	           0	       33820	           -	        -
  3.4720	           0	       33461	           -	        -
  3.4880	           0	       32908	           -	        -
  3.5040	           0	       33212	           -	        -
  3.5200	           0	       33044	           -	        -
  3.5360	           0	       32522	           -	        -
  3.5520	           0	       32449	           -	        -
  3.5680	           0	       32369	           -	        -
  3.5840	           0	       32050	           -	        -
  3.6000	           0	       31898	           -	        -
  3.6160	           0	       31882	           -	        -
  3.6320	           0	       31509	           -	        -
  3.6480	           0	       31112	           -	        -
  3.6640	           0	       31188	           -	        -
  3.6800	           0	       31533	           -	        -
  3.6960	           0	       31143	           -	        -
  3.7120	           0	       30600	           -	        -
  3.7280	           0	       30507	           -	        -
  3.7440	           0	       30158	           -	        -
  3.7600	           0	       30130	           -	        -
  3.7760	           0	       29864	           -	        -
  3.7920	           0	       29943	           -	        -
  3.8080	           0	       29514	           -	        -
  3.8240	           0	       29351	           -	        -
  3.8400	           0	       29160	           -	        -
  3.8560	           0	       29053	           -	        -
  3.8720	           0	       28741	           -	        -
  3.8880	           0	       28790	           -	        -
  3.9040	           0	       28513	           -	        -
  3.9200	           0	       28311	           -	        -
  3.9360	           0	       28428	           -	        -
  3.9520	           0	       28016	           -	        -
  3.9680	           0	       28039	           -	        -
  3.9840	           0	       27925	           -	        -
  4.0000	           0	       27767	           -	        -
  4.0160	           0	       27364	           -	        -
  4.0320	           0	       27346	           -	        -
  4.0480	           0	       27114	           -	        -
  4.0640	           0	       26850	           -	        -
  4.0800	           0	       26898	           -	        -
  4.0960	           0	       26646	           -	        -
  4.1120	           0	       26684	           -	        -
  4.1280	           0	       26150	           -	        -
  4.1440	           0	       26189	           -	        -
  4.1600	           0	       26430	           -	        -
  4.1760	           0	       25929	           -	        -
  4.1920	           0	       26052	           -	        -
  4.2080	           0	       25694	           -	        -
