Parameters:
     Ampl. 1=    13877.49
    Lifet. 1=       3.121
     Ampl. 2=   -10901.93
    Lifet. 2=       3.121
     Backgr.=       99.03
     Backgr.=           0
       Shift=           0

X²: 1.049
tau_amp: 3.12 ns; tau_int: 3.12 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  0.0000	           0	         100	           -	        -
  0.0160	           0	         109	           -	        -
  0.0320	           0	         115	           -	        -
  0.0480	           0	         123	           -	        -
  0.0640	           0	         117	           -	        -
  0.0800	           0	         101	           -	        -
  0.0960	           0	         106	           -	        -
  0.1120	           0	         100	           -	        -
  0.1280	           0	         114	           -	        -
  0.1440	           0	         106	           -	        -
  0.1600	           0	         121	           -	        -
  0.1760	           0	         109	           -	        -
  0.1920	           0	         132	           -	        -
  0.2080	           0	          98	           -	        -
  0.2240	           0	         120	           -	        -
  0.2400	           0	         111	           -	        -
  0.2560	           0	         115	           -	        -
  0.2720	           0	         132	           -	        -
  0.2880	           0	         113	           -	        -
  0.3040	           0	         100	           -	        -
  0.3200	           0	         119	           -	        -
  0.3360	           0	         112	           -	        -
  0.3520	           0	         116	           -	        -
  0.3680	           0	         120	           -	        -
  0.3840	           0	         103	           -	        -
  0.4000	           0	         105	           -	        -
  0.4160	           0	         116	           -	        -
  0.4320	           0	         122	           -	        -
  0.4480	           0	         101	           -	        -
  0.4640	           0	          89	           -	        -
  0.4800	           0	         109	           -	        -
  0.4960	           0	         119	           -	        -
  0.5120	           0	         103	           -	        -
  0.5280	           0	          90	           -	        -
  0.5440	           0	         116	           -	        -
  0.5600	           0	         114	           -	        -
  0.5760	           0	         106	           -	        -
  0.5920	           0	         104	           -	        -
  0.6080	           0	         113	           -	        -
  0.6240	           0	          99	           -	        -
  0.6400	           0	         108	           -	        -
  0.6560	           0	         107	           -	        -
  0.6720	           0	         112	           -	        -
  0.6880	           0	         128	           -	        -
  0.7040	           0	         107	           -	        -
  0.7200	           0	         112	           -	        -
  0.7360	           0	         127	           -	        -
  0.7520	           0	         111	           -	        -
  0.7680	           0	         110	           -	        -
  0.7840	           0	         105	           -	        -
  0.8000	           0	         106	           -	        -
  0.8160	           0	         108	           -	        -
  0.8320	           0	          95	           -	        -
  0.8480	           0	         107	           -	        -
  0.8640	           0	         120	           -	        -
  0.8800	           0	         117	           -	        -
  0.8960	           0	         112	           -	        -
  0.9120	           0	         104	           -	        -
  0.9280	           0	          99	           -	        -
  0.9440	           0	         110	           -	        -
  0.9600	           0	         110	           -	        -
  0.9760	           0	         105	           -	        -
  0.9920	           0	         118	           -	        -
  1.0080	           0	         123	           -	        -
  1.0240	           0	         107	           -	        -
  1.0400	           0	         123	           -	        -
  1.0560	           0	         110	           -	        -
  1.0720	           0	         121	           -	        -
  1.0880	           0	          88	           -	        -
  1.1040	           0	          88	           -	        -
  1.1200	           0	         100	           -	        -
  1.1360	           0	         110	           -	        -
  1.1520	           0	         104	           -	        -
  1.1680	           0	         113	           -	        -
  1.1840	           0	         101	           -	        -
  1.2000	           0	          90	           -	        -
  1.2160	           0	         118	           -	        -
  1.2320	           0	         128	           -	        -
  1.2480	           0	         115	           -	        -
  1.2640	           0	         110	           -	        -
  1.2800	           0	          99	           -	        -
  1.2960	           0	         120	           -	        -
  1.3120	           0	          94	           -	        -
  1.3280	           0	         115	           -	        -
  1.3440	           0	         114	           -	        -
  1.3600	           0	         138	           -	        -
  1.3760	           0	          94	           -	        -
  1.3920	           0	         120	           -	        -
  1.4080	           0	         118	           -	        -
  1.4240	           0	         112	           -	        -
  1.4400	           0	         119	           -	        -
  1.4560	           0	          99	           -	        -
  1.4720	           0	          98	           -	        -
  1.4880	           0	         116	           -	        -
  1.5040	           0	         102	           -	        -
  1.5200	           0	         110	           -	        -
  1.5360	           0	         128	           -	        -
  1.5520	           0	         100	           -	        -
  1.5680	           0	         107	           -	        -
  1.5840	           0	          90	           -	        -
  1.6000	         124	         117	           -	        -
  1.6160	           8	         115	           -	        -
  1.6320	         225	         107	           -	        -
  1.6480	         187	          99	           -	        -
  1.6640	          82	         118	           -	        -
  1.6800	         362	         131	           -	        -
  1.6960	         380	         115	           -	        -
  1.7120	         472	         137	           -	        -
  1.7280	         547	         138	           -	        -
  1.7440	        1036	         162	           -	        -
  1.7600	        1382	         173	           -	        -
  1.7760	        1758	         224	           -	        -
