Parameters:
     Ampl. 1=     8751.61
    Lifet. 1=       3.225
     Ampl. 2=           0
    Lifet. 2=           0
     Backgr.=       29.53
     Backgr.=           0
       Shift=           0

X²: 9.955
tau_amp: 3.22 ns; tau_int: 3.22 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  0.0000	           0	          70	           -	        -
  0.0160	           0	         108	           -	        -
  0.0320	           0	         100	           -	        -
  0.0480	           0	         101	           -	        -
  0.0640	           0	         103	           -	        -
  0.0800	           0	          99	           -	        -
  0.0960	           0	          92	           -	        -
  0.1120	           0	         115	           -	        -
  0.1280	           0	         107	           -	        -
  0.1440	           0	          90	           -	        -
  0.1600	           0	         113	           -	        -
  0.1760	           0	         117	           -	        -
  0.1920	           0	         100	           -	        -
  0.2080	           0	         103	           -	        -
  0.2240	           0	          92	           -	        -
  0.2400	           0	          99	           -	        -
  0.2560	           0	          91	           -	        -
  0.2720	           0	         111	           -	        -
  0.2880	           0	          95	           -	        -
  0.3040	           0	          99	           -	        -
  0.3200	           0	         104	           -	        -
  0.3360	           0	         104	           -	        -
  0.3520	           0	          97	           -	        -
  0.3680	           0	         101	           -	        -
  0.3840	           0	          93	           -	        -
  0.4000	           0	         112	           -	        -
  0.4160	           0	          95	           -	        -
  0.4320	           0	          88	           -	        -
  0.4480	           0	         106	           -	        -
  0.4640	           0	          96	           -	        -
  0.4800	           0	          98	           -	        -
  0.4960	           0	         104	           -	        -
  0.5120	           0	         113	           -	        -
  0.5280	           0	         101	           -	        -
  0.5440	           0	         103	           -	        -
  0.5600	           0	          89	           -	        -
  0.5760	           0	         110	           -	        -
  0.5920	           0	         101	           -	        -
  0.6080	           0	          77	           -	        -
  0.6240	           0	         120	           -	        -
  0.6400	           0	          94	           -	        -
  0.6560	           0	          92	           -	        -
  0.6720	           0	         116	           -	        -
  0.6880	           0	         109	           -	        -
  0.7040	           0	          89	           -	        -
  0.7200	           0	         103	           -	        -
  0.7360	           0	         100	           -	        -
  0.7520	           0	         104	           -	        -
  0.7680	           0	          82	           -	        -
  0.7840	           0	         114	           -	        -
  0.8000	           0	          99	           -	        -
  0.8160	           0	          97	           -	        -
  0.8320	           0	         106	           -	        -
  0.8480	           0	          90	           -	        -
  0.8640	           0	          92	           -	        -
  0.8800	           0	          86	           -	        -
  0.8960	           0	          97	           -	        -
  0.9120	           0	         109	           -	        -
  0.9280	           0	          96	           -	        -
  0.9440	           0	          95	           -	        -
  0.9600	           0	          94	           -	        -
  0.9760	           0	         105	           -	        -
  0.9920	           0	          94	           -	        -
  1.0080	           0	          98	           -	        -
  1.0240	           0	          77	           -	        -
  1.0400	           0	          81	           -	        -
  1.0560	           0	         103	           -	        -
  1.0720	           0	         104	           -	        -
  1.0880	           0	          88	           -	        -
  1.1040	           0	         118	           -	        -
  1.1200	           0	         100	           -	        -
  1.1360	           0	         111	           -	        -
  1.1520	           0	          86	           -	        -
  1.1680	           0	          92	           -	        -
  1.1840	           0	          88	           -	        -
  1.2000	           0	          91	           -	        -
  1.2160	           0	         100	           -	        -
  1.2320	           0	          97	           -	        -
  1.2480	           0	          87	           -	        -
  1.2640	           0	          92	           -	        -
  1.2800	           0	          95	           -	        -
  1.2960	           0	          99	           -	        -
  1.3120	           0	          98	           -	        -
  1.3280	           0	          86	           -	        -
  1.3440	           0	          95	           -	        -
  1.3600	           0	          89	           -	        -
  1.3760	           0	          87	           -	        -
  1.3920	           0	          84	           -	        -
  1.4080	           0	          89	           -	        -
  1.4240	           0	          97	           -	        -
  1.4400	           0	          95	           -	        -
  1.4560	           0	          76	           -	        -
  1.4720	           0	          89	           -	        -
  1.4880	           0	          97	           -	        -
  1.5040	           0	         103	           -	        -
  1.5200	           0	          97	           -	        -
  1.5360	           0	         104	           -	        -
  1.5520	           0	          87	           -	        -
  1.5680	           0	          94	           -	        -
  1.5840	           0	          85	           -	        -
  1.6000	          17	         100	           -	        -
  1.6160	         133	          98	           -	        -
  1.6320	         201	          87	           -	        -
  1.6480	         208	         115	           -	        -
  1.6640	         303	         118	           -	        -
  1.6800	         522	         134	           -	        -
  1.6960	         630	         149	           -	        -
  1.7120	         518	         177	           -	        -
  1.7280	        1182	         224	           -	        -
  1.7440	        1350	         206	           -	        -
  1.7600	        1570	         341	           -	        -
  1.7760	        2085	         385	           -	        -
  1.7920	        2876	         451	           -	        -
  1.8080	        3566	         589	           -	        -
  1.8240	        3756	         711	           -	        -
  1.8400	        5196	         967	           -	        -
  1.8560	        5862	        1041	           -	        -
  1.8720	        7682	        1362	           -	        -
  1.8880	        7848	        1614	           -	        -
  1.9040	        9036	        2057	           -	        -
  1.9200	        9960	        2334	           -	        -
  1.9360	       11700	        2613	           -	        -
  1.9520	       11646	        3090	           -	        -
  1.9680	       13286	        3644	           -	        -
  1.9840	       15052	        4064	           -	        -
  2.0000	       15724	        4623	           -	        -
  2.0160	       15512	        5205	           -	        -
  2.0320	       15786	        5786	           -	        -
  2.0480	       15184	        6284	           -	        -
  2.0640	       15722	        6736	           -	        -
  2.0800	       14302	        7169	           -	        -
  2.0960	       15498	        7831	           -	        -
  2.1120	       15081	        8139	           -	        -
  2.1280	       15843	        8837	           -	        -
  2.1440	       14644	        9197	           -	        -
  2.1600	       15568	        9751	           -	        -
  2.1760	       14216	       10180	           -	        -
  2.1920	       15325	       10639	           -	        -
  2.2080	       14292	       11077	           -	        -
  2.2240	       13086	       11622	           -	        -
  2.2400	       12986	       11974	           -	        -
  2.2560	       12258	       12171	           -	        -
  2.2720	       12719	       12599	           -	        -
  2.2880	       10706	       12893	           -	        -
  2.3040	       12244	       13509	           -	        -
  2.3200	       10971	       13486	           -	        -
  2.3360	       10738	       13950	           -	        -
  2.3520	        7622	       14137	           -	        -
  2.3680	        9177	       14379	           -	        -
  2.3840	        7794	       14424	           -	        -
  2.4000	        8955	       14675	           -	        -
  2.4160	        6526	       14882	           -	        -
  2.4320	        7439	       15272	           -	        -
  2.4480	        7526	       15069	           -	        -
  2.4640	        5747	       15274	           -	        -
  2.4800	        4529	       15535	           -	        -
  2.4960	        7061	       15416	           -	        -
  2.5120	        3996	       15583	           -	        -
  2.5280	        3626	       15834	           -	        -
  2.5440	        5225	       15482	           -	        -
  2.5600	        3569	       15675	           -	        -
  2.5760	        1308	       15843	           -	        -
