Parameters:
     Ampl. 1=     3983.32
    Lifet. 1=      300.98
     Ampl. 2=    29782.96
    Lifet. 2=       2.943
     Backgr.=     -3475.6
     Backgr.=           0
       Shift=           0

X²: 1.232
tau_amp: 38.1 ns; tau_int: 280.68 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  0.0000	           0	         280	           -	        -
  0.0160	           0	         256	           -	        -
  0.0320	           0	         286	           -	        -
  0.0480	           0	         271	           -	        -
  0.0640	           0	         305	           -	        -
  0.0800	           0	         299	           -	        -
  0.0960	           0	         259	           -	        -
  0.1120	           0	         263	           -	        -
  0.1280	           0	         277	           -	        -
  0.1440	           0	         299	           -	        -
  0.1600	           0	         265	           -	        -
  0.1760	           0	         284	           -	        -
  0.1920	           0	         270	           -	        -
  0.2080	           0	         289	           -	        -
  0.2240	           0	         281	           -	        -
  0.2400	           0	         280	           -	        -
  0.2560	           0	         313	           -	        -
  0.2720	           0	         250	           -	        -
  0.2880	           0	         317	           -	        -
  0.3040	           0	         278	           -	        -
  0.3200	           0	         286	           -	        -
  0.3360	           0	         260	           -	        -
  0.3520	           0	         285	           -	        -
  0.3680	           0	         267	           -	        -
  0.3840	           0	         295	           -	        -
  0.4000	           0	         248	           -	        -
  0.4160	           0	         279	           -	        -
  0.4320	           0	         272	           -	        -
  0.4480	           0	         314	           -	        -
  0.4640	           0	         281	           -	        -
  0.4800	           0	         277	           -	        -
  0.4960	           0	         287	           -	        -
  0.5120	           0	         285	           -	        -
  0.5280	           0	         266	           -	        -
  0.5440	           0	         268	           -	        -
  0.5600	           0	         259	           -	        -
  0.5760	           0	         280	           -	        -
  0.5920	           0	         270	           -	        -
  0.6080	           0	         307	           -	        -
  0.6240	           0	         298	           -	        -
  0.6400	           0	         278	           -	        -
  0.6560	           0	         282	           -	        -
  0.6720	           0	         297	           -	        -
  0.6880	           0	         289	           -	        -
  0.7040	           0	         291	           -	        -
  0.7200	           0	         288	           -	        -
  0.7360	           0	         296	           -	        -
  0.7520	           0	         294	           -	        -
  0.7680	           0	         244	           -	        -
  0.7840	           0	         272	           -	        -
  0.8000	           0	         280	           -	        -
  0.8160	           0	         258	           -	        -
  0.8320	           0	         282	           -	        -
  0.8480	           0	         243	           -	        -
  0.8640	           0	         284	           -	        -
  0.8800	           0	         269	           -	        -
  0.8960	           0	         260	           -	        -
  0.9120	           0	         237	           -	        -
  0.9280	           0	         292	           -	        -
  0.9440	           0	         244	           -	        -
  0.9600	           0	         282	           -	        -
  0.9760	           0	         276	           -	        -
  0.9920	           0	         283	           -	        -
  1.0080	           0	         245	           -	        -
  1.0240	           0	         250	           -	        -
  1.0400	           0	         276	           -	        -
  1.0560	           0	         262	           -	        -
  1.0720	           0	         249	           -	        -
  1.0880	           0	         258	           -	        -
  1.1040	           0	         268	           -	        -
  1.1200	           0	         262	           -	        -
  1.1360	           0	         274	           -	        -
  1.1520	           0	         274	           -	        -
  1.1680	           0	         250	           -	        -
  1.1840	           0	         282	           -	        -
  1.2000	           0	         273	           -	        -
  1.2160	           0	         257	           -	        -
  1.2320	           0	         272	           -	        -
  1.2480	           0	         281	           -	        -
  1.2640	           0	         231	           -	        -
  1.2800	           0	         258	           -	        -
  1.2960	           0	         272	           -	        -
  1.3120	           0	         249	           -	        -
  1.3280	           0	         245	           -	        -
  1.3440	           0	         274	           -	        -
  1.3600	           0	         268	           -	        -
  1.3760	           0	         252	           -	        -
  1.3920	           0	         257	           -	        -
  1.4080	           0	         259	           -	        -
  1.4240	           0	         245	           -	        -
  1.4400	           0	         261	           -	        -
  1.4560	           0	         254	           -	        -
  1.4720	           0	         261	           -	        -
  1.4880	           0	         263	           -	        -
  1.5040	           0	         284	           -	        -
  1.5200	           0	         251	           -	        -
  1.5360	           0	         293	           -	        -
  1.5520	           0	         282	           -	        -
  1.5680	         349	         292	           -	        -
  1.5840	          53	         263	           -	        -
  1.6000	         183	         307	           -	        -
  1.6160	         163	         294	           -	        -
  1.6320	         494	         307	           -	        -
  1.6480	         756	         313	           -	        -
  1.6640	        1059	         345	           -	        -
  1.6800	        1476	         437	           -	        -
  1.6960	        2319	         479	           -	        -
  1.7120	        2999	         568	           -	        -
  1.7280	        3451	         728	           -	        -
  1.7440	        4549	         883	           -	        -
  1.7600	        6510	        1055	           -	        -
  1.7760	        7730	        1296	           -	        -
  1.7920	       10366	        1742	           -	        -
  1.8080	       13099	        2120	           -	        -
  1.8240	       15561	        2753	           -	        -
