Parameters:
     Ampl. 1=     3477.69
    Lifet. 1=       2.917
     Ampl. 2=      230.85
    Lifet. 2=           0
     Backgr.=      189.46
     Backgr.=           0
       Shift=           0

X²: 1.713
tau_amp: 2.74 ns; tau_int: 2.92 ns

Time[ns]	         IRF	       Decay	         Fit	  Resids.
  0.0000	           0	         178	           -	        -
  0.0160	           0	         183	           -	        -
  0.0320	           0	         180	           -	        -
  0.0480	           0	         174	           -	        -
  0.0640	           0	         186	           -	        -
  0.0800	           0	         199	           -	        -
  0.0960	           0	         191	           -	        -
  0.1120	           0	         183	           -	        -
  0.1280	           0	         163	           -	        -
  0.1440	           0	         182	           -	        -
  0.1600	           0	         170	           -	        -
  0.1760	           0	         207	           -	        -
  0.1920	           0	         179	           -	        -
  0.2080	           0	         170	           -	        -
  0.2240	           0	         165	           -	        -
  0.2400	           0	         198	           -	        -
  0.2560	           0	         162	           -	        -
  0.2720	           0	         181	           -	        -
  0.2880	           0	         198	           -	        -
  0.3040	           0	         179	           -	        -
  0.3200	           0	         175	           -	        -
  0.3360	           0	         192	           -	        -
  0.3520	           0	         205	           -	        -
  0.3680	           0	         207	           -	        -
  0.3840	           0	         197	           -	        -
  0.4000	           0	         207	           -	        -
  0.4160	           0	         182	           -	        -
  0.4320	           0	         226	           -	        -
  0.4480	           0	         218	           -	        -
  0.4640	           0	         238	           -	        -
  0.4800	           0	         239	           -	        -
  0.4960	           0	         243	           -	        -
  0.5120	           0	         232	           -	        -
  0.5280	           0	         229	           -	        -
  0.5440	           0	         252	           -	        -
  0.5600	           0	         249	           -	        -
  0.5760	           0	         261	           -	        -
  0.5920	           0	         249	           -	        -
  0.6080	           0	         241	           -	        -
  0.6240	           0	         256	           -	        -
  0.6400	           0	         289	           -	        -
  0.6560	           0	         276	           -	        -
  0.6720	           0	         262	           -	        -
  0.6880	           0	         262	           -	        -
  0.7040	           0	         245	           -	        -
  0.7200	           0	         246	           -	        -
  0.7360	           0	         255	           -	        -
  0.7520	           0	         254	           -	        -
  0.7680	           0	         277	           -	        -
  0.7840	           0	         251	           -	        -
  0.8000	           0	         262	           -	        -
  0.8160	           0	         251	           -	        -
  0.8320	           0	         257	           -	        -
  0.8480	           0	         245	           -	        -
  0.8640	           0	         238	           -	        -
  0.8800	           0	         253	           -	        -
  0.8960	           0	         281	           -	        -
  0.9120	           0	         233	           -	        -
  0.9280	           0	         231	           -	        -
  0.9440	           0	         263	           -	        -
  0.9600	           0	         226	           -	        -
  0.9760	           0	         224	           -	        -
  0.9920	           0	         216	           -	        -
  1.0080	           0	         238	           -	        -
  1.0240	           0	         210	           -	        -
  1.0400	           0	         232	           -	        -
  1.0560	           0	         218	           -	        -
  1.0720	           0	         228	           -	        -
  1.0880	           0	         215	           -	        -
  1.1040	           0	         228	           -	        -
  1.1200	           0	         236	           -	        -
  1.1360	           0	         230	           -	        -
  1.1520	           0	         218	           -	        -
  1.1680	           0	         196	           -	        -
  1.1840	           0	         231	           -	        -
  1.2000	           0	         192	           -	        -
  1.2160	           0	         171	           -	        -
  1.2320	           0	         215	           -	        -
  1.2480	          46	         178	           -	        -
  1.2640	         116	         188	           -	        -
  1.2800	          78	         169	           -	        -
  1.2960	         123	         173	           -	        -
  1.3120	         194	         204	           -	        -
  1.3280	         221	         183	           -	        -
  1.3440	         164	         217	           -	        -
  1.3600	         105	         206	           -	        -
  1.3760	          72	         189	           -	        -
  1.3920	          76	         199	           -	        -
  1.4080	          10	         167	           -	        -
  1.4240	         131	         203	           -	        -
  1.4400	          18	         170	           -	        -
  1.4560	         125	         196	           -	        -
  1.4720	          88	         167	           -	        -
  1.4880	         160	         173	           -	        -
  1.5040	         113	         196	           -	        -
  1.5200	         186	         188	           -	        -
  1.5360	         163	         197	           -	        -
  1.5520	         106	         193	           -	        -
  1.5680	         153	         190	           -	        -
  1.5840	         279	         193	           -	        -
  1.6000	         377	         201	           -	        -
  1.6160	         591	         253	           -	        -
  1.6320	         881	         280	           -	        -
  1.6480	        1246	         347	           -	        -
  1.6640	        1666	         443	           -	        -
  1.6800	        2317	         566	           -	        -
  1.6960	        2990	         747	           -	        -
  1.7120	        3853	         977	           -	        -
  1.7280	        4994	        1246	           -	        -
  1.7440	        6556	        1601	           -	        -
  1.7600	        7930	        2068	           -	        -
  1.7760	        9850	        2723	           -	        -
  1.7920	       11865	        3343	           -	        -
  1.8080	       14620	        4173	           -	        -
  1.8240	       15856	        5099	           -	        -
  1.8400	       19243	        6367	           -	        -
  1.8560	       21675	        7269	           -	        -
  1.8720	       24130	        8864	           -	        -
  1.8880	       26618	       10301	           -	        -
  1.9040	       29761	       11817	           -	        -
  1.9200	       32957	       13662	           -	        -
  1.9360	       34562	       15342	           -	        -
  1.9520	       36630	       17701	           -	        -
  1.9680	       37540	       19325	           -	        -
  1.9840	       39095	       21179	           -	        -
  2.0000	       39810	       22951	           -	        -
  2.0160	       41456	       24782	           -	        -
  2.0320	       43188	       26998	           -	        -
  2.0480	       45621	       28804	           -	        -
  2.0640	       49269	       30862	           -	        -
  2.0800	       51539	       33070	           -	        -
  2.0960	       54735	       35736	           -	        -
  2.1120	       60539	       38280	           -	        -
  2.1280	       66860	       40718	           -	        -
  2.1440	       71354	       44277	           -	        -
  2.1600	       78019	       48101	           -	        -
  2.1760	       82356	       51690	           -	        -
  2.1920	       87758	       55864	           -	        -
  2.2080	       88236	       59066	           -	        -
  2.2240	       90650	       63723	           -	        -
  2.2400	       88435	       66911	           -	        -
  2.2560	       89954	       70554	           -	        -
  2.2720	       86438	       73192	           -	        -
  2.2880	       85046	       76202	           -	        -
  2.3040	       82773	       78948	           -	        -
  2.3200	       80301	       81032	           -	        -
  2.3360	       78060	       83314	           -	        -
  2.3520	       74870	       84579	           -	        -
  2.3680	       72204	       86352	           -	        -
  2.3840	       69709	       87586	           -	        -
  2.4000	       68180	       88400	           -	        -
  2.4160	       64688	       89523	           -	        -
  2.4320	       62041	       90008	           -	        -
  2.4480	       60396	       90360	           -	        -
  2.4640	       55876	       90521	           -	        -
  2.4800	       53121	       90650	           -	        -
  2.4960	       50760	       90130	           -	        -
  2.5120	       46074	       89645	           -	        -
  2.5280	       43593	       89202	           -	        -
  2.5440	       41438	       87803	           -	        -
  2.5600	       37573	       87193	           -	        -
  2.5760	       35274	       86076	           -	        -
  2.5920	       31991	       84432	           -	        -
  2.6080	       27634	       83415	           -	        -
  2.6240	       25877	       81128	           -	        -
  2.6400	       23395	       79298	           -	        -
  2.6560	       19169	       77903	           -	        -
  2.6720	       18223	       75744	           -	        -
  2.6880	       16074	       73635	           -	        -
  2.7040	       11063	       71426	           -	        -
  2.7200	        9839	       69258	           -	        -
  2.7360	        6110	       66557	           -	        -
  2.7520	        4567	       64445	           -	        -
  2.7680	        3702	       61522	           -	        -
  2.7840	        1995	       59282	           -	        -
  2.8000	           0	       57317	           -	        -
  2.8160	           0	       54522	           -	        -
  2.8320	           0	       51934	           -	        -
  2.8480	           0	       49973	           -	        -
  2.8640	           0	       48305	           -	        -
  2.8800	           0	       45854	           -	        -
  2.8960	           0	       43652	           -	        -
  2.9120	           0	       41680	           -	        -
  2.9280	           0	       39383	           -	        -
  2.9440	           0	       37974	           -	        -
  2.9600	           0	       36029	           -	        -
