Hg-high_einhuellende_0.dat
05/10/2021
13:29
M1: 60um  Speed 1um/s  filter: 129Hz
position_mm  datamess datacalib
40.3023649390 0.0262965094 0.2573181093
40.3023849390 0.0263017025 0.2573585212
40.3024049390 0.0263066422 0.2573967874
40.3024249390 0.0263113212 0.2574328780
40.3024449390 0.0263157357 0.2574667335
40.3024649390 0.0263198763 0.2574984133
40.3024849390 0.0263237394 0.2575278282
40.3025049390 0.0263273194 0.2575549781
40.3025249390 0.0263306107 0.2575798929
40.3025449390 0.0263336077 0.2576025128
40.3025649390 0.0263363067 0.2576228380
40.3025849390 0.0263387039 0.2576408684
40.3026049390 0.0263407920 0.2576566041
40.3026249390 0.0263425708 0.2576700449
40.3026449390 0.0263440348 0.2576811612
40.3026649390 0.0263451822 0.2576899827
40.3026849390 0.0263460074 0.2576965392
40.3027049390 0.0263465103 0.2577007711
40.3027249390 0.0263466872 0.2577027380
40.3027449390 0.0263465364 0.2577024400
40.3027649390 0.0263460539 0.2576998770
40.3027849390 0.0263452418 0.2576950490
40.3028049390 0.0263440982 0.2576880157
40.3028249390 0.0263426192 0.2576787770
40.3028449390 0.0263408069 0.2576673329
40.3028649390 0.0263386611 0.2576537430
40.3028849390 0.0263361800 0.2576379776
40.3029049390 0.0263333656 0.2576201260
40.3029249390 0.0263302177 0.2576001883
40.3029449390 0.0263267383 0.2575781643
40.3029649390 0.0263229273 0.2575541437
40.3029849390 0.0263187867 0.2575281262
40.3030049390 0.0263143200 0.2575001419
40.3030249390 0.0263095256 0.2574702799
40.3030449390 0.0263044108 0.2574385107
40.3030649390 0.0262989737 0.2574048936
40.3030849390 0.0262932200 0.2573694885
40.3031049390 0.0262871515 0.2573323548
40.3031249390 0.0262807738 0.2572934926
40.3031449390 0.0262740906 0.2572529912
40.3031649390 0.0262671039 0.2572108805
40.3031849390 0.0262598209 0.2571671903
40.3032049390 0.0262522437 0.2571220100
40.3032249390 0.0262443796 0.2570753694
40.3032449390 0.0262362324 0.2570273280
40.3032649390 0.0262278076 0.2569779456
40.3032849390 0.0262191128 0.2569272518
40.3033049390 0.0262101516 0.2568753362
40.3033249390 0.0262009315 0.2568222582
40.3033449390 0.0261914600 0.2567680478
40.3033649390 0.0261817425 0.2567127645
40.3033849390 0.0261717867 0.2566564977
40.3034049390 0.0261615980 0.2565993071
40.3034249390 0.0261511859 0.2565412521
40.3034449390 0.0261405557 0.2564823627
40.3034649390 0.0261297189 0.2564227283
40.3034849390 0.0261186790 0.2563624084
40.3035049390 0.0261074491 0.2563014627
40.3035249390 0.0260960329 0.2562399805
40.3035449390 0.0260844417 0.2561779916
40.3035649390 0.0260726828 0.2561155856
40.3035849390 0.0260607656 0.2560528219
40.3036049390 0.0260486975 0.2559897304
40.3036249390 0.0260364916 0.2559264600
40.3036449390 0.0260241516 0.2558629811
40.3036649390 0.0260116924 0.2557994127
40.3036849390 0.0259991176 0.2557358444
40.3037049390 0.0259864423 0.2556722760
40.3037249390 0.0259736720 0.2556087971
40.3037449390 0.0259608179 0.2555454969
40.3037649390 0.0259478912 0.2554824054
40.3037849390 0.0259348992 0.2554196119
40.3038049390 0.0259218514 0.2553571761
40.3038249390 0.0259087607 0.2552951574
40.3038449390 0.0258956347 0.2552335858
40.3038649390 0.0258824844 0.2551725805
40.3038849390 0.0258693192 0.2551121712
40.3039049390 0.0258561485 0.2550524175
40.3039249390 0.0258429833 0.2549933791
40.3039449390 0.0258298330 0.2549351156
40.3039649390 0.0258167088 0.2548777163
40.3039849390 0.0258036181 0.2548211813
40.3040049390 0.0257905722 0.2547656000
40.3040249390 0.0257775802 0.2547110021
40.3040449390 0.0257646535 0.2546574771
40.3040649390 0.0257517993 0.2546050847
40.3040849390 0.0257390290 0.2545538247
40.3041049390 0.0257263519 0.2545037866
40.3041249390 0.0257137772 0.2544550002
40.3041449390 0.0257013142 0.2544075251
40.3041649390 0.0256889705 0.2543613911
40.3041849390 0.0256767571 0.2543166876
40.3042049390 0.0256646816 0.2542733848
40.3042249390 0.0256527532 0.2542316020
40.3042449390 0.0256409813 0.2541913390
40.3042649390 0.0256293751 0.2541526258
40.3042849390 0.0256179404 0.2541155219
40.3043049390 0.0256066862 0.2540800571
40.3043249390 0.0255956221 0.2540462613
40.3043449390 0.0255847536 0.2540141940
40.3043649390 0.0255740900 0.2539838552
40.3043849390 0.0255636368 0.2539552748
40.3044049390 0.0255534034 0.2539284825
40.3044249390 0.0255433954 0.2539035380
40.3044449390 0.0255336203 0.2538804412
40.3044649390 0.0255240835 0.2538592219
40.3044849390 0.0255147927 0.2538398802
40.3045049390 0.0255057532 0.2538224757
40.3045249390 0.0254969709 0.2538070083
40.3045449390 0.0254884530 0.2537934780
40.3045649390 0.0254802015 0.2537819147
40.3045849390 0.0254722256 0.2537723184
40.3046049390 0.0254645254 0.2537647486
40.3046249390 0.0254571103 0.2537591457
40.3046449390 0.0254499819 0.2537555695
40.3046649390 0.0254431460 0.2537540197
40.3046849390 0.0254366044 0.2537544668
40.3047049390 0.0254303608 0.2537569702
