Lenght	Intensity	Error
8.0775362377	1.2178850174	0.4937260747
8.0779022377	1.5473707914	0.4937350452
8.0782552377	1.3242827654	0.4920596182
8.0786057377	0.7199308276	0.4912478924
8.0789382377	0.2181984484	0.4925953746
8.0792662377	0.3727059662	0.4934842587
8.0795987377	1.0078401566	0.4908445477
8.0799367377	1.4942462444	0.4924173653
8.0802557377	1.4685266018	0.4916288257
8.0805737377	0.9377616048	0.4924085438
8.0808967377	0.3205375075	0.4943085313
8.0812362377	0.253651619	0.4912260175
8.0815742377	0.8016521931	0.4908313751
8.0819072377	1.3834930658	0.491817832
8.0822432377	1.5414067507	0.4930847883
8.0825732377	1.1354547739	0.4919958115
8.0828997377	0.4722473025	0.4910945892
8.0832232377	0.178491503	0.4922058582
8.0835472377	0.5761758685	0.4933444262
8.0838692377	1.2372055054	0.4925525486
8.0841857377	1.5599588156	0.4921319783
8.0845057377	1.3228447437	0.492002815
8.0848342377	0.6770722866	0.4926482439
8.0851572377	0.1944848597	0.4939950407
8.0854932377	0.3849312365	0.492287606
8.0858202377	1.0349042416	0.492068857
8.0861492377	1.5216556787	0.4932348728
8.0864797377	1.4536467791	0.4921494126
8.0868037377	0.8835529685	0.4930256307
8.0871377377	0.2828948796	0.4919033647
8.0874692377	0.249957636	0.4918963015
8.0877947377	0.8145378232	0.493868947
8.0881212377	1.4160984755	0.4920612872
8.0884427377	1.5476264954	0.4938965738
8.0887677377	1.1138745546	0.4953686297
8.0890912377	0.4436132908	0.4918441474
8.0894212377	0.1664474458	0.4930048287
8.0897452377	0.5973061323	0.4921235144
8.0900637377	1.2566657066	0.4924732447
8.0903802377	1.5619021654	0.4915082455
8.0906867377	1.2955861092	0.4923401773
8.0909967377	0.6370497942	0.4924953878
8.0913077377	0.1674719751	0.4926614761
8.0916347377	0.4033926725	0.4911723137
8.0919657377	1.0746184587	0.4929563105
8.0923052377	1.5431896448	0.4932005405
8.0926422377	1.4443846941	0.4929657876
8.0929692377	0.8484454751	0.493141681
8.0932942377	0.2505529523	0.4923901856
8.0936247377	0.2411594838	0.494597882
8.0939472377	0.8414642215	0.4937261343
8.0942632377	1.4365814924	0.4921405911
8.0945867377	1.5452842712	0.4935686588
8.0949192377	1.0738697052	0.4941762686
8.0952517377	0.3879172504	0.4930490553
8.0955727377	0.1593082994	0.4924039543
8.0959017377	0.6240341663	0.491822809
8.0962357377	1.2885023355	0.4912213087
8.0965752377	1.5784535408	0.4921542704
8.0969077377	1.2759804726	0.4919735491
8.0972372377	0.5907487273	0.4923578203
8.0975647377	0.1499952972	0.4912281334
8.0978912377	0.4214315116	0.4907983243
8.0982247377	1.1104500294	0.4915014207
8.0985647377	1.5498956442	0.4908413887
8.0988952377	1.4336941242	0.4913021028
8.0992277377	0.8290997744	0.4903744459
8.0995497377	0.224142611	0.4907020628
8.0998682377	0.263686955	0.4905565977
8.1001887377	0.8963955045	0.4895019531
8.1005177377	1.4833853245	0.4918183088
8.1008517377	1.5342432261	0.4900073111
8.1011877377	1.0448462963	0.4903223515
8.1015152377	0.3419517279	0.4913059771
8.1018457377	0.1673030108	0.4902349412
8.1021752377	0.6704986095	0.4905985594
8.1025047377	1.3265140057	0.4891824126
8.1028472377	1.5841262341	0.4915617108
8.1031892377	1.2347538471	0.4922127426
8.1035367377	0.5360813141	0.4919550121
8.1038712377	0.128499195	0.4906802475
8.1041902377	0.4537874758	0.4910375774
8.1045107377	1.1690882444	0.4901446402
8.1048217377	1.5887086391	0.4921303988
8.1051357377	1.4064911604	0.4907109439
8.1054452377	0.7430631518	0.4900027215
8.1057532377	0.1813381463	0.4915303588
8.1060607377	0.2755990624	0.4909727573
8.1063657377	0.9566070437	0.4903994501
8.1066687377	1.5185734034	0.4898987412
8.1069737377	1.50413692	0.4897569418
8.1072777377	0.9714867473	0.4901548922
8.1075837377	0.3008752465	0.4912101626
8.1079047377	0.1709840596	0.4903691709
8.1082307377	0.746055305	0.4901630282
8.1085607377	1.4080816507	0.490126282
8.1088857377	1.5849987268	0.489574194
8.1091997377	1.1769508123	0.4908059537
8.1095217377	0.4521283507	0.4906475246
8.1098437377	0.1182904765	0.490327388
8.1101607377	0.534560442	0.4911450446
8.1104817377	1.2621256113	0.4911061525
8.1108102377	1.6001917124	0.490278542
8.1111322377	1.3326064348	0.4906939268
8.1114512377	0.6462903023	0.490303725
8.1117762377	0.1270104796	0.491787076
8.1121017377	0.3568876684	0.4914255738
8.1124302377	1.0859000683	0.4903224111
8.1127647377	1.5663176775	0.4892834723
8.1130877377	1.4743497372	0.4923908114
8.1134132377	0.8644427061	0.4907169044
8.1137412377	0.214836508	0.4890603721
8.1140687377	0.2145235091	0.4913606942
8.1143932377	0.8737214804	0.4892757833
8.1147237377	1.4813839197	0.4906279743
8.1150627377	1.5627702475	0.4905293286
8.1154067377	1.049565196	0.4906274974
8.1157452377	0.3403910995	0.4917236567
8.1160797377	0.1340721697	0.4912150204
8.1164057377	0.6559289694	0.4908428788
8.1167132377	1.3549879789	0.4909891486
8.1170197377	1.5957123041	0.4922229052
8.1173337377	1.2502043247	0.4915788174
8.1176527377	0.5226586461	0.4934509695
8.1179692377	0.1102221757	0.4931393564
8.1182742377	0.4497732818	0.4931320846
8.1185847377	1.1948603392	0.4944057465
8.1188962377	1.5969065428	0.4932452142
8.1191982377	1.3935184479	0.4938538074
8.1195092377	0.7129022479	0.4937786758
8.1198117377	0.1483287513	0.4925734103
8.1201217377	0.3074117899	0.4940273166
8.1204297377	1.0228536129	0.4932558835
8.1207422377	1.5522966385	0.4935801029
8.1210532377	1.5028222799	0.4943058491
8.1213592377	0.9156582952	0.4942120016
8.1216662377	0.2454810888	0.4943595827
8.1219742377	0.1815219522	0.4921059906
8.1222877377	0.7924303412	0.4929766953
8.1225982377	1.4612009525	0.4944524467
8.1229187377	1.5875489712	0.4940363467
8.1232467377	1.1388394833	0.4930749238
8.1235722377	0.3943189681	0.4956479073
8.1239007377	0.0975345448	0.4956988692
8.1242227377	0.5912355185	0.4937724471
8.1245517377	1.3152555227	0.4936935306
8.1248862377	1.6242246628	0.4960800707
8.1252087377	1.3059507608	0.4928482473
8.1255412377	0.5647166967	0.4951110184
8.1258852377	0.0855333284	0.4959087968
8.1262147377	0.3887865841	0.494784832
8.1265307377	1.1355956793	0.4959624708
8.1268777377	1.6069550514	0.4953868985
8.1272247377	1.4700481892	0.494797349
8.1275547377	0.7959630489	0.4958963096
8.1278772377	0.1566975117	0.4958653152
8.1281957377	0.2103240341	0.4948274195
8.1285187377	0.9135965109	0.4959259629
8.1288407377	1.5343590975	0.4943858683
8.1291622377	1.5849307775	0.4958643019
8.1294872377	1.0312072039	0.4970884919
8.1298102377	0.2819941342	0.4969691336
8.1301352377	0.0924271345	0.4963215888
8.1304612377	0.6698813438	0.4946576655
8.1307817377	1.3957550526	0.4960240126
8.1310942377	1.6436473131	0.4957428277
8.1314112377	1.2556818724	0.4951257706
8.1317217377	0.4781352282	0.4957099259
8.1320337377	0.0510055833	0.4965802729
8.1323517377	0.4399470687	0.496185571
8.1326697377	1.2230042219	0.4956317246
8.1329877377	1.6570283175	0.4968743324
8.1333057377	1.4305930138	0.4951620102
8.1336287377	0.697458744	0.4952854812
8.1339522377	0.0747231096	0.4953949451
8.1342802377	0.2521009743	0.4939847887
8.1346092377	1.0193225145	0.4961186349
8.1349382377	1.5959484577	0.496226579
8.1352617377	1.572005868	0.4959723949
