Lenght	Intensity	Error
8.0777875156	0.1964454502	0.4970347881
8.0781555156	0.8660871983	0.5008932352
8.0785150156	1.3208675385	0.4992990196
8.0788565156	1.160758853	0.4998631775
8.0791915156	0.4401942194	0.4964735508
8.0795155156	-0.1617426872	0.4997214675
8.0798445156	-0.083041884	0.5003824234
8.0801835156	0.650814116	0.4960943162
8.0805100156	1.2240844965	0.4994194508
8.0808250156	1.2605973482	0.4988030195
8.0811545156	0.7188826799	0.4973517954
8.0814880156	-0.0057097008	0.4986870289
8.0818225156	-0.1854641438	0.49661538
8.0821540156	0.3812750876	0.4966126978
8.0824840156	1.07792449	0.4973065853
8.0828135156	1.3176063299	0.4977948666
8.0831400156	0.9386036992	0.4967887402
8.0834710156	0.1860647202	0.4969275892
8.0837955156	-0.2183577418	0.4959789515
8.0841205156	0.1364069432	0.4953250289
8.0844440156	0.8882825971	0.4962338805
8.0847645156	1.3221489191	0.4969982505
8.0850950156	1.1298745871	0.4954691231
8.0854220156	0.4415201545	0.4954564273
8.0857480156	-0.1641332358	0.4968688488
8.0860765156	-0.0457379222	0.494981885
8.0864040156	0.6721813083	0.4953089058
8.0867330156	1.2341842651	0.497379899
8.0870545156	1.2507667542	0.4990520179
8.0873870156	0.680639565	0.4972486794
8.0877240156	-0.0254299864	0.4969782233
8.0880605156	-0.1762549877	0.4972368479
8.0884035156	0.4117125571	0.4983650744
8.0887345156	1.1030791998	0.4980448186
8.0890645156	1.3148224354	0.4974715114
8.0893940156	0.8975459337	0.4962813556
8.0897275156	0.153077364	0.4992929101
8.0900550156	-0.2252831906	0.4983197451
8.0903800156	0.1646304131	0.4999061525
8.0906995156	0.9083809257	0.4988192022
8.0910125156	1.3276458979	0.5005432367
8.0913270156	1.0949016809	0.4955469668
8.0916430156	0.4107927978	0.4975817502
8.0919730156	-0.194478631	0.4985076487
8.0922945156	-0.0219943076	0.4955254793
8.0926215156	0.673950851	0.4957552254
8.0929510156	1.2433890104	0.4980329275
8.0932680156	1.2183414698	0.4958910346
8.0935850156	0.645968616	0.4948172271
8.0939040156	-0.0627400652	0.4976606667
8.0942225156	-0.1577548236	0.4942681491
8.0945235156	0.4420441985	0.4970881939
8.0948345156	1.1332809925	0.4943752587
8.0951580156	1.3057953119	0.4959745407
8.0954880156	0.874527514	0.4975196421
8.0958095156	0.1247179136	0.4972915649
8.0961330156	-0.2157274187	0.4944680035
8.0964635156	0.2307979017	0.4939928651
8.0967960156	0.9646200538	0.4972130954
8.0971280156	1.3193383217	0.4942743182
8.0974535156	1.0387132168	0.4962801635
8.0977755156	0.3553500772	0.4961678386
8.0980985156	-0.1916561872	0.4949485064
8.0984275156	0.0203922112	0.4983934462
8.0987655156	0.7572763562	0.498290062
8.0990990156	1.2728489637	0.4964179695
8.0994285156	1.1846803427	0.4984510541
8.0997525156	0.5798149109	0.4986226261
8.1000710156	-0.0982729197	0.498246938
8.1003910156	-0.1282390207	0.4991559684
8.1007200156	0.5161880255	0.4978659749
8.1010540156	1.1742545366	0.4982551336
8.1013905156	1.2836385965	0.499548465
8.1017235156	0.7986940145	0.4987871051
8.1020455156	0.058514569	0.4993766546
8.1023705156	-0.2090204656	0.4989822209
8.1026990156	0.2755579352	0.4993221164
8.1030315156	1.009929657	0.4988126159
8.1033735156	1.3272961378	0.5001756549
8.1037110156	0.9998213649	0.4994802475
8.1040460156	0.252501905	0.4989406466
8.1043635156	-0.2222330868	0.5015987754
8.1046790156	0.0593862943	0.4997391701
8.1049915156	0.8139876127	0.4993667006
8.1052990156	1.2869108915	0.5016160607
8.1056070156	1.1521812677	0.5007878542
8.1059105156	0.518014431	0.4996724129
8.1062140156	-0.1402602792	0.5005139112
8.1065200156	-0.1003657281	0.4995950758
8.1068200156	0.587942183	0.5028964281
8.1071225156	1.2059258223	0.4990924597
8.1074235156	1.2597910166	0.5015423298
8.1077295156	0.7223500609	0.5013586879
8.1080430156	-0.0049800077	0.5006181598
8.1083630156	-0.1989150345	0.5020591021
8.1086885156	0.391302973	0.5022083521
8.1090140156	1.0721596479	0.5002026558
8.1093315156	1.2925795317	0.5008792281
8.1096455156	0.9031127095	0.5021556616
8.1099730156	0.1669182479	0.5020429492
8.1102955156	-0.223912105	0.5021262765
8.1106180156	0.164383918	0.5017696023
8.1109425156	0.9117956758	0.5015512109
8.1112660156	1.303237915	0.5019674301
8.1115865156	1.0828332901	0.5019395947
8.1119090156	0.3718618751	0.5019086003
8.1122325156	-0.1902391613	0.5021973252
8.1125640156	-0.0033861003	0.500058651
8.1128960156	0.7078591585	0.5005438328
8.1132240156	1.2537029982	0.5015738606
8.1135505156	1.1980135441	0.5016145706
8.1138750156	0.5921777487	0.4997491837
8.1142025156	-0.0874832571	0.5001710653
8.1145300156	-0.1391419768	0.5011619925
8.1148610156	0.488047719	0.4986812174
8.1152005156	1.1581280231	0.4994685054
8.1155425156	1.2802504301	0.5006245971
8.1158865156	0.8081358075	0.4992944598
8.1162225156	0.0690920129	0.4994488955
8.1165565156	-0.1973276883	0.4990647435
8.1168690156	0.2823044062	0.4993298352
8.1171725156	0.9976561069	0.4989335537
8.1174855156	1.2972397804	0.4997846782
8.1178025156	0.978525281	0.4975657761
8.1181140156	0.283269465	0.4990174174
8.1184245156	-0.2047855705	0.501507163
8.1187305156	0.0928382799	0.4993041754
8.1190400156	0.8173221946	0.4989125729
8.1193435156	1.2906270027	0.5012763739
8.1196500156	1.1160331964	0.4989017546
8.1199500156	0.4804629087	0.4999246895
8.1202525156	-0.1384814978	0.5012617707
8.1205610156	-0.0530898906	0.4992851615
8.1208715156	0.631657362	0.5005062819
8.1211865156	1.211078763	0.4994198978
8.1214975156	1.2254433632	0.5000075698
8.1218100156	0.6716118455	0.5007020235
8.1221200156	-0.0088709304	0.4999808371
8.1224350156	-0.15465267	0.5010166764
8.1227510156	0.4169728458	0.500803709
8.1230700156	1.0922039747	0.5001547933
8.1233990156	1.2871316671	0.5015828013
8.1237290156	0.8575294614	0.501401186
8.1240610156	0.1412206143	0.5009006858
8.1243830156	-0.1974655688	0.5015381575
8.1247015156	0.2267340273	0.5028327703
8.1250270156	0.9396865964	0.5031226873
8.1253545156	1.2675435543	0.5000553131
8.1256695156	1.0253891945	0.5017867088
8.1260070156	0.3213203847	0.5016664267
8.1263435156	-0.1779834777	0.5020945072
8.1266640156	0.041817382	0.5032900572
8.1269935156	0.7589927316	0.5012772679
8.1273380156	1.2495834827	0.5024441481
8.1276770156	1.1502199173	0.5019309521
8.1280035156	0.5432779193	0.5024629831
8.1283190156	-0.0898606703	0.5020735264
8.1286365156	-0.0950194895	0.5016902685
8.1289545156	0.5456274748	0.5031342506
8.1292735156	1.1549922228	0.5021432638
8.1295970156	1.247531414	0.5018451214
8.1299260156	0.7624470592	0.5035535097
8.1302550156	0.0546468757	0.50210464
8.1305870156	-0.1758029461	0.5023354292
8.1309140156	0.323048532	0.5026253462
8.1312365156	1.0135840178	0.5009290576
8.1315535156	1.2843878269	0.501627326
8.1318685156	0.949765861	0.5019362569
8.1321820156	0.2453434765	0.5020704865
8.1324965156	-0.1915850937	0.5029637814
8.1328150156	0.1329812557	0.5020031333
8.1331300156	0.8574118614	0.503061831
8.1334475156	1.2632985115	0.5026928782
8.1337720156	1.0932872295	0.5014643669
8.1340985156	0.4475118518	0.5020332932
8.1344235156	-0.1411619931	0.5029390454
8.1347545156	-0.0321482234	0.5029057264
8.1350815156	0.6480952501	0.5018820763
8.1354070156	1.1975512505	0.5012756586
8.1357260156	1.2055336237	0.5025880337
8.1360460156	0.6453922987	0.5017718077
8.1363660156	-0.0235841554	0.5031576753
8.1366925156	-0.1464312226	0.5015569329
8.1370195156	0.4415353835	0.5015336275
8.1373495156	1.101331234	0.5024003386
8.1376765156	1.2655322552	0.5011129379
8.1380040156	0.8449630737	0.5030613542
8.1383350156	0.140831545	0.5014584064
8.1386685156	-0.1898197085	0.50184834
8.1390035156	0.2311802357	0.5018703938
8.1393275156	0.9437896609	0.5015941262
8.1396435156	1.2811139822	0.5023688078
8.1399545156	1.0348496437	0.5049809813
8.1402845156	0.3470882475	0.5005123019
8.1405995156	-0.1642134041	0.5018764138
8.1409005156	0.0309564359	0.5042910576
8.1412050156	0.7414599061	0.5012238622
8.1415110156	1.2355542183	0.5021628737
8.1418175156	1.1343550682	0.5028501153
8.1421275156	0.5555794239	0.5031177998
8.1424390156	-0.0784713626	0.5031552911
8.1427475156	-0.095618926	0.5025770664
8.1430570156	0.5444751382	0.5033423901
8.1433655156	1.1554625034	0.5026636124
8.1436765156	1.2477493286	0.5039745569
8.1439895156	0.7713038325	0.5022372007
8.1442980156	0.0629500374	0.5013212562
8.1446005156	-0.173079595	0.501830399
8.1449110156	0.3293285668	0.5003075004
8.1452280156	1.0083811283	0.5011867881
8.1455350156	1.2700822353	0.502743721
8.1458445156	0.9332999587	0.5011698008
8.1461505156	0.2546490133	0.5024763942
8.1464670156	-0.1867550761	0.5018139482
8.1467835156	0.1414408386	0.5012111664
8.1470830156	0.8481756449	0.5017228127
8.1473870156	1.2722725868	0.5011435151
8.1476965156	1.1049323082	0.4999925494
8.1479980156	0.4513768554	0.5008094311
8.1483085156	-0.129174307	0.5008093119
8.1486325156	-0.0226576254	0.5013560057
8.1489710156	0.652820766	0.5025747418
8.1493050156	1.1990226507	0.5008807182
8.1496300156	1.2173861265	0.5028826594
8.1499510156	0.6797852516	0.5008401871
8.1502665156	-0.0018602612	0.5001889467
8.1505860156	-0.1447141916	0.5025468469
8.1509150156	0.4297624528	0.501314342
8.1512440156	1.0902820826	0.5010941625
8.1515710156	1.270996809	0.5021001101
8.1518995156	0.8548274636	0.500991106
8.1522185156	0.1662146449	0.5016575456
8.1525345156	-0.1863197237	0.5031219721
8.1528430156	0.2103273124	0.5032851696
8.1531635156	0.9251141548	0.5035131574
8.1534955156	1.2667970657	0.5020655394
8.1538285156	1.0266466141	0.5032997727
8.1541540156	0.3531265557	0.5036310554
8.1544745156	-0.1578234285	0.5021799207
8.1547965156	0.029828785	0.5042809844
8.1551190156	0.7288197875	0.5042898655
8.1554505156	1.2484133244	0.5034087896
8.1557780156	1.1683987379	0.5039707422
8.1561005156	0.5777753592	0.5012973547
8.1564245156	-0.069612287	0.5021648407
8.1567485156	-0.1043475345	0.5039367676
8.1570755156	0.5173385143	0.5019540191
8.1573875156	1.1366783381	0.5038491488
8.1577030156	1.2389732599	0.5037831664
8.1580215156	0.7735286951	0.5019218326
8.1583415156	0.0797355622	0.5040733218
8.1586535156	-0.179842934	0.5044308305
8.1589620156	0.3021194637	0.502699852
8.1592660156	0.9961400032	0.5036588311
8.1595670156	1.2730740309	0.5043637156
8.1598685156	0.9616022706	0.5036604404
8.1601770156	0.2733004093	0.50289011
8.1604840156	-0.1807825267	0.5037190318
8.1607945156	0.1003080979	0.5055834055
8.1611135156	0.808821857	0.5035145283
8.1614285156	1.2580081224	0.5043209195
8.1617390156	1.1107945442	0.5039165616
8.1620380156	0.4941324592	0.5038266778
8.1623345156	-0.1094854623	0.5037543178
8.1626410156	-0.061734274	0.5041012168
8.1629660156	0.6006224155	0.503154397
8.1632825156	1.1741057634	0.5050014257
8.1635955156	1.2239031792	0.5046085715
8.1639040156	0.7104865909	0.5047620535
8.1642090156	0.0180931855	0.5031442046
8.1645165156	-0.1555508226	0.5029163957
8.1648250156	0.3913824856	0.5041498542
8.1651405156	1.0662330389	0.5046930909
8.1654580156	1.2705847025	0.504437089
8.1657800156	0.8910740614	0.5039402843
8.1661035156	0.1960022748	0.5037873983
8.1664195156	-0.1928228885	0.5052552223
8.1667450156	0.1789531559	0.5027117729
8.1670600156	0.8915885687	0.5028524399
8.1673805156	1.2728793621	0.5037122369
8.1677045156	1.0707439184	0.5037216544
8.1680335156	0.396563381	0.5021391511
8.1683650156	-0.1496303827	0.5030345321
8.1686995156	0.0176379345	0.5028078556
8.1690385156	0.6997669339	0.5022793412
8.1693715156	1.2205742598	0.5017064214
8.1696970156	1.1911129951	0.5036213994
8.1700240156	0.6128888726	0.5038289428
8.1703555156	-0.0439254642	0.5017396212
8.1706735156	-0.1222411692	0.5024783611
8.1709840156	0.4740427434	0.5029693842
8.1713020156	1.122635603	0.502025187
8.1716105156	1.2612394094	0.5030324459
8.1719235156	0.8151544333	0.5043839216
8.1722420156	0.1222623661	0.503506422
8.1725700156	-0.1774372309	0.5022736788
8.1728945156	0.2631918192	0.5025753975
8.1732050156	0.9641948938	0.5038784742
8.1735200156	1.2737176418	0.5019360781
8.1738270156	0.9923449159	0.5011139512
8.1741310156	0.3207461536	0.5016742945
8.1744405156	-0.1621330827	0.5031890869
8.1747495156	0.0592137687	0.50373137
8.1750695156	0.7715079188	0.5013732314
8.1753840156	1.2385959625	0.5028246045
8.1756980156	1.1472148895	0.5027948022
