Lenght	Intensity	Error
32.6643006866	0.0300315414	0.2478940934
33.1793006866	0.0303353425	0.2491651624
33.5379006866	0.0300826933	0.2488709241
33.7709006866	0.0302805714	0.2490609586
34.0550006866	0.0300410278	0.2487061173
34.3611006866	0.0309702549	0.2525475919
34.6975006866	0.0307943355	0.2504211068
34.9663006866	0.0306089185	0.2505045235
35.2574006866	0.0305875801	0.2512369156
35.5807006866	0.0307049453	0.252258867
35.8368006866	0.0309153106	0.2496217489
36.1004006866	0.0311337113	0.2516022921
36.1675006866	0.0319248736	0.2505521178
36.4505006866	0.0332584232	0.2507767677
36.7297006866	0.0341571867	0.2496730983
36.9817006866	0.0358104967	0.2520852983
37.2561006866	0.0373005308	0.25107795
37.2931006866	0.0389134251	0.2517551184
37.6151006866	0.0422608182	0.2520468831
37.8854006866	0.0485109128	0.2525633872
38.1714006866	0.0541555807	0.2520118058
38.4574006866	0.0628891811	0.2520052493
38.7335006866	0.0686331093	0.2524326444
38.7604006866	0.0680041984	0.2521268725
39.0145006866	0.0748252347	0.2514423728
39.3226006866	0.0788856372	0.2516239583
39.6094006866	0.0853497982	0.2518101037
39.8923006866	0.0890804529	0.2521378696
39.9060006866	0.0912150964	0.2530723214
40.2141006866	0.0986623019	0.2522022128
40.4656006866	0.1036077365	0.252255708
40.4957006866	0.1077977717	0.2533306181
40.7692006866	0.111241512	0.2533271611
40.8151006866	0.1043109745	0.2546386421
41.0693006866	0.1150711626	0.2530073225
41.3550006866	0.1161051914	0.2545204461
41.3714006866	0.1140333563	0.2538895905
41.6513006866	0.1103755087	0.2527015805
41.9277006866	0.0965717062	0.2515116036
41.9473006866	0.0984724611	0.2534589469
42.2073006866	0.0866220444	0.2540345788
42.2199006866	0.0883896127	0.2534663677
42.2493006866	0.0871483684	0.2527059913
42.4996006866	0.075868465	0.2525889575
42.5441006866	0.0757943392	0.2537926137
42.8034006866	0.0714029968	0.2558442652
43.1097006866	0.0623839088	0.2530395389
43.3863006866	0.0571827739	0.2533708215
43.6938006866	0.0526339374	0.253344357
43.7488006866	0.0455133393	0.2536633015
43.9639006866	0.0461434759	0.2536462247
43.9854006866	0.0457372107	0.2529707253
44.2420006866	0.0431009643	0.2516861856
44.2639006866	0.0441107042	0.2529041469
44.2937006866	0.0421722233	0.2527649701
44.5630006866	0.0396157727	0.2533127367
44.7578006866	0.0316327848	0.2543557286
44.8664006866	0.0382541828	0.2534276247
45.1273006866	0.0354749039	0.2541548014
45.4488006866	0.0344471969	0.2536703348
45.7513006866	0.0340819508	0.253562957
45.7819006866	0.0325655974	0.2518244982
46.0486006866	0.0329364054	0.2535041273
46.3046006866	0.0327776708	0.2540016472
46.5932006866	0.0320620947	0.2527949214
46.8409006866	0.0318945758	0.2538891435
47.1788006866	0.0318465382	0.2557855248
47.4892006866	0.0312923603	0.2532629967
47.7314006866	0.0310214534	0.2532180846
48.0528006866	0.0308508184	0.2531028092
48.3453006866	0.0308845434	0.2536520362
48.6049006866	0.0301331803	0.2550551295
