Lenght	Intensity	Error
37.2931006866	0.0389134251	0.2517551184
37.6151006866	0.0422608182	0.2520468831
37.8854006866	0.0485109128	0.2525633872
38.1714006866	0.0541555807	0.2520118058
38.4574006866	0.0628891811	0.2520052493
38.7335006866	0.0686331093	0.2524326444
39.0145006866	0.0748252347	0.2514423728
39.3226006866	0.0788856372	0.2516239583
39.6094006866	0.0853497982	0.2518101037
39.9060006866	0.0912150964	0.2530723214
40.2141006866	0.0986623019	0.2522022128
40.4957006866	0.1077977717	0.2533306181
40.7692006866	0.111241512	0.2533271611
41.0693006866	0.1150711626	0.2530073225
41.3550006866	0.1161051914	0.2545204461
41.6513006866	0.1103755087	0.2527015805
41.9473006866	0.0984724611	0.2534589469
42.2199006866	0.0883896127	0.2534663677
42.4996006866	0.075868465	0.2525889575
42.8034006866	0.0714029968	0.2558442652
43.1097006866	0.0623839088	0.2530395389
43.3863006866	0.0571827739	0.2533708215
43.6938006866	0.0526339374	0.253344357
43.9639006866	0.0461434759	0.2536462247
44.2639006866	0.0441107042	0.2529041469
44.5630006866	0.0396157727	0.2533127367
44.8664006866	0.0382541828	0.2534276247
