Lenght	Intensity	Error
8.0774150156	0.7700730562	0.4942893982
8.0780445156	0.7603202462	0.4683442712
8.0783600156	0.7640975714	0.404789865
8.0786655156	0.7738503814	0.3259089291
8.0789745156	0.7714976072	0.229622826
8.0792745156	0.7728207707	0.1278252602
8.0795720156	0.7696146369	0.0493969247
8.0798675156	0.7801529169	0.0062429286
8.0801730156	0.780798316	0.0093681095
8.0804775156	0.7880298495	0.0551838055
8.0807790156	0.782245636	0.1332093775
8.0810760156	0.7861604095	0.2359051853
8.0813740156	0.7851474881	0.3330183625
8.0816715156	0.7817693353	0.4240563512
8.0819785156	0.7869569659	0.4743657708
8.0822790156	0.7907219529	0.4910184741
8.0825810156	0.7985438704	0.4644986689
8.0828860156	0.7946711183	0.3904558122
8.0831830156	0.8011116385	0.3043440282
8.0834885156	0.7990318537	0.2012031972
8.0837940156	0.7961969376	0.1043028608
8.0841000156	0.8011265397	0.0345480181
8.0844090156	0.8012099266	0.0046213572
8.0847115156	0.809807241	0.0164988656
8.0850215156	0.7977669239	0.0766470283
8.0853275156	0.8052856326	0.1632303298
8.0856305156	0.8098230362	0.2618273795
8.0859450156	0.8089734912	0.3625901937
8.0862555156	0.8080571294	0.4458546937
8.0865795156	0.805773139	0.4858370125
8.0869050156	0.8091990948	0.4879486859
8.0872205156	0.8144814968	0.4453852475
8.0875330156	0.8194205761	0.3629243672
8.0878410156	0.8156684041	0.2652565837
8.0881545156	0.8127803802	0.1633004993
8.0884595156	0.8168870807	0.0801939815
8.0887630156	0.8229269981	0.0175200049
8.0890680156	0.8247883916	0.0029428655
8.0893695156	0.8187721968	0.032431405
8.0896685156	0.8210504651	0.0939324573
8.0899650156	0.8199275732	0.1984323114
8.0902690156	0.8236948252	0.2999017835
8.0905705156	0.8200497627	0.3941513598
8.0908665156	0.8286846876	0.4654147923
8.0911670156	0.8226799965	0.495218575
8.0914630156	0.8290483952	0.4847829938
8.0917535156	0.8219500184	0.4280506074
8.0920420156	0.8318350911	0.3409283161
8.0923380156	0.8311474919	0.2432646602
8.0926355156	0.8266555667	0.1371275634
8.0929150156	0.8261822462	0.0565597825
8.0931950156	0.8347038031	0.0096367188
8.0934830156	0.8330738544	0.0069035138
8.0937780156	0.8303495646	0.0558678992
8.0940780156	0.8363866806	0.1295960844
8.0943735156	0.8339312673	0.2379814535
8.0946735156	0.8379984498	0.3417840004
8.0949855156	0.836600244	0.4258956313
8.0952990156	0.8416610956	0.4846232533
8.0956135156	0.8446676135	0.5026830435
8.0959205156	0.8410819173	0.472286582
8.0962260156	0.844581008	0.401488781
8.0965320156	0.8495026231	0.3052985966
8.0968400156	0.8412366509	0.1912882924
8.0971570156	0.8462226391	0.0975840315
8.0974695156	0.8538796902	0.0306853913
8.0977840156	0.8495172262	0.0033715551
8.0981000156	0.8440263867	0.0237936657
8.0983965156	0.8658845425	0.0879991204
8.0987025156	0.8595635295	0.1679652035
8.0990140156	0.8470138311	0.2763903439
8.0993250156	0.8517264724	0.3800830841
8.0996440156	0.8591266274	0.4546781182
8.0999625156	0.8548360467	0.4960418046
8.1002730156	0.864236176	0.4905167222
8.1005820156	0.8568195105	0.445406884
8.1008905156	0.8601491451	0.3645739257
8.1012015156	0.8623974919	0.2565286458
8.1015125156	0.8631466031	0.1519386917
8.1018340156	0.8685017228	0.0650812909
8.1021530156	0.8642374873	0.0137246512
8.1024720156	0.8678126335	0.0041787983
8.1027730156	0.8658056855	0.0396579839
8.1030705156	0.8598854542	0.1103066802
8.1033655156	0.8685702682	0.2080437392
8.1036565156	0.8626065254	0.3130736351
8.1039430156	0.8715405464	0.4063627124
8.1042275156	0.8651426435	0.4680623114
8.1045060156	0.8688328862	0.4951749742
8.1047860156	0.8620998859	0.4726732075
8.1050630156	0.8698620796	0.4105756581
8.1053390156	0.8734046221	0.3185701966
8.1056160156	0.875639677	0.2158041
8.1058915156	0.8749442101	0.1156198531
8.1061710156	0.8727314472	0.0421811789
8.1064525156	0.8737245202	0.0046309931
8.1067530156	0.8772033453	0.0110027911
8.1070530156	0.8824073076	0.0637594089
8.1073585156	0.8763453364	0.1515394896
8.1076620156	0.876504004	0.2552287877
8.1079550156	0.8756548166	0.3589258492
8.1082475156	0.875440836	0.4425382018
8.1085550156	0.8744453788	0.4866338074
8.1088520156	0.8833680749	0.4896873236
8.1091525156	0.8789272904	0.4465651214
8.1094580156	0.8853132725	0.3754734695
8.1097640156	0.8787907362	0.2847769558
8.1100630156	0.9110955596	0.1408483088
8.1103720156	0.8847376108	0.0619095899
8.1106725156	0.874335587	0.008260469
8.1109870156	0.8730021715	0.0136028882
8.1113075156	0.9019261003	0.0157056917
8.1116120156	0.9057815075	0.0819720402
8.1119175156	0.8403892517	0.1403922439
8.1122110156	0.878262341	0.3601735234
8.1125160156	0.8679997921	0.4006896317
8.1128170156	0.8528622985	0.4768140316
8.1131275156	0.858825624	0.4820210636
8.1134360156	0.892362237	0.4859751463
8.1137480156	0.9108786583	0.4285682738
8.1140545156	0.9116279483	0.3176992238
8.1143725156	0.8911215067	0.2176679671
8.1146795156	0.8855594993	0.1172256917
8.1149835156	0.8885437846	0.0408395566
8.1152805156	0.8940655589	0.0025455148
8.1155635156	0.8903630376	0.0107450532
8.1158465156	0.898137629	0.0632471591
8.1161345156	0.8927496076	0.1565932184
8.1164290156	0.8876869678	0.2623089552
8.1167190156	0.8872612119	0.3726357818
8.1170055156	0.8876911998	0.4496756494
8.1172875156	0.9051653743	0.4965647757
8.1175810156	0.8837240934	0.4906176925
8.1178620156	0.8954100609	0.4455989897
8.1181510156	0.8868812323	0.3584786654
8.1184380156	0.895802319	0.2642660737
8.1187265156	0.8883304596	0.1607614905
8.1190155156	0.8892388344	0.0690957233
8.1193055156	0.8969359398	0.0134361014
8.1196030156	0.8947559595	0.0044062217
8.1198985156	0.8970317841	0.0402871929
8.1201905156	0.8931289315	0.1208856404
8.1204830156	0.895827651	0.2212511003
8.1207780156	0.8889212012	0.3271383941
8.1210740156	0.8998847008	0.4197625816
8.1213710156	0.8899695277	0.4791248739
8.1216720156	0.9021551013	0.5008686185
8.1219810156	0.8920938373	0.4708259404
8.1222865156	0.8940763474	0.3994558156
8.1225955156	0.8987908363	0.3019382656
8.1228950156	0.8998975158	0.1968963146
8.1231960156	0.8969497681	0.0976751968
8.1235025156	0.8996777534	0.030582197
8.1238090156	0.9030576348	0.00139879
8.1241005156	0.8985731602	0.0221490469
8.1244080156	0.8991345167	0.089892365
8.1247270156	0.899484992	0.1722372621
8.1250295156	0.8997819424	0.2870937586
8.1253230156	0.9071552753	0.380528897
8.1256435156	0.9036325216	0.4599972367
8.1259680156	0.8994702697	0.4955611527
8.1262845156	0.9074662924	0.4899694026
8.1265915156	0.9032503963	0.4343723059
8.1268900156	0.9031806588	0.3494302034
8.1271935156	0.9015354514	0.2468444109
8.1274930156	0.9102270603	0.1377616078
8.1277945156	0.9028406143	0.0635081083
8.1280945156	0.893016994	0.010938731
8.1284055156	0.908954978	0.0054717842
8.1287125156	0.9165350795	0.0500954315
8.1290225156	0.9098317623	0.1283299774
8.1293350156	0.901824832	0.22568205
8.1296350156	0.9071986675	0.3325737417
8.1299295156	0.9105386138	0.4277351797
8.1302240156	0.9132688642	0.4850304425
8.1305165156	0.8953055143	0.495331794
8.1308025156	0.9162253737	0.4818967581
8.1310945156	0.9001671672	0.3987186849
8.1313805156	0.9013852477	0.286614418
8.1316745156	0.8998923898	0.1850035042
