Lenght	Intensity	Error
8.0780710156	0.7074306607	0.4957181811
8.0784080156	0.5782423019	0.4923676848
8.0787335156	0.4063711166	0.495134294
8.0790590156	0.1927087456	0.4952423573
8.0793820156	0.0119369896	0.4951105714
8.0796960156	-0.1235554814	0.4954640567
8.0800195156	-0.1771682352	0.4933950007
8.0803500156	-0.1166209653	0.4933534265
8.0806745156	0.0406052247	0.4936605692
8.0809935156	0.2517398596	0.492104739
8.0813135156	0.4687484205	0.4943019152
8.0816300156	0.6409039497	0.4961036444
8.0819605156	0.7567012906	0.4897419214
8.0822830156	0.7891548276	0.4916918874
8.0826065156	0.7364669442	0.4932176769
8.0829350156	0.5718941092	0.4915365577
8.0832525156	0.3762640357	0.4922887683
8.0835815156	0.1531318724	0.4931893647
8.0839080156	-0.0552556068	0.4939928353
8.0842410156	-0.1747715324	0.4920144975
8.0845680156	-0.1913186908	0.4928405285
8.0848950156	-0.1099218577	0.4939716756
8.0852290156	0.0907410681	0.4923442304
8.0855545156	0.3202872276	0.4918489158
8.0858855156	0.5232598186	0.4923436642
8.0862220156	0.7014753819	0.494418174
8.0865660156	0.7920472026	0.492149502
8.0869165156	0.7974356413	0.4938318431
8.0872550156	0.7090516686	0.4943629801
8.0875910156	0.5315247774	0.4938719273
8.0879210156	0.2969107926	0.4951862097
8.0882550156	0.0759275779	0.495660603
8.0885820156	-0.104725115	0.4930258691
8.0889065156	-0.2153879553	0.4971841276
8.0892330156	-0.1997756809	0.4969677627
8.0895560156	-0.0693871975	0.4938523173
8.0898725156	0.1296927482	0.4971512854
8.0901960156	0.3727639019	0.4986732304
8.0905220156	0.5860073566	0.4967713058
8.0908400156	0.7570537329	0.4977569282
8.0911625156	0.8206673265	0.496206373
8.0914800156	0.7961774468	0.4987878501
8.0917910156	0.6656669974	0.4990976751
8.0921030156	0.458267957	0.497174859
8.0924200156	0.2257471681	0.499145329
8.0927335156	0.0009373298	0.4980858266
8.0930340156	-0.167370379	0.4973293543
8.0933365156	-0.2392118871	0.4985636473
8.0936510156	-0.1717054248	0.4987436235
8.0939715156	-0.0130211134	0.5008506179
8.0942915156	0.2332584709	0.4995943904
