X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0.00000	18.00000	0.00000	0.00000	0.00000	18.00000	0.00000	0.00000
0.01238	18.00000	0.00000	0.00000	0.01238	19.00000	0.00000	0.00000
0.02475	16.00000	0.00000	0.00000	0.02475	17.00000	0.00000	0.00000
0.03713	16.00000	0.00000	0.00000	0.03713	19.00000	0.00000	0.00000
0.04950	18.00000	0.00000	0.00000	0.04950	17.00000	0.00000	0.00000
0.06187	18.00000	0.00000	0.00000	0.06188	19.00000	0.00000	0.00000
0.07425	18.00000	0.00000	0.00000	0.07425	19.00000	0.00000	0.00000
0.08663	18.00000	0.00000	0.00000	0.08663	19.00000	0.00000	0.00000
0.09900	18.00000	0.00000	0.00000	0.09900	19.00000	0.00000	0.00000
0.11138	18.00000	0.00000	0.00000	0.11138	19.00000	0.00000	0.00000
0.12375	18.00000	0.00000	0.00000	0.12375	17.00000	0.00000	0.00000
0.13612	16.00000	0.00000	0.00000	0.13613	19.00000	0.00000	0.00000
0.14850	16.00000	0.00000	0.00000	0.14850	18.00000	0.00000	0.00000
0.16088	16.00000	0.00000	0.00000	0.16088	17.00000	0.00000	0.00000
0.17325	16.00000	0.00000	0.00000	0.17325	18.00000	0.00000	0.00000
0.18563	18.00000	0.00000	0.00000	0.18563	18.00000	0.00000	0.00000
0.19800	18.00000	0.00000	0.00000	0.19800	18.00000	0.00000	0.00000
0.21038	18.00000	0.00000	0.00000	0.21038	18.00000	0.00000	0.00000
0.22275	18.00000	0.00000	0.00000	0.22275	19.00000	0.00000	0.00000
0.23513	16.00000	0.00000	0.00000	0.23513	18.00000	0.00000	0.00000
0.24750	16.00000	0.00000	0.00000	0.24750	17.00000	0.00000	0.00000
0.25988	18.00000	0.00000	0.00000	0.25988	16.00000	0.00000	0.00000
0.27225	18.00000	0.00000	0.00000	0.27225	17.00000	0.00000	0.00000
0.28463	18.00000	0.00000	0.00000	0.28463	18.00000	0.00000	0.00000
0.29700	17.00000	0.00000	0.00000	0.29700	17.00000	0.00000	0.00000
0.30938	17.00000	0.00000	0.00000	0.30938	19.00000	0.00000	0.00000
0.32175	19.00000	0.00000	0.00000	0.32175	19.00000	0.00000	0.00000
0.33413	17.00000	0.00000	0.00000	0.33413	18.00000	0.00000	0.00000
