X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0.00000	20.00000	0.00000	0.00000	0.00000	22.00000	0.00000	0.00000
0.01238	20.00000	0.00000	0.00000	0.01238	22.00000	0.00000	0.00000
0.02475	20.00000	0.00000	0.00000	0.02475	22.00000	0.00000	0.00000
0.03713	20.00000	0.00000	0.00000	0.03713	19.00000	0.00000	0.00000
0.04950	20.00000	0.00000	0.00000	0.04950	22.00000	0.00000	0.00000
0.06187	20.00000	0.00000	0.00000	0.06188	19.00000	0.00000	0.00000
0.07425	20.00000	0.00000	0.00000	0.07425	22.00000	0.00000	0.00000
0.08663	20.00000	0.00000	0.00000	0.08663	22.00000	0.00000	0.00000
0.09900	19.00000	0.00000	0.00000	0.09900	22.00000	0.00000	0.00000
0.11138	19.00000	0.00000	0.00000	0.11138	19.00000	0.00000	0.00000
0.12375	22.00000	0.00000	0.00000	0.12375	22.00000	0.00000	0.00000
0.13612	22.00000	0.00000	0.00000	0.13613	22.00000	0.00000	0.00000
0.14850	22.00000	0.00000	0.00000	0.14850	19.00000	0.00000	0.00000
0.16088	22.00000	0.00000	0.00000	0.16088	22.00000	0.00000	0.00000
0.17325	19.00000	0.00000	0.00000	0.17325	22.00000	0.00000	0.00000
0.18563	18.00000	0.00000	0.00000	0.18563	20.00000	0.00000	0.00000
0.19800	19.00000	0.00000	0.00000	0.19800	22.00000	0.00000	0.00000
0.21038	22.00000	0.00000	0.00000	0.21038	22.00000	0.00000	0.00000
0.22275	22.00000	0.00000	0.00000	0.22275	22.00000	0.00000	0.00000
0.23513	18.00000	0.00000	0.00000	0.23513	22.00000	0.00000	0.00000
0.24750	18.00000	0.00000	0.00000	0.24750	22.00000	0.00000	0.00000
0.25988	19.00000	0.00000	0.00000	0.25988	22.00000	0.00000	0.00000
0.27225	18.00000	0.00000	0.00000	0.27225	22.00000	0.00000	0.00000
0.28463	18.00000	0.00000	0.00000	0.28463	22.00000	0.00000	0.00000
0.29700	22.00000	0.00000	0.00000	0.29700	23.00000	0.00000	0.00000
0.30938	22.00000	0.00000	0.00000	0.30938	22.00000	0.00000	0.00000
0.32175	19.00000	0.00000	0.00000	0.32175	22.00000	0.00000	0.00000
0.33413	19.00000	0.00000	0.00000	0.33413	22.00000	0.00000	0.00000
0.34650	20.00000	0.00000	0.00000	0.34650	22.00000	0.00000	0.00000
0.35887	20.00000	0.00000	0.00000	0.35888	22.00000	0.00000	0.00000
0.37125	19.00000	0.00000	0.00000	0.37125	22.00000	0.00000	0.00000
0.38362	19.00000	0.00000	0.00000	0.38363	22.00000	0.00000	0.00000
0.39600	22.00000	0.00000	0.00000	0.39600	22.00000	0.00000	0.00000
0.40838	19.00000	0.00000	0.00000	0.40838	22.00000	0.00000	0.00000
0.42075	19.00000	0.00000	0.00000	0.42075	22.00000	0.00000	0.00000
0.43313	19.00000	0.00000	0.00000	0.43313	22.00000	0.00000	0.00000
0.44550	22.00000	0.00000	0.00000	0.44550	22.00000	0.00000	0.00000
0.45788	22.00000	0.00000	0.00000	0.45788	22.00000	0.00000	0.00000
0.47025	22.00000	0.00000	0.00000	0.47025	22.00000	0.00000	0.00000
0.48263	22.00000	0.00000	0.00000	0.48263	22.00000	0.00000	0.00000
0.49500	22.00000	0.00000	0.00000	0.49500	22.00000	0.00000	0.00000
0.50738	19.00000	0.00000	0.00000	0.50738	19.00000	0.00000	0.00000
0.51975	19.00000	0.00000	0.00000	0.51975	20.00000	0.00000	0.00000
0.53213	22.00000	0.00000	0.00000	0.53213	18.00000	0.00000	0.00000
0.54450	22.00000	0.00000	0.00000	0.54450	20.00000	0.00000	0.00000
0.55688	22.00000	0.00000	0.00000	0.55688	22.00000	0.00000	0.00000
0.56925	22.00000	0.00000	0.00000	0.56925	20.00000	0.00000	0.00000
0.58163	22.00000	0.00000	0.00000	0.58163	22.00000	0.00000	0.00000
0.59400	22.00000	0.00000	0.00000	0.59400	20.00000	0.00000	0.00000
0.60637	22.00000	0.00000	0.00000	0.60638	22.00000	0.00000	0.00000
0.61875	19.00000	0.00000	0.00000	0.61875	19.00000	0.00000	0.00000
0.63113	19.00000	0.00000	0.00000	0.63113	22.00000	0.00000	0.00000
0.64350	22.00000	0.00000	0.00000	0.64350	18.00000	0.00000	0.00000
0.65587	22.00000	0.00000	0.00000	0.65588	20.00000	0.00000	0.00000
0.66825	22.00000	0.00000	0.00000	0.66825	19.00000	0.00000	0.00000
0.68063	22.00000	0.00000	0.00000	0.68063	19.00000	0.00000	0.00000
0.69300	22.00000	0.00000	0.00000	0.69300	19.00000	0.00000	0.00000
0.70538	22.00000	0.00000	0.00000	0.70538	22.00000	0.00000	0.00000
0.71775	22.00000	0.00000	0.00000	0.71775	22.00000	0.00000	0.00000
0.73013	19.00000	0.00000	0.00000	0.73013	22.00000	0.00000	0.00000
0.74250	19.00000	0.00000	0.00000	0.74250	18.00000	0.00000	0.00000
0.75488	20.00000	0.00000	0.00000	0.75488	22.00000	0.00000	0.00000
0.76725	20.00000	0.00000	0.00000	0.76725	22.00000	0.00000	0.00000
0.77963	20.00000	0.00000	0.00000	0.77963	22.00000	0.00000	0.00000
0.79200	20.00000	0.00000	0.00000	0.79200	22.00000	0.00000	0.00000
0.80438	20.00000	0.00000	0.00000	0.80438	19.00000	0.00000	0.00000
0.81675	18.00000	0.00000	0.00000	0.81675	22.00000	0.00000	0.00000
0.82913	18.00000	0.00000	0.00000	0.82913	19.00000	0.00000	0.00000
0.84150	20.00000	0.00000	0.00000	0.84150	18.00000	0.00000	0.00000
0.85388	20.00000	0.00000	0.00000	0.85388	20.00000	0.00000	0.00000
0.86625	20.00000	0.00000	0.00000	0.86625	19.00000	0.00000	0.00000
0.87862	18.00000	0.00000	0.00000	0.87863	22.00000	0.00000	0.00000
0.89100	18.00000	0.00000	0.00000	0.89100	20.00000	0.00000	0.00000
0.90338	18.00000	0.00000	0.00000	0.90338	22.00000	0.00000	0.00000
0.91575	18.00000	0.00000	0.00000	0.91575	18.00000	0.00000	0.00000
0.92813	22.00000	0.00000	0.00000	0.92813	22.00000	0.00000	0.00000
0.94050	22.00000	0.00000	0.00000	0.94050	19.00000	0.00000	0.00000
0.95288	19.00000	0.00000	0.00000	0.95288	20.00000	0.00000	0.00000
0.96525	20.00000	0.00000	0.00000	0.96525	22.00000	0.00000	0.00000
0.97763	18.00000	0.00000	0.00000	0.97763	20.00000	0.00000	0.00000
0.99000	20.00000	0.00000	0.00000	0.99000	20.00000	0.00000	0.00000
1.00238	20.00000	0.00000	0.00000	1.00238	20.00000	0.00000	0.00000
1.01475	20.00000	0.00000	0.00000	1.01475	22.00000	0.00000	0.00000
1.02713	18.00000	0.00000	0.00000	1.02713	22.00000	0.00000	0.00000
1.03950	18.00000	0.00000	0.00000	1.03950	22.00000	0.00000	0.00000
1.05188	22.00000	0.00000	0.00000	1.05188	22.00000	0.00000	0.00000
1.06425	22.00000	0.00000	0.00000	1.06425	19.00000	0.00000	0.00000
1.07662	20.00000	0.00000	0.00000	1.07663	20.00000	0.00000	0.00000
1.08900	18.00000	0.00000	0.00000	1.08900	19.00000	0.00000	0.00000
1.10137	18.00000	0.00000	0.00000	1.10138	20.00000	0.00000	0.00000
1.11375	22.00000	0.00000	0.00000	1.11375	18.00000	0.00000	0.00000
1.12613	22.00000	0.00000	0.00000	1.12613	18.00000	0.00000	0.00000
1.13850	22.00000	0.00000	0.00000	1.13850	22.00000	0.00000	0.00000
1.15088	22.00000	0.00000	0.00000	1.15088	19.00000	0.00000	0.00000
1.16325	22.00000	0.00000	0.00000	1.16325	22.00000	0.00000	0.00000
1.17563	18.00000	0.00000	0.00000	1.17563	20.00000	0.00000	0.00000
1.18800	19.00000	0.00000	0.00000	1.18800	18.00000	0.00000	0.00000
1.20037	22.00000	0.00000	0.00000	1.20038	20.00000	0.00000	0.00000
1.21275	22.00000	0.00000	0.00000	1.21275	22.00000	0.00000	0.00000
1.22513	19.00000	0.00000	0.00000	1.22513	22.00000	0.00000	0.00000
1.23750	19.00000	0.00000	0.00000	1.23750	20.00000	0.00000	0.00000
1.24988	19.00000	0.00000	0.00000	1.24988	20.00000	0.00000	0.00000
1.26225	22.00000	0.00000	0.00000	1.26225	20.00000	0.00000	0.00000
1.27463	22.00000	0.00000	0.00000	1.27463	20.00000	0.00000	0.00000
1.28700	19.00000	0.00000	0.00000	1.28700	22.00000	0.00000	0.00000
1.29938	19.00000	0.00000	0.00000	1.29938	20.00000	0.00000	0.00000
