x	d	dx	sdx	hx	shx	dy	sdy	hy	shy
1	3	2.6	0.05	1.16	0.02	2.74	0.05	1.09	0.02
2	10	2.2	0.05	0.92	0.02	2.18	0.05	0.88	0.02
3	15	1.87	0.05	0.78	0.02	1.77	0.05	0.74	0.02
4	20	1.56	0.05	0.63	0.02	1.48	0.05	0.56	0.02
5	25	1.2	0.05	0.41	0.02	1.2	0.05	0.45	0.02
6	30	0.77	0.05	0.3	0.01	0.7	0.05	0.29	0.01
7	35	0.54	0.05	0.17	0.01	0.5	0.05	0.16	0.01
8	36	0.46	0.05	0.16	0.01	0.45	0.05	0.13	0.01
9	37	0.42	0.05	0.14	0.01	0.38	0.05	0.12	0.01
10	38	0.35	0.05	0.12	0.01	0.29	0.05	0.11	0.01
11	39	0.32	0.05	0.12	0.01	0.28	0.05	0.11	0.01
12	40	0.31	0.05	0.11	0.01	0.27	0.05	0.1	0.01
13	41	0.25	0.05	0.1	0.01	0.25	0.05	0.1	0.01
14	42	0.27	0.05	0.09	0.01	0.28	0.05	0.09	0.01
15	43	0.3	0.05	0.11	0.01	0.31	0.05	0.11	0.01
16	44	0.37	0.05	0.13	0.01	0.37	0.05	0.14	0.01
17	45	0.43	0.05	0.16	0.01	0.41	0.05	0.16	0.01
18	50	0.75	0.05	0.33	0.02	0.75	0.05	0.35	0.02
19	55	1.02	0.05	0.44	0.02	1.04	0.05	0.49	0.02
20	60	1.13	0.05	0.57	0.02	1.26	0.05	0.55	0.02
