x	d	dx	sdx	hx	shx	dy	sdy	hy	shy
1	3	2.31	0.05	0.95	0.02	2.04	0.05	0.86	0.02
2	10	1.96	0.05	0.81	0.02	1.77	0.05	0.8	0.02
3	15	1.6	0.05	0.69	0.02	1.45	0.05	0.64	0.02
4	20	1.27	0.05	0.55	0.02	1.19	0.05	0.54	0.02
5	25	0.88	0.05	0.4	0.02	0.84	0.05	0.37	0.02
6	30	0.54	0.05	0.24	0.02	0.51	0.05	0.22	0.02
7	31	0.49	0.05	0.21	0.01	0.46	0.05	0.2	0.01
8	32	0.45	0.05	0.18	0.01	0.43	0.05	0.17	0.01
9	33	0.39	0.05	0.15	0.01	0.35	0.05	0.14	0.01
10	34	0.38	0.05	0.14	0.01	0.35	0.05	0.13	0.01
11	35	0.34	0.05	0.11	0.01	0.27	0.05	0.1	0.01
12	36	0.27	0.05	0.1	0.01	0.27	0.05	0.1	0.01
13	37	0.3	0.05	0.11	0.01	0.32	0.05	0.11	0.01
14	38	0.32	0.05	0.12	0.01	0.29	0.05	0.12	0.01
15	39	0.39	0.05	0.13	0.01	0.31	0.05	0.13	0.01
16	40	0.4	0.05	0.14	0.01	0.35	0.05	0.14	0.01
17	45	0.77	0.05	0.22	0.01	0.69	0.05	0.21	0.01
18	50	1.03	0.05	0.39	0.01	0.83	0.05	0.36	0.01
19	55	1.34	0.05	0.55	0.02	1.15	0.05	0.5	0.02
20	60	1.57	0.05	0.64	0.02	1.6	0.05	0.63	0.02
