angle-spectrum Gruppe601.dat
13.09.2021
11:50:25
Gruppe6
 Temp: NON
angel	 rel signal 	s (std. deviation)				
60,01000	0,66928	0,00718
60,02000	0,03583	0,00308
60,03000	0,00761	0,00576
60,04000	0,00865	0,00524
60,05000	0,00973	0,00534
60,06000	0,01023	0,00525
60,07000	0,01068	0,00556
60,08000	0,01131	0,00588
60,09000	0,02628	0,01023
60,10000	0,02687	0,01019
60,11000	0,02723	0,01032
60,12000	0,02764	0,01025
60,13000	0,02732	0,00949
60,14000	0,02655	0,01032
60,15000	0,02674	0,01059
60,16000	0,02624	0,01040
60,17000	0,01154	0,00600
60,18000	0,01086	0,00573
60,19000	0,01073	0,00528
60,20000	0,00991	0,00472
60,21000	0,79717	0,00082
60,22000	0,87916	0,00071
60,23000	0,91416	0,00086
60,24000	0,93727	0,00073
60,25000	0,95437	0,00073
60,26000	0,96513	0,00059
60,27000	0,97517	0,00053
60,28000	0,98291	0,00050
60,29000	0,98589	0,00076
60,30000	0,98399	0,00084
60,31000	0,97865	0,00071
60,32000	0,96884	0,00083
60,33000	0,95681	0,00100
60,34000	0,93913	0,00078
60,35000	0,92176	0,00060
60,36000	0,88879	0,00083
60,37000	0,82046	0,00053
60,38000	0,38070	0,01116
60,39000	0,03560	0,00308
60,40000	0,04076	0,00926
60,41000	0,04591	0,01196
60,42000	0,04700	0,01167
60,43000	0,04844	0,01044
60,44000	0,05147	0,00872
60,45000	0,05156	0,00791
60,46000	0,04808	0,00553
60,47000	0,04709	0,00358
60,48000	0,04749	0,00285
60,49000	0,04682	0,00471
60,50000	0,04505	0,00571
60,51000	0,03953	0,00534
60,52000	0,04333	0,00513
60,53000	0,03736	0,00558
60,54000	0,03691	0,00536
60,55000	0,03637	0,00513
60,56000	0,03524	0,00601
60,57000	0,03415	0,00644
60,58000	0,81752	0,00077
60,59000	0,88527	0,00067
60,60000	0,91566	0,00072
60,61000	0,93465	0,00066
60,62000	0,95129	0,00093
60,63000	0,96644	0,00102
60,64000	0,97734	0,00072
60,65000	0,98417	0,00097
60,66000	0,98621	0,00052
60,67000	0,98471	0,00081
60,68000	0,97825	0,00066
60,69000	0,96947	0,00077
60,70000	0,95753	0,00073
60,71000	0,94103	0,00081
60,72000	0,92407	0,00067
60,73000	0,90277	0,00078
60,74000	0,85990	0,00131
60,75000	0,74213	0,00197
60,76000	0,00840	0,01181
60,77000	0,00881	0,01214
60,78000	0,00922	0,01157
60,79000	0,01030	0,01094
60,80000	0,01152	0,00954
