GRUPPE_Greyline20.dat
13.09.2021
15:08:33
GRUPPE

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,00000	23,00000	0,00000	0,00000	0,00000	26,00000	0,00000	0,00000
0,01238	23,00000	0,00000	0,00000	0,01238	25,00000	0,00000	0,00000
0,02475	22,00000	0,00000	0,00000	0,02475	26,00000	0,00000	0,00000
0,03713	24,00000	0,00000	0,00000	0,03713	26,00000	0,00000	0,00000
0,04950	25,00000	0,00000	0,00000	0,04950	26,00000	0,00000	0,00000
0,06187	25,00000	0,00000	0,00000	0,06188	25,00000	0,00000	0,00000
0,07425	25,00000	0,00000	0,00000	0,07425	26,00000	0,00000	0,00000
0,08663	25,00000	0,00000	0,00000	0,08663	24,00000	0,00000	0,00000
0,09900	22,00000	0,00000	0,00000	0,09900	26,00000	0,00000	0,00000
0,11138	22,00000	0,00000	0,00000	0,11138	24,00000	0,00000	0,00000
0,12375	24,00000	0,00000	0,00000	0,12375	26,00000	0,00000	0,00000
0,13612	24,00000	0,00000	0,00000	0,13613	24,00000	0,00000	0,00000
0,14850	24,00000	0,00000	0,00000	0,14850	25,00000	0,00000	0,00000
0,16088	23,00000	0,00000	0,00000	0,16088	25,00000	0,00000	0,00000
0,17325	23,00000	0,00000	0,00000	0,17325	25,00000	0,00000	0,00000
0,18563	25,00000	0,00000	0,00000	0,18563	27,00000	0,00000	0,00000
0,19800	25,00000	0,00000	0,00000	0,19800	27,00000	0,00000	0,00000
0,21038	25,00000	0,00000	0,00000	0,21038	25,00000	0,00000	0,00000
0,22275	23,00000	0,00000	0,00000	0,22275	24,00000	0,00000	0,00000
0,23513	23,00000	0,00000	0,00000	0,23513	26,00000	0,00000	0,00000
0,24750	24,00000	0,00000	0,00000	0,24750	24,00000	0,00000	0,00000
0,25988	24,00000	0,00000	0,00000	0,25988	26,00000	0,00000	0,00000
0,27225	23,00000	0,00000	0,00000	0,27225	24,00000	0,00000	0,00000
0,28463	23,00000	0,00000	0,00000	0,28463	25,00000	0,00000	0,00000
0,29700	25,00000	0,00000	0,00000	0,29700	26,00000	0,00000	0,00000
0,30938	25,00000	0,00000	0,00000	0,30938	25,00000	0,00000	0,00000
0,32175	25,00000	0,00000	0,00000	0,32175	26,00000	0,00000	0,00000
0,33413	23,00000	0,00000	0,00000	0,33413	26,00000	0,00000	0,00000
0,34650	23,00000	0,00000	0,00000	0,34650	27,00000	0,00000	0,00000
0,35887	24,00000	0,00000	0,00000	0,35888	27,00000	0,00000	0,00000
0,37125	24,00000	0,00000	0,00000	0,37125	26,00000	0,00000	0,00000
0,38362	24,00000	0,00000	0,00000	0,38363	25,00000	0,00000	0,00000
0,39600	24,00000	0,00000	0,00000	0,39600	27,00000	0,00000	0,00000
0,40838	24,00000	0,00000	0,00000	0,40838	27,00000	0,00000	0,00000
0,42075	24,00000	0,00000	0,00000	0,42075	26,00000	0,00000	0,00000
0,43313	24,00000	0,00000	0,00000	0,43313	26,00000	0,00000	0,00000
0,44550	24,00000	0,00000	0,00000	0,44550	24,00000	0,00000	0,00000
0,45788	22,00000	0,00000	0,00000	0,45788	23,00000	0,00000	0,00000
0,47025	22,00000	0,00000	0,00000	0,47025	24,00000	0,00000	0,00000
0,48263	22,00000	0,00000	0,00000	0,48263	24,00000	0,00000	0,00000
0,49500	24,00000	0,00000	0,00000	0,49500	24,00000	0,00000	0,00000
0,50738	24,00000	0,00000	0,00000	0,50738	24,00000	0,00000	0,00000
0,51975	24,00000	0,00000	0,00000	0,51975	24,00000	0,00000	0,00000
0,53213	24,00000	0,00000	0,00000	0,53213	25,00000	0,00000	0,00000
0,54450	22,00000	0,00000	0,00000	0,54450	26,00000	0,00000	0,00000
0,55688	22,00000	0,00000	0,00000	0,55688	25,00000	0,00000	0,00000
0,56925	22,00000	0,00000	0,00000	0,56925	25,00000	0,00000	0,00000
0,58163	24,00000	0,00000	0,00000	0,58163	26,00000	0,00000	0,00000
0,59400	24,00000	0,00000	0,00000	0,59400	25,00000	0,00000	0,00000
0,60637	24,00000	0,00000	0,00000	0,60638	24,00000	0,00000	0,00000
0,61875	23,00000	0,00000	0,00000	0,61875	26,00000	0,00000	0,00000
0,63113	20,00000	0,00000	0,00000	0,63113	24,00000	0,00000	0,00000
0,64350	20,00000	0,00000	0,00000	0,64350	24,00000	0,00000	0,00000
0,65587	23,00000	0,00000	0,00000	0,65588	23,00000	0,00000	0,00000
0,66825	24,00000	0,00000	0,00000	0,66825	26,00000	0,00000	0,00000
0,68063	24,00000	0,00000	0,00000	0,68063	25,00000	0,00000	0,00000
0,69300	24,00000	0,00000	0,00000	0,69300	26,00000	0,00000	0,00000
0,70538	24,00000	0,00000	0,00000	0,70538	25,00000	0,00000	0,00000
0,71775	24,00000	0,00000	0,00000	0,71775	24,00000	0,00000	0,00000
