GRUPPE_Greyline13.dat
13.09.2021
15:36:10
GRUPPE

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,00000	18,00000	0,00000	0,00000	0,00000	18,00000	0,00000	0,00000
0,01238	18,00000	0,00000	0,00000	0,01238	20,00000	0,00000	0,00000
0,02475	18,00000	0,00000	0,00000	0,02475	18,00000	0,00000	0,00000
0,03713	18,00000	0,00000	0,00000	0,03713	19,00000	0,00000	0,00000
0,04950	17,00000	0,00000	0,00000	0,04950	18,00000	0,00000	0,00000
0,06187	17,00000	0,00000	0,00000	0,06188	20,00000	0,00000	0,00000
0,07425	19,00000	0,00000	0,00000	0,07425	18,00000	0,00000	0,00000
0,08663	20,00000	0,00000	0,00000	0,08663	22,00000	0,00000	0,00000
0,09900	18,00000	0,00000	0,00000	0,09900	17,00000	0,00000	0,00000
0,11138	18,00000	0,00000	0,00000	0,11138	22,00000	0,00000	0,00000
0,12375	20,00000	0,00000	0,00000	0,12375	20,00000	0,00000	0,00000
0,13612	19,00000	0,00000	0,00000	0,13613	22,00000	0,00000	0,00000
0,14850	17,00000	0,00000	0,00000	0,14850	18,00000	0,00000	0,00000
0,16088	19,00000	0,00000	0,00000	0,16088	22,00000	0,00000	0,00000
0,17325	19,00000	0,00000	0,00000	0,17325	20,00000	0,00000	0,00000
0,18563	17,00000	0,00000	0,00000	0,18563	20,00000	0,00000	0,00000
0,19800	17,00000	0,00000	0,00000	0,19800	20,00000	0,00000	0,00000
0,21038	19,00000	0,00000	0,00000	0,21038	20,00000	0,00000	0,00000
0,22275	19,00000	0,00000	0,00000	0,22275	20,00000	0,00000	0,00000
0,23513	19,00000	0,00000	0,00000	0,23513	22,00000	0,00000	0,00000
0,24750	19,00000	0,00000	0,00000	0,24750	19,00000	0,00000	0,00000
0,25988	19,00000	0,00000	0,00000	0,25988	20,00000	0,00000	0,00000
0,27225	17,00000	0,00000	0,00000	0,27225	19,00000	0,00000	0,00000
0,28463	17,00000	0,00000	0,00000	0,28463	20,00000	0,00000	0,00000
0,29700	19,00000	0,00000	0,00000	0,29700	20,00000	0,00000	0,00000
0,30938	20,00000	0,00000	0,00000	0,30938	17,00000	0,00000	0,00000
0,32175	18,00000	0,00000	0,00000	0,32175	20,00000	0,00000	0,00000
0,33413	18,00000	0,00000	0,00000	0,33413	18,00000	0,00000	0,00000
0,34650	19,00000	0,00000	0,00000	0,34650	20,00000	0,00000	0,00000
0,35887	19,00000	0,00000	0,00000	0,35888	19,00000	0,00000	0,00000
0,37125	17,00000	0,00000	0,00000	0,37125	22,00000	0,00000	0,00000
0,38362	17,00000	0,00000	0,00000	0,38363	22,00000	0,00000	0,00000
0,39600	19,00000	0,00000	0,00000	0,39600	20,00000	0,00000	0,00000
0,40838	17,00000	0,00000	0,00000	0,40838	20,00000	0,00000	0,00000
0,42075	17,00000	0,00000	0,00000	0,42075	20,00000	0,00000	0,00000
0,43313	17,00000	0,00000	0,00000	0,43313	18,00000	0,00000	0,00000
0,44550	19,00000	0,00000	0,00000	0,44550	20,00000	0,00000	0,00000
0,45788	19,00000	0,00000	0,00000	0,45788	20,00000	0,00000	0,00000
0,47025	19,00000	0,00000	0,00000	0,47025	20,00000	0,00000	0,00000
0,48263	19,00000	0,00000	0,00000	0,48263	19,00000	0,00000	0,00000
0,49500	17,00000	0,00000	0,00000	0,49500	20,00000	0,00000	0,00000
0,50738	19,00000	0,00000	0,00000	0,50738	18,00000	0,00000	0,00000
0,51975	17,00000	0,00000	0,00000	0,51975	19,00000	0,00000	0,00000
0,53213	17,00000	0,00000	0,00000	0,53213	18,00000	0,00000	0,00000
0,54450	17,00000	0,00000	0,00000	0,54450	19,00000	0,00000	0,00000
0,55688	19,00000	0,00000	0,00000	0,55688	18,00000	0,00000	0,00000
0,56925	19,00000	0,00000	0,00000	0,56925	18,00000	0,00000	0,00000
0,58163	17,00000	0,00000	0,00000	0,58163	18,00000	0,00000	0,00000
0,59400	17,00000	0,00000	0,00000	0,59400	20,00000	0,00000	0,00000
0,60637	17,00000	0,00000	0,00000	0,60638	18,00000	0,00000	0,00000
0,61875	19,00000	0,00000	0,00000	0,61875	20,00000	0,00000	0,00000
0,63113	17,00000	0,00000	0,00000	0,63113	18,00000	0,00000	0,00000
0,64350	17,00000	0,00000	0,00000	0,64350	18,00000	0,00000	0,00000
0,65587	17,00000	0,00000	0,00000	0,65588	19,00000	0,00000	0,00000
0,66825	19,00000	0,00000	0,00000	0,66825	18,00000	0,00000	0,00000
0,68063	19,00000	0,00000	0,00000	0,68063	19,00000	0,00000	0,00000
0,69300	17,00000	0,00000	0,00000	0,69300	19,00000	0,00000	0,00000
0,70538	17,00000	0,00000	0,00000	0,70538	18,00000	0,00000	0,00000
0,71775	17,00000	0,00000	0,00000	0,71775	19,00000	0,00000	0,00000
0,73013	17,00000	0,00000	0,00000	0,73013	19,00000	0,00000	0,00000
0,74250	19,00000	0,00000	0,00000	0,74250	20,00000	0,00000	0,00000
0,75488	19,00000	0,00000	0,00000	0,75488	18,00000	0,00000	0,00000
0,76725	19,00000	0,00000	0,00000	0,76725	20,00000	0,00000	0,00000
0,77963	19,00000	0,00000	0,00000	0,77963	17,00000	0,00000	0,00000
0,79200	19,00000	0,00000	0,00000	0,79200	19,00000	0,00000	0,00000
0,80438	19,00000	0,00000	0,00000	0,80438	18,00000	0,00000	0,00000
0,81675	17,00000	0,00000	0,00000	0,81675	20,00000	0,00000	0,00000
0,82913	17,00000	0,00000	0,00000	0,82913	20,00000	0,00000	0,00000
0,84150	19,00000	0,00000	0,00000	0,84150	22,00000	0,00000	0,00000
0,85388	19,00000	0,00000	0,00000	0,85388	20,00000	0,00000	0,00000
0,86625	17,00000	0,00000	0,00000	0,86625	19,00000	0,00000	0,00000
0,87862	19,00000	0,00000	0,00000	0,87863	19,00000	0,00000	0,00000
0,89100	19,00000	0,00000	0,00000	0,89100	20,00000	0,00000	0,00000
0,90338	19,00000	0,00000	0,00000	0,90338	19,00000	0,00000	0,00000
0,91575	19,00000	0,00000	0,00000	0,91575	19,00000	0,00000	0,00000
0,92813	19,00000	0,00000	0,00000	0,92813	20,00000	0,00000	0,00000
0,94050	19,00000	0,00000	0,00000	0,94050	19,00000	0,00000	0,00000
0,95288	18,00000	0,00000	0,00000	0,95288	20,00000	0,00000	0,00000
0,96525	18,00000	0,00000	0,00000	0,96525	19,00000	0,00000	0,00000
0,97763	20,00000	0,00000	0,00000	0,97763	20,00000	0,00000	0,00000
0,99000	18,00000	0,00000	0,00000	0,99000	19,00000	0,00000	0,00000
1,00238	20,00000	0,00000	0,00000	1,00238	20,00000	0,00000	0,00000
1,01475	18,00000	0,00000	0,00000	1,01475	18,00000	0,00000	0,00000
1,02713	18,00000	0,00000	0,00000	1,02713	18,00000	0,00000	0,00000
1,03950	19,00000	0,00000	0,00000	1,03950	18,00000	0,00000	0,00000
1,05188	19,00000	0,00000	0,00000	1,05188	19,00000	0,00000	0,00000
1,06425	19,00000	0,00000	0,00000	1,06425	19,00000	0,00000	0,00000
1,07662	19,00000	0,00000	0,00000	1,07663	19,00000	0,00000	0,00000
1,08900	18,00000	0,00000	0,00000	1,08900	19,00000	0,00000	0,00000
1,10137	18,00000	0,00000	0,00000	1,10138	19,00000	0,00000	0,00000
1,11375	20,00000	0,00000	0,00000	1,11375	20,00000	0,00000	0,00000
1,12613	20,00000	0,00000	0,00000	1,12613	20,00000	0,00000	0,00000
1,13850	20,00000	0,00000	0,00000	1,13850	20,00000	0,00000	0,00000
1,15088	20,00000	0,00000	0,00000	1,15088	19,00000	0,00000	0,00000
1,16325	20,00000	0,00000	0,00000	1,16325	20,00000	0,00000	0,00000
1,17563	18,00000	0,00000	0,00000	1,17563	18,00000	0,00000	0,00000
1,18800	18,00000	0,00000	0,00000	1,18800	20,00000	0,00000	0,00000
1,20037	19,00000	0,00000	0,00000	1,20038	19,00000	0,00000	0,00000
