GRUPPE3_Greyline18.dat
04.10.2021
16:21:37
GRUPPE3

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,00000	15,00000	0,00000	0,00000	0,00000	15,00000	0,00000	0,00000
0,01238	13,00000	0,00000	0,00000	0,01238	16,00000	0,00000	0,00000
0,02475	12,00000	0,00000	0,00000	0,02475	15,00000	0,00000	0,00000
0,03713	15,00000	0,00000	0,00000	0,03713	15,00000	0,00000	0,00000
0,04950	16,00000	0,00000	0,00000	0,04950	15,00000	0,00000	0,00000
0,06187	16,00000	0,00000	0,00000	0,06188	18,00000	0,00000	0,00000
0,07425	16,00000	0,00000	0,00000	0,07425	15,00000	0,00000	0,00000
0,08663	15,00000	0,00000	0,00000	0,08663	18,00000	0,00000	0,00000
0,09900	15,00000	0,00000	0,00000	0,09900	15,00000	0,00000	0,00000
0,11138	17,00000	0,00000	0,00000	0,11138	17,00000	0,00000	0,00000
0,12375	17,00000	0,00000	0,00000	0,12375	12,00000	0,00000	0,00000
0,13612	17,00000	0,00000	0,00000	0,13613	13,00000	0,00000	0,00000
0,14850	16,00000	0,00000	0,00000	0,14850	16,00000	0,00000	0,00000
0,16088	13,00000	0,00000	0,00000	0,16088	15,00000	0,00000	0,00000
0,17325	13,00000	0,00000	0,00000	0,17325	16,00000	0,00000	0,00000
0,18563	16,00000	0,00000	0,00000	0,18563	15,00000	0,00000	0,00000
0,19800	17,00000	0,00000	0,00000	0,19800	15,00000	0,00000	0,00000
0,21038	16,00000	0,00000	0,00000	0,21038	16,00000	0,00000	0,00000
0,22275	13,00000	0,00000	0,00000	0,22275	17,00000	0,00000	0,00000
0,23513	12,00000	0,00000	0,00000	0,23513	15,00000	0,00000	0,00000
0,24750	13,00000	0,00000	0,00000	0,24750	17,00000	0,00000	0,00000
0,25988	17,00000	0,00000	0,00000	0,25988	15,00000	0,00000	0,00000
0,27225	16,00000	0,00000	0,00000	0,27225	15,00000	0,00000	0,00000
0,28463	16,00000	0,00000	0,00000	0,28463	16,00000	0,00000	0,00000
0,29700	13,00000	0,00000	0,00000	0,29700	17,00000	0,00000	0,00000
0,30938	13,00000	0,00000	0,00000	0,30938	13,00000	0,00000	0,00000
0,32175	13,00000	0,00000	0,00000	0,32175	17,00000	0,00000	0,00000
0,33413	13,00000	0,00000	0,00000	0,33413	18,00000	0,00000	0,00000
0,34650	16,00000	0,00000	0,00000	0,34650	15,00000	0,00000	0,00000
0,35887	17,00000	0,00000	0,00000	0,35888	15,00000	0,00000	0,00000
0,37125	17,00000	0,00000	0,00000	0,37125	15,00000	0,00000	0,00000
0,38362	17,00000	0,00000	0,00000	0,38363	13,00000	0,00000	0,00000
0,39600	17,00000	0,00000	0,00000	0,39600	13,00000	0,00000	0,00000
0,40838	17,00000	0,00000	0,00000	0,40838	13,00000	0,00000	0,00000
0,42075	15,00000	0,00000	0,00000	0,42075	16,00000	0,00000	0,00000
0,43313	15,00000	0,00000	0,00000	0,43313	15,00000	0,00000	0,00000
0,44550	17,00000	0,00000	0,00000	0,44550	15,00000	0,00000	0,00000
0,45788	17,00000	0,00000	0,00000	0,45788	15,00000	0,00000	0,00000
0,47025	18,00000	0,00000	0,00000	0,47025	17,00000	0,00000	0,00000
0,48263	17,00000	0,00000	0,00000	0,48263	15,00000	0,00000	0,00000
0,49500	15,00000	0,00000	0,00000	0,49500	17,00000	0,00000	0,00000
0,50738	17,00000	0,00000	0,00000	0,50738	13,00000	0,00000	0,00000
0,51975	17,00000	0,00000	0,00000	0,51975	17,00000	0,00000	0,00000
0,53213	15,00000	0,00000	0,00000	0,53213	15,00000	0,00000	0,00000
0,54450	13,00000	0,00000	0,00000	0,54450	13,00000	0,00000	0,00000
0,55688	15,00000	0,00000	0,00000	0,55688	13,00000	0,00000	0,00000
0,56925	17,00000	0,00000	0,00000	0,56925	16,00000	0,00000	0,00000
0,58163	18,00000	0,00000	0,00000	0,58163	13,00000	0,00000	0,00000
0,59400	15,00000	0,00000	0,00000	0,59400	16,00000	0,00000	0,00000
0,60637	15,00000	0,00000	0,00000	0,60638	16,00000	0,00000	0,00000
0,61875	15,00000	0,00000	0,00000	0,61875	17,00000	0,00000	0,00000
0,63113	15,00000	0,00000	0,00000	0,63113	15,00000	0,00000	0,00000
0,64350	17,00000	0,00000	0,00000	0,64350	15,00000	0,00000	0,00000
0,65587	16,00000	0,00000	0,00000	0,65588	17,00000	0,00000	0,00000
0,66825	16,00000	0,00000	0,00000	0,66825	15,00000	0,00000	0,00000
0,68063	12,00000	0,00000	0,00000	0,68063	18,00000	0,00000	0,00000
0,69300	13,00000	0,00000	0,00000	0,69300	17,00000	0,00000	0,00000
0,70538	16,00000	0,00000	0,00000	0,70538	15,00000	0,00000	0,00000
0,71775	16,00000	0,00000	0,00000	0,71775	13,00000	0,00000	0,00000
0,73013	16,00000	0,00000	0,00000	0,73013	15,00000	0,00000	0,00000
0,74250	16,00000	0,00000	0,00000	0,74250	15,00000	0,00000	0,00000
0,75488	16,00000	0,00000	0,00000	0,75488	16,00000	0,00000	0,00000
0,76725	15,00000	0,00000	0,00000	0,76725	15,00000	0,00000	0,00000
0,77963	15,00000	0,00000	0,00000	0,77963	17,00000	0,00000	0,00000
0,79200	17,00000	0,00000	0,00000	0,79200	15,00000	0,00000	0,00000
0,80438	17,00000	0,00000	0,00000	0,80438	17,00000	0,00000	0,00000
0,81675	15,00000	0,00000	0,00000	0,81675	16,00000	0,00000	0,00000
0,82913	16,00000	0,00000	0,00000	0,82913	15,00000	0,00000	0,00000
0,84150	13,00000	0,00000	0,00000	0,84150	17,00000	0,00000	0,00000
0,85388	16,00000	0,00000	0,00000	0,85388	17,00000	0,00000	0,00000
0,86625	16,00000	0,00000	0,00000	0,86625	16,00000	0,00000	0,00000
0,87862	16,00000	0,00000	0,00000	0,87863	15,00000	0,00000	0,00000
0,89100	16,00000	0,00000	0,00000	0,89100	16,00000	0,00000	0,00000
0,90338	13,00000	0,00000	0,00000	0,90338	15,00000	0,00000	0,00000
0,91575	13,00000	0,00000	0,00000	0,91575	16,00000	0,00000	0,00000
0,92813	16,00000	0,00000	0,00000	0,92813	16,00000	0,00000	0,00000
0,94050	17,00000	0,00000	0,00000	0,94050	17,00000	0,00000	0,00000
0,95288	17,00000	0,00000	0,00000	0,95288	18,00000	0,00000	0,00000
0,96525	17,00000	0,00000	0,00000	0,96525	17,00000	0,00000	0,00000
0,97763	15,00000	0,00000	0,00000	0,97763	18,00000	0,00000	0,00000
0,99000	15,00000	0,00000	0,00000	0,99000	13,00000	0,00000	0,00000
1,00238	16,00000	0,00000	0,00000	1,00238	17,00000	0,00000	0,00000
1,01475	15,00000	0,00000	0,00000	1,01475	13,00000	0,00000	0,00000
1,02713	15,00000	0,00000	0,00000	1,02713	13,00000	0,00000	0,00000
1,03950	17,00000	0,00000	0,00000	1,03950	16,00000	0,00000	0,00000
1,05188	15,00000	0,00000	0,00000	1,05188	12,00000	0,00000	0,00000
1,06425	15,00000	0,00000	0,00000	1,06425	15,00000	0,00000	0,00000
1,07662	15,00000	0,00000	0,00000	1,07663	12,00000	0,00000	0,00000
1,08900	17,00000	0,00000	0,00000	1,08900	15,00000	0,00000	0,00000
1,10137	17,00000	0,00000	0,00000	1,10138	15,00000	0,00000	0,00000
1,11375	17,00000	0,00000	0,00000	1,11375	16,00000	0,00000	0,00000
1,12613	17,00000	0,00000	0,00000	1,12613	16,00000	0,00000	0,00000
1,13850	17,00000	0,00000	0,00000	1,13850	13,00000	0,00000	0,00000
1,15088	15,00000	0,00000	0,00000	1,15088	15,00000	0,00000	0,00000
1,16325	16,00000	0,00000	0,00000	1,16325	15,00000	0,00000	0,00000
1,17563	13,00000	0,00000	0,00000	1,17563	17,00000	0,00000	0,00000
1,18800	13,00000	0,00000	0,00000	1,18800	13,00000	0,00000	0,00000
1,20037	16,00000	0,00000	0,00000	1,20038	15,00000	0,00000	0,00000
1,21275	16,00000	0,00000	0,00000	1,21275	13,00000	0,00000	0,00000
1,22513	12,00000	0,00000	0,00000	1,22513	15,00000	0,00000	0,00000
1,23750	16,00000	0,00000	0,00000	1,23750	17,00000	0,00000	0,00000
1,24988	16,00000	0,00000	0,00000	1,24988	13,00000	0,00000	0,00000
1,26225	13,00000	0,00000	0,00000	1,26225	16,00000	0,00000	0,00000
1,27463	13,00000	0,00000	0,00000	1,27463	16,00000	0,00000	0,00000
1,28700	17,00000	0,00000	0,00000	1,28700	16,00000	0,00000	0,00000
1,29938	17,00000	0,00000	0,00000	1,29938	15,00000	0,00000	0,00000
1,31175	16,00000	0,00000	0,00000	1,31175	16,00000	0,00000	0,00000
1,32412	13,00000	0,00000	0,00000	1,32413	16,00000	0,00000	0,00000
1,33650	12,00000	0,00000	0,00000	1,33650	16,00000	0,00000	0,00000
1,34888	13,00000	0,00000	0,00000	1,34888	15,00000	0,00000	0,00000
1,36125	16,00000	0,00000	0,00000	1,36125	16,00000	0,00000	0,00000
1,37363	16,00000	0,00000	0,00000	1,37363	16,00000	0,00000	0,00000
1,38600	16,00000	0,00000	0,00000	1,38600	19,00000	0,00000	0,00000
1,39838	16,00000	0,00000	0,00000	1,39838	13,00000	0,00000	0,00000
1,41075	16,00000	0,00000	0,00000	1,41075	17,00000	0,00000	0,00000
1,42312	13,00000	0,00000	0,00000	1,42313	13,00000	0,00000	0,00000
1,43550	15,00000	0,00000	0,00000	1,43550	17,00000	0,00000	0,00000
1,44788	12,00000	0,00000	0,00000	1,44788	16,00000	0,00000	0,00000
1,46025	15,00000	0,00000	0,00000	1,46025	17,00000	0,00000	0,00000
1,47263	15,00000	0,00000	0,00000	1,47263	16,00000	0,00000	0,00000
1,48500	15,00000	0,00000	0,00000	1,48500	17,00000	0,00000	0,00000
1,49738	13,00000	0,00000	0,00000	1,49738	13,00000	0,00000	0,00000
1,50975	13,00000	0,00000	0,00000	1,50975	17,00000	0,00000	0,00000
1,52213	16,00000	0,00000	0,00000	1,52213	15,00000	0,00000	0,00000
1,53450	16,00000	0,00000	0,00000	1,53450	17,00000	0,00000	0,00000
1,54688	16,00000	0,00000	0,00000	1,54688	16,00000	0,00000	0,00000
1,55925	16,00000	0,00000	0,00000	1,55925	15,00000	0,00000	0,00000
1,57163	13,00000	0,00000	0,00000	1,57163	15,00000	0,00000	0,00000
1,58400	13,00000	0,00000	0,00000	1,58400	16,00000	0,00000	0,00000
1,59638	16,00000	0,00000	0,00000	1,59638	16,00000	0,00000	0,00000
