GRUPPE3_Greyline01.dat
04.10.2021
14:46:55
GRUPPE3

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,00000	17,00000	0,00000	0,00000	0,00000	23,00000	0,00000	0,00000
0,01238	17,00000	0,00000	0,00000	0,01238	20,00000	0,00000	0,00000
0,02475	17,00000	0,00000	0,00000	0,02475	22,00000	0,00000	0,00000
0,03713	23,00000	0,00000	0,00000	0,03713	23,00000	0,00000	0,00000
0,04950	20,00000	0,00000	0,00000	0,04950	20,00000	0,00000	0,00000
0,06187	18,00000	0,00000	0,00000	0,06188	23,00000	0,00000	0,00000
0,07425	18,00000	0,00000	0,00000	0,07425	24,00000	0,00000	0,00000
0,08663	20,00000	0,00000	0,00000	0,08663	23,00000	0,00000	0,00000
0,09900	20,00000	0,00000	0,00000	0,09900	23,00000	0,00000	0,00000
0,11138	20,00000	0,00000	0,00000	0,11138	20,00000	0,00000	0,00000
0,12375	20,00000	0,00000	0,00000	0,12375	22,00000	0,00000	0,00000
0,13612	18,00000	0,00000	0,00000	0,13613	20,00000	0,00000	0,00000
0,14850	18,00000	0,00000	0,00000	0,14850	19,00000	0,00000	0,00000
0,16088	20,00000	0,00000	0,00000	0,16088	23,00000	0,00000	0,00000
0,17325	20,00000	0,00000	0,00000	0,17325	23,00000	0,00000	0,00000
0,18563	18,00000	0,00000	0,00000	0,18563	23,00000	0,00000	0,00000
0,19800	18,00000	0,00000	0,00000	0,19800	23,00000	0,00000	0,00000
0,21038	18,00000	0,00000	0,00000	0,21038	22,00000	0,00000	0,00000
0,22275	20,00000	0,00000	0,00000	0,22275	20,00000	0,00000	0,00000
0,23513	20,00000	0,00000	0,00000	0,23513	22,00000	0,00000	0,00000
0,24750	20,00000	0,00000	0,00000	0,24750	22,00000	0,00000	0,00000
0,25988	20,00000	0,00000	0,00000	0,25988	22,00000	0,00000	0,00000
0,27225	19,00000	0,00000	0,00000	0,27225	22,00000	0,00000	0,00000
0,28463	19,00000	0,00000	0,00000	0,28463	22,00000	0,00000	0,00000
0,29700	22,00000	0,00000	0,00000	0,29700	20,00000	0,00000	0,00000
0,30938	22,00000	0,00000	0,00000	0,30938	22,00000	0,00000	0,00000
0,32175	19,00000	0,00000	0,00000	0,32175	20,00000	0,00000	0,00000
