GRUPPE3_Greyline05.dat
04.10.2021
15:06:41
GRUPPE3

Gauss coefficients notation:
Amplitude
FWHM
Std.Abw.
[Fehler]
offset
BEAMCUT  LINES:

X H  in mm	Y H rel	Gauss fit H	H Gauss Coefficients	X V in mm	Y V rel	Gauss fit V	V Gauss Coefficientes
0,00000	17,00000	0,00000	0,00000	0,00000	18,00000	0,00000	0,00000
0,01238	17,00000	0,00000	0,00000	0,01238	19,00000	0,00000	0,00000
0,02475	18,00000	0,00000	0,00000	0,02475	18,00000	0,00000	0,00000
0,03713	19,00000	0,00000	0,00000	0,03713	20,00000	0,00000	0,00000
0,04950	18,00000	0,00000	0,00000	0,04950	16,00000	0,00000	0,00000
0,06187	16,00000	0,00000	0,00000	0,06188	17,00000	0,00000	0,00000
0,07425	16,00000	0,00000	0,00000	0,07425	17,00000	0,00000	0,00000
0,08663	16,00000	0,00000	0,00000	0,08663	17,00000	0,00000	0,00000
0,09900	18,00000	0,00000	0,00000	0,09900	16,00000	0,00000	0,00000
0,11138	18,00000	0,00000	0,00000	0,11138	17,00000	0,00000	0,00000
0,12375	18,00000	0,00000	0,00000	0,12375	18,00000	0,00000	0,00000
0,13612	18,00000	0,00000	0,00000	0,13613	19,00000	0,00000	0,00000
0,14850	17,00000	0,00000	0,00000	0,14850	17,00000	0,00000	0,00000
0,16088	17,00000	0,00000	0,00000	0,16088	19,00000	0,00000	0,00000
0,17325	19,00000	0,00000	0,00000	0,17325	17,00000	0,00000	0,00000
0,18563	18,00000	0,00000	0,00000	0,18563	19,00000	0,00000	0,00000
0,19800	20,00000	0,00000	0,00000	0,19800	19,00000	0,00000	0,00000
0,21038	20,00000	0,00000	0,00000	0,21038	17,00000	0,00000	0,00000
0,22275	18,00000	0,00000	0,00000	0,22275	16,00000	0,00000	0,00000
0,23513	18,00000	0,00000	0,00000	0,23513	16,00000	0,00000	0,00000
0,24750	20,00000	0,00000	0,00000	0,24750	17,00000	0,00000	0,00000
0,25988	20,00000	0,00000	0,00000	0,25988	16,00000	0,00000	0,00000
0,27225	18,00000	0,00000	0,00000	0,27225	18,00000	0,00000	0,00000
0,28463	18,00000	0,00000	0,00000	0,28463	19,00000	0,00000	0,00000
0,29700	19,00000	0,00000	0,00000	0,29700	19,00000	0,00000	0,00000
0,30938	19,00000	0,00000	0,00000	0,30938	18,00000	0,00000	0,00000
0,32175	17,00000	0,00000	0,00000	0,32175	20,00000	0,00000	0,00000
0,33413	17,00000	0,00000	0,00000	0,33413	16,00000	0,00000	0,00000
0,34650	18,00000	0,00000	0,00000	0,34650	17,00000	0,00000	0,00000
0,35887	18,00000	0,00000	0,00000	0,35888	15,00000	0,00000	0,00000
0,37125	16,00000	0,00000	0,00000	0,37125	16,00000	0,00000	0,00000
0,38362	18,00000	0,00000	0,00000	0,38363	18,00000	0,00000	0,00000
0,39600	18,00000	0,00000	0,00000	0,39600	16,00000	0,00000	0,00000
0,40838	19,00000	0,00000	0,00000	0,40838	18,00000	0,00000	0,00000
0,42075	18,00000	0,00000	0,00000	0,42075	18,00000	0,00000	0,00000
0,43313	16,00000	0,00000	0,00000	0,43313	18,00000	0,00000	0,00000
0,44550	16,00000	0,00000	0,00000	0,44550	18,00000	0,00000	0,00000
0,45788	18,00000	0,00000	0,00000	0,45788	17,00000	0,00000	0,00000
0,47025	18,00000	0,00000	0,00000	0,47025	18,00000	0,00000	0,00000
0,48263	18,00000	0,00000	0,00000	0,48263	18,00000	0,00000	0,00000
0,49500	16,00000	0,00000	0,00000	0,49500	18,00000	0,00000	0,00000
0,50738	16,00000	0,00000	0,00000	0,50738	18,00000	0,00000	0,00000
0,51975	17,00000	0,00000	0,00000	0,51975	16,00000	0,00000	0,00000
0,53213	17,00000	0,00000	0,00000	0,53213	18,00000	0,00000	0,00000
0,54450	16,00000	0,00000	0,00000	0,54450	16,00000	0,00000	0,00000
0,55688	16,00000	0,00000	0,00000	0,55688	18,00000	0,00000	0,00000
0,56925	18,00000	0,00000	0,00000	0,56925	18,00000	0,00000	0,00000
0,58163	18,00000	0,00000	0,00000	0,58163	18,00000	0,00000	0,00000
0,59400	18,00000	0,00000	0,00000	0,59400	18,00000	0,00000	0,00000
0,60637	18,00000	0,00000	0,00000	0,60638	18,00000	0,00000	0,00000
0,61875	16,00000	0,00000	0,00000	0,61875	18,00000	0,00000	0,00000
0,63113	18,00000	0,00000	0,00000	0,63113	15,00000	0,00000	0,00000
0,64350	18,00000	0,00000	0,00000	0,64350	17,00000	0,00000	0,00000
0,65587	18,00000	0,00000	0,00000	0,65588	15,00000	0,00000	0,00000
0,66825	18,00000	0,00000	0,00000	0,66825	18,00000	0,00000	0,00000
0,68063	18,00000	0,00000	0,00000	0,68063	16,00000	0,00000	0,00000
0,69300	18,00000	0,00000	0,00000	0,69300	18,00000	0,00000	0,00000
0,70538	18,00000	0,00000	0,00000	0,70538	18,00000	0,00000	0,00000
0,71775	18,00000	0,00000	0,00000	0,71775	18,00000	0,00000	0,00000
0,73013	18,00000	0,00000	0,00000	0,73013	17,00000	0,00000	0,00000
0,74250	18,00000	0,00000	0,00000	0,74250	18,00000	0,00000	0,00000
0,75488	18,00000	0,00000	0,00000	0,75488	18,00000	0,00000	0,00000
0,76725	18,00000	0,00000	0,00000	0,76725	17,00000	0,00000	0,00000
0,77963	18,00000	0,00000	0,00000	0,77963	18,00000	0,00000	0,00000
0,79200	18,00000	0,00000	0,00000	0,79200	16,00000	0,00000	0,00000
0,80438	18,00000	0,00000	0,00000	0,80438	18,00000	0,00000	0,00000
0,81675	17,00000	0,00000	0,00000	0,81675	18,00000	0,00000	0,00000
0,82913	17,00000	0,00000	0,00000	0,82913	18,00000	0,00000	0,00000
0,84150	19,00000	0,00000	0,00000	0,84150	17,00000	0,00000	0,00000
0,85388	19,00000	0,00000	0,00000	0,85388	16,00000	0,00000	0,00000
0,86625	16,00000	0,00000	0,00000	0,86625	16,00000	0,00000	0,00000
0,87862	17,00000	0,00000	0,00000	0,87863	16,00000	0,00000	0,00000
0,89100	17,00000	0,00000	0,00000	0,89100	18,00000	0,00000	0,00000
0,90338	19,00000	0,00000	0,00000	0,90338	16,00000	0,00000	0,00000
