angle-spectrum Gruppe 304.dat
04.10.2021
13:15:38
Gruppe 3
 Temp: NON
angel	 rel signal 	s (std. deviation)				
60,01000	0,95460	0,00069
60,02000	0,03777	0,00937
60,03000	0,03303	0,00764
60,04000	0,04006	0,00806
60,05000	0,03855	0,00365
60,06000	0,04161	0,00753
60,07000	0,01146	0,00920
60,08000	0,84222	0,00090
60,09000	0,89597	0,00064
60,10000	0,92753	0,00084
60,11000	0,94465	0,00066
60,12000	0,95926	0,00068
60,13000	0,97232	0,00072
60,14000	0,98211	0,00056
60,15000	0,98948	0,00060
60,16000	0,99470	0,00107
60,17000	0,99569	0,00066
60,18000	0,99151	0,00071
60,19000	0,98474	0,00084
60,20000	0,97629	0,00069
60,21000	0,96461	0,00043
60,22000	0,95008	0,00052
60,23000	0,93318	0,00069
60,24000	0,90425	0,00069
60,25000	0,85627	0,00057
60,26000	0,00124	0,00462
60,27000	0,00113	0,00553
60,28000	0,00255	0,00457
60,29000	0,01682	0,00915
60,30000	0,01928	0,00899
60,31000	0,02135	0,00805
60,32000	0,02372	0,00725
60,33000	0,02631	0,00466
60,34000	0,02764	0,00342
60,35000	0,02790	0,00312
60,36000	0,02691	0,00277
60,37000	0,02730	0,00305
60,38000	0,02764	0,00364
60,39000	0,02777	0,00323
60,40000	0,02712	0,00286
60,41000	0,02833	0,00327
60,42000	0,03165	0,00678
60,43000	0,03639	0,00971
60,44000	0,03743	0,00939
60,45000	0,79785	0,00107
60,46000	0,88537	0,00083
60,47000	0,92055	0,00104
60,48000	0,94434	0,00079
60,49000	0,96103	0,00038
60,50000	0,97331	0,00074
60,51000	0,98254	0,00063
60,52000	0,99043	0,00086
60,53000	0,99491	0,00058
60,54000	0,99556	0,00084
60,55000	0,99289	0,00063
60,56000	0,98711	0,00113
60,57000	0,97793	0,00064
60,58000	0,96633	0,00075
60,59000	0,95284	0,00084
60,60000	0,93072	0,00077
60,61000	0,89938	0,00050
60,62000	0,82320	0,00084
60,63000	0,01208	0,00920
60,64000	0,00747	0,00940
60,65000	0,00553	0,00867
60,66000	0,00441	0,00792
60,67000	0,00225	0,00740
60,68000	0,00031	0,00626
60,69000	0,00271	0,00339
60,70000	0,00176	0,00328
60,71000	0,00814	0,00867
60,72000	0,01068	0,00978
60,73000	0,01103	0,00921
60,74000	0,01172	0,00860
60,75000	0,01405	0,00798
60,76000	0,01581	0,00675
60,77000	0,01396	0,00559
60,78000	0,01224	0,00404
60,79000	0,01293	0,00338
60,80000	0,01236	0,00395
