Raman-Spectrum _CCl4 _aspol9001.dat
27/09/2021
11:52:14
_CCl4
_aspol90 Temp: NON
X in nm	Y Signal 	Error Signal				
625,04000	0,19918	0,00033
625,08000	0,20636	0,00050
625,12000	0,20921	0,00034
625,16000	0,21318	0,00059
625,20000	0,20957	0,00042
625,24000	0,21217	0,00147
625,28000	0,21293	0,00033
625,32000	0,20926	0,00047
625,36000	0,20931	0,00061
625,40000	0,20468	0,00041
625,44000	0,21690	0,00041
625,48000	0,20651	0,00036
625,52000	0,20758	0,00038
625,56000	0,20733	0,00033
625,60000	0,20458	0,00033
625,64000	0,20906	0,00027
625,68000	0,20830	0,00041
625,72000	0,20840	0,00031
625,76000	0,21008	0,00036
625,80000	0,20438	0,00048
625,84000	0,20432	0,00038
625,88000	0,20443	0,00046
625,92000	0,20850	0,00051
625,96000	0,20840	0,00031
626,00000	0,20916	0,00046
626,04000	0,20361	0,00041
626,08000	0,21227	0,00052
626,12000	0,20458	0,00040
626,16000	0,20443	0,00039
626,20000	0,20473	0,00047
626,24000	0,20539	0,00048
626,28000	0,19989	0,00042
626,32000	0,20142	0,00036
626,36000	0,20432	0,00055
626,40000	0,21797	0,00061
626,44000	0,21792	0,00041
626,48000	0,21023	0,00034
626,52000	0,21430	0,00052
626,56000	0,21395	0,00040
626,60000	0,22001	0,00034
626,64000	0,21400	0,00031
626,68000	0,20845	0,00042
626,72000	0,20840	0,00031
626,76000	0,21491	0,00041
626,80000	0,21334	0,00041
626,84000	0,21293	0,00051
626,88000	0,20346	0,00048
626,92000	0,20631	0,00046
626,96000	0,20926	0,00034
627,00000	0,20020	0,00033
627,04000	0,20020	0,00056
627,08000	0,20188	0,00032
627,12000	0,20911	0,00031
627,16000	0,21568	0,00053
627,20000	0,20993	0,00044
627,24000	0,20264	0,00041
627,28000	0,20845	0,00027
627,32000	0,20840	0,00038
627,36000	0,20259	0,00041
627,40000	0,20244	0,00027
627,44000	0,20753	0,00053
627,48000	0,21013	0,00038
627,52000	0,20626	0,00025
627,56000	0,20840	0,00044
627,60000	0,20921	0,00041
627,64000	0,20952	0,00039
627,68000	0,20631	0,00033
627,72000	0,21624	0,00031
627,76000	0,19969	0,00046
627,80000	0,20824	0,00025
627,84000	0,20351	0,00050
627,88000	0,19908	0,00034
627,92000	0,19883	0,00046
627,96000	0,20544	0,00046
628,00000	0,20998	0,00027
628,04000	0,21013	0,00044
628,08000	0,20183	0,00027
628,12000	0,20280	0,00038
628,16000	0,20000	0,00040
628,20000	0,19995	0,00031
628,24000	0,20631	0,00046
628,28000	0,20178	0,00038
628,32000	0,20086	0,00051
628,36000	0,20081	0,00027
628,40000	0,20285	0,00053
628,44000	0,19338	0,00040
628,48000	0,18757	0,00036
628,52000	0,18742	0,00041
628,56000	0,19429	0,00027
628,60000	0,18391	0,00033
628,64000	0,18233	0,00052
628,68000	0,17994	0,00036
628,72000	0,17240	0,00042
628,76000	0,16970	0,00031
628,80000	0,16940	0,00038
628,84000	0,15830	0,00034
628,88000	0,15173	0,00025
628,92000	0,17047	0,00060
628,96000	0,14974	0,00041
629,00000	0,14791	0,00039
629,04000	0,13671	0,00046
629,08000	0,13661	0,00044
629,12000	0,14068	0,00020
629,16000	0,14323	0,00044
629,20000	0,13386	0,00034
629,24000	0,12755	0,00039
629,28000	0,12531	0,00057
629,32000	0,11955	0,00051
629,36000	0,12077	0,00033
629,40000	0,12062	0,00034
629,44000	0,11482	0,00032
629,48000	0,11105	0,00057
629,52000	0,11400	0,00025
629,56000	0,11110	0,00051
629,60000	0,11120	0,00036
629,64000	0,10774	0,00036
629,68000	0,10764	0,00036
629,72000	0,10581	0,00040
629,76000	0,11034	0,00020
629,80000	0,10535	0,00047
629,84000	0,10061	0,00036
629,88000	0,10173	0,00033
629,92000	0,09883	0,00047
629,96000	0,10372	0,00038
630,00000	0,10372	0,00044
630,04000	0,09807	0,00048
630,08000	0,09741	0,00031
630,12000	0,10550	0,00046
630,16000	0,09333	0,00044
630,20000	0,09613	0,00023
630,24000	0,09715	0,00040
630,28000	0,09695	0,00027
630,32000	0,09990	0,00046
630,36000	0,10071	0,00033
630,40000	0,09603	0,00036
630,44000	0,09629	0,00041
630,48000	0,09690	0,00038
630,52000	0,09323	0,00052
630,56000	0,09343	0,00032
630,60000	0,09532	0,00023
630,64000	0,09415	0,00069
630,68000	0,09333	0,00050
630,72000	0,09639	0,00050
630,76000	0,09496	0,00032
630,80000	0,09435	0,00038
630,84000	0,09547	0,00039
630,88000	0,09511	0,00046
630,92000	0,09873	0,00057
630,96000	0,09990	0,00046
631,00000	0,09226	0,00046
631,04000	0,09822	0,00041
631,08000	0,09639	0,00038
631,12000	0,09598	0,00046
631,16000	0,09634	0,00023
631,20000	0,10479	0,00040
631,24000	0,10357	0,00036
631,28000	0,10545	0,00034
631,32000	0,11151	0,00034
631,36000	0,11675	0,00044
631,40000	0,11573	0,00050
631,44000	0,12352	0,00048
631,48000	0,12342	0,00042
631,52000	0,12918	0,00031
631,56000	0,13096	0,00046
631,60000	0,13513	0,00042
631,64000	0,14705	0,00040
631,68000	0,14257	0,00034
631,72000	0,14241	0,00044
631,76000	0,14236	0,00048
631,80000	0,15178	0,00025
631,84000	0,15743	0,00040
631,88000	0,16217	0,00039
631,92000	0,15825	0,00046
631,96000	0,15636	0,00034
632,00000	0,16573	0,00032
632,04000	0,16573	0,00051
632,08000	0,15967	0,00048
632,12000	0,16130	0,00051
632,16000	0,17261	0,00034
632,20000	0,17724	0,00034
632,24000	0,17245	0,00050
632,28000	0,17887	0,00044
632,32000	0,17826	0,00034
632,36000	0,17821	0,00047
632,40000	0,17551	0,00031
632,44000	0,16583	0,00031
632,48000	0,16487	0,00040
632,52000	0,17062	0,00057
632,56000	0,16018	0,00042
632,60000	0,15178	0,00057
632,64000	0,15158	0,00044
