Raman-Spectrum _CCl4 _spol9001.dat
27/09/2021
13:24:02
_CCl4
_spol90 Temp: NON
X in nm	Y Signal 	Error Signal				
560,04000	0,09410	0,00040
560,08000	0,09496	0,00051
560,12000	0,09517	0,00057
560,16000	0,09506	0,00044
560,20000	0,09517	0,00047
560,24000	0,10071	0,00056
560,28000	0,09613	0,00023
560,32000	0,09909	0,00036
560,36000	0,09690	0,00044
560,40000	0,09715	0,00046
560,44000	0,09623	0,00041
560,48000	0,09863	0,00038
560,52000	0,10005	0,00032
560,56000	0,09898	0,00053
560,60000	0,09812	0,00050
560,64000	0,10178	0,00034
560,68000	0,09781	0,00047
560,72000	0,09812	0,00044
560,76000	0,09593	0,00058
560,80000	0,09511	0,00033
560,84000	0,09690	0,00031
560,88000	0,09527	0,00057
560,92000	0,09618	0,00034
560,96000	0,09893	0,00038
561,00000	0,09914	0,00038
561,04000	0,10275	0,00023
561,08000	0,10000	0,00036
561,12000	0,09532	0,00033
561,16000	0,09155	0,00033
561,20000	0,09883	0,00041
561,24000	0,09593	0,00058
561,28000	0,09608	0,00031
561,32000	0,09603	0,00042
561,36000	0,10168	0,00044
561,40000	0,09700	0,00032
561,44000	0,09817	0,00023
561,48000	0,09634	0,00040
561,52000	0,09410	0,00040
561,56000	0,09700	0,00039
561,60000	0,09705	0,00048
561,64000	0,09491	0,00053
561,68000	0,10260	0,00023
561,72000	0,09333	0,00038
561,76000	0,10097	0,00044
561,80000	0,09700	0,00032
561,84000	0,09496	0,00046
561,88000	0,09496	0,00046
561,92000	0,09323	0,00047
561,96000	0,10005	0,00046
562,00000	0,09893	0,00038
562,04000	0,09903	0,00023
562,08000	0,10087	0,00025
562,12000	0,09975	0,00034
562,16000	0,10015	0,00031
562,20000	0,09995	0,00044
562,24000	0,10158	0,00039
562,28000	0,09985	0,00034
562,32000	0,09623	0,00025
562,36000	0,09425	0,00041
562,40000	0,09313	0,00034
562,44000	0,10097	0,00044
562,48000	0,10092	0,00040
562,52000	0,09323	0,00041
562,56000	0,09725	0,00041
562,60000	0,09348	0,00042
562,64000	0,09812	0,00031
562,68000	0,09613	0,00033
562,72000	0,09308	0,00046
562,76000	0,09985	0,00034
562,80000	0,09985	0,00034
562,84000	0,09618	0,00025
562,88000	0,09797	0,00042
562,92000	0,09868	0,00033
562,96000	0,10189	0,00052
563,00000	0,09822	0,00034
563,04000	0,09415	0,00041
563,08000	0,09415	0,00069
563,12000	0,09919	0,00033
563,16000	0,10071	0,00046
563,20000	0,09817	0,00046
563,24000	0,09715	0,00046
563,28000	0,09700	0,00023
563,32000	0,10071	0,00033
563,36000	0,10056	0,00046
563,40000	0,09725	0,00047
563,44000	0,09710	0,00038
563,48000	0,10295	0,00040
563,52000	0,09323	0,00052
563,56000	0,09613	0,00033
563,60000	0,09980	0,00041
563,64000	0,09715	0,00046
563,68000	0,09695	0,00048
563,72000	0,09506	0,00044
563,76000	0,09903	0,00039
563,80000	0,09588	0,00050
563,84000	0,09140	0,00032
563,88000	0,09430	0,00040
563,92000	0,09700	0,00032
563,96000	0,09690	0,00050
564,00000	0,09522	0,00047
564,04000	0,10194	0,00046
564,08000	0,09903	0,00051
564,12000	0,10071	0,00040
564,16000	0,09710	0,00064
564,20000	0,10275	0,00023
564,24000	0,10255	0,00015
564,28000	0,10107	0,00039
564,32000	0,10428	0,00033
564,36000	0,10550	0,00051
564,40000	0,10637	0,00025
564,44000	0,10815	0,00027
564,48000	0,11390	0,00038
564,52000	0,11115	0,00031
564,56000	0,11110	0,00046
564,60000	0,11945	0,00036
564,64000	0,12077	0,00056
564,68000	0,11691	0,00036
564,72000	0,11787	0,00039
564,76000	0,11680	0,00048
564,80000	0,11853	0,00033
564,84000	0,11869	0,00025
564,88000	0,12347	0,00046
564,92000	0,12505	0,00036
564,96000	0,12709	0,00015
565,00000	0,13086	0,00047
565,04000	0,13030	0,00041
565,08000	0,14134	0,00058
565,12000	0,13417	0,00051
565,16000	0,13371	0,00042
565,20000	0,14603	0,00040
565,24000	0,13294	0,00041
565,28000	0,13834	0,00038
565,32000	0,13773	0,00032
565,36000	0,14333	0,00032
565,40000	0,13936	0,00050
565,44000	0,13951	0,00057
565,48000	0,14353	0,00061
565,52000	0,13508	0,00031
565,56000	0,13116	0,00042
565,60000	0,13778	0,00042
565,64000	0,13753	0,00025
565,68000	0,13554	0,00046
565,72000	0,13564	0,00036
565,76000	0,13116	0,00036
565,80000	0,13386	0,00034
565,84000	0,13284	0,00034
565,88000	0,13289	0,00047
565,92000	0,12902	0,00048
565,96000	0,13014	0,00048
566,00000	0,12643	0,00044
566,04000	0,12648	0,00048
566,08000	0,12510	0,00050
566,12000	0,12261	0,00046
566,16000	0,11986	0,00042
566,20000	0,11629	0,00027
566,24000	0,11609	0,00034
566,28000	0,11696	0,00044
566,32000	0,11665	0,00052
566,36000	0,11024	0,00032
566,40000	0,10637	0,00047
566,44000	0,10204	0,00048
566,48000	0,10367	0,00048
566,52000	0,10178	0,00041
566,56000	0,10733	0,00033
566,60000	0,10637	0,00150
566,64000	0,10265	0,00027
566,68000	0,11125	0,00068
566,72000	0,10728	0,00044
566,76000	0,10372	0,00038
566,80000	0,10270	0,00031
566,84000	0,10173	0,00046
566,88000	0,10275	0,00056
566,92000	0,10285	0,00025
566,96000	0,10194	0,00033
567,00000	0,10158	0,00068
567,04000	0,09975	0,00025
567,08000	0,09522	0,00069
567,12000	0,09211	0,00034
567,16000	0,09618	0,00034
567,20000	0,09613	0,00040
567,24000	0,09898	0,00048
567,28000	0,09797	0,00042
567,32000	0,10372	0,00044
567,36000	0,09216	0,00025
567,40000	0,09618	0,00034
567,44000	0,09791	0,00044
567,48000	0,10183	0,00047
567,52000	0,10194	0,00056
567,56000	0,10392	0,00041
567,60000	0,10275	0,00033
567,64000	0,10621	0,00027
567,68000	0,10550	0,00056
567,72000	0,11207	0,00034
567,76000	0,11212	0,00046
567,80000	0,11217	0,00031
567,84000	0,11222	0,00036
567,88000	0,11431	0,00039
567,92000	0,11304	0,00034
567,96000	0,10652	0,00040
568,00000	0,11599	0,00040
568,04000	0,11797	0,00031
568,08000	0,11782	0,00048
568,12000	0,11400	0,00041
568,16000	0,11691	0,00036
568,20000	0,13091	0,00034
568,24000	0,12918	0,00038
568,28000	0,13024	0,00051
568,32000	0,12724	0,00041
568,36000	0,12933	0,00034
568,40000	0,12928	0,00034
568,44000	0,13116	0,00058
568,48000	0,13666	0,00027
568,52000	0,12816	0,00038
568,56000	0,13177	0,00046
568,60000	0,13661	0,00020
568,64000	0,13865	0,00031
568,68000	0,13849	0,00052
568,72000	0,13203	0,00044
568,76000	0,12663	0,00038
568,80000	0,13946	0,00057
568,84000	0,13758	0,00033
568,88000	0,13371	0,00048
568,92000	0,12836	0,00041
568,96000	0,12841	0,00040
569,00000	0,12831	0,00041
569,04000	0,12923	0,00023
569,08000	0,12617	0,00046
569,12000	0,12332	0,00040
569,16000	0,11421	0,00038
569,20000	0,11400	0,00047
569,24000	0,11492	0,00038
569,28000	0,11497	0,00056
569,32000	0,11034	0,00050
