Raman-Spectrum _CDCl3 _pol0r01.dat
27/09/2021
10:17:34
_CDCl3
_pol0r Temp: NON
X in nm	Y Signal 	Error Signal				
625,04000	0,09058	0,00052
625,08000	0,08478	0,00039
625,12000	0,08768	0,00023
625,16000	0,08575	0,00042
625,20000	0,08656	0,00041
625,24000	0,08676	0,00062
625,28000	0,09226	0,00040
625,32000	0,08656	0,00034
625,36000	0,08391	0,00023
625,40000	0,08585	0,00036
625,44000	0,08519	0,00044
625,48000	0,08325	0,00032
625,52000	0,08300	0,00047
625,56000	0,08676	0,00048
625,60000	0,09043	0,00036
625,64000	0,08458	0,00052
625,68000	0,08921	0,00040
625,72000	0,08575	0,00036
625,76000	0,08671	0,00044
625,80000	0,07999	0,00041
625,84000	0,07999	0,00041
625,88000	0,08442	0,00040
625,92000	0,08768	0,00040
625,96000	0,08514	0,00051
626,00000	0,08030	0,00038
626,04000	0,08473	0,00036
626,08000	0,08580	0,00056
626,12000	0,08595	0,00033
626,16000	0,08855	0,00047
626,20000	0,08488	0,00059
626,24000	0,08177	0,00042
626,28000	0,08295	0,00057
626,32000	0,08758	0,00041
626,36000	0,08676	0,00048
626,40000	0,08676	0,00062
626,44000	0,09247	0,00027
626,48000	0,08564	0,00033
626,52000	0,08850	0,00051
626,56000	0,08493	0,00040
626,60000	0,08661	0,00052
626,64000	0,09068	0,00041
626,68000	0,09063	0,00041
626,72000	0,09033	0,00036
626,76000	0,08458	0,00025
626,80000	0,08829	0,00027
626,84000	0,08743	0,00044
626,88000	0,08936	0,00039
626,92000	0,09420	0,00025
626,96000	0,09038	0,00046
627,00000	0,09053	0,00056
627,04000	0,08844	0,00044
627,08000	0,08687	0,00053
627,12000	0,09058	0,00041
627,16000	0,08687	0,00042
627,20000	0,08844	0,00038
627,24000	0,09221	0,00025
627,28000	0,09236	0,00042
627,32000	0,08753	0,00034
627,36000	0,09033	0,00048
627,40000	0,08860	0,00041
627,44000	0,09119	0,00061
627,48000	0,09333	0,00055
627,52000	0,09236	0,00036
627,56000	0,09058	0,00052
627,60000	0,09074	0,00056
627,64000	0,09425	0,00034
627,68000	0,09160	0,00034
627,72000	0,09639	0,00031
627,76000	0,09399	0,00036
627,80000	0,09231	0,00050
627,84000	0,10015	0,00031
627,88000	0,09985	0,00041
627,92000	0,09517	0,00047
627,96000	0,09496	0,00056
628,00000	0,09333	0,00050
