Raman-Spectrum _CHBr3 _aspol9001.dat
27/09/2021
16:33:42
_CHBr3
_aspol90 Temp: NON
X in nm	Y Signal 	Error Signal				
625,04000	0,14603	0,00023
625,08000	0,14908	0,00046
625,12000	0,14532	0,00048
625,16000	0,14516	0,00034
625,20000	0,14226	0,00053
625,24000	0,14333	0,00032
625,28000	0,15270	0,00041
625,32000	0,14221	0,00055
625,36000	0,15076	0,00041
625,40000	0,14501	0,00046
625,44000	0,15453	0,00032
625,48000	0,15468	0,00051
625,52000	0,15738	0,00047
625,56000	0,16212	0,00027
625,60000	0,16303	0,00023
625,64000	0,18101	0,00032
625,68000	0,17714	0,00034
625,72000	0,18488	0,00034
625,76000	0,18488	0,00047
625,80000	0,18121	0,00047
625,84000	0,19328	0,00036
625,88000	0,19429	0,00027
625,92000	0,21960	0,00044
625,96000	0,22164	0,00031
626,00000	0,24215	0,00048
626,04000	0,24220	0,00031
626,08000	0,25453	0,00041
626,12000	0,28650	0,00059
626,16000	0,27214	0,00039
626,20000	0,30824	0,00042
626,24000	0,30447	0,00034
626,28000	0,31863	0,00056
626,32000	0,31985	0,00033
626,36000	0,31964	0,00040
626,40000	0,32234	0,00034
626,44000	0,32621	0,00031
626,48000	0,34755	0,00036
626,52000	0,34688	0,00064
626,56000	0,33461	0,00040
626,60000	0,35712	0,00036
626,64000	0,35717	0,00039
626,68000	0,34317	0,00041
626,72000	0,35656	0,00031
626,76000	0,33772	0,00031
626,80000	0,33553	0,00069
626,84000	0,32448	0,00071
626,88000	0,31206	0,00034
626,92000	0,31196	0,00031
626,96000	0,30641	0,00040
627,00000	0,28843	0,00032
627,04000	0,29297	0,00036
627,08000	0,27235	0,00047
627,12000	0,26196	0,00039
627,16000	0,23635	0,00040
627,20000	0,22729	0,00058
627,24000	0,22724	0,00020
627,28000	0,21603	0,00031
627,32000	0,19704	0,00047
627,36000	0,19720	0,00050
627,40000	0,17719	0,00041
627,44000	0,18116	0,00033
627,48000	0,16874	0,00036
627,52000	0,16894	0,00033
627,56000	0,16568	0,00027
627,60000	0,15458	0,00048
627,64000	0,15265	0,00046
627,68000	0,15372	0,00041
627,72000	0,15280	0,00034
627,76000	0,15463	0,00038
627,80000	0,15255	0,00042
627,84000	0,15280	0,00052
627,88000	0,14333	0,00039
627,92000	0,15555	0,00051
627,96000	0,15275	0,00041
628,00000	0,14588	0,00039
628,04000	0,14430	0,00027
628,08000	0,14618	0,00047
628,12000	0,14628	0,00050
628,16000	0,15102	0,00027
628,20000	0,14486	0,00046
628,24000	0,14598	0,00044
628,28000	0,15107	0,00044
628,32000	0,14460	0,00025
628,36000	0,14506	0,00025
628,40000	0,14491	0,00027
628,44000	0,14333	0,00032
628,48000	0,14506	0,00034
628,52000	0,15178	0,00061
628,56000	0,14618	0,00041
628,60000	0,14124	0,00036
628,64000	0,13921	0,00042
628,68000	0,14165	0,00040
628,72000	0,14134	0,00042
628,76000	0,13758	0,00046
628,80000	0,13498	0,00025
628,84000	0,13131	0,00047
628,88000	0,13213	0,00039
628,92000	0,13101	0,00038
628,96000	0,13101	0,00044
629,00000	0,13065	0,00048
629,04000	0,13014	0,00036
629,08000	0,12831	0,00041
629,12000	0,12505	0,00036
629,16000	0,13579	0,00044
629,20000	0,12220	0,00025
629,24000	0,12454	0,00027
629,28000	0,12164	0,00041
629,32000	0,12164	0,00047
629,36000	0,12337	0,00031
629,40000	0,12189	0,00053
629,44000	0,11492	0,00059
629,48000	0,12276	0,00025
629,52000	0,11502	0,00047
629,56000	0,11675	0,00050
629,60000	0,11691	0,00036
629,64000	0,11024	0,00023
629,68000	0,11736	0,00039
629,72000	0,11217	0,00020
629,76000	0,11487	0,00053
629,80000	0,11283	0,00048
629,84000	0,11125	0,00046
629,88000	0,11115	0,00038
629,92000	0,11115	0,00044
629,96000	0,11222	0,00036
630,00000	0,10728	0,00031
630,04000	0,10525	0,00031
630,08000	0,11024	0,00039
630,12000	0,10260	0,00023
630,16000	0,10525	0,00044
630,20000	0,10540	0,00041
630,24000	0,10352	0,00055
630,28000	0,10922	0,00046
630,32000	0,11217	0,00050
630,36000	0,11507	0,00057
630,40000	0,11110	0,00056
630,44000	0,09893	0,00038
630,48000	0,09924	0,00034
630,52000	0,10845	0,00047
630,56000	0,11095	0,00052
630,60000	0,10626	0,00055
630,64000	0,10382	0,00034
630,68000	0,10708	0,00044
630,72000	0,11405	0,00034
630,76000	0,11400	0,00057
630,80000	0,10922	0,00032
630,84000	0,10906	0,00051
630,88000	0,10520	0,00027
630,92000	0,10214	0,00042
630,96000	0,10377	0,00040
631,00000	0,10570	0,00042
631,04000	0,10453	0,00044
631,08000	0,10464	0,00023
631,12000	0,10275	0,00033
631,16000	0,11283	0,00036
631,20000	0,10922	0,00039
631,24000	0,11207	0,00034
631,28000	0,11971	0,00047
631,32000	0,11976	0,00033
631,36000	0,11996	0,00027
631,40000	0,12643	0,00038
631,44000	0,13758	0,00040
631,48000	0,13493	0,00025
631,52000	0,13941	0,00040
631,56000	0,13574	0,00027
631,60000	0,14694	0,00042
631,64000	0,15092	0,00042
631,68000	0,15081	0,00040
631,72000	0,14980	0,00040
631,76000	0,15932	0,00047
631,80000	0,15372	0,00025
631,84000	0,16380	0,00044
631,88000	0,16538	0,00033
631,92000	0,17515	0,00047
631,96000	0,17530	0,00038
632,00000	0,16777	0,00039
632,04000	0,16975	0,00036
632,08000	0,17418	0,00034
632,12000	0,16604	0,00025
632,16000	0,17902	0,00036
632,20000	0,17805	0,00044
632,24000	0,17826	0,00034
632,28000	0,18187	0,00040
632,32000	0,18014	0,00033
632,36000	0,17271	0,00040
632,40000	0,17714	0,00052
632,44000	0,17622	0,00034
632,48000	0,16792	0,00033
632,52000	0,16802	0,00052
632,56000	0,16777	0,00032
632,60000	0,16023	0,00044
632,64000	0,16105	0,00038
632,68000	0,16410	0,00044
632,72000	0,15728	0,00034
632,76000	0,14883	0,00038
632,80000	0,15647	0,00020
632,84000	0,15652	0,00036
632,88000	0,15387	0,00046
632,92000	0,15107	0,00031
632,96000	0,13885	0,00020
633,00000	0,14134	0,00042
633,04000	0,13305	0,00038
633,08000	0,13498	0,00025
633,12000	0,13488	0,00052
633,16000	0,13666	0,00048
633,20000	0,13172	0,00044
633,24000	0,13478	0,00038
633,28000	0,12536	0,00040
633,32000	0,13004	0,00058
633,36000	0,12154	0,00038
