Raman-Spectrum _CHBr3 _spol001.dat
27/09/2021
15:27:30
_CHBr3
_spol0 Temp: NON
X in nm	Y Signal 	Error Signal				
580,04000	0,11298	0,00041
580,08000	0,10255	0,00027
580,12000	0,10535	0,00047
580,16000	0,10555	0,00068
580,20000	0,10540	0,00025
580,24000	0,10560	0,00042
580,28000	0,10896	0,00052
580,32000	0,10815	0,00042
580,36000	0,10835	0,00060
580,40000	0,10372	0,00050
580,44000	0,10372	0,00038
580,48000	0,10830	0,00038
580,52000	0,10010	0,00036
580,56000	0,10749	0,00034
580,60000	0,10647	0,00052
580,64000	0,10535	0,00025
580,68000	0,10382	0,00034
580,72000	0,10352	0,00020
580,76000	0,10260	0,00046
580,80000	0,10835	0,00046
580,84000	0,10647	0,00034
580,88000	0,10010	0,00048
580,92000	0,10290	0,00034
580,96000	0,11125	0,00046
581,00000	0,10275	0,00060
581,04000	0,10285	0,00057
581,08000	0,11039	0,00051
581,12000	0,10906	0,00040
581,16000	0,10469	0,00048
581,20000	0,10906	0,00033
581,24000	0,11105	0,00047
581,28000	0,10632	0,00040
581,32000	0,10642	0,00025
581,36000	0,11029	0,00036
581,40000	0,10728	0,00038
581,44000	0,10912	0,00038
581,48000	0,10621	0,00048
581,52000	0,11013	0,00044
581,56000	0,10295	0,00033
581,60000	0,10769	0,00046
581,64000	0,10759	0,00044
581,68000	0,10952	0,00034
581,72000	0,10927	0,00066
581,76000	0,10713	0,00048
581,80000	0,10504	0,00031
581,84000	0,10825	0,00042
581,88000	0,10448	0,00033
581,92000	0,10458	0,00027
581,96000	0,10912	0,00044
582,00000	0,10555	0,00044
582,04000	0,10947	0,00052
582,08000	0,10377	0,00023
582,12000	0,11232	0,00053
582,16000	0,10357	0,00048
582,20000	0,10382	0,00025
582,24000	0,10759	0,00038
582,28000	0,09970	0,00051
582,32000	0,10927	0,00062
582,36000	0,10387	0,00041
582,40000	0,10744	0,00041
582,44000	0,10372	0,00044
582,48000	0,10377	0,00040
582,52000	0,10377	0,00033
582,56000	0,10530	0,00033
582,60000	0,10362	0,00046
582,64000	0,10922	0,00032
582,68000	0,10545	0,00047
582,72000	0,10637	0,00041
582,76000	0,10173	0,00051
582,80000	0,10209	0,00032
582,84000	0,10448	0,00033
582,88000	0,10438	0,00041
582,92000	0,10657	0,00050
582,96000	0,10265	0,00027
583,00000	0,10285	0,00057
583,04000	0,10565	0,00051
583,08000	0,10769	0,00051
583,12000	0,10733	0,00046
583,16000	0,10194	0,00040
583,20000	0,10464	0,00046
583,24000	0,10469	0,00048
583,28000	0,10469	0,00036
