Raman-Spectrum _CHCl3 _spol001.dat
27/09/2021
13:47:25
_CHCl3
_spol0 Temp: NON
X in nm	Y Signal 	Error Signal				
560,04000	0,10102	0,00027
560,08000	0,09425	0,00034
560,12000	0,09893	0,00044
560,16000	0,09695	0,00042
560,20000	0,09603	0,00066
560,24000	0,10163	0,00053
560,28000	0,10153	0,00042
560,32000	0,10153	0,00042
560,36000	0,09430	0,00033
560,40000	0,09629	0,00041
560,44000	0,10005	0,00046
560,48000	0,10010	0,00036
560,52000	0,10387	0,00041
560,56000	0,09710	0,00031
560,60000	0,09700	0,00032
560,64000	0,09817	0,00023
560,68000	0,09980	0,00034
560,72000	0,09613	0,00033
560,76000	0,10474	0,00038
560,80000	0,09893	0,00050
560,84000	0,09537	0,00038
560,88000	0,09522	0,00025
560,92000	0,10092	0,00023
560,96000	0,09822	0,00065
561,00000	0,09735	0,00056
561,04000	0,09797	0,00036
561,08000	0,09888	0,00051
561,12000	0,09608	0,00038
561,16000	0,09613	0,00033
561,20000	0,09338	0,00048
561,24000	0,09878	0,00057
561,28000	0,09613	0,00033
561,32000	0,09410	0,00040
561,36000	0,09303	0,00044
561,40000	0,09506	0,00038
561,44000	0,09603	0,00036
561,48000	0,09629	0,00041
561,52000	0,09430	0,00051
561,56000	0,09623	0,00047
561,60000	0,09517	0,00034
561,64000	0,10178	0,00052
561,68000	0,09827	0,00047
561,72000	0,09613	0,00023
561,76000	0,09598	0,00032
561,80000	0,10560	0,00053
561,84000	0,09791	0,00038
561,88000	0,09878	0,00047
561,92000	0,10168	0,00055
561,96000	0,09695	0,00027
562,00000	0,09532	0,00023
562,04000	0,09501	0,00053
562,08000	0,09725	0,00047
562,12000	0,09695	0,00053
562,16000	0,09511	0,00033
562,20000	0,09338	0,00042
562,24000	0,09537	0,00031
562,28000	0,09893	0,00050
562,32000	0,09705	0,00027
562,36000	0,09690	0,00031
562,40000	0,09903	0,00032
562,44000	0,09720	0,00041
562,48000	0,09618	0,00041
562,52000	0,09812	0,00020
562,56000	0,09542	0,00042
562,60000	0,09165	0,00041
562,64000	0,09155	0,00040
562,68000	0,10357	0,00048
562,72000	0,09791	0,00031
562,76000	0,09868	0,00046
