Raman-Spectrum _CHCl3 _aspol001.dat
27/09/2021
14:08:17
_CHCl3
_aspol0 Temp: NON
X in nm	Y Signal 	Error Signal				
560,04000	0,09710	0,00044
560,08000	0,09715	0,00040
560,12000	0,10301	0,00038
560,16000	0,09715	0,00060
560,20000	0,09608	0,00038
560,24000	0,10077	0,00034
560,28000	0,10555	0,00050
560,32000	0,10005	0,00039
560,36000	0,10000	0,00042
560,40000	0,09359	0,00046
560,44000	0,09695	0,00027
560,48000	0,10148	0,00038
560,52000	0,10662	0,00036
560,56000	0,09725	0,00057
560,60000	0,10250	0,00044
560,64000	0,09903	0,00051
560,68000	0,09909	0,00036
560,72000	0,10285	0,00041
560,76000	0,09603	0,00036
560,80000	0,09914	0,00038
560,84000	0,10005	0,00039
560,88000	0,09685	0,00023
560,92000	0,10097	0,00044
560,96000	0,10071	0,00040
561,00000	0,09909	0,00058
561,04000	0,09873	0,00034
561,08000	0,09995	0,00038
561,12000	0,09623	0,00034
561,16000	0,10010	0,00042
561,20000	0,10270	0,00050
561,24000	0,10280	0,00041
561,28000	0,09812	0,00031
561,32000	0,10082	0,00025
561,36000	0,10000	0,00036
561,40000	0,09898	0,00042
561,44000	0,09812	0,00020
561,48000	0,09883	0,00061
561,52000	0,09802	0,00032
561,56000	0,09797	0,00053
561,60000	0,09919	0,00040
561,64000	0,10183	0,00069
561,68000	0,09705	0,00042
561,72000	0,10270	0,00031
561,76000	0,10295	0,00065
561,80000	0,10280	0,00034
561,84000	0,10280	0,00041
561,88000	0,09812	0,00031
561,92000	0,10000	0,00036
561,96000	0,10372	0,00038
562,00000	0,10087	0,00047
562,04000	0,09603	0,00042
562,08000	0,09420	0,00034
562,12000	0,10270	0,00031
562,16000	0,10285	0,00034
562,20000	0,09888	0,00051
562,24000	0,09980	0,00034
562,28000	0,10173	0,00040
562,32000	0,10087	0,00025
562,36000	0,09343	0,00046
562,40000	0,10209	0,00046
562,44000	0,10173	0,00060
562,48000	0,10270	0,00038
562,52000	0,09888	0,00033
562,56000	0,09308	0,00046
562,60000	0,09909	0,00053
562,64000	0,10840	0,00034
562,68000	0,09685	0,00056
562,72000	0,09720	0,00047
562,76000	0,09898	0,00042
562,80000	0,09929	0,00041
562,84000	0,09807	0,00036
562,88000	0,09914	0,00020
562,92000	0,09914	0,00055
562,96000	0,09985	0,00052
563,00000	0,09247	0,00027
563,04000	0,09226	0,00051
563,08000	0,09588	0,00038
563,12000	0,09898	0,00042
563,16000	0,09985	0,00052
563,20000	0,09608	0,00031
563,24000	0,09903	0,00046
563,28000	0,10077	0,00047
563,32000	0,10082	0,00047
563,36000	0,09980	0,00047
563,40000	0,09812	0,00044
563,44000	0,10112	0,00048
563,48000	0,09629	0,00041
563,52000	0,09995	0,00020
563,56000	0,09700	0,00032
563,60000	0,09685	0,00040
563,64000	0,09593	0,00036
563,68000	0,09608	0,00044
563,72000	0,09725	0,00047
563,76000	0,10097	0,00050
563,80000	0,09898	0,00036
563,84000	0,09700	0,00032
563,88000	0,10189	0,00034
563,92000	0,10183	0,00025
563,96000	0,09425	0,00025
564,00000	0,10372	0,00031
564,04000	0,10428	0,00040
564,08000	0,10336	0,00047
564,12000	0,10255	0,00042
564,16000	0,09527	0,00047
564,20000	0,09506	0,00038
564,24000	0,10372	0,00038
564,28000	0,09985	0,00034
564,32000	0,10754	0,00040
564,36000	0,10077	0,00041
564,40000	0,09888	0,00033
564,44000	0,09705	0,00042
564,48000	0,09797	0,00042
564,52000	0,09802	0,00032
564,56000	0,10005	0,00039
564,60000	0,10637	0,00041
564,64000	0,09425	0,00052
564,68000	0,09888	0,00040
564,72000	0,09898	0,00053
564,76000	0,09883	0,00041
564,80000	0,09924	0,00057
564,84000	0,10576	0,00044
564,88000	0,09720	0,00041
564,92000	0,10570	0,00053
564,96000	0,10092	0,00046
565,00000	0,10535	0,00041
565,04000	0,09700	0,00023
565,08000	0,09679	0,00041
565,12000	0,09975	0,00052
565,16000	0,10066	0,00031
565,20000	0,09990	0,00046
565,24000	0,09898	0,00058
565,28000	0,09802	0,00023
565,32000	0,10275	0,00033
565,36000	0,10565	0,00046
565,40000	0,10540	0,00052
565,44000	0,10550	0,00056
565,48000	0,10097	0,00055
565,52000	0,10071	0,00033
565,56000	0,09618	0,00047
565,60000	0,10178	0,00047
565,64000	0,09985	0,00034
565,68000	0,09985	0,00061
565,72000	0,10652	0,00046
565,76000	0,10845	0,00034
565,80000	0,10657	0,00020
565,84000	0,10856	0,00046
565,88000	0,10642	0,00034
565,92000	0,10265	0,00042
565,96000	0,09802	0,00039
566,00000	0,09817	0,00056
566,04000	0,10458	0,00027
566,08000	0,09685	0,00040
566,12000	0,09995	0,00038
566,16000	0,10346	0,00040
566,20000	0,10092	0,00023
566,24000	0,10453	0,00020
566,28000	0,10443	0,00034
566,32000	0,09715	0,00046
566,36000	0,10178	0,00047
566,40000	0,10280	0,00041
566,44000	0,09903	0,00046
566,48000	0,09797	0,00015
566,52000	0,10733	0,00033
566,56000	0,10759	0,00044
566,60000	0,10189	0,00041
566,64000	0,10143	0,00033
566,68000	0,09898	0,00048
566,72000	0,10087	0,00052
566,76000	0,10372	0,00031
566,80000	0,10372	0,00044
566,84000	0,09700	0,00032
566,88000	0,09705	0,00053
566,92000	0,10586	0,00061
566,96000	0,10301	0,00038
567,00000	0,10015	0,00038
567,04000	0,09394	0,00060
567,08000	0,09695	0,00042
567,12000	0,10189	0,00034
567,16000	0,10178	0,00041
567,20000	0,10061	0,00015
567,24000	0,09802	0,00039
567,28000	0,10830	0,00020
567,32000	0,10290	0,00052
567,36000	0,10092	0,00040
567,40000	0,09511	0,00056
567,44000	0,09527	0,00052
567,48000	0,10077	0,00047
567,52000	0,10525	0,00038
567,56000	0,09791	0,00044
567,60000	0,10255	0,00036
567,64000	0,10759	0,00050
567,68000	0,09812	0,00031
567,72000	0,10270	0,00038
567,76000	0,10275	0,00033
567,80000	0,09690	0,00031
567,84000	0,10464	0,00060
567,88000	0,10077	0,00025
567,92000	0,10015	0,00031
567,96000	0,09720	0,00034
568,00000	0,09629	0,00041
568,04000	0,09629	0,00047
568,08000	0,10219	0,00020
568,12000	0,09430	0,00046
568,16000	0,09700	0,00039
568,20000	0,10010	0,00036
568,24000	0,09878	0,00034
568,28000	0,09797	0,00027
568,32000	0,10178	0,00041
568,36000	0,10199	0,00044
568,40000	0,09807	0,00036
568,44000	0,10097	0,00050
568,48000	0,10647	0,00047
568,52000	0,10382	0,00052
568,56000	0,10199	0,00038
568,60000	0,10830	0,00031
568,64000	0,10820	0,00023
568,68000	0,10000	0,00036
568,72000	0,10015	0,00031
568,76000	0,10367	0,00053
568,80000	0,09975	0,00052
568,84000	0,10097	0,00050
568,88000	0,10102	0,00027
568,92000	0,10061	0,00027
568,96000	0,10285	0,00047
569,00000	0,10550	0,00051
569,04000	0,09985	0,00025
569,08000	0,10947	0,00052
569,12000	0,10005	0,00032
569,16000	0,10443	0,00034
569,20000	0,09807	0,00036
569,24000	0,09812	0,00038
569,28000	0,09919	0,00033
569,32000	0,10000	0,00042
569,36000	0,11217	0,00038
569,40000	0,09613	0,00072
569,44000	0,10372	0,00050
569,48000	0,10290	0,00047
569,52000	0,10285	0,00034
569,56000	0,09710	0,00031
569,60000	0,10464	0,00032
569,64000	0,10163	0,00042
569,68000	0,09919	0,00046
569,72000	0,10183	0,00052
569,76000	0,10377	0,00040
569,80000	0,09802	0,00039
569,84000	0,09802	0,00056
569,88000	0,10331	0,00047
569,92000	0,10189	0,00065
569,96000	0,09598	0,00032
570,00000	0,09786	0,00023
570,04000	0,09990	0,00056
570,08000	0,09924	0,00034
570,12000	0,09914	0,00031
570,16000	0,09695	0,00027
570,20000	0,09995	0,00050
570,24000	0,10087	0,00041
570,28000	0,09903	0,00046
570,32000	0,09980	0,00057
570,36000	0,09807	0,00048
570,40000	0,09807	0,00027
570,44000	0,10000	0,00042
570,48000	0,10199	0,00044
570,52000	0,10453	0,00044
570,56000	0,10377	0,00033
570,60000	0,09985	0,00057
570,64000	0,09975	0,00052
570,68000	0,10189	0,00041
570,72000	0,10148	0,00055
570,76000	0,10362	0,00023
570,80000	0,10290	0,00047
570,84000	0,10021	0,00040
570,88000	0,09990	0,00040
570,92000	0,10077	0,00047
570,96000	0,09873	0,00052
571,00000	0,09888	0,00040
571,04000	0,10214	0,00027
571,08000	0,10005	0,00023
571,12000	0,09725	0,00047
571,16000	0,09715	0,00040
571,20000	0,09410	0,00033
571,24000	0,09781	0,00041
571,28000	0,09776	0,00034
571,32000	0,10178	0,00041
571,36000	0,10173	0,00051
571,40000	0,09807	0,00027
571,44000	0,09990	0,00046
571,48000	0,09919	0,00046
571,52000	0,09995	0,00044
571,56000	0,10087	0,00025
571,60000	0,10087	0,00034
571,64000	0,09817	0,00040
571,68000	0,09354	0,00044
571,72000	0,09909	0,00036
571,76000	0,10265	0,00042
571,80000	0,10652	0,00040
571,84000	0,09700	0,00032
571,88000	0,09674	0,00025
571,92000	0,10265	0,00015
571,96000	0,10061	0,00036
572,00000	0,09715	0,00040
572,04000	0,09812	0,00055
572,08000	0,09623	0,00034
572,12000	0,10097	0,00031
572,16000	0,09583	0,00051
572,20000	0,09603	0,00036
572,24000	0,09873	0,00052
572,28000	0,10178	0,00052
572,32000	0,09995	0,00038
572,36000	0,09975	0,00047
572,40000	0,09705	0,00048
572,44000	0,10005	0,00032
572,48000	0,10000	0,00036
572,52000	0,10285	0,00041
572,56000	0,10097	0,00031
572,60000	0,09909	0,00053
572,64000	0,09720	0,00047
572,68000	0,09797	0,00042
572,72000	0,09695	0,00027
572,76000	0,09695	0,00036
572,80000	0,09333	0,00064
572,84000	0,09878	0,00047
572,88000	0,10077	0,00041
572,92000	0,09618	0,00034
572,96000	0,09995	0,00050
573,00000	0,10178	0,00047
573,04000	0,09690	0,00031
573,08000	0,09720	0,00065
573,12000	0,10000	0,00048
573,16000	0,10087	0,00025
573,20000	0,09990	0,00040
573,24000	0,10082	0,00034
573,28000	0,09415	0,00034
573,32000	0,09720	0,00057
573,36000	0,09695	0,00053
573,40000	0,09797	0,00042
573,44000	0,09338	0,00048
573,48000	0,10652	0,00040
573,52000	0,09985	0,00025
573,56000	0,10102	0,00048
573,60000	0,10010	0,00042
573,64000	0,10377	0,00033
573,68000	0,10372	0,00055
573,72000	0,10005	0,00039
573,76000	0,09883	0,00052
573,80000	0,09990	0,00056
573,84000	0,10000	0,00036
573,88000	0,09802	0,00064
573,92000	0,10071	0,00033
573,96000	0,10077	0,00047
574,00000	0,09623	0,00034
574,04000	0,10637	0,00057
574,08000	0,09690	0,00044
574,12000	0,10092	0,00046
574,16000	0,09965	0,00038
574,20000	0,10000	0,00027
574,24000	0,09985	0,00034
574,28000	0,09919	0,00033
574,32000	0,09985	0,00041
574,36000	0,09990	0,00040
574,40000	0,10362	0,00072
574,44000	0,10005	0,00039
574,48000	0,10280	0,00041
574,52000	0,10647	0,00041
574,56000	0,10637	0,00025
574,60000	0,09613	0,00060
574,64000	0,09954	0,00046
574,68000	0,10662	0,00042
574,72000	0,10010	0,00042
574,76000	0,09593	0,00048
574,80000	0,09975	0,00034
574,84000	0,09990	0,00040
574,88000	0,10285	0,00057
574,92000	0,09802	0,00032
574,96000	0,10632	0,00051
575,00000	0,10458	0,00036
575,04000	0,10199	0,00038
575,08000	0,09980	0,00034
575,12000	0,10005	0,00032
575,16000	0,10433	0,00025
575,20000	0,10010	0,00058
575,24000	0,10346	0,00040
575,28000	0,10194	0,00051
575,32000	0,09623	0,00025
575,36000	0,10458	0,00058
575,40000	0,10270	0,00038
575,44000	0,10255	0,00036
575,48000	0,10754	0,00033
575,52000	0,10479	0,00056
575,56000	0,10000	0,00027
575,60000	0,10530	0,00046
575,64000	0,09715	0,00051
575,68000	0,10464	0,00039
575,72000	0,10464	0,00046
575,76000	0,10474	0,00020
575,80000	0,10173	0,00060
575,84000	0,10168	0,00068
575,88000	0,09995	0,00031
575,92000	0,10265	0,00027
575,96000	0,10464	0,00023
576,00000	0,10260	0,00039
576,04000	0,10280	0,00034
576,08000	0,09980	0,00047
576,12000	0,10840	0,00034
576,16000	0,10275	0,00023
