	m	t		
f	-0.00033861	0.378809		
				
_CCl4				
				
X in nm	Y Signal 	f(x)	y-f	
625.04	0.17632	0.167164206	0.009155794	
625.08	0.1752	0.167150661	0.008049339	
625.12	0.16706	0.167137117	-7.71E-05	
625.16	0.16695	0.167123572	-0.000173572	
625.2	0.17551	0.167110028	0.008399972	
625.24	0.1694	0.167096484	0.002303516	
625.28	0.18752	0.167082939	0.020437061	
625.32	0.18197	0.167069395	0.014900605	
625.36	0.16884	0.16705585	0.00178415	
625.4	0.17332	0.167042306	0.006277694	
625.44	0.17444	0.167028762	0.007411238	
625.48	0.17454	0.167015217	0.007524783	
625.52	0.18192	0.167001673	0.014918327	
625.56	0.16899	0.166988128	0.002001872	
625.6	0.16614	0.166974584	-0.000834584	
625.64	0.17215	0.16696104	0.00518896	
625.68	0.17042	0.166947495	0.003472505	
625.72	0.17138	0.166933951	0.004446049	
625.76	0.17149	0.166920406	0.004569594	
625.8	0.16777	0.166906862	0.000863138	
625.84	0.16777	0.166893318	0.000876682	
625.88	0.167	0.166879773	0.000120227	
625.92	0.17123	0.166866229	0.004363771	
625.96	0.16196	0.166852684	-0.004892684	
626	0.16767	0.16683914	0.00083086	
626.04	0.16782	0.166825596	0.000994404	
626.08	0.17052	0.166812051	0.003707949	
626.12	0.15555	0.166798507	-0.011248507	
626.16	0.17327	0.166784962	0.006485038	
626.2	0.17052	0.166771418	0.003748582	
626.24	0.17332	0.166757874	0.006562126	
626.28	0.17449	0.166744329	0.007745671	
626.32	0.17154	0.166730785	0.004809215	
626.36	0.17133	0.16671724	0.00461276	
626.4	0.17815	0.166703696	0.011446304	
626.44	0.1668	0.166690152	0.000109848	
626.48	0.17042	0.166676607	0.003743393	
626.52	0.16675	0.166663063	8.69E-05	
626.56	0.16507	0.166649518	-0.001579518	
626.6	0.16868	0.166635974	0.002044026	
626.64	0.16879	0.16662243	0.00216757	
626.68	0.1723	0.166608885	0.005691115	
626.72	0.17556	0.166595341	0.008964659	
626.76	0.17449	0.166581796	0.007908204	
626.8	0.16507	0.166568252	-0.001498252	
626.84	0.17128	0.166554708	0.004725292	
626.88	0.1752	0.166541163	0.008658837	
626.92	0.1753	0.166527619	0.008772381	
626.96	0.17143	0.166514074	0.004915926	
627	0.17658	0.16650053	0.01007947	
627.04	0.16431	0.166486986	-0.002176986	
627.08	0.1696	0.166473441	0.003126559	
627.12	0.17739	0.166459897	0.010930103	
627.16	0.17408	0.166446352	0.007633648	
627.2	0.17576	0.166432808	0.009327192	
627.24	0.17535	0.166419264	0.008930736	
627.28	0.17434	0.166405719	0.007934281	
627.32	0.1725	0.166392175	0.006107825	
627.36	0.17133	0.16637863	0.00495137	
627.4	0.17143	0.166365086	0.005064914	
627.44	0.17062	0.166351542	0.004268458	
627.48	0.16232	0.166337997	-0.004017997	
627.52	0.16207	0.166324453	-0.004254453	
627.56	0.17154	0.166310908	0.005229092	
627.6	0.16919	0.166297364	0.002892636	
627.64	0.17159	0.16628382	0.00530618	
627.68	0.16588	0.166270275	-0.000390275	
627.72	0.16237	0.166256731	-0.003886731	
627.76	0.1723	0.166243186	0.006056814	
627.8	0.16777	0.166229642	0.001540358	
627.84	0.16767	0.166216098	0.001453902	
627.88	0.1695	0.166202553	0.003297447	
627.92	0.1697	0.166189009	0.003510991	
