			
	m	t	
f	-5.84104E-05	0.244554	
			
X in nm	Y Signal 	f(x)	y-f
625.04	0.19918	0.208045164	-0.008865164
625.08	0.20636	0.208042827	-0.001682827
625.12	0.20921	0.208040491	0.001169509
625.16	0.21318	0.208038154	0.005141846
625.2	0.20957	0.208035818	0.001534182
625.24	0.21217	0.208033482	0.004136518
625.28	0.21293	0.208031145	0.004898855
625.32	0.20926	0.208028809	0.001231191
625.36	0.20931	0.208026472	0.001283528
625.4	0.20468	0.208024136	-0.003344136
625.44	0.2169	0.208021799	0.008878201
625.48	0.20651	0.208019463	-0.001509463
625.52	0.20758	0.208017127	-0.000437127
625.56	0.20733	0.20801479	-0.00068479
625.6	0.20458	0.208012454	-0.003432454
625.64	0.20906	0.208010117	0.001049883
625.68	0.2083	0.208007781	0.000292219
625.72	0.2084	0.208005445	0.000394555
625.76	0.21008	0.208003108	0.002076892
625.8	0.20438	0.208000772	-0.003620772
625.84	0.20432	0.207998435	-0.003678435
625.88	0.20443	0.207996099	-0.003566099
625.92	0.2085	0.207993762	0.000506238
625.96	0.2084	0.207991426	0.000408574
626	0.20916	0.20798909	0.00117091
626.04	0.20361	0.207986753	-0.004376753
626.08	0.21227	0.207984417	0.004285583
626.12	0.20458	0.20798208	-0.00340208
626.16	0.20443	0.207979744	-0.003549744
626.2	0.20473	0.207977408	-0.003247408
626.24	0.20539	0.207975071	-0.002585071
626.28	0.19989	0.207972735	-0.008082735
626.32	0.20142	0.207970398	-0.006550398
626.36	0.20432	0.207968062	-0.003648062
626.4	0.21797	0.207965725	0.010004275
626.44	0.21792	0.207963389	0.009956611
626.48	0.21023	0.207961053	0.002268947
626.52	0.2143	0.207958716	0.006341284
626.56	0.21395	0.20795638	0.00599362
626.6	0.22001	0.207954043	0.012055957
626.64	0.214	0.207951707	0.006048293
626.68	0.20845	0.207949371	0.000500629
626.72	0.2084	0.207947034	0.000452966
626.76	0.21491	0.207944698	0.006965302
626.8	0.21334	0.207942361	0.005397639
626.84	0.21293	0.207940025	0.004989975
626.88	0.20346	0.207937688	-0.004477688
626.92	0.20631	0.207935352	-0.001625352
626.96	0.20926	0.207933016	0.001326984
627	0.2002	0.207930679	-0.007730679
627.04	0.2002	0.207928343	-0.007728343
627.08	0.20188	0.207926006	-0.006046006
627.12	0.20911	0.20792367	0.00118633
627.16	0.21568	0.207921334	0.007758666
627.2	0.20993	0.207918997	0.002011003
627.24	0.20264	0.207916661	-0.005276661
627.28	0.20845	0.207914324	0.000535676
627.32	0.2084	0.207911988	0.000488012
627.36	0.20259	0.207909651	-0.005319651
627.4	0.20244	0.207907315	-0.005467315
627.44	0.20753	0.207904979	-0.000374979
627.48	0.21013	0.207902642	0.002227358
627.52	0.20626	0.207900306	-0.001640306
627.56	0.2084	0.207897969	0.000502031
627.6	0.20921	0.207895633	0.001314367
627.64	0.20952	0.207893297	0.001626703
627.68	0.20631	0.20789096	-0.00158096
627.72	0.21624	0.207888624	0.008351376
627.76	0.19969	0.207886287	-0.008196287
627.8	0.20824	0.207883951	0.000356049
627.84	0.20351	0.207881614	-0.004371614
627.88	0.19908	0.207879278	-0.008799278
627.92	0.19883	0.207876942	-0.009046942
627.96	0.20544	0.207874605	-0.002434605
628	0.20998	0.207872269	0.002107731
628.04	0.21013	0.207869932	0.002260068
628.08	0.20183	0.207867596	-0.006037596
628.12	0.2028	0.20786526	-0.00506526
628.16	0.2	0.207862923	-0.007862923
628.2	0.19995	0.207860587	-0.007910587
628.24	0.20631	0.20785825	-0.00154825
628.28	0.20178	0.207855914	-0.006075914
628.32	0.20086	0.207853577	-0.006993577
628.36	0.20081	0.207851241	-0.007041241
628.4	0.20285	0.207848905	-0.004998905
628.44	0.19338	0.207846568	-0.014466568
628.48	0.18757	0.207844232	-0.020274232
628.52	0.18742	0.207841895	-0.020421895
628.56	0.19429	0.207839559	-0.013549559
628.6	0.18391	0.207837223	-0.023927223
628.64	0.18233	0.207834886	-0.025504886
628.68	0.17994	0.20783255	-0.02789255
628.72	0.1724	0.207830213	-0.035430213
628.76	0.1697	0.207827877	-0.038127877
628.8	0.1694	0.20782554	-0.03842554
628.84	0.1583	0.207823204	-0.049523204
628.88	0.15173	0.207820868	-0.056090868
628.92	0.17047	0.207818531	-0.037348531
628.96	0.14974	0.207816195	-0.058076195
629	0.14791	0.207813858	-0.059903858
629.04	0.13671	0.207811522	-0.071101522
629.08	0.13661	0.207809186	-0.071199186
629.12	0.14068	0.207806849	-0.067126849
629.16	0.14323	0.207804513	-0.064574513
629.2	0.13386	0.207802176	-0.073942176
629.24	0.12755	0.20779984	-0.08024984
629.28	0.12531	0.207797503	-0.082487503
629.32	0.11955	0.207795167	-0.088245167
629.36	0.12077	0.207792831	-0.087022831
629.4	0.12062	0.207790494	-0.087170494
629.44	0.11482	0.207788158	-0.092968158
629.48	0.11105	0.207785821	-0.096735821
629.52	0.114	0.207783485	-0.093783485
629.56	0.1111	0.207781149	-0.096681149
629.6	0.1112	0.207778812	-0.096578812
629.64	0.10774	0.207776476	-0.100036476
629.68	0.10764	0.207774139	-0.100134139
629.72	0.10581	0.207771803	-0.101961803
629.76	0.11034	0.207769466	-0.097429466
629.8	0.10535	0.20776713	-0.10241713
629.84	0.10061	0.207764794	-0.107154794
629.88	0.10173	0.207762457	-0.106032457
629.92	0.09883	0.207760121	-0.108930121
629.96	0.10372	0.207757784	-0.104037784
630	0.10372	0.207755448	-0.104035448
630.04	0.09807	0.207753112	-0.109683112
630.08	0.09741	0.207750775	-0.110340775
630.12	0.1055	0.207748439	-0.102248439
630.16	0.09333	0.207746102	-0.114416102
630.2	0.09613	0.207743766	-0.111613766
630.24	0.09715	0.20774143	-0.11059143
630.28	0.09695	0.207739093	-0.110789093
630.32	0.0999	0.207736757	-0.107836757
630.36	0.10071	0.20773442	-0.10702442
630.4	0.09603	0.207732084	-0.111702084
630.44	0.09629	0.207729747	-0.111439747
630.48	0.0969	0.207727411	-0.110827411
630.52	0.09323	0.207725075	-0.114495075
630.56	0.09343	0.207722738	-0.114292738
630.6	0.09532	0.207720402	-0.112400402
630.64	0.09415	0.207718065	-0.113568065
630.68	0.09333	0.207715729	-0.114385729
630.72	0.09639	0.207713393	-0.111323393
630.76	0.09496	0.207711056	-0.112751056
630.8	0.09435	0.20770872	-0.11335872
630.84	0.09547	0.207706383	-0.112236383
630.88	0.09511	0.207704047	-0.112594047
630.92	0.09873	0.20770171	-0.10897171
630.96	0.0999	0.207699374	-0.107799374
631	0.09226	0.207697038	-0.115437038
631.04	0.09822	0.207694701	-0.109474701
631.08	0.09639	0.207692365	-0.111302365
631.12	0.09598	0.207690028	-0.111710028
631.16	0.09634	0.207687692	-0.111347692
631.2	0.10479	0.207685356	-0.102895356
631.24	0.10357	0.207683019	-0.104113019
631.28	0.10545	0.207680683	-0.102230683
631.32	0.11151	0.207678346	-0.096168346
631.36	0.11675	0.20767601	-0.09092601
631.4	0.11573	0.207673673	-0.091943673
631.44	0.12352	0.207671337	-0.084151337
631.48	0.12342	0.207669001	-0.084249001
631.52	0.12918	0.207666664	-0.078486664
631.56	0.13096	0.207664328	-0.076704328
631.6	0.13513	0.207661991	-0.072531991
631.64	0.14705	0.207659655	-0.060609655
631.68	0.14257	0.207657319	-0.065087319
631.72	0.14241	0.207654982	-0.065244982
631.76	0.14236	0.207652646	-0.065292646
631.8	0.15178	0.207650309	-0.055870309
631.84	0.15743	0.207647973	-0.050217973
631.88	0.16217	0.207645636	-0.045475636
631.92	0.15825	0.2076433	-0.0493933
631.96	0.15636	0.207640964	-0.051280964
632	0.16573	0.207638627	-0.041908627
632.04	0.16573	0.207636291	-0.041906291
632.08	0.15967	0.207633954	-0.047963954
632.12	0.1613	0.207631618	-0.046331618
632.16	0.17261	0.207629282	-0.035019282
632.2	0.17724	0.207626945	-0.030386945
632.24	0.17245	0.207624609	-0.035174609
632.28	0.17887	0.207622272	-0.028752272
632.32	0.17826	0.207619936	-0.029359936
632.36	0.17821	0.207617599	-0.029407599
632.4	0.17551	0.207615263	-0.032105263
632.44	0.16583	0.207612927	-0.041782927
632.48	0.16487	0.20761059	-0.04274059
632.52	0.17062	0.207608254	-0.036988254
632.56	0.16018	0.207605917	-0.047425917
632.6	0.15178	0.207603581	-0.055823581
632.64	0.15158	0.207601245	-0.056021245
632.68	0.15448	0.207598908	-0.053118908
632.72	0.15565	0.207596572	-0.051946572
632.76	0.15545	0.207594235	-0.052144235
632.8	0.14913	0.207591899	-0.058461899
632.84	0.14027	0.207589562	-0.067319562
632.88	0.14613	0.207587226	-0.061457226
632.92	0.14608	0.20758489	-0.06150489
632.96	0.13483	0.207582553	-0.072752553
633	0.14119	0.207580217	-0.066390217
633.04	0.13182	0.20757788	-0.07575788
633.08	0.12719	0.207575544	-0.080385544
633.12	0.12999	0.207573208	-0.077583208
633.16	0.12205	0.207570871	-0.085520871
633.2	0.11803	0.207568535	-0.089538535
633.24	0.11803	0.207566198	-0.089536198
633.28	0.12169	0.207563862	-0.085873862
633.32	0.11579	0.207561525	-0.091771525
633.36	0.11013	0.207559189	-0.097429189
633.4	0.11594	0.207556853	-0.091616853
633.44	0.10912	0.207554516	-0.098434516
633.48	0.10901	0.20755218	-0.09854218
633.52	0.10927	0.207549843	-0.098279843
633.56	0.10901	0.207547507	-0.098537507
633.6	0.1054	0.207545171	-0.102145171
633.64	0.10015	0.207542834	-0.107392834
633.68	0.10285	0.207540498	-0.104690498
633.72	0.09995	0.207538161	-0.107588161
633.76	0.10092	0.207535825	-0.106615825
633.8	0.10005	0.207533488	-0.107483488
633.84	0.09985	0.207531152	-0.107681152
633.88	0.09868	0.207528816	-0.108848816
633.92	0.10087	0.207526479	-0.106656479
633.96	0.09705	0.207524143	-0.110474143
634	0.09781	0.207521806	-0.109711806
634.04	0.09715	0.20751947	-0.11036947
634.08	0.09491	0.207517134	-0.112607134
634.12	0.09532	0.207514797	-0.112194797
634.16	0.10209	0.207512461	-0.105422461
634.2	0.09791	0.207510124	-0.109600124
634.24	0.09791	0.207507788	-0.109597788
634.28	0.09522	0.207505451	-0.112285451
634.32	0.1001	0.207503115	-0.107403115
634.36	0.09791	0.207500779	-0.109590779
634.4	0.09817	0.207498442	-0.109328442
634.44	0.08844	0.207496106	-0.119056106
634.48	0.09155	0.207493769	-0.115943769
634.52	0.09639	0.207491433	-0.111101433
634.56	0.09878	0.207489097	-0.108709097
634.6	0.09873	0.20748676	-0.10875676
634.64	0.10158	0.207484424	-0.105904424
634.68	0.09715	0.207482087	-0.110332087
634.72	0.097	0.207479751	-0.110479751
634.76	0.10168	0.207477414	-0.105797414
634.8	0.09527	0.207475078	-0.112205078
634.84	0.1028	0.207472742	-0.104672742
634.88	0.09985	0.207470405	-0.107620405
634.92	0.09888	0.207468069	-0.108588069
634.96	0.09415	0.207465732	-0.113315732
635	0.09415	0.207463396	-0.113313396
635.04	0.097	0.20746106	-0.11046106
635.08	0.1001	0.207458723	-0.107358723
635.12	0.09802	0.207456387	-0.109436387
635.16	0.08982	0.20745405	-0.11763405
635.2	0.1027	0.207451714	-0.104751714
635.24	0.0941	0.207449378	-0.113349378
635.28	0.09033	0.207447041	-0.117117041
635.32	0.09028	0.207444705	-0.117164705
635.36	0.10194	0.207442368	-0.105502368
635.4	0.10066	0.207440032	-0.106780032
635.44	0.10168	0.207437695	-0.105757695
