f	m	t	
	-5.05109E-05	0.127495	
			
			
X in nm	Y Signal 	f	y-f
585.04	0.09517	0.097944103	-0.002774103
585.08	0.09618	0.097942083	-0.001762083
585.12	0.09618	0.097940062	-0.001760062
585.16	0.10087	0.097938042	0.002931958
585.2	0.08941	0.097936021	-0.008526021
585.24	0.10168	0.097934001	0.003745999
585.28	0.09914	0.09793198	0.00120802
585.32	0.0999	0.09792996	0.00197004
585.36	0.09786	0.09792794	-6.79396E-05
585.4	0.09618	0.097925919	-0.001745919
585.44	0.09634	0.097923899	-0.001583899
585.48	0.09221	0.097921878	-0.005711878
585.52	0.097	0.097919858	-0.000919858
585.56	0.09522	0.097917837	-0.002697837
585.6	0.09893	0.097915817	0.001014183
585.64	0.09323	0.097913797	-0.004683797
585.68	0.09226	0.097911776	-0.005651776
585.72	0.09221	0.097909756	-0.005699756
585.76	0.09517	0.097907735	-0.002737735
585.8	0.09608	0.097905715	-0.001825715
585.84	0.09618	0.097903694	-0.001723694
585.88	0.09435	0.097901674	-0.003551674
585.92	0.09695	0.097899653	-0.000949653
585.96	0.09598	0.097897633	-0.001917633
586	0.09613	0.097895613	-0.001765613
586.04	0.09303	0.097893592	-0.004863592
586.08	0.09695	0.097891572	-0.000941572
586.12	0.09343	0.097889551	-0.004459551
586.16	0.09629	0.097887531	-0.001597531
586.2	0.09511	0.09788551	-0.00277551
586.24	0.10346	0.09788349	0.00557651
586.28	0.09425	0.09788147	-0.00363147
586.32	0.0943	0.097879449	-0.003579449
586.36	0.09893	0.097877429	0.001052571
586.4	0.09527	0.097875408	-0.002605408
586.44	0.09741	0.097873388	-0.000463388
586.48	0.09618	0.097871367	-0.001691367
586.52	0.09715	0.097869347	-0.000719347
586.56	0.0942	0.097867326	-0.003667326
586.6	0.09425	0.097865306	-0.003615306
586.64	0.09995	0.097863286	0.002086714
586.68	0.10178	0.097861265	0.003918735
586.72	0.10077	0.097859245	0.002910755
586.76	0.10026	0.097857224	0.002402776
586.8	0.10458	0.097855204	0.006724796
586.84	0.10087	0.097853183	0.003016817
586.88	0.09613	0.097851163	-0.001721163
586.92	0.09613	0.097849143	-0.001719143
586.96	0.09781	0.097847122	-3.71221E-05
587	0.10632	0.097845102	0.008474898
587.04	0.10097	0.097843081	0.003126919
587.08	0.10453	0.097841061	0.006688939
587.12	0.09888	0.09783904	0.00104096
587.16	0.0942	0.09783702	-0.00363702
587.2	0.09435	0.097835	-0.003485
587.24	0.09909	0.097832979	0.001257021
587.28	0.097	0.097830959	-0.000830959
587.32	0.10158	0.097828938	0.003751062
587.36	0.10163	0.097826918	0.003803082
587.4	0.09898	0.097824897	0.001155103
587.44	0.09878	0.097822877	0.000957123
587.48	0.09919	0.097820856	0.001369144
587.52	0.10071	0.097818836	0.002891164
587.56	0.09506	0.097816816	-0.002756816
587.6	0.09552	0.097814795	-0.002294795
587.64	0.10209	0.097812775	0.004277225
587.68	0.097	0.097810754	-0.000810754
587.72	0.09201	0.097808734	-0.005798734
587.76	0.09588	0.097806713	-0.001926713
587.8	0.09583	0.097804693	-0.001974693
587.84	0.09791	0.097802673	0.000107327
587.88	0.08941	0.097800652	-0.008390652
587.92	0.10209	0.097798632	0.004291368
587.96	0.09893	0.097796611	0.001133389
588	0.09242	0.097794591	-0.005374591
588.04	0.09995	0.09779257	0.00215743
588.08	0.0999	0.09779055	0.00210945
588.12	0.09995	0.097788529	0.002161471
