	m	t	
f	1.02719E-08	0.0978535	
			
			
X in nm	Y Signal 	f	y-f
560.04	0.0941	0.097859253	-0.003759253
560.08	0.09496	0.097859253	-0.002899253
560.12	0.09517	0.097859253	-0.002689253
560.16	0.09506	0.097859254	-0.002799254
560.2	0.09517	0.097859254	-0.002689254
560.24	0.10071	0.097859255	0.002850745
560.28	0.09613	0.097859255	-0.001729255
560.32	0.09909	0.097859256	0.001230744
560.36	0.0969	0.097859256	-0.000959256
560.4	0.09715	0.097859256	-0.000709256
560.44	0.09623	0.097859257	-0.001629257
560.48	0.09863	0.097859257	0.000770743
560.52	0.10005	0.097859258	0.002190742
560.56	0.09898	0.097859258	0.001120742
560.6	0.09812	0.097859258	0.000260742
560.64	0.10178	0.097859259	0.003920741
560.68	0.09781	0.097859259	-4.92592E-05
560.72	0.09812	0.09785926	0.00026074
560.76	0.09593	0.09785926	-0.00192926
560.8	0.09511	0.09785926	-0.00274926
560.84	0.0969	0.097859261	-0.000959261
560.88	0.09527	0.097859261	-0.002589261
560.92	0.09618	0.097859262	-0.001679262
560.96	0.09893	0.097859262	0.001070738
561	0.09914	0.097859263	0.001280737
561.04	0.10275	0.097859263	0.004890737
561.08	0.1	0.097859263	0.002140737
561.12	0.09532	0.097859264	-0.002539264
561.16	0.09155	0.097859264	-0.006309264
561.2	0.09883	0.097859265	0.000970735
561.24	0.09593	0.097859265	-0.001929265
561.28	0.09608	0.097859265	-0.001779265
561.32	0.09603	0.097859266	-0.001829266
561.36	0.10168	0.097859266	0.003820734
561.4	0.097	0.097859267	-0.000859267
561.44	0.09817	0.097859267	0.000310733
561.48	0.09634	0.097859267	-0.001519267
561.52	0.0941	0.097859268	-0.003759268
561.56	0.097	0.097859268	-0.000859268
561.6	0.09705	0.097859269	-0.000809269
561.64	0.09491	0.097859269	-0.002949269
561.68	0.1026	0.09785927	0.00474073
561.72	0.09333	0.09785927	-0.00452927
561.76	0.10097	0.09785927	0.00311073
561.8	0.097	0.097859271	-0.000859271
561.84	0.09496	0.097859271	-0.002899271
561.88	0.09496	0.097859272	-0.002899272
561.92	0.09323	0.097859272	-0.004629272
561.96	0.10005	0.097859272	0.002190728
562	0.09893	0.097859273	0.001070727
562.04	0.09903	0.097859273	0.001170727
562.08	0.10087	0.097859274	0.003010726
562.12	0.09975	0.097859274	0.001890726
562.16	0.10015	0.097859274	0.002290726
562.2	0.09995	0.097859275	0.002090725
562.24	0.10158	0.097859275	0.003720725
562.28	0.09985	0.097859276	0.001990724
562.32	0.09623	0.097859276	-0.001629276
562.36	0.09425	0.097859277	-0.003609277
562.4	0.09313	0.097859277	-0.004729277
562.44	0.10097	0.097859277	0.003110723
562.48	0.10092	0.097859278	0.003060722
562.52	0.09323	0.097859278	-0.004629278
562.56	0.09725	0.097859279	-0.000609279
562.6	0.09348	0.097859279	-0.004379279
562.64	0.09812	0.097859279	0.000260721
562.68	0.09613	0.09785928	-0.00172928
562.72	0.09308	0.09785928	-0.00477928
562.76	0.09985	0.097859281	0.001990719
562.8	0.09985	0.097859281	0.001990719
562.84	0.09618	0.097859281	-0.001679281
562.88	0.09797	0.097859282	0.000110718
562.92	0.09868	0.097859282	0.000820718
562.96	0.10189	0.097859283	0.004030717
563	0.09822	0.097859283	0.000360717
563.04	0.09415	0.097859283	-0.003709283
563.08	0.09415	0.097859284	-0.003709284
563.12	0.09919	0.097859284	0.001330716
563.16	0.10071	0.097859285	0.002850715
563.2	0.09817	0.097859285	0.000310715
563.24	0.09715	0.097859286	-0.000709286
563.28	0.097	0.097859286	-0.000859286
563.32	0.10071	0.097859286	0.002850714
563.36	0.10056	0.097859287	0.002700713
563.4	0.09725	0.097859287	-0.000609287
563.44	0.0971	0.097859288	-0.000759288
563.48	0.10295	0.097859288	0.005090712
563.52	0.09323	0.097859288	-0.004629288
563.56	0.09613	0.097859289	-0.001729289
563.6	0.0998	0.097859289	0.001940711
563.64	0.09715	0.09785929	-0.00070929
563.68	0.09695	0.09785929	-0.00090929
563.72	0.09506	0.09785929	-0.00279929
563.76	0.09903	0.097859291	0.001170709
563.8	0.09588	0.097859291	-0.001979291
563.84	0.0914	0.097859292	-0.006459292
563.88	0.0943	0.097859292	-0.003559292
563.92	0.097	0.097859293	-0.000859293
563.96	0.0969	0.097859293	-0.000959293
564	0.09522	0.097859293	-0.002639293
564.04	0.10194	0.097859294	0.004080706
564.08	0.09903	0.097859294	0.001170706
564.12	0.10071	0.097859295	0.002850705
564.16	0.0971	0.097859295	-0.000759295
564.2	0.10275	0.097859295	0.004890705
564.24	0.10255	0.097859296	0.004690704
564.28	0.10107	0.097859296	0.003210704
564.32	0.10428	0.097859297	0.006420703
564.36	0.1055	0.097859297	0.007640703
564.4	0.10637	0.097859297	0.008510703
564.44	0.10815	0.097859298	0.010290702
564.48	0.1139	0.097859298	0.016040702
564.52	0.11115	0.097859299	0.013290701
564.56	0.1111	0.097859299	0.013240701
564.6	0.11945	0.0978593	0.0215907
564.64	0.12077	0.0978593	0.0229107
564.68	0.11691	0.0978593	0.0190507
564.72	0.11787	0.097859301	0.020010699
564.76	0.1168	0.097859301	0.018940699
564.8	0.11853	0.097859302	0.020670698
564.84	0.11869	0.097859302	0.020830698
564.88	0.12347	0.097859302	0.025610698
564.92	0.12505	0.097859303	0.027190697
564.96	0.12709	0.097859303	0.029230697
565	0.13086	0.097859304	0.033000696
565.04	0.1303	0.097859304	0.032440696
565.08	0.14134	0.097859304	0.043480696
565.12	0.13417	0.097859305	0.036310695
565.16	0.13371	0.097859305	0.035850695
565.2	0.14603	0.097859306	0.048170694
565.24	0.13294	0.097859306	0.035080694
565.28	0.13834	0.097859306	0.040480694
565.32	0.13773	0.097859307	0.039870693
565.36	0.14333	0.097859307	0.045470693
565.4	0.13936	0.097859308	0.041500692
565.44	0.13951	0.097859308	0.041650692
565.48	0.14353	0.097859309	0.045670691
565.52	0.13508	0.097859309	0.037220691
565.56	0.13116	0.097859309	0.033300691
565.6	0.13778	0.09785931	0.03992069
565.64	0.13753	0.09785931	0.03967069
565.68	0.13554	0.097859311	0.037680689
565.72	0.13564	0.097859311	0.037780689
565.76	0.13116	0.097859311	0.033300689
565.8	0.13386	0.097859312	0.036000688
565.84	0.13284	0.097859312	0.034980688
565.88	0.13289	0.097859313	0.035030687
565.92	0.12902	0.097859313	0.031160687
565.96	0.13014	0.097859313	0.032280687
566	0.12643	0.097859314	0.028570686
566.04	0.12648	0.097859314	0.028620686
566.08	0.1251	0.097859315	0.027240685
566.12	0.12261	0.097859315	0.024750685
566.16	0.11986	0.097859316	0.022000684
566.2	0.11629	0.097859316	0.018430684
566.24	0.11609	0.097859316	0.018230684
566.28	0.11696	0.097859317	0.019100683
566.32	0.11665	0.097859317	0.018790683
566.36	0.11024	0.097859318	0.012380682
566.4	0.10637	0.097859318	0.008510682
566.44	0.10204	0.097859318	0.004180682
566.48	0.10367	0.097859319	0.005810681
566.52	0.10178	0.097859319	0.003920681
566.56	0.10733	0.09785932	0.00947068
566.6	0.10637	0.09785932	0.00851068
566.64	0.10265	0.09785932	0.00479068
566.68	0.11125	0.097859321	0.013390679
566.72	0.10728	0.097859321	0.009420679
566.76	0.10372	0.097859322	0.005860678
566.8	0.1027	0.097859322	0.004840678
566.84	0.10173	0.097859323	0.003870677
566.88	0.10275	0.097859323	0.004890677
566.92	0.10285	0.097859323	0.004990677
566.96	0.10194	0.097859324	0.004080676
567	0.10158	0.097859324	0.003720676
567.04	0.09975	0.097859325	0.001890675
