f	m	t	
	1.17102E-08	0.0866534	
			
			
X in nm	Y Signal 	f	y-f
625.04	0.09058	0.086660719	0.003919281
625.08	0.08478	0.08666072	-0.00188072
625.12	0.08768	0.08666072	0.00101928
625.16	0.08575	0.086660721	-0.000910721
625.2	0.08656	0.086660721	-0.000100721
625.24	0.08676	0.086660722	9.92783E-05
625.28	0.09226	0.086660722	0.005599278
625.32	0.08656	0.086660723	-0.000100723
625.36	0.08391	0.086660723	-0.002750723
625.4	0.08585	0.086660724	-0.000810724
625.44	0.08519	0.086660724	-0.001470724
625.48	0.08325	0.086660724	-0.003410724
625.52	0.083	0.086660725	-0.003660725
625.56	0.08676	0.086660725	9.92746E-05
625.6	0.09043	0.086660726	0.003769274
625.64	0.08458	0.086660726	-0.002080726
625.68	0.08921	0.086660727	0.002549273
625.72	0.08575	0.086660727	-0.000910727
625.76	0.08671	0.086660728	4.92722E-05
625.8	0.07999	0.086660728	-0.006670728
625.84	0.07999	0.086660729	-0.006670729
625.88	0.08442	0.086660729	-0.002240729
625.92	0.08768	0.08666073	0.00101927
625.96	0.08514	0.08666073	-0.00152073
626	0.0803	0.086660731	-0.006360731
626.04	0.08473	0.086660731	-0.001930731
626.08	0.0858	0.086660732	-0.000860732
626.12	0.08595	0.086660732	-0.000710732
626.16	0.08855	0.086660732	0.001889268
626.2	0.08488	0.086660733	-0.001780733
626.24	0.08177	0.086660733	-0.004890733
626.28	0.08295	0.086660734	-0.003710734
626.32	0.08758	0.086660734	0.000919266
626.36	0.08676	0.086660735	9.92652E-05
626.4	0.08676	0.086660735	9.92647E-05
626.44	0.09247	0.086660736	0.005809264
626.48	0.08564	0.086660736	-0.001020736
626.52	0.0885	0.086660737	0.001839263
626.56	0.08493	0.086660737	-0.001730737
626.6	0.08661	0.086660738	-5.07376E-05
626.64	0.09068	0.086660738	0.004019262
626.68	0.09063	0.086660739	0.003969261
626.72	0.09033	0.086660739	0.003669261
626.76	0.08458	0.086660739	-0.002080739
626.8	0.08829	0.08666074	0.00162926
626.84	0.08743	0.08666074	0.00076926
626.88	0.08936	0.086660741	0.002699259
626.92	0.0942	0.086660741	0.007539259
626.96	0.09038	0.086660742	0.003719258
627	0.09053	0.086660742	0.003869258
627.04	0.08844	0.086660743	0.001779257
627.08	0.08687	0.086660743	0.000209257
