	m	t	
f	1.17547E-08	0.0912729	
			
			
X in nm	Y Signal 	f	y-f
625.04	0.08956	0.091280247	-0.001720247
625.08	0.09898	0.091280248	0.007699752
625.12	0.09975	0.091280248	0.008469752
625.16	0.09313	0.091280249	0.001849751
625.2	0.09033	0.091280249	-0.000950249
625.24	0.09593	0.09128025	0.00464975
625.28	0.09623	0.09128025	0.00494975
625.32	0.09613	0.09128025	0.00484975
625.36	0.09231	0.091280251	0.001029749
625.4	0.09226	0.091280251	0.000979749
625.44	0.0971	0.091280252	0.005819748
625.48	0.097	0.091280252	0.005719748
625.52	0.09328	0.091280253	0.001999747
625.56	0.09313	0.091280253	0.001849747
625.6	0.09552	0.091280254	0.004239746
625.64	0.09145	0.091280254	0.000169746
625.68	0.09048	0.091280255	-0.000800255
625.72	0.09405	0.091280255	0.002769745
625.76	0.0943	0.091280256	0.003019744
625.8	0.09048	0.091280256	-0.000800256
625.84	0.09033	0.091280257	-0.000950257
625.88	0.09914	0.091280257	0.007859743
625.92	0.09048	0.091280258	-0.000800258
625.96	0.09634	0.091280258	0.005059742
626	0.09155	0.091280258	0.000269742
626.04	0.09618	0.091280259	0.004899741
626.08	0.09598	0.091280259	0.004699741
626.12	0.09038	0.09128026	-0.00090026
626.16	0.09058	0.09128026	-0.00070026
626.2	0.09038	0.091280261	-0.000900261
626.24	0.09328	0.091280261	0.001999739
626.28	0.09211	0.091280262	0.000829738
626.32	0.0942	0.091280262	0.002919738
626.36	0.09318	0.091280263	0.001899737
626.4	0.09333	0.091280263	0.002049737
626.44	0.09328	0.091280264	0.001999736
626.48	0.09043	0.091280264	-0.000850264
626.52	0.09715	0.091280265	0.005869735
626.56	0.09308	0.091280265	0.001799735
626.6	0.09623	0.091280265	0.004949735
626.64	0.09242	0.091280266	0.001139734
626.68	0.09242	0.091280266	0.001139734
626.72	0.09242	0.091280267	0.001139733
626.76	0.09206	0.091280267	0.000779733
626.8	0.09639	0.091280268	0.005109732
626.84	0.09527	0.091280268	0.003989732
626.88	0.09786	0.091280269	0.006579731
626.92	0.09517	0.091280269	0.003889731
626.96	0.09496	0.09128027	0.00367973
627	0.09425	0.09128027	0.00296973
627.04	0.0941	0.091280271	0.002819729
627.08	0.09323	0.091280271	0.001949729
627.12	0.09333	0.091280272	0.002049728
627.16	0.09247	0.091280272	0.001189728
627.2	0.09598	0.091280273	0.004699727
627.24	0.09598	0.091280273	0.004699727
627.28	0.10189	0.091280273	0.010609727
627.32	0.10204	0.091280274	0.010759726
627.36	0.09903	0.091280274	0.007749726
627.4	0.09231	0.091280275	0.001029725
627.44	0.09781	0.091280275	0.006529725
627.48	0.09527	0.091280276	0.003989724
627.52	0.10387	0.091280276	0.012589724
627.56	0.09817	0.091280277	0.006889723
627.6	0.09929	0.091280277	0.008009723
627.64	0.09924	0.091280278	0.007959722
627.68	0.09985	0.091280278	0.008569722
