	m	t	
f	1.17914E-08	0.0825889	
			
			
X in nm	Y Signal 	f	y-f
570.04	0.07653	0.082595622	-0.006065622
570.08	0.07648	0.082595622	-0.006115622
570.12	0.07933	0.082595623	-0.003265623
570.16	0.08305	0.082595623	0.000454377
570.2	0.07897	0.082595623	-0.003625623
570.24	0.07612	0.082595624	-0.006475624
570.28	0.07796	0.082595624	-0.004635624
570.32	0.08106	0.082595625	-0.001535625
570.36	0.08106	0.082595625	-0.001535625
570.4	0.07816	0.082595626	-0.004435626
570.44	0.07913	0.082595626	-0.003465626
570.48	0.08096	0.082595627	-0.001635627
570.52	0.08233	0.082595627	-0.000265627
570.56	0.07541	0.082595628	-0.007185628
570.6	0.08213	0.082595628	-0.000465628
570.64	0.08157	0.082595629	-0.001025629
570.68	0.07729	0.082595629	-0.005305629
570.72	0.07908	0.08259563	-0.00351563
570.76	0.08376	0.08259563	0.00116437
570.8	0.0831	0.082595631	0.000504369
570.84	0.08198	0.082595631	-0.000615631
570.88	0.07821	0.082595631	-0.004385631
570.92	0.08396	0.082595632	0.001364368
570.96	0.08412	0.082595632	0.001524368
571	0.08203	0.082595633	-0.000565633
571.04	0.07724	0.082595633	-0.005355633
571.08	0.07847	0.082595634	-0.004125634
571.12	0.08132	0.082595634	-0.001275634
571.16	0.0803	0.082595635	-0.002295635
571.2	0.08188	0.082595635	-0.000715635
571.24	0.08188	0.082595636	-0.000715636
571.28	0.07521	0.082595636	-0.007385636
571.32	0.08478	0.082595637	0.002184363
571.36	0.07368	0.082595637	-0.008915637
571.4	0.08177	0.082595638	-0.000825638
571.44	0.08004	0.082595638	-0.002555638
571.48	0.08106	0.082595639	-0.001535639
571.52	0.08473	0.082595639	0.002134361
571.56	0.08478	0.082595639	0.002184361
571.6	0.07999	0.08259564	-0.00260564
571.64	0.08172	0.08259564	-0.00087564
571.68	0.0831	0.082595641	0.000504359
571.72	0.07735	0.082595641	-0.005245641
571.76	0.07908	0.082595642	-0.003515642
571.8	0.07918	0.082595642	-0.003415642
571.84	0.07913	0.082595643	-0.003465643
571.88	0.08391	0.082595643	0.001314357
571.92	0.07923	0.082595644	-0.003365644
571.96	0.08198	0.082595644	-0.000615644
572	0.07826	0.082595645	-0.004335645
572.04	0.07831	0.082595645	-0.004285645
572.08	0.08295	0.082595646	0.000354354
572.12	0.0833	0.082595646	0.000704354
572.16	0.08223	0.082595647	-0.000365647
572.2	0.07933	0.082595647	-0.003265647
572.24	0.07816	0.082595648	-0.004435648
572.28	0.07999	0.082595648	-0.002605648
572.32	0.08396	0.082595648	0.001364352
572.36	0.08015	0.082595649	-0.002445649
572.4	0.08386	0.082595649	0.001264351
572.44	0.08396	0.08259565	0.00136435
572.48	0.08386	0.08259565	0.00126435
572.52	0.08091	0.082595651	-0.001685651
572.56	0.07745	0.082595651	-0.005145651
572.6	0.07724	0.082595652	-0.005355652
572.64	0.07831	0.082595652	-0.004285652
572.68	0.086	0.082595653	0.003404347
572.72	0.08605	0.082595653	0.003454347
572.76	0.083	0.082595654	0.000404346
572.8	0.07623	0.082595654	-0.006365654
572.84	0.08081	0.082595655	-0.001785655
572.88	0.08101	0.082595655	-0.001585655
572.92	0.07266	0.082595656	-0.009935656
572.96	0.07724	0.082595656	-0.005355656
573	0.07714	0.082595656	-0.005455656
573.04	0.08188	0.082595657	-0.000715657
573.08	0.07714	0.082595657	-0.005455657
573.12	0.08183	0.082595658	-0.000765658
573.16	0.0802	0.082595658	-0.002395658
573.2	0.08004	0.082595659	-0.002555659
573.24	0.0803	0.082595659	-0.002295659
573.28	0.08279	0.08259566	0.00019434
573.32	0.08284	0.08259566	0.00024434
573.36	0.07923	0.082595661	-0.003365661
573.4	0.07923	0.082595661	-0.003365661
573.44	0.08203	0.082595662	-0.000565662
573.48	0.07811	0.082595662	-0.004485662
573.52	0.07933	0.082595663	-0.003265663
573.56	0.08468	0.082595663	0.002084337
573.6	0.08498	0.082595664	0.002384336
573.64	0.07623	0.082595664	-0.006365664
573.68	0.07923	0.082595664	-0.003365664
573.72	0.08213	0.082595665	-0.000465665
573.76	0.08412	0.082595665	0.001524335
573.8	0.08325	0.082595666	0.000654334
573.84	0.07938	0.082595666	-0.003215666
573.88	0.07903	0.082595667	-0.003565667
573.92	0.07903	0.082595667	-0.003565667
573.96	0.08855	0.082595668	0.005954332
574	0.08295	0.082595668	0.000354332
574.04	0.08203	0.082595669	-0.000565669
574.08	0.07617	0.082595669	-0.006425669
574.12	0.08412	0.08259567	0.00152433
574.16	0.07933	0.08259567	-0.00326567
574.2	0.07918	0.082595671	-0.003415671
574.24	0.0859	0.082595671	0.003304329
574.28	0.07826	0.082595672	-0.004335672
574.32	0.08676	0.082595672	0.004164328
574.36	0.0832	0.082595673	0.000604327
574.4	0.08865	0.082595673	0.006054327
574.44	0.07923	0.082595673	-0.003365673
574.48	0.07908	0.082595674	-0.003515674
574.52	0.08289	0.082595674	0.000294326
574.56	0.08279	0.082595675	0.000194325
574.6	0.083	0.082595675	0.000404325
574.64	0.08401	0.082595676	0.001414324
574.68	0.08188	0.082595676	-0.000715676
574.72	0.08396	0.082595677	0.001364323
574.76	0.08396	0.082595677	0.001364323
574.8	0.08412	0.082595678	0.001524322
574.84	0.08223	0.082595678	-0.000365678
574.88	0.0832	0.082595679	0.000604321
574.92	0.07979	0.082595679	-0.002805679
574.96	0.08009	0.08259568	-0.00250568
575	0.08081	0.08259568	-0.00178568
575.04	0.08132	0.082595681	-0.001275681
575.08	0.08111	0.082595681	-0.001485681
575.12	0.08488	0.082595681	0.002284319
575.16	0.08396	0.082595682	0.001364318
575.2	0.08407	0.082595682	0.001474318
575.24	0.08203	0.082595683	-0.000565683
575.28	0.08203	0.082595683	-0.000565683
575.32	0.08188	0.082595684	-0.000715684
575.36	0.08198	0.082595684	-0.000615684
575.4	0.08086	0.082595685	-0.001735685
575.44	0.08295	0.082595685	0.000354315
575.48	0.07989	0.082595686	-0.002705686
575.52	0.08086	0.082595686	-0.001735686
575.56	0.08004	0.082595687	-0.002555687
575.6	0.08381	0.082595687	0.001214313
575.64	0.07821	0.082595688	-0.004385688
575.68	0.07811	0.082595688	-0.004485688
575.72	0.08595	0.082595689	0.003354311
575.76	0.09043	0.082595689	0.007834311
575.8	0.08106	0.082595689	-0.001535689
575.84	0.08396	0.08259569	0.00136431
575.88	0.08315	0.08259569	0.00055431
575.92	0.08478	0.082595691	0.002184309
575.96	0.08503	0.082595691	0.002434309
576	0.08391	0.082595692	0.001314308
576.04	0.08376	0.082595692	0.001164308
576.08	0.07908	0.082595693	-0.003515693
576.12	0.08188	0.082595693	-0.000715693
576.16	0.08783	0.082595694	0.005234306
576.2	0.08549	0.082595694	0.002894306
576.24	0.08595	0.082595695	0.003354305
576.28	0.08778	0.082595695	0.005184305
576.32	0.09043	0.082595696	0.007834304
576.36	0.08962	0.082595696	0.007024304
576.4	0.08605	0.082595697	0.003454303
576.44	0.09165	0.082595697	0.009054303
576.48	0.08015	0.082595698	-0.002445698
576.52	0.08391	0.082595698	0.001314302
576.56	0.08407	0.082595698	0.001474302
576.6	0.08289	0.082595699	0.000294301
576.64	0.08503	0.082595699	0.002434301
576.68	0.08875	0.0825957	0.0061543
576.72	0.08391	0.0825957	0.0013143
576.76	0.08585	0.082595701	0.003254299
576.8	0.083	0.082595701	0.000404299
576.84	0.0832	0.082595702	0.000604298
576.88	0.086	0.082595702	0.003404298
576.92	0.08009	0.082595703	-0.002505703
576.96	0.08177	0.082595703	-0.000825703
577	0.08203	0.082595704	-0.000565704
577.04	0.08478	0.082595704	0.002184296
577.08	0.08203	0.082595705	-0.000565705
577.12	0.08203	0.082595705	-0.000565705
577.16	0.08096	0.082595706	-0.001635706
577.2	0.0858	0.082595706	0.003204294
577.24	0.08111	0.082595706	-0.001485706
577.28	0.08025	0.082595707	-0.002345707
577.32	0.07841	0.082595707	-0.004185707
577.36	0.08009	0.082595708	-0.002505708
