	m	t	
f	-0.00011117	0.21645	
			
			
X in nm	Y Signal 	f	y-f
625.04	0.14603	0.146964303	-0.000934303
625.08	0.14908	0.146959856	0.002120144
625.12	0.14532	0.14695541	-0.00163541
625.16	0.14516	0.146950963	-0.001790963
625.2	0.14226	0.146946516	-0.004686516
625.24	0.14333	0.146942069	-0.003612069
625.28	0.1527	0.146937622	0.005762378
625.32	0.14221	0.146933176	-0.004723176
625.36	0.15076	0.146928729	0.003831271
625.4	0.14501	0.146924282	-0.001914282
625.44	0.15453	0.146919835	0.007610165
625.48	0.15468	0.146915388	0.007764612
625.52	0.15738	0.146910942	0.010469058
625.56	0.16212	0.146906495	0.015213505
625.6	0.16303	0.146902048	0.016127952
625.64	0.18101	0.146897601	0.034112399
625.68	0.17714	0.146893154	0.030246846
625.72	0.18488	0.146888708	0.037991292
625.76	0.18488	0.146884261	0.037995739
625.8	0.18121	0.146879814	0.034330186
625.84	0.19328	0.146875367	0.046404633
625.88	0.19429	0.14687092	0.04741908
625.92	0.2196	0.146866474	0.072733526
625.96	0.22164	0.146862027	0.074777973
626	0.24215	0.14685758	0.09529242
626.04	0.2422	0.146853133	0.095346867
626.08	0.25453	0.146848686	0.107681314
626.12	0.2865	0.14684424	0.13965576
626.16	0.27214	0.146839793	0.125300207
626.2	0.30824	0.146835346	0.161404654
626.24	0.30447	0.146830899	0.157639101
626.28	0.31863	0.146826452	0.171803548
626.32	0.31985	0.146822006	0.173027994
626.36	0.31964	0.146817559	0.172822441
626.4	0.32234	0.146813112	0.175526888
626.44	0.32621	0.146808665	0.179401335
626.48	0.34755	0.146804218	0.200745782
626.52	0.34688	0.146799772	0.200080228
626.56	0.33461	0.146795325	0.187814675
626.6	0.35712	0.146790878	0.210329122
626.64	0.35717	0.146786431	0.210383569
626.68	0.34317	0.146781984	0.196388016
626.72	0.35656	0.146777538	0.209782462
626.76	0.33772	0.146773091	0.190946909
626.8	0.33553	0.146768644	0.188761356
626.84	0.32448	0.146764197	0.177715803
626.88	0.31206	0.14675975	0.16530025
626.92	0.31196	0.146755304	0.165204696
626.96	0.30641	0.146750857	0.159659143
627	0.28843	0.14674641	0.14168359
627.04	0.29297	0.146741963	0.146228037
627.08	0.27235	0.146737516	0.125612484
627.12	0.26196	0.14673307	0.11522693
627.16	0.23635	0.146728623	0.089621377
627.2	0.22729	0.146724176	0.080565824
627.24	0.22724	0.146719729	0.080520271
627.28	0.21603	0.146715282	0.069314718
627.32	0.19704	0.146710836	0.050329164
627.36	0.1972	0.146706389	0.050493611
627.4	0.17719	0.146701942	0.030488058
627.44	0.18116	0.146697495	0.034462505
627.48	0.16874	0.146693048	0.022046952
627.52	0.16894	0.146688602	0.022251398
627.56	0.16568	0.146684155	0.018995845
627.6	0.15458	0.146679708	0.007900292
627.64	0.15265	0.146675261	0.005974739
627.68	0.15372	0.146670814	0.007049186
627.72	0.1528	0.146666368	0.006133632
627.76	0.15463	0.146661921	0.007968079
627.8	0.15255	0.146657474	0.005892526
627.84	0.1528	0.146653027	0.006146973
627.88	0.14333	0.14664858	-0.00331858
627.92	0.15555	0.146644134	0.008905866
627.96	0.15275	0.146639687	0.006110313
628	0.14588	0.14663524	-0.00075524
628.04	0.1443	0.146630793	-0.002330793
628.08	0.14618	0.146626346	-0.000446346
628.12	0.14628	0.1466219	-0.0003419
628.16	0.15102	0.146617453	0.004402547
628.2	0.14486	0.146613006	-0.001753006
628.24	0.14598	0.146608559	-0.000628559
628.28	0.15107	0.146604112	0.004465888
628.32	0.1446	0.146599666	-0.001999666
628.36	0.14506	0.146595219	-0.001535219
628.4	0.14491	0.146590772	-0.001680772
628.44	0.14333	0.146586325	-0.003256325
628.48	0.14506	0.146581878	-0.001521878
628.52	0.15178	0.146577432	0.005202568
628.56	0.14618	0.146572985	-0.000392985
628.6	0.14124	0.146568538	-0.005328538
628.64	0.13921	0.146564091	-0.007354091
628.68	0.14165	0.146559644	-0.004909644
628.72	0.14134	0.146555198	-0.005215198
628.76	0.13758	0.146550751	-0.008970751
628.8	0.13498	0.146546304	-0.011566304
628.84	0.13131	0.146541857	-0.015231857
628.88	0.13213	0.14653741	-0.01440741
628.92	0.13101	0.146532964	-0.015522964
628.96	0.13101	0.146528517	-0.015518517
629	0.13065	0.14652407	-0.01587407
629.04	0.13014	0.146519623	-0.016379623
629.08	0.12831	0.146515176	-0.018205176
629.12	0.12505	0.14651073	-0.02146073
629.16	0.13579	0.146506283	-0.010716283
629.2	0.1222	0.146501836	-0.024301836
629.24	0.12454	0.146497389	-0.021957389
629.28	0.12164	0.146492942	-0.024852942
629.32	0.12164	0.146488496	-0.024848496
629.36	0.12337	0.146484049	-0.023114049
629.4	0.12189	0.146479602	-0.024589602
629.44	0.11492	0.146475155	-0.031555155
629.48	0.12276	0.146470708	-0.023710708
629.52	0.11502	0.146466262	-0.031446262
629.56	0.11675	0.146461815	-0.029711815
629.6	0.11691	0.146457368	-0.029547368
629.64	0.11024	0.146452921	-0.036212921
629.68	0.11736	0.146448474	-0.029088474
629.72	0.11217	0.146444028	-0.034274028
629.76	0.11487	0.146439581	-0.031569581
629.8	0.11283	0.146435134	-0.033605134
629.84	0.11125	0.146430687	-0.035180687
629.88	0.11115	0.14642624	-0.03527624
629.92	0.11115	0.146421794	-0.035271794
629.96	0.11222	0.146417347	-0.034197347
630	0.10728	0.1464129	-0.0391329
630.04	0.10525	0.146408453	-0.041158453
630.08	0.11024	0.146404006	-0.036164006
630.12	0.1026	0.14639956	-0.04379956
630.16	0.10525	0.146395113	-0.041145113
630.2	0.1054	0.146390666	-0.040990666
630.24	0.10352	0.146386219	-0.042866219
630.28	0.10922	0.146381772	-0.037161772
630.32	0.11217	0.146377326	-0.034207326
630.36	0.11507	0.146372879	-0.031302879
630.4	0.1111	0.146368432	-0.035268432
630.44	0.09893	0.146363985	-0.047433985
630.48	0.09924	0.146359538	-0.047119538
630.52	0.10845	0.146355092	-0.037905092
630.56	0.11095	0.146350645	-0.035400645
630.6	0.10626	0.146346198	-0.040086198
630.64	0.10382	0.146341751	-0.042521751
630.68	0.10708	0.146337304	-0.039257304
630.72	0.11405	0.146332858	-0.032282858
630.76	0.114	0.146328411	-0.032328411
630.8	0.10922	0.146323964	-0.037103964
630.84	0.10906	0.146319517	-0.037259517
630.88	0.1052	0.14631507	-0.04111507
630.92	0.10214	0.146310624	-0.044170624
630.96	0.10377	0.146306177	-0.042536177
631	0.1057	0.14630173	-0.04060173
631.04	0.10453	0.146297283	-0.041767283
631.08	0.10464	0.146292836	-0.041652836
631.12	0.10275	0.14628839	-0.04353839
631.16	0.11283	0.146283943	-0.033453943
631.2	0.10922	0.146279496	-0.037059496
631.24	0.11207	0.146275049	-0.034205049
631.28	0.11971	0.146270602	-0.026560602
631.32	0.11976	0.146266156	-0.026506156
631.36	0.11996	0.146261709	-0.026301709
631.4	0.12643	0.146257262	-0.019827262
631.44	0.13758	0.146252815	-0.008672815
631.48	0.13493	0.146248368	-0.011318368
631.52	0.13941	0.146243922	-0.006833922
631.56	0.13574	0.146239475	-0.010499475
631.6	0.14694	0.146235028	0.000704972
631.64	0.15092	0.146230581	0.004689419
631.68	0.15081	0.146226134	0.004583866
631.72	0.1498	0.146221688	0.003578312
631.76	0.15932	0.146217241	0.013102759
631.8	0.15372	0.146212794	0.007507206
631.84	0.1638	0.146208347	0.017591653
631.88	0.16538	0.1462039	0.0191761
631.92	0.17515	0.146199454	0.028950546
631.96	0.1753	0.146195007	0.029104993
632	0.16777	0.14619056	0.02157944
632.04	0.16975	0.146186113	0.023563887
632.08	0.17418	0.146181666	0.027998334
632.12	0.16604	0.14617722	0.01986278
632.16	0.17902	0.146172773	0.032847227
632.2	0.17805	0.146168326	0.031881674
632.24	0.17826	0.146163879	0.032096121
632.28	0.18187	0.146159432	0.035710568
632.32	0.18014	0.146154986	0.033985014
632.36	0.17271	0.146150539	0.026559461
632.4	0.17714	0.146146092	0.030993908
632.44	0.17622	0.146141645	0.030078355
632.48	0.16792	0.146137198	0.021782802
632.52	0.16802	0.146132752	0.021887248
632.56	0.16777	0.146128305	0.021641695
632.6	0.16023	0.146123858	0.014106142
632.64	0.16105	0.146119411	0.014930589
632.68	0.1641	0.146114964	0.017985036
632.72	0.15728	0.146110518	0.011169482
632.76	0.14883	0.146106071	0.002723929
632.8	0.15647	0.146101624	0.010368376
632.84	0.15652	0.146097177	0.010422823
632.88	0.15387	0.14609273	0.00777727
632.92	0.15107	0.146088284	0.004981716
632.96	0.13885	0.146083837	-0.007233837
633	0.14134	0.14607939	-0.00473939
633.04	0.13305	0.146074943	-0.013024943
633.08	0.13498	0.146070496	-0.011090496
633.12	0.13488	0.14606605	-0.01118605
633.16	0.13666	0.146061603	-0.009401603
633.2	0.13172	0.146057156	-0.014337156
633.24	0.13478	0.146052709	-0.011272709
633.28	0.12536	0.146048262	-0.020688262
633.32	0.13004	0.146043816	-0.016003816
633.36	0.12154	0.146039369	-0.024499369
633.4	0.11787	0.146034922	-0.028164922
633.44	0.11777	0.146030475	-0.028260475
633.48	0.11782	0.146026028	-0.028206028
633.52	0.114	0.146021582	-0.032021582
633.56	0.11309	0.146017135	-0.032927135
633.6	0.11309	0.146012688	-0.032922688
633.64	0.10845	0.146008241	-0.037558241
633.68	0.10647	0.146003794	-0.039533794
633.72	0.10647	0.145999348	-0.039529348
633.76	0.11024	0.145994901	-0.035754901
633.8	0.10357	0.145990454	-0.042420454
633.84	0.10647	0.145986007	-0.039516007
633.88	0.10815	0.14598156	-0.03783156
633.92	0.10647	0.145977114	-0.039507114
633.96	0.10912	0.145972667	-0.036852667
634	0.10825	0.14596822	-0.03771822
634.04	0.10835	0.145963773	-0.037613773
634.08	0.10723	0.145959326	-0.038729326
634.12	0.10402	0.14595488	-0.04193488
634.16	0.11293	0.145950433	-0.033020433
634.2	0.10642	0.145945986	-0.039525986
634.24	0.10718	0.145941539	-0.038761539
634.28	0.11298	0.145937092	-0.032957092
634.32	0.11283	0.145932646	-0.033102646
634.36	0.11584	0.145928199	-0.030088199
634.4	0.10652	0.145923752	-0.039403752
634.44	0.10922	0.145919305	-0.036699305
634.48	0.10647	0.145914858	-0.039444858
634.52	0.1083	0.145910412	-0.037610412
634.56	0.10657	0.145905965	-0.039335965
634.6	0.10662	0.145901518	-0.039281518
634.64	0.10464	0.145897071	-0.041257071
634.68	0.10738	0.145892624	-0.038512624
634.72	0.09812	0.145888178	-0.047768178
634.76	0.1054	0.145883731	-0.040483731
634.8	0.11029	0.145879284	-0.035589284
634.84	0.10718	0.145874837	-0.038694837
634.88	0.10815	0.14587039	-0.03772039
634.92	0.1084	0.145865944	-0.037465944
634.96	0.10565	0.145861497	-0.040211497
635	0.1111	0.14585705	-0.03475705
635.04	0.10927	0.145852603	-0.036582603
635.08	0.1084	0.145848156	-0.037448156
635.12	0.10576	0.14584371	-0.04008371
635.16	0.11044	0.145839263	-0.035399263
635.2	0.11018	0.145834816	-0.035654816
635.24	0.10377	0.145830369	-0.042060369
635.28	0.10744	0.145825922	-0.038385922
635.32	0.10341	0.145821476	-0.042411476
635.36	0.10769	0.145817029	-0.038127029
635.4	0.11029	0.145812582	-0.035522582
635.44	0.10357	0.145808135	-0.042238135
635.48	0.10362	0.145803688	-0.042183688
635.52	0.10744	0.145799242	-0.038359242
635.56	0.10733	0.145794795	-0.038464795
635.6	0.10784	0.145790348	-0.037950348
635.64	0.10642	0.145785901	-0.039365901
635.68	0.10927	0.145781454	-0.036511454
635.72	0.11105	0.145777008	-0.034727008
635.76	0.10922	0.145772561	-0.036552561
635.8	0.10917	0.145768114	-0.036598114
635.84	0.10637	0.145763667	-0.039393667
635.88	0.10744	0.14575922	-0.03831922
635.92	0.10362	0.145754774	-0.042134774
635.96	0.11095	0.145750327	-0.034800327
636	0.10642	0.14574588	-0.03932588
636.04	0.10906	0.145741433	-0.036681433
636.08	0.10922	0.145736986	-0.036516986
636.12	0.10922	0.14573254	-0.03651254
636.16	0.10672	0.145728093	-0.039008093
636.2	0.10759	0.145723646	-0.038133646
636.24	0.10443	0.145719199	-0.041289199
636.28	0.10377	0.145714752	-0.041944752
636.32	0.1111	0.145710306	-0.034610306
636.36	0.10015	0.145705859	-0.045555859
636.4	0.0998	0.145701412	-0.045901412
636.44	0.11024	0.145696965	-0.035456965
636.48	0.10367	0.145692518	-0.042022518
636.52	0.1112	0.145688072	-0.034488072
636.56	0.10835	0.145683625	-0.037333625
636.6	0.10285	0.145679178	-0.042829178
636.64	0.11039	0.145674731	-0.035284731
636.68	0.11018	0.145670284	-0.035490284
636.72	0.11212	0.145665838	-0.033545838
636.76	0.10077	0.145661391	-0.044891391
636.8	0.10652	0.145656944	-0.039136944
636.84	0.11604	0.145652497	-0.029612497
636.88	0.10362	0.14564805	-0.04202805
636.92	0.11018	0.145643604	-0.035463604
636.96	0.11044	0.145639157	-0.035199157
637	0.11197	0.14563471	-0.03366471
637.04	0.10382	0.145630263	-0.041810263
637.08	0.10453	0.145625816	-0.041095816
637.12	0.10642	0.14562137	-0.03920137
637.16	0.10942	0.145616923	-0.036196923
637.2	0.1052	0.145612476	-0.040412476
637.24	0.1057	0.145608029	-0.039908029
637.28	0.10565	0.145603582	-0.039953582
637.32	0.1111	0.145599136	-0.034499136
637.36	0.10652	0.145594689	-0.039074689
637.4	0.11029	0.145590242	-0.035300242
637.44	0.1057	0.145585795	-0.039885795
637.48	0.11385	0.145581348	-0.031731348
637.52	0.10861	0.145576902	-0.036966902
637.56	0.10856	0.145572455	-0.037012455
637.6	0.10632	0.145568008	-0.039248008
637.64	0.10738	0.145563561	-0.038183561
637.68	0.10662	0.145559114	-0.038939114
637.72	0.11609	0.145554668	-0.029464668
637.76	0.10922	0.145550221	-0.036330221
637.8	0.11492	0.145545774	-0.030625774
637.84	0.1139	0.145541327	-0.031641327
637.88	0.11421	0.14553688	-0.03132688
637.92	0.11293	0.145532434	-0.032602434
637.96	0.11675	0.145527987	-0.028777987
638	0.11589	0.14552354	-0.02963354
638.04	0.12072	0.145519093	-0.024799093
638.08	0.13131	0.145514646	-0.014204646
638.12	0.12347	0.1455102	-0.0220402
638.16	0.12368	0.145505753	-0.021825753
638.2	0.13401	0.145501306	-0.011491306
638.24	0.13778	0.145496859	-0.007716859
638.28	0.14445	0.145492412	-0.001042412
638.32	0.14058	0.145487966	-0.004907966
638.36	0.14664	0.145483519	0.001156481
638.4	0.15555	0.145479072	0.010070928
638.44	0.15545	0.145474625	0.009975375
638.48	0.1584	0.145470178	0.012929822
638.52	0.18182	0.145465732	0.036354268
638.56	0.17546	0.145461285	0.029998715
638.6	0.18126	0.145456838	0.035803162
638.64	0.19531	0.145452391	0.049857609
638.68	0.19923	0.145447944	0.053782056
638.72	0.18676	0.145443498	0.041316502
638.76	0.18661	0.145439051	0.041170949
638.8	0.19536	0.145434604	0.049925396
638.84	0.20824	0.145430157	0.062809843
638.88	0.20738	0.14542571	0.06195429
638.92	0.21858	0.145421264	0.073158736
638.96	0.2194	0.145416817	0.073983183
639	0.2112	0.14541237	0.06578763
639.04	0.21089	0.145407923	0.065482077
639.08	0.22077	0.145403476	0.075366524
639.12	0.21135	0.14539903	0.06595097
639.16	0.21206	0.145394583	0.066665417
639.2	0.20936	0.145390136	0.063969864
