	m	t	
f	0.000125415	0.0316679	
			
			
X in nm	Y Signal 	f	y-f
580.04	0.11298	0.104413617	0.008566383
580.08	0.10255	0.104418633	-0.001868633
580.12	0.10535	0.10442365	0.00092635
580.16	0.10555	0.104428666	0.001121334
580.2	0.1054	0.104433683	0.000966317
580.24	0.1056	0.1044387	0.0011613
580.28	0.10896	0.104443716	0.004516284
580.32	0.10815	0.104448733	0.003701267
580.36	0.10835	0.104453749	0.003896251
580.4	0.10372	0.104458766	-0.000738766
580.44	0.10372	0.104463783	-0.000743783
580.48	0.1083	0.104468799	0.003831201
580.52	0.1001	0.104473816	-0.004373816
580.56	0.10749	0.104478832	0.003011168
580.6	0.10647	0.104483849	0.001986151
580.64	0.10535	0.104488866	0.000861134
580.68	0.10382	0.104493882	-0.000673882
580.72	0.10352	0.104498899	-0.000978899
580.76	0.1026	0.104503915	-0.001903915
580.8	0.10835	0.104508932	0.003841068
580.84	0.10647	0.104513949	0.001956051
580.88	0.1001	0.104518965	-0.004418965
580.92	0.1029	0.104523982	-0.001623982
580.96	0.11125	0.104528998	0.006721002
581	0.10275	0.104534015	-0.001784015
581.04	0.10285	0.104539032	-0.001689032
581.08	0.11039	0.104544048	0.005845952
581.12	0.10906	0.104549065	0.004510935
581.16	0.10469	0.104554081	0.000135919
581.2	0.10906	0.104559098	0.004500902
581.24	0.11105	0.104564115	0.006485885
581.28	0.10632	0.104569131	0.001750869
581.32	0.10642	0.104574148	0.001845852
581.36	0.11029	0.104579164	0.005710836
581.4	0.10728	0.104584181	0.002695819
581.44	0.10912	0.104589198	0.004530802
581.48	0.10621	0.104594214	0.001615786
581.52	0.11013	0.104599231	0.005530769
581.56	0.10295	0.104604247	-0.001654247
581.6	0.10769	0.104609264	0.003080736
581.64	0.10759	0.104614281	0.002975719
581.68	0.10952	0.104619297	0.004900703
581.72	0.10927	0.104624314	0.004645686
581.76	0.10713	0.10462933	0.00250067
581.8	0.10504	0.104634347	0.000405653
581.84	0.10825	0.104639364	0.003610636
581.88	0.10448	0.10464438	-0.00016438
581.92	0.10458	0.104649397	-6.93968E-05
581.96	0.10912	0.104654413	0.004465587
582	0.10555	0.10465943	0.00089057
582.04	0.10947	0.104664447	0.004805553
582.08	0.10377	0.104669463	-0.000899463
582.12	0.11232	0.10467448	0.00764552
582.16	0.10357	0.104679496	-0.001109496
582.2	0.10382	0.104684513	-0.000864513
582.24	0.10759	0.10468953	0.00290047
582.28	0.0997	0.104694546	-0.004994546
582.32	0.10927	0.104699563	0.004570437
582.36	0.10387	0.104704579	-0.000834579
582.4	0.10744	0.104709596	0.002730404
582.44	0.10372	0.104714613	-0.000994613
582.48	0.10377	0.104719629	-0.000949629
582.52	0.10377	0.104724646	-0.000954646
582.56	0.1053	0.104729662	0.000570338
582.6	0.10362	0.104734679	-0.001114679
582.64	0.10922	0.104739696	0.004480304
582.68	0.10545	0.104744712	0.000705288
582.72	0.10637	0.104749729	0.001620271
582.76	0.10173	0.104754745	-0.003024745
582.8	0.10209	0.104759762	-0.002669762
582.84	0.10448	0.104764779	-0.000284779
582.88	0.10438	0.104769795	-0.000389795
582.92	0.10657	0.104774812	0.001795188
582.96	0.10265	0.104779828	-0.002129828
583	0.10285	0.104784845	-0.001934845
583.04	0.10565	0.104789862	0.000860138
583.08	0.10769	0.104794878	0.002895122
583.12	0.10733	0.104799895	0.002530105
583.16	0.10194	0.104804911	-0.002864911
583.2	0.10464	0.104809928	-0.000169928
583.24	0.10469	0.104814945	-0.000124945
583.28	0.10469	0.104819961	-0.000129961
583.32	0.10637	0.104824978	0.001545022
583.36	0.10285	0.104829994	-0.001979994
583.4	0.10255	0.104835011	-0.002285011
583.44	0.1083	0.104840028	0.003459972
583.48	0.10545	0.104845044	0.000604956
583.52	0.10306	0.104850061	-0.001790061
583.56	0.10392	0.104855077	-0.000935077
583.6	0.1057	0.104860094	0.000839906
583.64	0.09903	0.104865111	-0.005835111
583.68	0.09898	0.104870127	-0.005890127
583.72	0.10087	0.104875144	-0.004005144
583.76	0.10652	0.10488016	0.00163984
583.8	0.10372	0.104885177	-0.001165177
583.84	0.10189	0.104890194	-0.003000194
583.88	0.10464	0.10489521	-0.00025521
583.92	0.10896	0.104900227	0.004059773
583.96	0.10392	0.104905243	-0.000985243
584	0.10408	0.10491026	-0.00083026
584.04	0.10657	0.104915277	0.001654723
584.08	0.10932	0.104920293	0.004399707
584.12	0.10657	0.10492531	0.00164469
584.16	0.10377	0.104930326	-0.001160326
584.2	0.09914	0.104935343	-0.005795343
584.24	0.10825	0.10494036	0.00330964
584.28	0.10815	0.104945376	0.003204624
584.32	0.10637	0.104950393	0.001419607
584.36	0.10565	0.104955409	0.000694591
584.4	0.10642	0.104960426	0.001459574
584.44	0.10738	0.104965443	0.002414557
584.48	0.10728	0.104970459	0.002309541
584.52	0.10295	0.104975476	-0.002025476
584.56	0.1028	0.104980492	-0.002180492
584.6	0.10367	0.104985509	-0.001315509
584.64	0.10555	0.104990526	0.000559474
584.68	0.10581	0.104995542	0.000814458
584.72	0.10464	0.105000559	-0.000360559
584.76	0.11044	0.105005575	0.005434425
584.8	0.10357	0.105010592	-0.001440592
584.84	0.10275	0.105015609	-0.002265609
584.88	0.1028	0.105020625	-0.002220625
584.92	0.10642	0.105025642	0.001394358
584.96	0.10917	0.105030658	0.004139342
585	0.10352	0.105035675	-0.001515675
585.04	0.1085	0.105040692	0.003459308
585.08	0.10845	0.105045708	0.003404292
585.12	0.10576	0.105050725	0.000709275
585.16	0.1052	0.105055741	0.000144259
585.2	0.10723	0.105060758	0.002169242
585.24	0.11212	0.105065775	0.007054225
585.28	0.10285	0.105070791	-0.002220791
585.32	0.10917	0.105075808	0.004094192
585.36	0.10275	0.105080824	-0.002330824
585.4	0.1027	0.105085841	-0.002385841
585.44	0.10168	0.105090858	-0.003410858
585.48	0.10168	0.105095874	-0.003415874
585.52	0.10525	0.105100891	0.000149109
585.56	0.09715	0.105105907	-0.007955907
585.6	0.10647	0.105110924	0.001359076
585.64	0.10652	0.105115941	0.001404059
585.68	0.10545	0.105120957	0.000329043
585.72	0.1057	0.105125974	0.000574026
585.76	0.10555	0.10513099	0.00041901
585.8	0.10285	0.105136007	-0.002286007
585.84	0.1056	0.105141024	0.000458976
585.88	0.11136	0.10514604	0.00621396
585.92	0.10825	0.105151057	0.003098943
585.96	0.1026	0.105156073	-0.002556073
586	0.10545	0.10516109	0.00028891
586.04	0.10545	0.105166107	0.000283893
586.08	0.10469	0.105171123	-0.000481123
586.12	0.10856	0.10517614	0.00338386
586.16	0.10642	0.105181156	0.001238844
586.2	0.10815	0.105186173	0.002963827
586.24	0.11029	0.10519119	0.00509881
586.28	0.10922	0.105196206	0.004023794
586.32	0.1	0.105201223	-0.005201223
586.36	0.0999	0.105206239	-0.005306239
586.4	0.10637	0.105211256	0.001158744
586.44	0.10906	0.105216273	0.003843727
586.48	0.10464	0.105221289	-0.000581289
586.52	0.10494	0.105226306	-0.000286306
586.56	0.1027	0.105231322	-0.002531322
586.6	0.11029	0.105236339	0.005053661
586.64	0.11029	0.105241356	0.005048644
586.68	0.11151	0.105246372	0.006263628
586.72	0.10667	0.105251389	0.001418611
586.76	0.11421	0.105256405	0.008953595
586.8	0.1083	0.105261422	0.003038578
586.84	0.10713	0.105266439	0.001863561
586.88	0.10453	0.105271455	-0.000741455
586.92	0.10464	0.105276472	-0.000636472
586.96	0.10637	0.105281488	0.001088512
587	0.10632	0.105286505	0.001033495
587.04	0.11212	0.105291522	0.006828478
587.08	0.10759	0.105296538	0.002293462
